name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/malina-market-fresh-125g-21151?video=true	Wed Jul  3 15:02:51 2024	Малина Маркет Fresh, 125г	Цена299,99 ₽	Маркет	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Fri Jul  5 21:43:38 2024
Малина, 250г	629,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	Wed Jul  3 15:02:51 2024	Малина, 250г	Цена589,99 ₽	Съешь Меня	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Fri Jul  5 21:43:40 2024
Арбуз	29,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-77410	Wed Jul  3 15:02:51 2024	Арбуз	Цена89,99 ₽	none	30.0	0.6 г	0.2 г	8.0 г	Арбуз. 	True	True	Fri Jul  5 21:43:41 2024
Голубика Маркет Fresh, 500г	579,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	Wed Jul  3 15:02:51 2024	Голубика Маркет Fresh, 500г	Цена499,99 ₽	Маркет	35.0	1.0 г	0.0 г	8.2 г	Голубика. 	True	True	Fri Jul  5 21:43:42 2024
Черешня отборная, 500г	399,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/ceresna-otbornaa-500g-4300902	Wed Jul  3 15:02:51 2024	Черешня отборная, 500г	Цена349,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Черешня. 	True	True	Fri Jul  5 21:43:43 2024
Клубника Маркет Fresh, 250г	279,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/klubnika-market-fresh-250g-11034?video=true	Wed Jul  3 15:02:51 2024	Клубника Маркет Fresh, 250г	Цена249,99 ₽	Маркет	33.0	0.7 г	0.3 г	8.0 г	Клубника. 	True	True	Fri Jul  5 21:43:44 2024
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/malina-market-fresh-125g-21151?video=true	Wed Jul  3 15:02:51 2024	Малина Маркет Fresh, 125г	Цена299,99 ₽	Маркет	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Fri Jul  5 21:43:45 2024
Малина, 250г	629,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	Wed Jul  3 15:02:51 2024	Малина, 250г	Цена589,99 ₽	Съешь Меня	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Fri Jul  5 21:43:47 2024
Вишня	379,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/visna-71844	Wed Jul  3 15:02:51 2024	Вишня	Цена299,99 ₽	none	52.0	0.8 г	0.5 г	11.3 г	Вишня. 	True	True	Fri Jul  5 21:43:48 2024
Голубика Маркет Fresh, 125г	179,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-125g-48663	Wed Jul  3 15:02:51 2024	Голубика Маркет Fresh, 125г	Цена169,99 ₽	Маркет	35.0	1.0 г	0.0 г	8.2 г	Голубика. 	True	True	Fri Jul  5 21:43:48 2024
Голубика Маркет Fresh, 500г	579,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	Wed Jul  3 15:02:51 2024	Голубика Маркет Fresh, 500г	Цена499,99 ₽	Маркет	35.0	1.0 г	0.0 г	8.2 г	Голубика. 	True	True	Fri Jul  5 21:43:50 2024
Смородина красная, 250г	249,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/smorodina-krasnaa-250g-3641619	Wed Jul  3 15:02:51 2024	Смородина красная, 250г	Цена199,99 ₽	none	43.0	0.6 г	0.2 г	7.7 г	Красная смородина. 	True	True	Fri Jul  5 21:43:50 2024
Смородина черная, 250г	399,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/smorodina-cernaa-250g-4167708	Wed Jul  3 15:02:51 2024	Смородина черная, 250г	Цена229,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 21:43:51 2024
Арбуз	29,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-77410	Wed Jul  3 15:02:51 2024	Арбуз	Цена89,99 ₽	none	30.0	0.6 г	0.2 г	8.0 г	Арбуз. 	True	True	Fri Jul  5 21:43:52 2024
Черешня розовая	549,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/ceresna-rozovaa-3254387	Wed Jul  3 15:02:51 2024	Черешня розовая	Цена399,99 ₽	none	50.0	1.1 г	0.4 г	11.5 г	Черешня 	True	True	Fri Jul  5 21:43:53 2024
