name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток Free Feather Merlot безалкогольный красный сладкий, 750мл	499,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/napitok-free-feather-merlot-bezalkogolnyj-krasnyj-sladkij-750ml-4225894	Wed Jul  3 15:03:41 2024	Напиток Free Feather Merlot безалкогольный красный сладкий, 750мл	Цена699,99 ₽	Free Feather	22.0	0.0 г	0.0 г	5.1 г	Виноматериал сухой красный из винограда сорта мерло, сахар, пищевые добавки антиокислители - диоксид серы, аскорбиновая кислота. 	True	True	Fri Jul  5 22:46:36 2024
Вино Via Mia Cabernet Sauvignon красное полусладкое безалкогольное 750мл	699,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-via-mia-cabernet-sauvignon-krasnoe-polusladkoe-bezalkogolnoe-750ml-4329409	Wed Jul  3 15:03:41 2024	Вино Via Mia Cabernet Sauvignon красное полусладкое безалкогольное 750мл	Цена699,99 ₽	Via Mia	17.2	0.0 г	0.0 г	4.3 г	Виноград, антиоксилитель-диоксид серы. 	True	True	Fri Jul  5 22:46:36 2024
Напиток Carl Jung Merlot безалкогольный красный полусухой 0,735л	1 199,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/napitok-carl-jung-merlot-bezalkogolnyj-krasnyj-polusuhoj-0-735l-4149210	Wed Jul  3 15:03:41 2024	Напиток Carl Jung Merlot безалкогольный красный полусухой 0,735л	Цена1 199,00 ₽	Carl Jung	17.9	0.0 г	0.0 г	3.9 г	Безалкогольное вино, сахароза, углекислота, консервант - диоксид серы. 	True	True	Fri Jul  5 22:46:37 2024
Вино безалкогольное Sin Albali Cabernet Tempranillo красное Испасния 0,5%, 750мл	1 399,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-bezalkogolnoe-sin-albali-cabernet-tempranillo-krasnoe-ispasnia-0-5-750ml-4122687	Wed Jul  3 15:03:41 2024	Вино безалкогольное Sin Albali Cabernet Tempranillo красное Испасния 0,5%, 750мл	Цена1 399,00 ₽	Albali	8.0	0.2 г	0.0 г	1.0 г	none	True	True	Fri Jul  5 22:46:38 2024
Вино Via Mia Cabernet Sauvignon газированное красное полусладкое безалкогольное 750мл	799,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-via-mia-cabernet-sauvignon-gazirovannoe-krasnoe-polusladkoe-bezalkogolnoe-750ml-4329410	Wed Jul  3 15:03:41 2024	Вино Via Mia Cabernet Sauvignon газированное красное полусладкое безалкогольное 750мл	Цена799,99 ₽	Via Mia	17.2	0.0 г	0.0 г	4.3 г	Вино безалкогольное, концентрированное виноградное сусло, пищевые добавки: консервант-сорбиновая кислота, антиокислитель-диоксид серы. 	True	True	Fri Jul  5 22:46:39 2024
Вино игристое безалкогольное Free Feather белое сладкое, 750мл	349,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-igristoe-bezalkogolnoe-free-feather-beloe-sladkoe-750ml-4225898	Wed Jul  3 15:03:41 2024	Вино игристое безалкогольное Free Feather белое сладкое, 750мл	Цена349,99 ₽	Free Feather	29.0	0.0 г	0.0 г	6.8 г	Виноматериал сухой белый, сахар, сусло виноградное концентрированное ректификованное, пищевые добавки антиокислители - диоксид серы и аскорбиновая кислота. 	True	True	Fri Jul  5 22:46:40 2024
Вино безалкогольное Free Feather Шардоне белое полусладкое, 750мл	349,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-bezalkogolnoe-free-feather-sardone-beloe-polusladkoe-750ml-4225897	Wed Jul  3 15:03:41 2024	Вино безалкогольное Free Feather Шардоне белое полусладкое, 750мл	Цена699,99 ₽	Free Feather	22.0	0.0 г	0.0 г	5.4 г	Виноматериал белый из винограда сорта шардоне, сахар, пищевые добавки антиокислители - диоксид серы, аскорбиновая кислота. 	True	True	Fri Jul  5 22:46:41 2024
Вино Via Mia Сhardonnay белое полусладкое безалкогольное 750мл	279,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-via-mia-shardonnay-beloe-polusladkoe-bezalkogolnoe-750ml-4329407	Wed Jul  3 15:03:41 2024	Вино Via Mia Сhardonnay белое полусладкое безалкогольное 750мл	Цена699,99 ₽	Via Mia	17.2	0.0 г	0.0 г	4.3 г	Виноград, антиоксилитель-диоксид серы. 	True	True	Fri Jul  5 22:46:42 2024
Вино Дайнхард Грин Лейбл Рислинг безалкогольное белое полусладкое, 750мл	799,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-dajnhard-grin-lejbl-risling-bezalkogolnoe-beloe-polusladkoe-750ml-4337125	Wed Jul  3 15:03:41 2024	Вино Дайнхард Грин Лейбл Рислинг безалкогольное белое полусладкое, 750мл	Цена799,99 ₽	DEINHARD	24.0	0.0 г	0.0 г	4.0 г	Сорт винограда Рислинг. Содержит пищевую добавку антиокислитель - диоксид серы (Е220). 	True	True	Fri Jul  5 22:46:42 2024
Вино Vina Albali Sparkling White белое 0.5%, 750мл	1 099,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/739/p/vino-vina-albali-sparkling-white-beloe-0-5-750ml-4122685	Wed Jul  3 15:03:41 2024	Вино Vina Albali Sparkling White белое 0.5%, 750мл	Цена979,99 ₽	none	31.0	0.2 г	0.0 г	1.2 г	none	True	True	Fri Jul  5 22:46:44 2024
