name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кальвадос Morin Selection категория AOC 40%, 700мл	2 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/kalvados-morin-selection-kategoria-aoc-40-700ml-4263600	Wed Jul  3 15:05:34 2024	Кальвадос Morin Selection категория AOC 40%, 700мл	Цена2 199,00 ₽	Morin Selection	219.0	0.0 г	0.0 г	0.0 г	Кальвадосный спирт, вода исправленная (подготовленная), сахар. 	True	True	Sat Jul  6 00:18:25 2024
Бренди Soberano Reserva 5 в подарочной упаковке 36%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/brendi-soberano-reserva-5-v-podarocnoj-upakovke-36-700ml-4172371	Wed Jul  3 15:05:34 2024	Бренди Soberano Reserva 5 в подарочной упаковке 36%, 700мл	Цена1 299,00 ₽	Soberano	206.0	0.0 г	0.0 г	1.8 г	Айрен, вода подготовленная, натуральная карамель. 	True	True	Sat Jul  6 00:18:25 2024
Бренди Barrel 40%, 500мл	479,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/14/p/brendi-barrel-40-500ml-3684688	Wed Jul  3 15:05:34 2024	Бренди Barrel 40%, 500мл	Цена499,99 ₽	Barrel	0.0	0.0 г	0.0 г	0.0 г	Дистиллят винный, выдержанный в контакте с древесиной дуба не менее шести месяцев, Вода питьевая исправленная, Сахарный сироп, пищевая добавка, Краситель - Сахарный колер I простой (Е150а). 	True	True	Sat Jul  6 00:18:26 2024
Бренди Сortel ХО Суперио в подарочной коробке, 700мл	2 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/brendi-sortel-ho-superio-v-podarocnoj-korobke-700ml-4170358	Wed Jul  3 15:05:34 2024	Бренди Сortel ХО Суперио в подарочной коробке, 700мл	Цена2 599,00 ₽	Cortel	228.0	0.0 г	0.0 г	1.7 г	Винный дистиллят. 	True	True	Sat Jul  6 00:18:27 2024
Бренди Кизлярский Марочный 40%, 500мл	539,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/14/p/brendi-kizlarskij-marocnyj-40-500ml-3412218	Wed Jul  3 15:05:34 2024	Бренди Кизлярский Марочный 40%, 500мл	Цена739,99 ₽	Кизлярский	240.0	0.0 г	0.0 г	1.0 г	Коньячный дистиллят, выдержанный не менее 6 лет (ГОСТ 31728-2014), Вода питьевая умягченная, соответствующая требованиям СанПиН 2.1.4.1074-01, Сахарный сироп, Краситель - Сахарный колер I простой. Возможно наличие диоксида серы в пределах нормы содержания в исходном сырье. 	True	True	Sat Jul  6 00:18:28 2024
Бренди Сortel Наполеон в подарочной коробке, 700мл	1 699,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/brendi-sortel-napoleon-v-podarocnoj-korobke-700ml-4169863	Wed Jul  3 15:05:34 2024	Бренди Сortel Наполеон в подарочной коробке, 700мл	Цена1 999,00 ₽	Cortel	226.0	0.0 г	0.0 г	1.3 г	none	True	True	Sat Jul  6 00:18:28 2024
Бренди Rubinov Виньяк VS 40%, 500мл	1 359,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/14/p/brendi-rubinov-vinak-vs-40-500ml-4233752	Wed Jul  3 15:05:34 2024	Бренди Rubinov Виньяк VS 40%, 500мл	Цена1 099,00 ₽	Rubinov	281.2	0.0 г	0.0 г	0.5 г	Винный дистиллят, вода исправленная, пищевой краситель сахарный колер Е150а. 	True	True	Sat Jul  6 00:18:29 2024
Бренди Torres Гран Ресерва 10 38% в подарочной упаковке, 700мл	2 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/brendi-torres-gran-reserva-10-38-v-podarocnoj-upakovke-700ml-39490	Wed Jul  3 15:05:34 2024	Бренди Torres Гран Ресерва 10 38% в подарочной упаковке, 700мл	Цена1 499,00 ₽	Torres	212.8	none	none	none	Винный дистиллят, выдержанный не менее 3 лет, Вода питьевая подготовленная, Сахар белый, пищевая добавка - Краситель Е150а. 	True	True	Sat Jul  6 00:18:30 2024
Бренди Кизлярский Марочный 40%, 250мл	419,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/14/p/brendi-kizlarskij-marocnyj-40-250ml-4207331	Wed Jul  3 15:05:34 2024	Бренди Кизлярский Марочный 40%, 250мл	Цена419,99 ₽	Кизлярский	240.0	0.0 г	0.0 г	1.0 г	Коньячный дистиллят, выдержанный не менее 6 лет (ГОСТ 31728-204), вода питьевая умягченная соответствующая требованиям СанПиН 2.1.4.1074-01, сахарный сироп, краситель - сахарный колер I простой. 	True	True	Sat Jul  6 00:18:31 2024
Бренди Torres 10 Гран Резерва 38%, 200мл	559,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/14/p/brendi-torres-10-gran-rezerva-38-200ml-4152147	Wed Jul  3 15:05:34 2024	Бренди Torres 10 Гран Резерва 38%, 200мл	Цена559,99 ₽	Torres	214.0	0.0 г	0.0 г	1.0 г	Винный дистиллят, выдержанный не менее 3 лет, вода питьевая подготовленная, сахар белый, пищевая добавка - краситель Е 150а. 	True	True	Sat Jul  6 00:18:32 2024
Кальвадос Morin Selection категория AOC 40%, 700мл	2 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/14/p/kalvados-morin-selection-kategoria-aoc-40-700ml-4263600	Wed Jul  3 15:05:34 2024	Кальвадос Morin Selection категория AOC 40%, 700мл	Цена2 199,00 ₽	Morin Selection	219.0	0.0 г	0.0 г	0.0 г	Кальвадосный спирт, вода исправленная (подготовленная), сахар. 	True	True	Sat Jul  6 00:18:33 2024
Спиртной напиток Виват Армения 35%, 500мл	489,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/14/p/spirtnoj-napitok-vivat-armenia-35-500ml-4280061	Wed Jul  3 15:05:34 2024	Спиртной напиток Виват Армения 35%, 500мл	Цена499,99 ₽	Vivat Armenia	236.0	0.0 г	0.0 г	5.0 г	. 	True	True	Sat Jul  6 00:18:34 2024
Спиртной напиток Uhuru Кофе Мокка с ароматом кофе, 750мл	659,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/14/p/spirtnoj-napitok-uhuru-kofe-mokka-s-aromatom-kofe-750ml-4195704	Wed Jul  3 15:05:34 2024	Спиртной напиток Uhuru Кофе Мокка с ароматом кофе, 750мл	Цена659,99 ₽	Uhuru	220.0	0.0 г	0.0 г	0.3 г	Вода питьевая подготовленная винный спирт винный дистиллят сахар Натуральный ароматизатор «Кофе» краситель Сахарный колер I простой (CARAMEL I - Plain). 	True	True	Sat Jul  6 00:18:35 2024
Спиртной напиток Uhuru Синамон с ароматом корицы, 750мл	659,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/14/p/spirtnoj-napitok-uhuru-sinamon-s-aromatom-koricy-750ml-4195701	Wed Jul  3 15:05:34 2024	Спиртной напиток Uhuru Синамон с ароматом корицы, 750мл	Цена659,99 ₽	Uhuru	220.0	0.0 г	0.0 г	0.3 г	Винный спирт винный дистиллят сахар Натуральный ароматизатор «Корица» краситель Сахарный колер I простой (CARAMEL I - Plain). 	True	True	Sat Jul  6 00:18:36 2024
