name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Смородина черная быстрозамороженная Маркет, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/smorodina-cernaa-bystrozamorozennaa-market-300g-4272209	Wed Jul  3 15:04:28 2024	Смородина черная быстрозамороженная Маркет, 300г	Цена209,99 ₽	Маркет	36.8	1.0 г	0.4 г	7.3 г	Черная смородина. 	True	True	Fri Jul  5 23:13:33 2024
Вишня без косточки быстрозамороженная Маркет Перекрёсток, 400г	114,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-bystrozamorozennaa-market-perekrestok-400g-3489154	Wed Jul  3 15:04:28 2024	Вишня без косточки быстрозамороженная Маркет Перекрёсток, 400г	Цена241,99 ₽	Маркет	47.4	0.8 г	0.2 г	10.6 г	Вишня. 	True	True	Fri Jul  5 23:13:34 2024
Клубника быстрозамороженная Маркет Перекрёсток, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/klubnika-bystrozamorozennaa-market-perekrestok-400g-3489160	Wed Jul  3 15:04:28 2024	Клубника быстрозамороженная Маркет Перекрёсток, 400г	Цена149,99 ₽	Маркет	36.8	0.8 г	0.4 г	7.5 г	Клубника. 	True	True	Fri Jul  5 23:13:35 2024
Вишня без косточки замороженная Маркет, 300г	134,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-zamorozennaa-market-300g-4342877	Wed Jul  3 15:04:28 2024	Вишня без косточки замороженная Маркет, 300г	Цена199,99 ₽	Маркет	47.4	0.8 г	0.2 г	10.6 г	Вишня без косточки. 	True	True	Fri Jul  5 23:13:36 2024
Вишня Морозко Green без косточки замороженная, 300г	279,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/visna-morozko-green-bez-kostocki-zamorozennaa-300g-3423460	Wed Jul  3 15:04:28 2024	Вишня Морозко Green без косточки замороженная, 300г	Цена279,99 ₽	Морозко	none	none	none	none	none	True	True	Fri Jul  5 23:13:38 2024
Малина быстрозамороженная Маркет, 300г	239,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/malina-bystrozamorozennaa-market-300g-4315997	Wed Jul  3 15:04:28 2024	Малина быстрозамороженная Маркет, 300г	Цена239,99 ₽	Маркет	40.0	1.0 г	0.5 г	8.0 г	Малина. 	True	True	Fri Jul  5 23:13:38 2024
Клюква садовая быстрозамороженная Пр!ст, 700г	549,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/61/p/klukva-sadovaa-bystrozamorozennaa-pr-st-700g-4289122	Wed Jul  3 15:04:28 2024	Клюква садовая быстрозамороженная Пр!ст, 700г	Цена549,99 ₽	Пр!ст	20.0	0.5 г	0.2 г	3.5 г	Клюква садовая. 	True	True	Fri Jul  5 23:13:39 2024
Черника быстрозамороженная Маркет Перекрёсток, 300г	134,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/cernika-bystrozamorozennaa-market-perekrestok-300g-4135309	Wed Jul  3 15:04:28 2024	Черника быстрозамороженная Маркет Перекрёсток, 300г	Цена219,99 ₽	Маркет	38.8	1.1 г	0.0 г	8.6 г	Черника. 	True	True	Fri Jul  5 23:13:40 2024
Облепиха быстрозамороженная Маркет Перекрёсток, 300г	209,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/oblepiha-bystrozamorozennaa-market-perekrestok-300g-4135307	Wed Jul  3 15:04:28 2024	Облепиха быстрозамороженная Маркет Перекрёсток, 300г	Цена209,99 ₽	Маркет	74.2	0.9 г	5.4 г	5.5 г	Облепиха. 	True	True	Fri Jul  5 23:13:42 2024
Брусника быстрозамороженная Маркет Перекрёсток, 400г	369,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/brusnika-bystrozamorozennaa-market-perekrestok-400g-3489158	Thu Jul  4 09:46:30 2024	Брусника быстрозамороженная Маркет Перекрёсток, 400г	Цена379,99 ₽	Маркет	40.1	0.7 г	0.5 г	8.2 г	Брусника. 	True	True	Fri Jul  5 23:13:43 2024
