name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Малина Маркет Fresh, 125г	279,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/1245/p/malina-market-fresh-125g-21151	Sun Jul  7 00:30:15 2024	Малина Маркет Fresh, 125г	Цена299,99 ₽	Маркет	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Sun Jul  7 00:31:22 2024
Малина, 250г	499,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	Sun Jul  7 00:30:15 2024	Малина, 250г	Цена589,99 ₽	Съешь Меня	46.0	0.8 г	0.5 г	8.3 г	Малина. 	True	True	Sun Jul  7 00:31:47 2024
Арбуз	89,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-77410	Sun Jul  7 00:30:15 2024	Арбуз	Цена89,99 ₽	none	30.0	0.6 г	0.2 г	8.0 г	Арбуз. 	True	True	Sun Jul  7 00:31:48 2024
Голубика Маркет Fresh, 500г	579,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	Sun Jul  7 00:30:15 2024	Голубика Маркет Fresh, 500г	Цена499,99 ₽	Маркет	35.0	1.0 г	0.0 г	8.2 г	Голубика. 	True	True	Sun Jul  7 00:31:49 2024
Голубика Маркет Fresh, 250г	219,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-250g-4052118	Sun Jul  7 00:30:15 2024	Голубика Маркет Fresh, 250г	Цена329,99 ₽	Маркет	35.0	1.0 г	0.3 г	8.2 г	Голубика свежая. 	True	True	Sun Jul  7 00:31:50 2024
Черешня отборная, 500г	399,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/ceresna-otbornaa-500g-4300902	Sun Jul  7 00:30:15 2024	Черешня отборная, 500г	Цена349,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Черешня. 	True	True	Sun Jul  7 00:31:51 2024
Клубника Маркет Fresh, 250г	279,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/klubnika-market-fresh-250g-11034	Sun Jul  7 00:30:15 2024	Клубника Маркет Fresh, 250г	Цена249,99 ₽	Маркет	33.0	0.7 г	0.3 г	8.0 г	Клубника. 	True	True	Sun Jul  7 00:31:52 2024
Вишня	379,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/visna-71844	Sun Jul  7 00:30:15 2024	Вишня	Цена299,99 ₽	none	52.0	0.8 г	0.5 г	11.3 г	Вишня. 	True	True	Sun Jul  7 00:31:54 2024
Смородина черная, 250г	249,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/smorodina-cernaa-250g-4167708	Sun Jul  7 00:30:15 2024	Смородина черная, 250г	Цена229,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Sun Jul  7 00:31:55 2024
Черешня розовая	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/ceresna-rozovaa-3254387	Sun Jul  7 00:30:15 2024	Черешня розовая	Цена399,99 ₽	none	50.0	1.1 г	0.4 г	11.5 г	Черешня 	True	True	Sun Jul  7 00:31:56 2024
