name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт	119,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-so-market-perekrestok-10st-3634491?video=true	Wed Jul  3 15:02:40 2024	Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт	Цена119,99 ₽	Маркет	157.0	12.7 г	11.5 г	0.7 г	Яйца. 	True	True	Fri Jul  5 21:34:41 2024
Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	109,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-market-perekrestok-10st-3662512	Wed Jul  3 15:02:40 2024	Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	Цена109,99 ₽	Маркет	157.0	12.7 г	11.5 г	0.7 г	Яйцо куриное. 	True	True	Fri Jul  5 21:34:42 2024
Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	124,99 ₽/шт	649 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694	Wed Jul  3 15:02:40 2024	Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	Цена124,99 ₽	Зелёная Линия	120.0	12.0 г	8.0 г	0.8 г	Яйцо куриное пищевое столовое. 	True	True	Fri Jul  5 21:34:43 2024
Белок яичный пастеризованный Зелёная Линия, 330мл	154,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/123/p/belok-aicnyj-pasterizovannyj-zelenaa-linia-330ml-4235685?video=true	Wed Jul  3 15:02:40 2024	Белок яичный пастеризованный Зелёная Линия, 330мл	Цена154,99 ₽	Зелёная Линия	56.0	13.0 г	0.0 г	1.0 г	Белок куриного яйца. 	True	True	Fri Jul  5 21:34:45 2024
Яйцо перепелиное столовое Маркет Перекрёсток, 20шт	144,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/123/p/ajco-perepelinoe-stolovoe-market-perekrestok-20st-3477870	Wed Jul  3 15:02:40 2024	Яйцо перепелиное столовое Маркет Перекрёсток, 20шт	Цена144,99 ₽	Маркет	166.0	11.0 г	13.0 г	0.0 г	Яйца перепелиные. 	True	True	Fri Jul  5 21:34:46 2024
Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	109,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-market-perekrestok-10st-3662512	Wed Jul  3 15:02:40 2024	Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт	Цена109,99 ₽	Маркет	157.0	12.7 г	11.5 г	0.7 г	Яйцо куриное. 	True	True	Fri Jul  5 21:34:47 2024
Яйцо куриное С1 Пр!ст, 10шт	104,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-s1-pr-st-10st-4085791	Wed Jul  3 15:02:40 2024	Яйцо куриное С1 Пр!ст, 10шт	Цена104,99 ₽	Пр!ст	157.0	12.7 г	11.5 г	0.7 г	Яйца куриные пищевые столовые. 	True	True	Fri Jul  5 21:34:48 2024
Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	124,99 ₽/шт	649 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694	Wed Jul  3 15:02:40 2024	Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт	Цена124,99 ₽	Зелёная Линия	120.0	12.0 г	8.0 г	0.8 г	Яйцо куриное пищевое столовое. 	True	True	Fri Jul  5 21:34:49 2024
Яйцо куриное пищевое столовое С1 Маркет Перекрёсток, 20шт	239,99 ₽/шт	1500 гр	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s1-market-perekrestok-20st-4088955	Wed Jul  3 15:02:40 2024	Яйцо куриное пищевое столовое С1 Маркет Перекрёсток, 20шт	Цена239,99 ₽	Маркет	157.0	12.7 г	11.5 г	0.7 г	Яйцо куриное пищевое столовое. 	True	True	Fri Jul  5 21:34:50 2024
Яйцо куриное Роскар Экстра С1, 15шт	209,99 ₽/шт	1100 мл	https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-roskar-ekstra-s1-15st-3303858	Wed Jul  3 15:02:40 2024	Яйцо куриное Роскар Экстра С1, 15шт	Цена209,99 ₽	Роскар	150.0	13.0 г	11.0 г	none	Яйца куриные пищевые столовые. 	True	True	Fri Jul  5 21:34:51 2024
