name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Батончик шоколадный Twix Экстра с печеньем, 82г	85,99 ₽/шт	82 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-twix-ekstra-s-pecenem-82g-2138420	Wed Jul  3 15:03:18 2024	Батончик шоколадный Twix Экстра с печеньем, 82г	Цена89,99 ₽	Twix	495.0	3.9 г	24.0 г	65.4 г	Молочный шоколад (общий чухой остаток какао – не менее 25%; сухой обезжиренный остаток какао – не менее 4%; сухой молочный остаток – не менее 20%; молочный жир – не менее 3,5%): сахар, какао масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин); карамель: глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, ароматизатор (ванилин); печенье: пшеничная мука, жир специального назначения (пальмовое масло), сахар, какао порошок, соль, разрыхлитель (гидрокарбонат натрия), ароматизатор (ванилин). Содержит глютен. Может содержать незначительное количество яичного белка, арахиса. 	True	True	Fri Jul  5 22:13:47 2024
Батончик шоколадный Snickers Супер из нуги карамели и арахиса, 80г	77,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-super-iz-nugi-karameli-i-arahisa-80g-4133363	Wed Jul  3 15:03:18 2024	Батончик шоколадный Snickers Супер из нуги карамели и арахиса, 80г	Цена99,99 ₽	Snickers	499.0	8.0 г	25.4 г	58.8 г	Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко (W) или сухое обезжиренное молоко (R), лактоза, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)); глюкозный сироп (кукурузный, пшеничный), арахис, сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, сухой яичный белок, ароматизатор (ванилин). 	True	True	Fri Jul  5 22:13:48 2024
Батончик шоколадный Picnic Big, 76г	83,99 ₽/шт	76 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-picnic-big-76g-3442578	Wed Jul  3 15:03:18 2024	Батончик шоколадный Picnic Big, 76г	Цена97,99 ₽	Picnic	480.0	7.1 г	25.5 г	55.0 г	Шоколад молочный (сахар, масло какао, какао тертое, сыворотка сухая молочная, молоко сухое цельное, жир молочный, эмульгаторы (лецитин соевый, Е 476), ароматизатор), арахис обжаренный дробленный, сахар, изюм, масла растительные (пальмовое, соевое), сироп сахарный инвертный, мука пшеничная, воздушный рис (мука рисовая, сахар, ячменно-солодовый экстракт, масло пальмовое, соль), сироп глюкозный, сыворотка сухая молочная, какао-порошок, соль, эмульгаторы (Е 471, лецитин соевый), загуститель (Е 422), ароматизаторы. 	True	True	Fri Jul  5 22:13:49 2024
Батончик шоколадный Picnic грецкий орех, 52г	54,99 ₽/шт	52 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-picnic-greckij-oreh-52g-3419777	Wed Jul  3 15:03:18 2024	Батончик шоколадный Picnic грецкий орех, 52г	Цена54,99 ₽	Picnic	495.0	5.6 г	27.0 г	57.5 г	Шоколад молочный (сахар, масло какао, какао тертое, сыворотка сухая молочная, молоко сухое цельное, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор), сахар, масла растительные, грецкий орех обжаренный дробленый, воздушный рис (мука рисовая, сахар, ячменно-солодовый экстракт, масло растительное, соль), мука пшеничная, патока карамельная (кукурузная), арахис обжаренный дробленый, сыворотка сухая молочная, какао-порошок, соль, эмульгаторы (Е471, лецитин соевый), ароматизатор натуральный и ароматизатор. 	True	True	Fri Jul  5 22:13:51 2024
Батончик шоколадный Milky Way, 26г	24,99 ₽/шт	26 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-milky-way-26g-5164	Wed Jul  3 15:03:18 2024	Батончик шоколадный Milky Way, 26г	Цена33,99 ₽	Milky Way	446.0	2.7 г	15.5 г	73.6 г	Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко, лактоза, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)); глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, ячменный солодовый экстракт, соль, сухой яичный белок, ароматизатор (ванилин). Содержит глютен. Может содержать незначительное количество арахиса, фундука, миндаля. 	True	True	Fri Jul  5 22:13:52 2024
Батончик шоколадный Snickers лесной орех, 81г	91,99 ₽/шт	81 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-lesnoj-oreh-81g-3297592	Wed Jul  3 15:03:18 2024	Батончик шоколадный Snickers лесной орех, 81г	Цена99,99 ₽	Snickers	507.0	7.6 г	27.5 г	56.4 г	Молочный шоколад (сахар, какао масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)); глюкозный сироп (кукурузный, пшеничный), арахис, сахар, масло пальмовое рафинированное дезодорированное, фундук, сухое обезжиренное молоко, сухой яичный белок, соль, ароматизаторы (ванилин, лесной орех). Cодержит глютен. Может содержать незначительное количество миндаля. 	True	True	Fri Jul  5 22:13:53 2024
Конфета Nuts Мегабайт цельный фундук, 66г	59,99 ₽/шт	66 гр	https://www.perekrestok.ru/cat/203/p/konfeta-nuts-megabajt-celnyj-funduk-66g-90937	Wed Jul  3 15:03:18 2024	Конфета Nuts Мегабайт цельный фундук, 66г	Цена59,99 ₽	Nuts	490.0	5.4 г	23.0 г	64.0 г	Сахар, патока, пальмовое масло, молоко сухое обезжиренное, фундук (6,1 %), масло какао, какао тертое, сыворотка молочная сухая, молочный жир, эквивалент масла какао (масло пальмовое, масло ши), молоко сухое цельное, арахис, белок яичный сухой, эмульгаторы (лецитин соевый, Е476), ароматизатор натуральный, соль, регулятор кислотности (лимонная кислота). 	True	True	Fri Jul  5 22:13:54 2024
Батончик шоколадный Bounty Трио, 82.5г	77,99 ₽/шт	83 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-bounty-trio-82-5g-2100611	Wed Jul  3 15:03:18 2024	Батончик шоколадный Bounty Трио, 82.5г	Цена99,99 ₽	Bounty	484.0	3.0 г	25.8 г	59.7 г	Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко, лактоза, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), сушеная мякоть кокоса, сахар, глюкозный сироп (кукурузный, пшеничный), эмульгатор (моно- и диглицериды жирных кислот), агент влагоудерживающий (глицерин), ароматизатор (ванилин), соль. Содержит глютен. Может содержать незначительное количество яичного белка, арахиса, фундука. 	True	True	Fri Jul  5 22:13:55 2024
Батончик шоколадный Snickers, 50.5г	55,99 ₽/шт	51 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-50-5g-3398823	Wed Jul  3 15:03:18 2024	Батончик шоколадный Snickers, 50.5г	Цена77,99 ₽	Snickers	495.0	7.6 г	25.1 г	59.0 г	Молочный шоколад (сахар, какао масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), глюкозный сироп (кукурузный, пшеничный), арахис, сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, сухой яичный белок, соль, ароматизатор (ванилин). Cодержит глютен. Может содержать незначительное количество фундука, миндаля. 	True	True	Fri Jul  5 22:13:56 2024
Батончик шоколадный Mars Max с нугой и карамелью в молочном шоколаде, 81г	85,99 ₽/шт	81 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-mars-max-s-nugoj-i-karamelu-v-molocnom-sokolade-81g-3389812	Wed Jul  3 15:03:18 2024	Батончик шоколадный Mars Max с нугой и карамелью в молочном шоколаде, 81г	Цена93,99 ₽	Mars	452.0	3.8 г	17.1 г	70.0 г	Молочный шоколад (сахар, какао масло, какао тертое, сухое обезжиренное молоко, лактоза, сухое цельное молоко, молочный жир, сухая молочная сыворотка, эмульгатор (соевый лецитин), ароматизатор (ванилин)); глюкозный сироп (кукурузный, пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, какао порошок, ячменный солодовый экстракт, соль, сухой яичный белок. Содержит глютен. Может содержать незначительное количество арахиса, фундука, миндаля. 	True	True	Fri Jul  5 22:13:57 2024
