name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пиво безалкогольное Clausthaler Оригинал светлое 0.5%, 500мл	154,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-clausthaler-original-svetloe-0-5-500ml-3441345	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Clausthaler Оригинал светлое 0.5%, 500мл	Цена154,99 ₽	Clausthaler	26.0	0.2 г	0.0 г	5.6 г	Вода, Солод ячменный, Ячмень пивоваренный, Хмель. 	True	True	Fri Jul  5 22:46:58 2024
Пиво безалкогольное Stella Artois светлое, 450мл	91,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-stella-artois-svetloe-450ml-3983198	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Stella Artois светлое, 450мл	Цена73,99 ₽	Anheuser-Busch	72.0	0.3 г	0.0 г	20.3 г	Вода, солод ячменный, ячмень пивоваренный, хмель. 	True	True	Fri Jul  5 22:46:59 2024
Пиво безалкогольное Балтика №0 светлое 0.5%, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-baltika-no0-svetloe-0-5-450ml-3502293	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Балтика №0 светлое 0.5%, 450мл	Цена59,99 ₽	Балтика №0	35.0	0.0 г	0.0 г	6.0 г	Вода питьевая очищенная, солод ячменный светлый, солодовый экстракт, ячмень пивоваренный, хмелепродукты. 	True	True	Fri Jul  5 22:47:00 2024
Напиток пивной безалкогольный Балтика №0 Пшеничный нефильтрованный, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-bezalkogolnyj-baltika-no0-psenicnyj-nefiltrovannyj-450ml-3636389	Wed Jul  3 15:03:42 2024	Напиток пивной безалкогольный Балтика №0 Пшеничный нефильтрованный, 450мл	Цена59,99 ₽	Балтика №0	30.0	0.0 г	0.0 г	6.0 г	Вода питьевая очищенная, солод ячменный светлый, ячмень пивоваренный, хмелепродукты, солодовый экстракт. 	True	True	Fri Jul  5 22:47:01 2024
Пиво безалкогольное Жигули Барное светлое 0.5%, 450мл	57,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-ziguli-barnoe-svetloe-0-5-450ml-3661462	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Жигули Барное светлое 0.5%, 450мл	Цена61,99 ₽	Жигули	28.0	0.0 г	0.0 г	3.2 г	Вода, солод ячменный, ячмень пивоваренный, хмель. 	True	True	Fri Jul  5 22:47:02 2024
Напиток пивной безалкогольный Балтика №0 Грейпфрут нефильтрованный, 330мл	59,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-bezalkogolnyj-baltika-no0-grejpfrut-nefiltrovannyj-330ml-3909463	Wed Jul  3 15:03:42 2024	Напиток пивной безалкогольный Балтика №0 Грейпфрут нефильтрованный, 330мл	Цена44,99 ₽	Балтика №0	35.0	0.0 г	0.0 г	7.5 г	Вода питьевая очищенная, солод ячменный светлый, ячмень пивоваренный, хмелепродукты, солодовый экстракт. 	True	True	Fri Jul  5 22:47:03 2024
Пиво безалкогольное Wolpertinger Alcoholfrei светлое фильтрованное, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-wolpertinger-alcoholfrei-svetloe-filtrovannoe-500ml-4236626	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Wolpertinger Alcoholfrei светлое фильтрованное, 500мл	Цена109,99 ₽	Вольпертингер	28.0	0.0 г	0.0 г	6.0 г	Питьевая вода, солод, пивоваренный ячменный хмель. 	True	True	Fri Jul  5 22:47:04 2024
Пиво Жигули Барное светлое безалкогольное 0%, 450мл	69,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-ziguli-barnoe-svetloe-bezalkogolnoe-0-450ml-4017525	Wed Jul  3 15:03:42 2024	Пиво Жигули Барное светлое безалкогольное 0%, 450мл	Цена67,99 ₽	Жигули	15.0	0.0 г	0.0 г	3.2 г	Вода питьевая, солод пивоваренный ячменный, хмелепродукты. 	True	True	Fri Jul  5 22:47:05 2024
Напиток пивной Krone Blanche Biere Alcohol Free пастеризованный безалкогольный, 450мл	54,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-krone-blanche-biere-alcohol-free-pasterizovannyj-bezalkogolnyj-450ml-4346918	Wed Jul  3 15:03:42 2024	Напиток пивной Krone Blanche Biere Alcohol Free пастеризованный безалкогольный, 450мл	Цена64,99 ₽	KRONE BLANCHE BIERE	30.0	0.0 г	0.0 г	5.5 г	none	True	True	Fri Jul  5 22:47:06 2024
Пиво безалкогольное Невское светлое, 450мл	34,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-nevskoe-svetloe-450ml-4289449	Wed Jul  3 15:03:42 2024	Пиво безалкогольное Невское светлое, 450мл	Цена44,99 ₽	Невское	30.0	0.0 г	0.0 г	5.5 г	Вода питьевая очищенная, солод пивоваренный ячменный светлый и карамельный, ячмень пивоваренный, хмелепродукты. 	True	True	Fri Jul  5 22:47:07 2024
