name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нут Зелёная Линия, 350г	144,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/252/p/nut-zelenaa-linia-350g-4151858	Wed Jul  3 15:02:57 2024	Нут Зелёная Линия, 350г	Цена144,99 ₽	Зелёная Линия	370.0	19.0 г	6.0 г	61.0 г	Нут. 	True	True	Fri Jul  5 21:50:20 2024
Горох шлифованный колотый Маркет, 800г	49,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/goroh-slifovannyj-kolotyj-market-800g-4306938	Wed Jul  3 15:02:57 2024	Горох шлифованный колотый Маркет, 800г	Цена69,99 ₽	Маркет	350.0	23.0 г	1.0 г	62.0 г	горох шлифованный колотый, 100% 	True	True	Fri Jul  5 21:50:20 2024
Горох Мистраль Айдахо жёлтый колотый шлифованный, 500г	95,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/745/p/goroh-mistral-ajdaho-zeltyj-kolotyj-slifovannyj-500g-3422626	Wed Jul  3 15:02:57 2024	Горох Мистраль Айдахо жёлтый колотый шлифованный, 500г	Цена95,99 ₽	Мистраль	317.0	20.8 г	1.4 г	64.2 г	Желтый горох. 	True	True	Fri Jul  5 21:50:21 2024
Горох Скайфуд колотый шлифованный, 900г	36,40 ₽/шт	900 гр	https://www.perekrestok.ru/cat/745/p/goroh-skajfud-kolotyj-slifovannyj-900g-3232765	Wed Jul  3 15:02:57 2024	Горох Скайфуд колотый шлифованный, 900г	Цена38,40 ₽	Скайфуд	299.0	23.0 г	1.6 г	48.1 г	Горох колотый. 	True	True	Fri Jul  5 21:50:22 2024
Горох Мистраль жёлтый колотый шлифованный, 900г	114,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/745/p/goroh-mistral-zeltyj-kolotyj-slifovannyj-900g-3469543	Wed Jul  3 15:02:57 2024	Горох Мистраль жёлтый колотый шлифованный, 900г	Цена114,99 ₽	Мистраль	317.0	20.8 г	1.4 г	64.2 г	Горох колотый. 	True	True	Fri Jul  5 21:50:23 2024
Суп-пюре Yelli из гороха с карри, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/745/p/sup-pure-yelli-iz-goroha-s-karri-250g-3447289	Wed Jul  3 15:02:57 2024	Суп-пюре Yelli из гороха с карри, 250г	Цена129,99 ₽	Yelli	300.0	21.0 г	2.0 г	50.0 г	Горох колотый, овощи сушеные (лук репчатый, паприка, томаты, чеснок), специи молотые (смесь пряностей Карри, перец чили). 	True	True	Fri Jul  5 21:50:24 2024
Фасоль красная Пр!ст, 800г	170,90 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/fasol-krasnaa-pr-st-800g-4090104	Wed Jul  3 15:02:57 2024	Фасоль красная Пр!ст, 800г	Цена150,90 ₽	Пр!ст	350.0	21.0 г	2.0 г	62.0 г	Фасоль продовольственная цветная однотонная красная. 	True	True	Fri Jul  5 21:50:25 2024
Фасоль Legurme красная отварная, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/745/p/fasol-legurme-krasnaa-otvarnaa-400g-4267998	Wed Jul  3 15:02:57 2024	Фасоль Legurme красная отварная, 400г	Цена165,00 ₽	Legurme	117.0	9.0 г	1.4 г	13.0 г	красная фасоль отварная, вода, соль 	True	True	Fri Jul  5 21:50:26 2024
Фасоль Мистраль Кидни тёмно-красная, 450г	269,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/745/p/fasol-mistral-kidni-temno-krasnaa-450g-66066	Wed Jul  3 15:02:57 2024	Фасоль Мистраль Кидни тёмно-красная, 450г	Цена269,99 ₽	Мистраль	314.0	22.0 г	1.6 г	59.1 г	Фасоль. 	True	True	Fri Jul  5 21:50:27 2024
Фасоль белая Пр!ст, 800г	249,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/fasol-belaa-pr-st-800g-4090103	Wed Jul  3 15:02:57 2024	Фасоль белая Пр!ст, 800г	Цена249,99 ₽	Пр!ст	350.0	21.0 г	2.0 г	62.0 г	Фасоль продовольственная белая. 	True	True	Fri Jul  5 21:50:28 2024
