name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Грудинка копчёно-варёная Классическая из свинины категория В Маркет, 300г	329,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/136/p/grudinka-kopceno-varenaa-klassiceskaa-iz-svininy-kategoria-v-market-300g-78030214	Wed Jul  3 15:04:04 2024	Грудинка копчёно-варёная Классическая из свинины категория В Маркет, 300г	Цена329,99 ₽	Маркет	544.0	10.0 г	56.0 г	0.0 г	Свинина, вода, посолочная смесь (соль, фиксатор окраски е250), животный белок, стабилизаторы (е450, е407), регуляторы кислотности (е451, е262(i), е331(iii)), декстроза, антиокислители (е316, е301), агент влагоудерживающий е325. Продукт может содержать следы молока, яйца, сои, злаков и продукты их переработки. 	True	True	Fri Jul  5 22:57:33 2024
Грудка индейки сыровяленая Экстра Зелёная Линия, 100г	329,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/136/p/grudka-indejki-syrovalenaa-ekstra-zelenaa-linia-100g-4056917	Wed Jul  3 15:04:04 2024	Грудка индейки сыровяленая Экстра Зелёная Линия, 100г	Цена269,99 ₽	Зелёная Линия	150.0	29.0 г	4.0 г	0.0 г	Филе грудки индейки, соль пищевая, пряности натуральные молотые (можжевельник,перец черный, кориандр, чеснок, майоран, корица, мускатный цвет, гвоздика, имбирь, перец душистый, лавровый лист, тимьян), экстракты натуральных пряностей (мускатный цвет, можжевельник), антиокислитель (аскорбат натрия). 	True	True	Fri Jul  5 22:57:34 2024
Грудинка из свинины Ремит Домашняя копчёно-варёная категория В	1 664,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/grudinka-iz-svininy-remit-domasnaa-kopceno-varenaa-kategoria-v-78006633	Wed Jul  3 15:04:04 2024	Грудинка из свинины Ремит Домашняя копчёно-варёная категория В	Цена1 449,00 ₽	Ремит	560.0	6.0 г	60.0 г	0.0 г	Свинина, вода, соль нитритная (соль, фиксатор окраски нитрит натрия), животный белок, регуляторы кислотности (трифосфат, лактат, ацетат натрия), стабилизаторы (пирофосфат, полифосфат натрия), крахмал картофельный, сахар, загуститель каралинан, сыворотка молочная, ароматизатор свинина, усилители вкуса и аромата (глутамат натрия, гуанилат натрия, инозиновая кислота), антикислители (изоасорбат, аскорбат натрия), экстракты пряностей (кориандр, можжевельник, лук-порей). Вохможно содержание горчицы, глютена, молока, орехов, сельдерея, сои, яиц и продуктов их переработки. 	True	True	Fri Jul  5 22:57:35 2024
Грудинка Великолукский МК Охотничья варёно-копчёная, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/136/p/grudinka-velikolukskij-mk-ohotnica-vareno-kopcenaa-300g-3474296	Wed Jul  3 15:04:04 2024	Грудинка Великолукский МК Охотничья варёно-копчёная, 300г	Цена219,99 ₽	Великолукский МК	572.0	15.0 г	20.0 г	0.0 г	Свинина (грудореберная часть без ребер со шкурой), натуральные пряности (перец черный, душистый молотый), вода питьевая, соль поваренная, соевый белок, лактоза, стабилизатор (E 450), антиокислитель (аскорбиновая кислота), фиксатор окраски (нитрит натрия). 	True	True	Fri Jul  5 22:57:35 2024
Грудинка варёно-копчёная Окраина Деревенская из свинины категория Б	1 399,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/grudinka-vareno-kopcenaa-okraina-derevenskaa-iz-svininy-kategoria-b-4091288	Wed Jul  3 15:04:04 2024	Грудинка варёно-копчёная Окраина Деревенская из свинины категория Б	Цена1 399,00 ₽	Окраина	449.0	11.0 г	45.0 г	0.0 г	Свинина, вода, соль нитритная (соль поваренная пищевая, фиксатор окраски-нитрит натрия), сахара, стабилизатор -пищевые фосфаты (Е450), регулятор кислотности (Е451), загуститель (Е407), усилитель вкуса и аромата (Е621),антиокислитель (Е301, лимонная кислота). На производстве используется молоко, яйцо, горчица, злаки и продукты их переработки. 	True	True	Fri Jul  5 22:57:36 2024
Бекон Велком сырокопчёный, 200г	159,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-velkom-syrokopcenyj-200g-3443644	Wed Jul  3 15:04:04 2024	Бекон Велком сырокопчёный, 200г	Цена149,99 ₽	Велком	420.0	16.0 г	40.0 г	0.0 г	Свинина, вода, сахар, экстракты любистока, лука, сельдерея, антиокислитель аскорбиновая кислота, стабилизатор Е 452, соль нитритная (соль, фикс. окраски нитрит натрия). 	True	True	Fri Jul  5 22:57:37 2024
Бекон Дымов Венгерский сырокопчёный нарезка, 200г	289,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-dymov-vengerskij-syrokopcenyj-narezka-200g-3445554	Wed Jul  3 15:04:04 2024	Бекон Дымов Венгерский сырокопчёный нарезка, 200г	Цена289,99 ₽	Дымов	436.0	10.0 г	44.0 г	0.0 г	Свинина, вода, соль, глюкоза, стабилизаторы (дигидропирофосфат натрия, полифосфат натрия), животный белок, ароматизатор, регуляторы кислотности(трифосфат натрия, карбонат натрия, ацетат и цитрат натрия), дрожжевой экстракт, антиокислитель(аскорбат и изоаскорбат натрия), фиксатор окраски(нитрит натрия). Продукт может содержать следы глютена. 	True	True	Fri Jul  5 22:57:37 2024
Бекон Велком Двойное копчение сырокопчёный нарезка, 200г	159,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-velkom-dvojnoe-kopcenie-syrokopcenyj-narezka-200g-3655098	Wed Jul  3 15:04:04 2024	Бекон Велком Двойное копчение сырокопчёный нарезка, 200г	Цена149,99 ₽	Велком	420.0	16.0 г	40.0 г	0.0 г	Свинина, вода, сахар, экстракты любистока, лука, сельдерея, антиокислитель аскорбиновая кислота, стабилизатор Е 452, соль нитритная (соль, фиксатор окраски нитрит натрия). 	True	True	Fri Jul  5 22:57:38 2024
Бекон Чёрный кабан сырокопченый категории Б, 200г	134,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-cernyj-kaban-syrokopcenyj-kategorii-b-200g-4310572	Wed Jul  3 15:04:04 2024	Бекон Чёрный кабан сырокопченый категории Б, 200г	Цена249,99 ₽	Чёрный Кабан	385.0	13.0 г	37.0 г	0.0 г	Свинина,вода,посолочная смесь(соль,фиксатор окраски нитрит натрия),регуляторы кислотности трифосфат натрия,ацетат натрия,цитрат натрия,усилитель вкуса и аромата глутамат натрия,сахар,антиокислитель изоаскорбат натрия,пиросульфит натрия,ароматизатор мяса натуральный. 	True	True	Fri Jul  5 22:57:39 2024
Бекон из свинины копчено-запеченный категории Б Зелёная Линия, 150г	249,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/136/p/bekon-iz-svininy-kopceno-zapecennyj-kategorii-b-zelenaa-linia-150g-4191111	Wed Jul  3 15:04:04 2024	Бекон из свинины копчено-запеченный категории Б Зелёная Линия, 150г	Цена249,99 ₽	Зелёная Линия	360.0	13.0 г	33.0 г	2.0 г	Свинина, вода питьевая, соль пищевая, экстракты фруктов и специй (помело, лимон, черный перец), декстроза, чеснок свежий, перец черный молотый, экстракты цитрусовых (лимон, лайм, апельсин, помело), тмин молотый, ароматная жидкость (сироп глюкозы, экстракты аниса и фенхеля), сок сливы концентрированный, кориандр молотый. 	True	True	Fri Jul  5 22:57:40 2024
