name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Джем Махеевъ клубничный, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-klubnicnyj-300g-3369992	Wed Jul  3 15:05:15 2024	Джем Махеевъ клубничный, 300г	Цена149,99 ₽	Махеевъ	330.0	0.0 г	0.0 г	60.0 г	Клубника, сахар, вода, глюкозно-фруктозный сироп, пектин, кислота лимонная, консервант сорбат калия. 	True	True	Fri Jul  5 23:45:42 2024
Джем клубничный Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-klubnicnyj-pr-st-300g-3903160	Wed Jul  3 15:05:15 2024	Джем клубничный Пр!ст, 300г	Цена89,99 ₽	Пр!ст	230.0	0.8 г	0.5 г	55.0 г	Сахар белый, клубника, вода, загуститель – пектин, регулятор кислотности – лимонная кислота, консервант – сорбат калия. 	True	True	Fri Jul  5 23:45:43 2024
Повидло клубничное Пр!ст, 500г	114,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/109/p/povidlo-klubnicnoe-pr-st-500g-3503167	Wed Jul  3 15:05:15 2024	Повидло клубничное Пр!ст, 500г	Цена87,99 ₽	Пр!ст	264.0	0.0 г	0.0 г	66.0 г	Клубничное пюре, сахар, сироп глюкозно – фруктозный, пюре яблочное, агент желирующий – пектин, регулятор кислотности – лимонная кислота, ароматизатор клубника, консервант – сорбиновая кислота, краситель кармин. 	True	True	Fri Jul  5 23:45:44 2024
Джем Махеевъ малиновый, 300г	164,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-malinovyj-300g-3340191	Wed Jul  3 15:05:15 2024	Джем Махеевъ малиновый, 300г	Цена174,99 ₽	Махеевъ	273.0	0.3 г	0.0 г	68.0 г	Малина, сахар, глюкозно-фруктозный сироп, загуститель фруктовый пектин, регулятор кислотности лимонная кислота. 	True	True	Fri Jul  5 23:45:44 2024
Джем малиновый Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-malinovyj-pr-st-300g-3903158	Wed Jul  3 15:05:15 2024	Джем малиновый Пр!ст, 300г	Цена89,99 ₽	Пр!ст	230.0	0.8 г	0.5 г	55.0 г	Сахар, малина, сироп глюкозно-фруктозный, пюре яблочное, агент желирующий – пектин, регулятор кислотности – лимонная кислота, ароматизатор - малина, консервант – сорбиновая кислота, краситель кармин. 	True	True	Fri Jul  5 23:45:45 2024
Джем Ратибор малиновый, 360г	189,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/109/p/dzem-ratibor-malinovyj-360g-86314	Wed Jul  3 15:05:15 2024	Джем Ратибор малиновый, 360г	Цена149,99 ₽	Ратибор	270.0	none	none	68.0 г	Сахар, малина, фруктовое пюре, загуститель - пектин, регулятор кислотности - лимонная кислота. 	True	True	Fri Jul  5 23:45:46 2024
Джем Махеевъ сливовый нестерилизованный, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-slivovyj-nesterilizovannyj-300g-4132417	Wed Jul  3 15:05:15 2024	Джем Махеевъ сливовый нестерилизованный, 300г	Цена149,99 ₽	Махеевъ	272.0	0.0 г	0.0 г	68.0 г	Слива, сахар, глюкозно-фруктозный сироп, загуститель пектины, регулятор кислотности лимонная кислота. 	True	True	Fri Jul  5 23:45:47 2024
Джем Махеевъ из персика и манго, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-iz-persika-i-mango-400g-3910897	Wed Jul  3 15:05:15 2024	Джем Махеевъ из персика и манго, 400г	Цена179,99 ₽	Махеевъ	269.0	0.3 г	0.0 г	67.0 г	Фрукты (персик, манго), сахар, глюкозно-фруктозный сироп, загуститель фруктовый пектин, регулятор кислотности лимонная кислота, консервант сорбиновая кислота. 	True	True	Fri Jul  5 23:45:47 2024
Джем Махеевъ Черничный, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-cernicnyj-300g-3336645	Wed Jul  3 15:05:15 2024	Джем Махеевъ Черничный, 300г	Цена149,99 ₽	Махеевъ	272.0	0.0 г	0.0 г	68.0 г	Ягода, сахар, фруктозно-глюкозный сироп, вода, пектин, лимонная кислота, сорбиновая кислота. 	True	True	Fri Jul  5 23:45:48 2024
Черника протёртая с сахаром Пр!ст, 350г	99,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/109/p/cernika-protertaa-s-saharom-pr-st-350g-4252385	Wed Jul  3 15:05:15 2024	Черника протёртая с сахаром Пр!ст, 350г	Цена144,99 ₽	Пр!ст	220.0	0.0 г	0.0 г	55.0 г	Черника,сахар. 	True	True	Fri Jul  5 23:45:49 2024
Джем Махеевъ апельсиновый, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-apelsinovyj-400g-3658465	Wed Jul  3 15:05:15 2024	Джем Махеевъ апельсиновый, 400г	Цена179,99 ₽	Махеевъ	268.0	0.0 г	0.0 г	67.0 г	Апельсины свежие, сахар, глюкозный сироп, загуститель фруктовый (пектин), регулятор кислотности лимонная кислота, консервант сорбиновая кислота. 	True	True	Fri Jul  5 23:45:50 2024
Джем Mokki апельсиновый, 280г	299,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/109/p/dzem-mokki-apelsinovyj-280g-4310134	Wed Jul  3 15:05:15 2024	Джем Mokki апельсиновый, 280г	Цена299,99 ₽	Mokki	240.0	1.1 г	0.1 г	58.6 г	"""Апельсин, патока, сахар, вода, загустители: крахмал, пектин; регулятор кислотности: лимонная кислота; консерванты: бензоат натрия, сорбат калия. Массовая доля фруктовой части не менее 30 %. "	True	True	Fri Jul  5 23:45:52 2024
Джем Mokki бруснично-апельсиновый, 280г	469,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/109/p/dzem-mokki-brusnicno-apelsinovyj-280g-4310133	Wed Jul  3 15:05:15 2024	Джем Mokki бруснично-апельсиновый, 280г	Цена469,99 ₽	Mokki	210.0	0.3 г	0.2 г	53.1 г	Брусника, апельсин, сахар, вода, загуститель пектин, специи: корица, гвоздика; регулятор кислотности: лимонная кислота; ароматизатор брусника, консерванты: бензоат натрия, сорбат калия. Массовая доля фруктовой части не менее 35 %. 	True	True	Fri Jul  5 23:45:52 2024
Джем Mokki лимонно-имбирный, 260г	419,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/109/p/dzem-mokki-limonno-imbirnyj-260g-4310135	Wed Jul  3 15:05:15 2024	Джем Mokki лимонно-имбирный, 260г	Цена419,99 ₽	Mokki	252.0	0.0 г	0.0 г	63.0 г	Лимон, имбирь, сахар, вода, загустители:  крахмал, пектин;  консерванты: бензоат натрия, сорбат калия. Массовая доля фруктовой части не менее 37%. 	True	True	Fri Jul  5 23:45:53 2024
Джем Махеевъ груша и банан с экстрактом ванили нестерилизованный, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-grusa-i-banan-s-ekstraktom-vanili-nesterilizovannyj-300g-4132416	Wed Jul  3 15:05:15 2024	Джем Махеевъ груша и банан с экстрактом ванили нестерилизованный, 300г	Цена149,99 ₽	Махеевъ	272.0	0.0 г	0.0 г	68.0 г	Груша, сахар, глюкозный сироп, банановое пюре, загуститель пектины, регулятор кислотности лимонная кислота, экстракт ванили, антиокислитель аскорбиновая кислота. 	True	True	Fri Jul  5 23:45:54 2024
Джем Махеевъ из персика и манго, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-iz-persika-i-mango-400g-3910897	Wed Jul  3 15:05:15 2024	Джем Махеевъ из персика и манго, 400г	Цена179,99 ₽	Махеевъ	269.0	0.3 г	0.0 г	67.0 г	Фрукты (персик, манго), сахар, глюкозно-фруктозный сироп, загуститель фруктовый пектин, регулятор кислотности лимонная кислота, консервант сорбиновая кислота. 	True	True	Fri Jul  5 23:45:54 2024
Клюква протёртая с сахаром Пр!ст, 350г	109,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/109/p/klukva-protertaa-s-saharom-pr-st-350g-4252386	Wed Jul  3 15:05:15 2024	Клюква протёртая с сахаром Пр!ст, 350г	Цена154,99 ₽	Пр!ст	220.0	0.0 г	0.0 г	55.0 г	Клюква, сахар. 	True	True	Fri Jul  5 23:45:55 2024
Повидло яблочное Пр!ст, 500г	114,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/109/p/povidlo-ablocnoe-pr-st-500g-3503165	Wed Jul  3 15:05:15 2024	Повидло яблочное Пр!ст, 500г	Цена87,99 ₽	Пр!ст	264.0	0.0 г	0.0 г	66.0 г	Яблочное пюре, сахар, сироп глюкозно – фруктозный, агент желирующий – пектин, регулятор кислотности – лимонная кислота, консервант – сорбиновая кислота. 	True	True	Fri Jul  5 23:45:56 2024
Облепиха протёртая с сахаром Пр!ст, 350г	99,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/109/p/oblepiha-protertaa-s-saharom-pr-st-350g-4252387	Wed Jul  3 15:05:15 2024	Облепиха протёртая с сахаром Пр!ст, 350г	Цена144,99 ₽	Пр!ст	220.0	0.0 г	0.0 г	55.0 г	Облепиха, сахар. 	True	True	Fri Jul  5 23:45:57 2024
Клюква дроблёная Егорьевские традиции с сахаром, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/109/p/klukva-droblenaa-egorevskie-tradicii-s-saharom-200g-4005862	Wed Jul  3 15:05:15 2024	Клюква дроблёная Егорьевские традиции с сахаром, 200г	Цена169,99 ₽	Егорьевские Традиции	216.0	0.0 г	0.0 г	54.0 г	Клюква, сахар. 	True	True	Fri Jul  5 23:45:58 2024
Земляника садовая без сахара с яблочным соком Зелёная Линия, 300г	279,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/24/p/zemlanika-sadovaa-bez-sahara-s-ablocnym-sokom-zelenaa-linia-300g-4335479	Wed Jul  3 15:19:54 2024	Земляника садовая без сахара с яблочным соком Зелёная Линия, 300г	Цена359,99 ₽	Зелёная Линия	140.0	0.0 г	0.0 г	35.0 г	Земляника садовая, концентрированный яблочный сок, загуститель - пектин. 	True	True	Fri Jul  5 23:45:58 2024
Джем La Vieja Fabrica из инжира, 280г	249,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/109/p/dzem-la-vieja-fabrica-iz-inzira-280g-4198947	Wed Jul  3 15:19:54 2024	Джем La Vieja Fabrica из инжира, 280г	Цена249,99 ₽	La Vieja Fabrica	213.0	0.8 г	0.0 г	52.0 г	Инжир (60%), сахар, желирующий агент: цитрусовый пектин, лимонная кислота, консервант: сорбат калия. 	True	True	Fri Jul  5 23:46:00 2024
Десерт фруктовый Сила Традиции манго, 4x100г	279,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/desert-fruktovyj-sila-tradicii-mango-4x100g-3945463	Wed Jul  3 15:19:54 2024	Десерт фруктовый Сила Традиции манго, 4x100г	Цена299,99 ₽	Сила Традиции	66.0	0.5 г	0.3 г	17.0 г	Манго, сахар. 	True	True	Fri Jul  5 23:46:00 2024
Джем Махеевъ клубничный, 400г	249,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-klubnicnyj-400g-3661658	Thu Jul  4 10:33:13 2024	Джем Махеевъ клубничный, 400г	Цена179,99 ₽	Махеевъ	268.0	0.0 г	0.0 г	67.0 г	Клубника, сахар, глюкозно-фруктозный сироп, загуститель пектин, регулятор кислотности лимонная кислота, консервант сорбиновая кислота. 	True	True	Fri Jul  5 23:46:01 2024
Джем Потапыч клубничный с мятой, 300г	149,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-potapyc-klubnicnyj-s-matoj-300g-4022667	Thu Jul  4 10:33:13 2024	Джем Потапыч клубничный с мятой, 300г	Цена133,99 ₽	Потапычъ	190.0	0.0 г	0.0 г	48.0 г	Сахар, клубника, апельсин, патока, загуститель пектин, регулятор кислотности лимонная кислота, ароматизатор клубника, натуральный ароматизатор мяты, консервант сорбат калия. 	True	True	Fri Jul  5 23:46:02 2024
Джем Ратибор клубничный, 360г	189,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/109/p/dzem-ratibor-klubnicnyj-360g-86313	Thu Jul  4 10:33:13 2024	Джем Ратибор клубничный, 360г	Цена149,99 ₽	Ратибор	272.0	none	none	68.0 г	Сахар, клубника, фруктовое пюре, пектин, лимонная кислота. 	True	True	Fri Jul  5 23:46:02 2024
Джем из чёрной смородины Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-iz-cernoj-smorodiny-pr-st-300g-3903161	Thu Jul  4 10:33:13 2024	Джем из чёрной смородины Пр!ст, 300г	Цена89,99 ₽	Пр!ст	230.0	0.8 г	0.5 г	55.0 г	Сахар белый, черная смородина, вода, загуститель – пектин, регулятор кислотности – лимонная кислота, консервант – сорбат калия. 	True	True	Fri Jul  5 23:46:04 2024
Джем вишнёвый Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-visnevyj-pr-st-300g-3903162	Thu Jul  4 10:33:13 2024	Джем вишнёвый Пр!ст, 300г	Цена89,99 ₽	Пр!ст	230.0	0.8 г	0.5 г	55.0 г	Сахар белый, вишня, вода, загуститель – пектин, регулятор кислотности – лимонная кислота, консервант – сорбат калия. 	True	True	Fri Jul  5 23:46:04 2024
Джем Махеевъ Вишнёвый, 400г	249,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-visnevyj-400g-4204908	Thu Jul  4 10:33:13 2024	Джем Махеевъ Вишнёвый, 400г	Цена179,99 ₽	Махеевъ	268.0	0.0 г	0.0 г	67.0 г	Вишня, сахар, глюкозно-фруктозный сироп, загуститель пектины, регулятор кислотности лимонная кислота, консервант сорбиновая кислота. 	True	True	Fri Jul  5 23:46:05 2024
Джем St. Dalfour вишнёвый, 284г	499,99 ₽/шт	284 гр	https://www.perekrestok.ru/cat/109/p/dzem-st-dalfour-visnevyj-284g-35396	Thu Jul  4 10:33:13 2024	Джем St. Dalfour вишнёвый, 284г	Цена499,99 ₽	St. Dalfour	208.0	0.8 г	0.1 г	53.2 г	Вишня (51%), концентрат виноградного сока, лимонный сок, фруктовый пектин. 	True	True	Fri Jul  5 23:46:06 2024
Джем Ратибор вишнёвый, 360г	189,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/109/p/dzem-ratibor-visnevyj-360g-86308	Thu Jul  4 10:33:13 2024	Джем Ратибор вишнёвый, 360г	Цена149,99 ₽	Ратибор	270.0	none	none	68.0 г	Сахар, вишня, фруктовое пюре, загуститель- пектин, регулятор кислотности – лимонная кислота. 	True	True	Fri Jul  5 23:46:07 2024
Паста Кафе Десертье Жидкий Мармелад Спелая вишня, 150г	89,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/109/p/pasta-kafe-deserte-zidkij-marmelad-spelaa-visna-150g-4311191	Thu Jul  4 10:33:13 2024	Паста Кафе Десертье Жидкий Мармелад Спелая вишня, 150г	Цена89,99 ₽	Кафе Десертье	244.0	0.0 г	0.0 г	61.0 г	патока карамельная, вода, декстроза, фруктоза, сахар, пектин, регулятор кислотности лимонная кислота, консервант сорбиновая кислота, натуральный ароматизатор «Вишня» (носитель пропиленгликоль, натуральные вкусоароматические вещества, регулятор кислотности цитрат натрия iii), краситель пищевой натуральный «Вишня» (мальтодекстрин, краситель  сахарный колер IV, краситель кармин). 	True	True	Fri Jul  5 23:46:08 2024
