name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Джин Barrister 40%, 500мл	509,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-40-500ml-3629205	Wed Jul  3 15:05:34 2024	Джин Barrister 40%, 500мл	Цена539,99 ₽	Barrister	220.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, Спирт этиловый ректификованный ""Люкс"" , Ароматный Спирт можжевеловой ягоды, Ароматный Спирт свежей лимонной корки, Ароматный Спирт кориандра, Ароматный Спирт кардамона, Ароматный Спирт дягиля, Сахар. "	True	True	Sat Jul  6 00:17:23 2024
Джин Rokeby's Half Crown London Dry 40.6%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-rokebys-half-crown-london-dry-40-6-700ml-4180471	Wed Jul  3 15:05:34 2024	Джин Rokeby's Half Crown London Dry 40.6%, 700мл	Цена1 399,00 ₽	Rokeby's Half Crown	241.0	0.0 г	0.0 г	0.0 г	Спирт этиловый ректификованный из зернового сырья, вода подготовленная, настой спиртованный растительного сырья (ягоды можжевельника, семена кориандра, корень солодки, фиалковый порошок, кора кассии, лимонная корка, апельсиновая корка, корень дягиля). 	True	True	Sat Jul  6 00:17:24 2024
Джин South Bank London dry 37.5%, 700мл	1 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-south-bank-london-dry-37-5-700ml-4266747	Wed Jul  3 15:05:34 2024	Джин South Bank London dry 37.5%, 700мл	Цена1 099,00 ₽	South Bank	207.0	0.2 г	0.0 г	1.7 г	вода деионизированная; этиловый зерновой спирт; спиртовые настойки можжевельника,  кориандра, цедры цитрусовых, лакрицы, кора кассии, мускатного ореха, корицы. 	True	True	Sat Jul  6 00:17:25 2024
Джин Barrister Wild Berry Fruits 40%, 700мл	719,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-wild-berry-fruits-40-700ml-4226889	Wed Jul  3 15:05:34 2024	Джин Barrister Wild Berry Fruits 40%, 700мл	Цена719,99 ₽	Barrister	220.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, спирт этиловый ректификованный люкс (зерновой), ароматные спирты можжевеловой ягоды, свежей лимонной корки, кориандра, тмина, кардамона, малины, черники, ароматизатор, сахар, красители кармуазин, синий блестящий. 	True	True	Sat Jul  6 00:17:26 2024
Джин J.J. Whitley Пинк 40%, 500мл	499,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-j-j-whitley-pink-40-500ml-4217345	Wed Jul  3 15:05:34 2024	Джин J.J. Whitley Пинк 40%, 500мл	Цена499,99 ₽	J.J. Whitley	230.0	0.0 г	0.0 г	1.5 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Альфа», ароматный спирт джина (можжевеловые ягоды, плоды кориандра, цедра апельсина и лимона, корневища дягиля, корневища солодки и другие пряности), ароматизаторы натуральные, сахар, красители: красный очаровательный АС, синий блестящий FCF, тартразин. 	True	True	Sat Jul  6 00:17:27 2024
Джин Ginster London dry 40%, 500мл	839,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-ginster-london-dry-40-500ml-4283167	Wed Jul  3 15:05:34 2024	Джин Ginster London dry 40%, 500мл	Цена599,99 ₽	Ginster	220.0	0.0 г	0.0 г	0.0 г	"Ароматный спирт растительного сырья ( спирт этиловый ректификованный "" Альфа"" из пищевого сырья, вода питьевая исправленная, плоды можжевельника, кориандр, цедра лимона свежая, цедра апельсина свежая, цветки клевера, корень ириса,  корень дягеля, корень солодки, "	True	True	Sat Jul  6 00:17:27 2024
Джин City of London со вкусом красного апельсина 40%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-city-of-london-so-vkusom-krasnogo-apelsina-40-700ml-4266992	Wed Jul  3 15:05:34 2024	Джин City of London со вкусом красного апельсина 40%, 700мл	Цена1 099,00 ₽	City of London	240.0	0.0 г	0.0 г	5.5 г	вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья, сахар, ароматный спирт джина (можжевеловые ягоды, плоды кориандра, цедра апельсина и лимона, корневища солодки и другие пряности), ароматизатор пищевой натуральный «Красный Апельсин», регулятор кислотности лимонная кислота 	True	True	Sat Jul  6 00:17:29 2024
Джин JJ Whitley Манго и папайя 40%, 500мл	499,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-jj-whitley-mango-i-papaja-40-500ml-4150426	Wed Jul  3 15:05:34 2024	Джин JJ Whitley Манго и папайя 40%, 500мл	Цена499,99 ₽	J.J. Whitley	230.0	0.0 г	0.0 г	1.5 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Альфа», ароматный спирт джина (можжевеловые ягоды, плоды кориандра, цедра апельсина и лимона, плоды манго и папайи, корневища дягиля, корневища солодки и другие пряности), регулятор кислотности лимонная кислота, комплексная пищевая добавка краситель из сафлора и лимона, ароматизаторы натуральные, сахар, краситель сахарный колер I простой. 	True	True	Sat Jul  6 00:17:31 2024
Джин Gordon's London Dry сухой, 0.7л	1 999,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-gordons-london-dry-suhoj-0-7l-4116908	Wed Jul  3 15:05:34 2024	Джин Gordon's London Dry сухой, 0.7л	Цена1 429,00 ₽	Gordons	49.7	0.0 г	0.0 г	0.0 г	Вода исправленная, спирт этиловый ректификованный из пищевого сырья высшей очистки, натуральная растительная композиция на основе ягод можжевельника. 	True	True	Sat Jul  6 00:17:32 2024
Джин Barrister Blue 40%, 700мл	759,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-blue-40-700ml-3921713	Wed Jul  3 15:05:34 2024	Джин Barrister Blue 40%, 700мл	Цена719,99 ₽	Barrister	220.0	0.0 г	0.0 г	0.0 г	"Краситель ""Кармуазин"", Краситель ""Синий блестящий"", Сахар, Ароматный Спирт дягиля, Ароматный Спирт тмина, Ароматный Спирт кориандра, Ароматный Спирт кардамона, Ароматный Спирт свежей лимонной корки, Ароматный Спирт можжевеловой ягоды, Спирт этиловый ректификованный ""Люкс"" (зерновой), Вода питьевая исправленная. "	True	True	Sat Jul  6 00:17:34 2024
Джин Bulldog 40%, 700мл	4 165,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-bulldog-40-700ml-4058702	Wed Jul  3 15:05:34 2024	Джин Bulldog 40%, 700мл	Цена2 999,00 ₽	Bulldog	221.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, Спирт этиловый ректификованный высшей очистки из пищевого сырья, экстракты пряно-аРоматического растительного сырья на основе ягод можжевельника. 	True	True	Sat Jul  6 00:17:35 2024
Джин Barrister Pink 40%, 700мл	719,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-pink-40-700ml-3921715	Wed Jul  3 15:05:34 2024	Джин Barrister Pink 40%, 700мл	Цена719,99 ₽	Barrister	220.0	0.0 г	0.0 г	0.0 г	"Ароматный Спирт земляники, Краситель ""Кармуазин"", Краситель ""Красный очаровательный"", Сахар, натуральный Ароматизатор, Ароматный Спирт дягиля, Ароматный Спирт кардамона, Ароматный Спирт тмина, Ароматный Спирт кориандра, Ароматный Спирт свежей лимонной корки, Ароматный Спирт можжевеловой ягоды, Спирт этиловый ректификованный ""Люкс"" (зерновой), Вода питьевая исправленная. "	True	True	Sat Jul  6 00:17:36 2024
Джин Cruxland 43%, 750мл	3 499,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/10/p/dzin-cruxland-43-750ml-3633714	Wed Jul  3 15:05:34 2024	Джин Cruxland 43%, 750мл	Цена2 699,00 ₽	Cruxland	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Sat Jul  6 00:17:37 2024
Джин Broom Dry 40%, 500мл	599,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-broom-dry-40-500ml-4227720	Wed Jul  3 15:05:34 2024	Джин Broom Dry 40%, 500мл	Цена599,99 ₽	Broom	230.0	0.0 г	0.0 г	0.0 г	"Вода исправленная (подготовленная), спирт этиловый ректификованный (""Люкс"") из пищевого сырья (зерно), ароматные спирты: можжевеловой ягоды, кориандра, цедры лайма, апельсина, кардамона, корня ангелики (дягиль). "	True	True	Sat Jul  6 00:17:38 2024
Джин Roku Gin 43%, 700мл	2 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-roku-gin-43-700ml-4043738	Wed Jul  3 15:05:34 2024	Джин Roku Gin 43%, 700мл	Цена3 799,00 ₽	Roku	0.0	0.0 г	0.0 г	0.0 г	Вода исправленная, спирт этиловый ректификованный из пищевого сырья высшей очистки (зерновой), дистиллят из можжевеловых ягод, дистилляты из растительного сырья (цедра юдзу, семена ангелики, семена кориандра, цедра лимона, корень ангелики, цедра горького апельсина, корица, зеленый чай сенча, японский перец саншо, зеленый чай гёкуро, листья сакуры, цветы сакуры, семена 	True	True	Sat Jul  6 00:17:39 2024
Джин Whitley Neill красный апельсин 43%, 200мл	309,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/10/p/dzin-whitley-neill-krasnyj-apelsin-43-200ml-4049901	Wed Jul  3 15:05:34 2024	Джин Whitley Neill красный апельсин 43%, 200мл	Цена399,99 ₽	Whitley Neill	258.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья, сироп агавы, Ароматные Спирты из можжевеловых ягод, кориандра, цедры апельсина и лимона, натуральный Ароматизатор «Красный Апельсин», регулятор кислотности лимонная кислота. 	True	True	Sat Jul  6 00:17:40 2024
Джин Whitley Neill айва 43%, 200мл	249,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/10/p/dzin-whitley-neill-ajva-43-200ml-4049898	Wed Jul  3 15:05:34 2024	Джин Whitley Neill айва 43%, 200мл	Цена349,99 ₽	Whitley Neill	345.0	0.0 г	0.0 г	0.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп агавы, Ароматные Спирты из можжевеловых ягод, кориандра и айвы, натуральный Ароматизатор «Айва», регулятор кислотности лимонная кислота. 	True	True	Sat Jul  6 00:17:40 2024
Джин Whitley Neill Quince Gin со вкусом айвы 43%, 50мл	149,99 ₽/шт	50 мл	https://www.perekrestok.ru/cat/10/p/dzin-whitley-neill-quince-gin-so-vkusom-ajvy-43-50ml-4049904	Wed Jul  3 15:05:34 2024	Джин Whitley Neill Quince Gin со вкусом айвы 43%, 50мл	Цена199,99 ₽	Whitley Neill	345.0	0.0 г	0.0 г	0.0 г	Спирт этиловый ректификованный из пищевого сырья, Вода питьевая исправленная, сироп агавы, Ароматные Спирты из можжевеловых ягод, кориандра и айвы, натуральный Ароматизатор «Айва», регулятор кислотности лимонная кислота. 	True	True	Sat Jul  6 00:17:42 2024
Джин Whitley Neill Rhubarb & Ginger Gin со вкусом ревень - имбирь 43%, 50мл	149,99 ₽/шт	50 мл	https://www.perekrestok.ru/cat/10/p/dzin-whitley-neill-rhubarb-ginger-gin-so-vkusom-reven-imbir-43-50ml-4049903	Wed Jul  3 15:05:34 2024	Джин Whitley Neill Rhubarb & Ginger Gin со вкусом ревень - имбирь 43%, 50мл	Цена174,99 ₽	Whitley Neill	307.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья, сироп агавы, Ароматные Спирты из можжевеловых ягод, кориандра и ревеня, натуральные Ароматизаторы, «Ревень», «Имбирь», регулятор кислотности лимонная кислота. 	True	True	Sat Jul  6 00:17:42 2024
Джин Barrister Old Tom 40%, 700мл	719,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-barrister-old-tom-40-700ml-3921716	Wed Jul  3 15:05:34 2024	Джин Barrister Old Tom 40%, 700мл	Цена829,99 ₽	Barrister	220.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленнаяспирт этиловый ректификованный Люкс (зерновой)ароматный спирт можжевеловой ягодыароматный спирт свежей лимонной коркиароматный спирт черного и душистого перцев, мускатного ореха, дягиля, миндаля и перца кубебаароматный спирт кориандраароматный спирт тминаароматный спирт кардамонасахар. 	True	True	Sat Jul  6 00:17:43 2024
Джин Green Baboon Citrus 40%, 700мл	899,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-green-baboon-citrus-40-700ml-4157176	Wed Jul  3 15:05:34 2024	Джин Green Baboon Citrus 40%, 700мл	Цена649,99 ₽	Green Baboon	220.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Люкс», ароматный спирт джина (можжевельник обыкновенный шишко-ягода, плоды шиповника, корень солодки, кориандр посевной, корень имбиря, мох исландский, цветки бузины, плоды аниса, мелисса, кардамон, тмин, корка лимона свежая, корка апельсина свежая, лист лимонника, цветки липы), сахарный сироп, основа натуральная “FIZZ LIME”, ароматизатор пищевой натуральный “Красный апельсин”. 	True	True	Sat Jul  6 00:17:44 2024
Джин Whitley Neill со вкусом манго-лайм 40%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-whitley-neill-so-vkusom-mango-lajm-40-700ml-4293652	Wed Jul  3 15:05:34 2024	Джин Whitley Neill со вкусом манго-лайм 40%, 700мл	Цена999,99 ₽	Whitley Neill	230.0	0.0 г	0.0 г	1.5 г	вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Альфа», сахар, ароматный спирт джина (можжевеловые ягоды, плоды кориандра, цедра апельсина и лимона, корица колотая, корневища дягиля, корневища солодки, ирис бледный, плоды манго, лайм сушеный), регулятор кислотности лимонная кислота, ароматизаторы натуральные 	True	True	Sat Jul  6 00:17:45 2024
Джин Biology грейпфрут 40%, 500мл	599,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-biology-grejpfrut-40-500ml-4288023	Wed Jul  3 15:05:34 2024	Джин Biology грейпфрут 40%, 500мл	Цена599,99 ₽	Biology	230.0	0.0 г	0.0 г	0.0 г	. 	True	True	Sat Jul  6 00:17:46 2024
Джин Royal Raven Tropic Gin 40%, 500мл	569,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-royal-raven-tropic-gin-40-500ml-4336017	Wed Jul  3 15:05:34 2024	Джин Royal Raven Tropic Gin 40%, 500мл	Цена499,99 ₽	none	220.0	0.0 г	0.0 г	0.0 г	none	True	True	Sat Jul  6 00:17:47 2024
Джин Broom pink 37.5%, 500мл	1 299,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/10/p/dzin-broom-pink-37-5-500ml-4296039	Wed Jul  3 15:05:34 2024	Джин Broom pink 37.5%, 500мл	Цена1 299,00 ₽	Broom pink	240.0	0.0 г	0.0 г	8.0 г	Вода исправленная (подготовленная), спирт этиловый ректификованный «Люкс» из пищевого сырья (зерно), сахарный сироп, ароматный спирт можжевеловой ягоды, натуральные экстракты: клубники, малины, красной смородины, барбариса, изюма, настой цветков василька сушеного, эфирное масло василька, краситель Кармуазин. 	True	True	Sat Jul  6 00:17:48 2024
Джин City of London со вкусом малины 40%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/10/p/dzin-city-of-london-so-vkusom-maliny-40-700ml-4266991	Wed Jul  3 15:05:34 2024	Джин City of London со вкусом малины 40%, 700мл	Цена1 099,00 ₽	City of London	260.0	0.0 г	0.0 г	9.0 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья, сахар, ароматный спирт джина (можжевеловые ягоды, плоды кориандра, цедра апельсина и лимона, корневища солодки и другие пряности), ароматизаторы пищевые натуральные «Малина», «Ежевика», регулятор кислотности лимонная кислота. 	True	True	Sat Jul  6 00:17:49 2024
