name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нектарины Узбекистан	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/nektariny-uzbekistan-3639748	Wed Jul  3 15:02:50 2024	Нектарины Узбекистан	Цена159,99 ₽	none	48.0	0.9 г	0.2 г	11.8 г	Нектарины. 	True	True	Fri Jul  5 21:42:21 2024
Персик Инжирный	269,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/persik-inzirnyj-4295869	Wed Jul  3 15:02:50 2024	Персик Инжирный	Цена269,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Персик 	True	True	Fri Jul  5 21:42:22 2024
Дыня Колхозница	179,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/dyna-kolhoznica-47368	Wed Jul  3 15:02:50 2024	Дыня Колхозница	Цена179,99 ₽	none	32.0	0.6 г	0.2 г	7.4 г	Дыня. 	True	True	Fri Jul  5 21:42:22 2024
Личи	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/lici-262	Wed Jul  3 15:02:50 2024	Личи	Цена599,99 ₽	none	66.0	0.8 г	0.4 г	17.0 г	Личи. 	True	True	Fri Jul  5 21:42:24 2024
Спелый плод манго, 1шт	239,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/153/p/spelyj-plod-mango-1st-3337004	Wed Jul  3 15:02:50 2024	Спелый плод манго, 1шт	Цена229,99 ₽	Съешь Меня	60.0	0.8 г	0.4 г	15.0 г	Манго. 	True	True	Fri Jul  5 21:42:24 2024
Абрикосы	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abrikosy-48647	Wed Jul  3 15:02:50 2024	Абрикосы	Цена229,99 ₽	none	48.0	1.4 г	0.4 г	11.0 г	Абрикос. 	True	True	Fri Jul  5 21:42:26 2024
Абрикос шейкер, 300г	159,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/153/p/abrikos-sejker-300g-3965910	Wed Jul  3 15:02:50 2024	Абрикос шейкер, 300г	Цена149,99 ₽	Маркет	48.0	1.4 г	0.4 г	11.0 г	Абрикос. 	True	True	Fri Jul  5 21:42:26 2024
Алыча, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/153/p/alyca-250g-3956280	Wed Jul  3 15:02:50 2024	Алыча, 250г	Цена359,99 ₽	Гурме	34.0	0.2 г	0.1 г	7.9 г	Алыча. 	True	True	Fri Jul  5 21:42:27 2024
Абрикос Шалах	209,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abrikos-salah-4245645	Wed Jul  3 15:02:50 2024	Абрикос Шалах	Цена259,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Абрикосы. 	True	True	Fri Jul  5 21:42:28 2024
Слива Узбекистан	179,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/sliva-uzbekistan-14677	Wed Jul  3 15:02:50 2024	Слива Узбекистан	Цена139,99 ₽	none	46.0	0.7 г	0.3 г	11.0 г	Слива. 	True	True	Fri Jul  5 21:42:29 2024
Абрикосы Шалах, 500г	169,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/153/p/abrikosy-salah-500g-4137264	Wed Jul  3 15:02:50 2024	Абрикосы Шалах, 500г	Цена189,99 ₽	Market Collection	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 21:42:30 2024
Слива красная	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/sliva-krasnaa-49865	Wed Jul  3 15:02:50 2024	Слива красная	Цена199,99 ₽	none	46.0	0.7 г	0.3 г	11.0 г	Слива. 	True	True	Fri Jul  5 21:42:31 2024
Слива Узбекистан, 500г	129,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/153/p/sliva-uzbekistan-500g-4231707	Wed Jul  3 15:02:50 2024	Слива Узбекистан, 500г	Цена109,99 ₽	Съешь Меня	0.0	0.0 г	0.0 г	0.0 г	Слива. 	True	True	Fri Jul  5 21:42:32 2024
Нектарины Узбекистан	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/nektariny-uzbekistan-3639748	Wed Jul  3 15:02:50 2024	Нектарины Узбекистан	Цена159,99 ₽	none	48.0	0.9 г	0.2 г	11.8 г	Нектарины. 	True	True	Fri Jul  5 21:42:33 2024
Персик Инжирный	269,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/persik-inzirnyj-4295869	Wed Jul  3 15:02:50 2024	Персик Инжирный	Цена269,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Персик 	True	True	Fri Jul  5 21:42:33 2024
Нектарины Азербайджан	269,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/nektariny-azerbajdzan-4239532	Wed Jul  3 15:02:50 2024	Нектарины Азербайджан	Цена259,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Нектарин. 	True	True	Fri Jul  5 21:42:34 2024
Персик инжирный, 500г	189,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/153/p/persik-inzirnyj-500g-4348432	Wed Jul  3 15:02:50 2024	Персик инжирный, 500г	Цена299,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 21:42:35 2024
Персики	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/persiki-3759	Wed Jul  3 15:02:50 2024	Персики	Цена209,99 ₽	none	45.0	0.9 г	0.1 г	9.5 г	Персик. 	True	True	Fri Jul  5 21:42:36 2024
Персики Азербайджан	349,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/persiki-azerbajdzan-51002	Wed Jul  3 15:02:50 2024	Персики Азербайджан	Цена229,99 ₽	none	39.0	0.9 г	0.3 г	10.0 г	Персики. 	True	True	Fri Jul  5 21:42:37 2024
Черешня, 250г	139,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/153/p/ceresna-250g-3063694	Wed Jul  3 15:02:50 2024	Черешня, 250г	Цена189,99 ₽	none	50.0	1.1 г	0.4 г	11.5 г	Черешня. 	True	True	Fri Jul  5 21:42:38 2024
Черешня	389,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/ceresna-5013	Wed Jul  3 15:02:50 2024	Черешня	Цена389,99 ₽	none	52.0	1.1 г	0.4 г	10.6 г	Черешня. 	True	True	Fri Jul  5 21:42:39 2024
Яблоки Женева	129,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-zeneva-3640695	Wed Jul  3 15:02:50 2024	Яблоки Женева	Цена129,99 ₽	none	52.0	0.3 г	0.3 г	14.0 г	Яблоки. 	True	True	Fri Jul  5 21:42:40 2024
Яблоки сезонные	129,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-sezonnye-47795	Wed Jul  3 15:02:50 2024	Яблоки сезонные	Цена149,99 ₽	Выгодно	47.0	0.4 г	0.4 г	9.8 г	Яблоки. 	True	True	Fri Jul  5 21:42:41 2024
Яблоки Гольден Маркет Перекрёсток	189,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-golden-market-perekrestok-3366324	Wed Jul  3 15:02:50 2024	Яблоки Гольден Маркет Перекрёсток	Цена189,99 ₽	Маркет	53.0	0.5 г	0.2 г	10.7 г	Яблоки. 	True	True	Fri Jul  5 21:42:42 2024
Яблоки Гренни смит Маркет Перекрёсток	189,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-grenni-smit-market-perekrestok-3366327	Wed Jul  3 15:02:50 2024	Яблоки Гренни смит Маркет Перекрёсток	Цена179,99 ₽	Маркет	47.0	0.4 г	0.4 г	9.8 г	Яблоки. 	True	True	Fri Jul  5 21:42:43 2024
Яблоки Ред чиф Маркет Перекрёсток	179,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-red-cif-market-perekrestok-79341	Wed Jul  3 15:02:50 2024	Яблоки Ред чиф Маркет Перекрёсток	Цена189,99 ₽	Маркет	0.0	0.0 г	0.0 г	0.0 г	Яблоко. 	True	True	Fri Jul  5 21:42:44 2024
Яблоки Гала Маркет	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-gala-market-3366336?video=true	Wed Jul  3 15:02:50 2024	Яблоки Гала Маркет	Цена179,99 ₽	Маркет	47.0	0.4 г	0.4 г	9.8 г	Яблоки. 	True	True	Fri Jul  5 21:42:45 2024
Яблоки Крипс Пинк	189,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-krips-pink-4287238	Wed Jul  3 15:02:50 2024	Яблоки Крипс Пинк	Цена189,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Яблоки 	True	True	Fri Jul  5 21:42:47 2024
Яблоки красные	179,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/abloki-krasnye-51246	Wed Jul  3 15:02:50 2024	Яблоки красные	Цена169,99 ₽	none	47.0	0.4 г	0.4 г	9.8 г	Яблоки. 	True	True	Fri Jul  5 21:42:47 2024
Апельсины	159,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/apelsiny-1535	Wed Jul  3 15:02:50 2024	Апельсины	Цена119,99 ₽	none	43.0	0.9 г	0.2 г	8.1 г	Апельсины. 	True	True	Fri Jul  5 21:42:48 2024
Апельсины отборные Маркет Перекрёсток	179,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/apelsiny-otbornye-market-perekrestok-3663839	Wed Jul  3 15:02:50 2024	Апельсины отборные Маркет Перекрёсток	Цена209,99 ₽	Маркет	43.0	0.9 г	0.2 г	8.1 г	Апельсины. 	True	True	Fri Jul  5 21:42:50 2024
Лимон Маркет Fresh, 2шт	89,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/153/p/limon-market-fresh-2st-3677353	Wed Jul  3 15:02:50 2024	Лимон Маркет Fresh, 2шт	Цена109,99 ₽	Маркет	16.0	0.9 г	0.1 г	3.0 г	Лимоны. 	True	True	Fri Jul  5 21:42:51 2024
Лимон	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/limon-1536	Wed Jul  3 15:02:50 2024	Лимон	Цена199,99 ₽	none	29.0	1.1 г	0.3 г	9.0 г	Лимоны. 	True	True	Fri Jul  5 21:42:53 2024
Грейпфрут красный	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/grejpfrut-krasnyj-1530	Wed Jul  3 15:02:50 2024	Грейпфрут красный	Цена179,99 ₽	none	42.0	0.8 г	0.1 г	11.0 г	Грейпфрут. 	True	True	Fri Jul  5 21:42:55 2024
Лайм Маркет Fresh, 3шт	219,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/153/p/lajm-market-fresh-3st-3678347	Wed Jul  3 15:02:50 2024	Лайм Маркет Fresh, 3шт	Цена199,99 ₽	Маркет	16.0	0.9 г	0.1 г	3.0 г	Лайм. 	True	True	Fri Jul  5 21:42:55 2024
Мандарины	259,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/mandariny-1537	Wed Jul  3 15:02:50 2024	Мандарины	Цена239,99 ₽	none	33.0	0.8 г	0.2 г	7.5 г	Мандарины. 	True	True	Fri Jul  5 21:42:57 2024
Микс Лайм-лимон Маркет Перекрёсток, 1шт	159,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/153/p/miks-lajm-limon-market-perekrestok-1st-3357830	Wed Jul  3 15:02:50 2024	Микс Лайм-лимон Маркет Перекрёсток, 1шт	Цена109,99 ₽	Маркет	16.0	0.9 г	0.1 г	3.0 г	none	True	True	Fri Jul  5 21:42:58 2024
Апельсины Навелин	239,99 ₽/кг	none	https://www.perekrestok.ru/cat/153/p/apelsiny-navelin-55655	Wed Jul  3 15:02:50 2024	Апельсины Навелин	Цена219,99 ₽	none	36.0	0.9 г	0.2 г	8.1 г	Апельсины. 	True	True	Fri Jul  5 21:42:59 2024
Кумкват Маркет Fresh, 200г	259,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/153/p/kumkvat-market-fresh-200g-4288584	Wed Jul  3 15:02:50 2024	Кумкват Маркет Fresh, 200г	Цена269,99 ₽	Маркет	0.0	0.0 г	0.0 г	0.0 г	Кумкват. 	True	True	Fri Jul  5 21:43:00 2024
