name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток газированный Evervess Кола, 1.5л	114,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-evervess-kola-1-5l-4279787	Wed Jul  3 15:03:36 2024	Напиток газированный Evervess Кола, 1.5л	Цена114,99 ₽	Evervess	44.0	0.0 г	0.0 г	11.1 г	Вода, сахар, краситель e150d, регулятор кислотности ез38, ароматизаторы, кофеин (не более 150 мг(л)), стабилизатор е414. 	True	True	Fri Jul  5 22:38:10 2024
Напиток безалкогольный Добрый Кола без сахара сильногазированный, 1.5л	139,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-bezalkogolnyj-dobryj-kola-bez-sahara-silnogazirovannyj-1-5l-4274867	Wed Jul  3 15:03:36 2024	Напиток безалкогольный Добрый Кола без сахара сильногазированный, 1.5л	Цена124,99 ₽	Добрый	0.3	0.0 г	0.0 г	0.0 г	"Очищенная вода, краситель сахарный колер iv, регуляторы кислотности (ортофосфорная кислота ,цитрат натрия 3-замещенный), подсластители (натриевая соль цикламовой кислоты, ацесульфам калия, аспартам), натуральный ароматизатор, кофеин (менее 150 мг/л).
содержит источник фенилаланина. "	True	True	Fri Jul  5 22:38:11 2024
Напиток сильногазированный Добрый Cola, 1.5л	164,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-silnogazirovannyj-dobryj-cola-1-5l-4255938	Wed Jul  3 15:03:36 2024	Напиток сильногазированный Добрый Cola, 1.5л	Цена124,99 ₽	Добрый	42.0	0.0 г	0.0 г	10.6 г	Очищенная вода, сахар, краситель  сахарный колер iv, регулятор кислотности  ортофосфорная кислота, натуральный ароматизатор, кофеин (менее 150 мг/л). 	True	True	Fri Jul  5 22:38:12 2024
Напиток газированный Добрый Кола безалкогольный ароматизированный, 250мл	54,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-dobryj-kola-bezalkogolnyj-aromatizirovannyj-250ml-4311536	Wed Jul  3 15:03:36 2024	Напиток газированный Добрый Кола безалкогольный ароматизированный, 250мл	Цена54,99 ₽	Добрый	42.0	0.0 г	0.0 г	10.6 г	Очищенная вода, сахар, краситель сахарный колер iv, регулятор кислотности орто-фосфорная кислота, натуральный ароматизатор, кофеин (менее 150 мг/л). 	True	True	Fri Jul  5 22:38:12 2024
Напиток газированный Добрый Кола без сахара безалкогольный ароматизированный, 250мл	54,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-dobryj-kola-bez-sahara-bezalkogolnyj-aromatizirovannyj-250ml-4311540	Wed Jul  3 15:03:36 2024	Напиток газированный Добрый Кола без сахара безалкогольный ароматизированный, 250мл	Цена54,99 ₽	Добрый	0.3	0.0 г	0.0 г	0.0 г	"Очищенная вода, краситель сахарный колер iv, регуляторы кислотности (орто-фосфорная кислота ,цитрат натрия 3-замещенный), подсластители (натриевая соль цикламовой кислоты, ацесульфам калия, аспартам), натуральный ароматизатор, кофеин (менее 150 мг/л).
содержит источник фенилаланина. "	True	True	Fri Jul  5 22:38:13 2024
Напиток газированный Pepsi, 1.5л	189,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-pepsi-1-5l-3684633	Wed Jul  3 15:03:36 2024	Напиток газированный Pepsi, 1.5л	Цена189,99 ₽	Pepsi	45.0	0.0 г	0.0 г	11.2 г	Вода, сахар, краситель (е150d), регулятор кислотности (e338), кофеин (не более 150 мг/л), ароматизатор. 	True	True	Fri Jul  5 22:38:14 2024
Напиток газированный Pepsi, 1л	151,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-pepsi-1l-3684639	Wed Jul  3 15:03:36 2024	Напиток газированный Pepsi, 1л	Цена149,99 ₽	Pepsi	45.0	0.0 г	0.0 г	11.2 г	Вода, сахар, краситель (е150d), регулятор кислотности (e338), кофеин (не более 150 мг/л), ароматизатор. 	True	True	Fri Jul  5 22:38:15 2024
Напиток сильногазированный Cool Cola Zero, 1.5л	129,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-silnogazirovannyj-cool-cola-zero-1-5l-4255568	Wed Jul  3 15:03:36 2024	Напиток сильногазированный Cool Cola Zero, 1.5л	Цена109,99 ₽	Cool Cola	0.2	0.0 г	0.0 г	0.0 г	Вода, краситель сахарный колер iv, регуляторы кислотности (ортофосфорная кислота, лимонная кислота), подсластители (цикламат натрия, ацесульфам калия, сукралоза, сахаринат натрия), натуральные ароматизаторы, кофеин (менее 150 мг/л), экстракт ванили. 	True	True	Fri Jul  5 22:38:16 2024
Напиток Rich Cola, 330мл	74,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/209/p/napitok-rich-cola-330ml-4283430	Wed Jul  3 15:03:36 2024	Напиток Rich Cola, 330мл	Цена109,99 ₽	Rich	42.0	0.0 г	0.0 г	10.4 г	Очищенная вода, сахар, краситель сахарный колер iv, регулятор кислотности ортофосфорная кислота, натуральный ароматизатор, кофеин (менее 150 мг/л). 	True	True	Fri Jul  5 22:38:17 2024
Напиток газированный Любимая Кола, 1.5л	109,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-lubimaa-kola-1-5l-4279795	Wed Jul  3 15:03:36 2024	Напиток газированный Любимая Кола, 1.5л	Цена144,99 ₽	Любимая	44.0	0.0 г	0.0 г	11.1 г	Вода, сахар, краситель e150d, регулятор кислотности е338, ароматизаторы, кофеин (не более 150 мг/л), подсластители (е950, е951, е952, е954), стабилизатор е414. 	True	True	Fri Jul  5 22:38:18 2024
