name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Гранола Настин Сластин Фитнес полезная, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/252/p/granola-nastin-slastin-fitnes-poleznaa-250g-4274668	Wed Jul  3 15:04:57 2024	Гранола Настин Сластин Фитнес полезная, 250г	Цена154,99 ₽	Настин Сластин	398.9	10.2 г	11.8 г	60.9 г	овсяные хлопья цельные, запечённые с мёдом, изюм Джамбо тёмный, клюква вяленая, семена тыквы штирийской, лён берый, ядра подсолнечника, ягоды Годжи, корица. 	True	True	Fri Jul  5 23:33:30 2024
Гранола Настин Сластин Кедровые орешки и клюква, 250г	369,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/252/p/granola-nastin-slastin-kedrovye-oreski-i-klukva-250g-4274667	Wed Jul  3 15:04:57 2024	Гранола Настин Сластин Кедровые орешки и клюква, 250г	Цена279,99 ₽	Настин Сластин	398.9	10.2 г	11.8 г	60.9 г	овсяные хлопья цельные, запечённые с мёдом, лён бурый, клюква вяленая, ядра подсолнечника, кедровые орешки. 	True	True	Fri Jul  5 23:33:31 2024
Гранола Мюсли Bionova ягодные запечённые хрустящие, 400г	499,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/24/p/granola-musli-bionova-agodnye-zapecennye-hrustasie-400g-3457479	Wed Jul  3 15:04:57 2024	Гранола Мюсли Bionova ягодные запечённые хрустящие, 400г	Цена479,99 ₽	Bionova	152.0	4.1 г	4.3 г	20.1 г	Запеченные хрустящие мюсли (цельнозерновые хлопья овсяные, растительные пищевые волокна, овсяные и пшеничные отруби, пшеничная и рисовая мука, подсолнечное масло, подсластитель натуральный эритрит- из растительного сырья, ячменный солод, соль), сушеные ягоды: земляника, черника. Содержит подсластитель. Ягоды и зерновые продукты содержат сахара естественного происхождения. Могут содержать незначительное количества смеян кунжута, люпина, молочных и соевых продуктов. 	True	True	Fri Jul  5 23:33:32 2024
Гранола Granolife клубника-малина, 400г	219,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/252/p/granola-granolife-klubnika-malina-400g-4019918	Wed Jul  3 15:04:57 2024	Гранола Granolife клубника-малина, 400г	Цена349,99 ₽	Granolife	400.0	9.0 г	14.0 г	59.0 г	Хлопья цельнозерновые (овсяные, пшеничные, ячменные), мёд кондитерский, масло подсолнечное, чипсы банановые, стружка кокосовая, лепестки миндальные, стружка шоколадная (сахар, какао тёртое, масло какао, эмульгатор соевый лецитин, натуральный ароматизатор ванили), клубника сублимированная, малина сублимированная, антиокислители (dl-альфа-токоферол, аскорбиновая кислота). 	True	True	Fri Jul  5 23:33:33 2024
Гранола Мюсли Bionova ореховые запечённые хрустящие, 400г	489,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/24/p/granola-musli-bionova-orehovye-zapecennye-hrustasie-400g-3457480	Wed Jul  3 15:04:57 2024	Гранола Мюсли Bionova ореховые запечённые хрустящие, 400г	Цена479,99 ₽	Bionova	169.0	4.7 г	7.1 г	18.0 г	Запеченные хрустящие мюсли (цельнозерновые овсяные хлопья, растительные пищевые волокна, овсяные и пшеничные отруби, пшеничная и рисовая мука, подсолнечное масло, подсластитель натуральный эритрит - из растительного сырья, ячменный солод, соль), кокосовая стружка (чипсы), семена тыквы, орехи: фундук, миндаль. 	True	True	Fri Jul  5 23:33:34 2024
Гранола Ол Лайт медовые шоколадные с орехами хрустящие, 280г	219,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/252/p/granola-ol-lajt-medovye-sokoladnye-s-orehami-hrustasie-280g-3457476	Wed Jul  3 15:04:57 2024	Гранола Ол Лайт медовые шоколадные с орехами хрустящие, 280г	Цена219,99 ₽	Ол’Лайт	176.0	3.7 г	5.9 г	25.9 г	Запеченные хрустящие мюсли (цельнозерновые овсяные и пшеничные хлопья, сахар, масло растительное, кокосовая стружка, рисовая и пшеничная мука, глюкозный сироп, какао-порошок, ячмень, ячменный солод, мед натуральный, соль), бельгийский темный шоколад (сахар, какао тертое, какао-масло, эмульгатор соевый лецитин, натуральный ароматизатор), кешью. 	True	True	Fri Jul  5 23:33:35 2024
Гранола Ореховая Зелёная Линия, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-orehovaa-zelenaa-linia-300g-4123609	Wed Jul  3 15:04:57 2024	Гранола Ореховая Зелёная Линия, 300г	Цена249,99 ₽	Зелёная Линия	445.0	13.5 г	13.8 г	65.7 г	Хлопья овсяные, сироп топинамбура, яблочное пюре (яблоки натуральные быстрозамороженные), хлопья ржаные, ядра ореха миндаля, виноград сушеный чёрный, ядра ореха кешью, взорванные зёрна пшеницы, семена подсолнечника, ядра ореха фундука, семена льна, масло кокосовое, гвоздика молотая, куркума молотая. 	True	True	Fri Jul  5 23:33:36 2024
Гранола Древо Жизни с какао и бананом, 250г	329,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/65/p/granola-drevo-zizni-s-kakao-i-bananom-250g-4265472	Wed Jul  3 15:04:57 2024	Гранола Древо Жизни с какао и бананом, 250г	Цена329,99 ₽	Древо Жизни	474.0	20.1 г	18.8 г	50.6 г	Овсяные хлопья, мука соевая текстурированная, экстракт из проростков ячменя (солод ячменный светлый, вода), сироп топинамбура (клубни топинамбура, вода), кокосовое масло рафинированное, семена кунжута, банан сушеный, арахис обжаренный дробленый, порошок какао. 	True	True	Fri Jul  5 23:33:37 2024
Гранола Mokki Мaltaat&Ruis Солод-Рожь без добавления сахара, 300г	299,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-mokki-maltaat-ruis-solod-roz-bez-dobavlenia-sahara-300g-4270912	Wed Jul  3 15:04:57 2024	Гранола Mokki Мaltaat&Ruis Солод-Рожь без добавления сахара, 300г	Цена299,99 ₽	Mokki	450.0	8.3 г	20.0 г	59.4 г	цельнозерновые овсяные хлопья, экстракт из проростков ячменя (солод ячменный светлый, вода), сироп топинамбура (клубни топинамбура, вода), кокосовое масло рафинированное, мука ржаная экструдированная, какао порошок, семена кунжута белого. 	True	True	Fri Jul  5 23:33:38 2024
Гранола-мюсли Extra хрустящая с молочным шоколадом, 300г	409,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-musli-extra-hrustasaa-s-molocnym-sokoladom-300g-4290669	Wed Jul  3 15:19:39 2024	Гранола-мюсли Extra хрустящая с молочным шоколадом, 300г	Цена399,99 ₽	Extra	480.0	8.0 г	21.0 г	63.0 г	хлопья овсяные (47 %), сахар, масло растительное, шоколад молочный (14 %) [сахар, какао тёртое, молоко цельное сухое, какао-масло, декстроза, сыворотка молочная сухая, какао-порошок, эмульгатор: лецитин подсолнечный], мука пшеничная, соль, меласса сахарного тростника, стружка кокосовая (мякоть кокоса сушёная, консервант: диоксид серы), деминерализованная молочная сыворотка, эмульгатор: лецитин соевый, фундук дроблёный, арахис дроблёный, солод ячменный. 	True	True	Fri Jul  5 23:33:38 2024
