name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Галеты для вина томат и петрушка Маркет Collection, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-tomat-i-petruska-market-collection-100g-4306205	Wed Jul  3 15:03:12 2024	Галеты для вина томат и петрушка Маркет Collection, 100г	Цена149,99 ₽	Market Collection	418.0	13.4 г	10.8 г	66.8 г	Мука пшеничная цельнозерновая, солод ячменный (солод ячменный светлый, вода), рапсовое масло, сушеный томат, сушеный чеснок, сушеная петрушка, сода пищевая, натуральный яблочный уксус 6%, гималайская соль 66.8. 	True	True	Fri Jul  5 22:00:00 2024
Хлебцы Baker House Итальянские с семенами подсолнечника, 250г	109,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-baker-house-italanskie-s-semenami-podsolnecnika-250g-3476098	Wed Jul  3 15:03:12 2024	Хлебцы Baker House Итальянские с семенами подсолнечника, 250г	Цена159,99 ₽	Baker House	300.0	8.0 г	14.0 г	35.0 г	Мука пшеничная в/с, вода, семена подсолнечника, масло подсолнечное, масло оливковое Extra Virgin, морская соль, дрожжи хлебопекарные, сахар, семена кунжута. 	True	True	Fri Jul  5 22:00:02 2024
Хлебцы Вкусная Фантазия Виктория пшеничные вафельные, 60г	29,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-psenicnye-vafelnye-60g-3412317	Wed Jul  3 15:03:12 2024	Хлебцы Вкусная Фантазия Виктория пшеничные вафельные, 60г	Цена31,99 ₽	Вкусная фантазия	337.0	9.4 г	6.0 г	68.5 г	Мука пшеничная, соль, яичный порошок, обезжиренное сухое молоко, разрыхлитель сода пищевая (натрий двууглекислый), крахмал кукурузный растительный, лецитин соевый (ЛециПРО90). 	True	True	Fri Jul  5 22:00:03 2024
Хлебцы Вкусная Фантазия Виктория овсяные вафельные, 60г	31,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-ovsanye-vafelnye-60g-3412323	Wed Jul  3 15:03:12 2024	Хлебцы Вкусная Фантазия Виктория овсяные вафельные, 60г	Цена29,99 ₽	Вкусная фантазия	490.0	15.9 г	6.0 г	67.6 г	Мука овсяная, мука пшеничная высшего сорта, соль, яичный порошок, обезжиренное сухое молоко, сода пищевая, крахмал кукурузный, лецитин соевый Е 322, растительное масло, эмульгатор лецитин. 	True	True	Fri Jul  5 22:00:04 2024
Хлебцы Wasa Sesame пшеничные с посыпкой из жареного кунжута, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-sesame-psenicnye-s-posypkoj-iz-zarenogo-kunzuta-200g-4066933	Wed Jul  3 15:03:12 2024	Хлебцы Wasa Sesame пшеничные с посыпкой из жареного кунжута, 200г	Цена199,99 ₽	Wasa	403.0	13.0 г	9.5 г	63.0 г	Мука пшеничная, семена кунжута, вода, дрожжи, масло подсолнечное рафинированное, сахар, соль. Может содержать следы молока. 	True	True	Fri Jul  5 22:00:05 2024
Хлебцы Каравай Финские ржано-пшеничные, 240г	59,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-karavaj-finskie-rzano-psenicnye-240g-3687773	Wed Jul  3 15:03:12 2024	Хлебцы Каравай Финские ржано-пшеничные, 240г	Цена59,99 ₽	Каравай	260.0	8.5 г	1.0 г	50.0 г	Мука ржаная хлебопекарная обдирная, мука пшеничная первого сорта, вода питьевая, крупка пшеничная дробленая, солод ржаной сухой ферментированный, отруби пшеничные, сахар, солодовый экстракт (ячменный солод, вода, пшеничный солод), соль, глютен пшеничный сухой, дрожжи хлебопекарные, кориандр молотый. 	True	True	Fri Jul  5 22:00:06 2024
Галеты для вина с ароматными травами Маркет Collection, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-s-aromatnymi-travami-market-collection-100g-4306206	Wed Jul  3 15:03:12 2024	Галеты для вина с ароматными травами Маркет Collection, 100г	Цена149,99 ₽	Market Collection	418.0	13.4 г	10.8 г	66.8 г	Мука пшеничная цельнозерновая, солод ячменный (солод ячменный светлый, вода), рапсовое масло, сушеная кинза, чеснок гранулированный, сушеная тимьян, паприка, сушеный чабер, экстракты трав, сода пищевая, натуральный яблочный уксус 6%, гималайская соль. 	True	True	Fri Jul  5 22:00:06 2024
Хлебцы Wasa Delicate Crisp Rosemary & Sea salt тонкие пшеничные с розмарином и морской солью, 190г	239,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-delicate-crisp-rosemary-sea-salt-tonkie-psenicnye-s-rozmarinom-i-morskoj-solu-190g-4066929	Wed Jul  3 15:03:12 2024	Хлебцы Wasa Delicate Crisp Rosemary & Sea salt тонкие пшеничные с розмарином и морской солью, 190г	Цена239,99 ₽	Wasa	394.0	11.0 г	8.0 г	64.5 г	Мука пшеничная цельнозерновая, мука пшеничная, масло подсолнечное рафинированное, розмарин, вода, соль, соль морская, солодовый экстракт из ячменя, дрожжи, антиокислитель: экстракты розмарина. Может содержать следы молока и кунжута. 	True	True	Fri Jul  5 22:00:07 2024
Хлебцы Wasa Delicate Crisp Sesame & Sea salt тонкие пшеничные с кунжутом и морской солью, 190г	239,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-delicate-crisp-sesame-sea-salt-tonkie-psenicnye-s-kunzutom-i-morskoj-solu-190g-4066928	Wed Jul  3 15:03:12 2024	Хлебцы Wasa Delicate Crisp Sesame & Sea salt тонкие пшеничные с кунжутом и морской солью, 190г	Цена239,99 ₽	Wasa	425.0	12.2 г	13.5 г	59.0 г	Мука пшеничная цельнозерновая, мука пшеничная, семена кунжута, масло подсолнечное рафинированное, вода, соль морская, солодовый экстракт из ячменя, соль, дрожжи, антиокислитель: экстракты розмарина. Может содержать следы молока. 	True	True	Fri Jul  5 22:00:08 2024
Хлебцы Cornation зерновые овсяные, 100г	89,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/251/p/hlebcy-cornation-zernovye-ovsanye-100g-4315346	Wed Jul  3 15:03:12 2024	Хлебцы Cornation зерновые овсяные, 100г	Цена89,99 ₽	Cornation	392.0	18.6 г	22.9 г	27.8 г	Отруби овсяные, семена белого льна, семена подсолнечника, соль. 	True	True	Fri Jul  5 22:00:09 2024
