name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлебные палочки Saltletts Классические солёные, 75г	37,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-saltletts-klassiceskie-solenye-75g-55839	Wed Jul  3 15:03:09 2024	Хлебные палочки Saltletts Классические солёные, 75г	Цена35,99 ₽	Saltletts	120.0	11.0 г	6.0 г	73.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло растительное, соль морская пищевая, соль поваренная пищевая, экстракт солодовый жидкий (солод ячменный, вода питьевая, солод ржаной), регулятор кислотности: гидроксид натрия, дрожжи хлебопекарные прессованные. Продукт может содержать следы семян кунжута. 	True	True	Fri Jul  5 21:59:50 2024
Хлебные палочки Saltletts Классические солёные, 150г	79,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-saltletts-klassiceskie-solenye-150g-55828	Wed Jul  3 15:03:09 2024	Хлебные палочки Saltletts Классические солёные, 150г	Цена79,99 ₽	Saltletts	400.0	11.0 г	6.0 г	73.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло растительное, соль морская пищевая, соль поваренная пищевая, регулятор кислотности: гидроксид натрия, дрожжи хлебопекарные прессованные, экстракт солодовый жидкий (солод ячменный, вода питьевая, солод ржаной), разрыхлители: гидрокарбонат аммония, гидрокарбонат натрия. Продукт может содержать следы семян кунжута. 	True	True	Fri Jul  5 21:59:51 2024
Хлебные палочки Roberto Гриссини торинези, 125г	149,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-roberto-grissini-torinezi-125g-3918615	Sun Jul  7 13:44:24 2024	Хлебные палочки Roberto Гриссини торинези, 125г	Цена149,99 ₽	Roberto	414.0	11.1 г	7.7 г	73.8 г	Мука из мягких сортов пшеницы тип 0, пальмовое масло 6, 6%, хлебопекарные дрожжи, соль пищевая, декстроза, эмульгатор: Е472е, ячменный солод, пшеничный глютен. 	True	True	Sun Jul  7 18:07:46 2024
Хлебные палочки Семейка Озби простые, 150г	41,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-semejka-ozbi-prostye-150g-3467117	Sun Jul  7 16:58:27 2024	Хлебные палочки Семейка Озби простые, 150г	Цена41,99 ₽	Семейка Озби	404.0	11.0 г	6.8 г	74.8 г	Мука пшеничная хлебопекарная высшего сорта, вода, масло растительное, сахар, соль, дрожжи хлебопекарные прессованные, солод. 	True	True	Sun Jul  7 18:07:47 2024
Хлебные палочки Baker House Grissini с итальянскими травами и морской солью, 80г	54,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-baker-house-grissini-s-italanskimi-travami-i-morskoj-solu-80g-4268916	Sun Jul  7 16:58:27 2024	Хлебные палочки Baker House Grissini с итальянскими травами и морской солью, 80г	Цена54,99 ₽	Baker House	510.0	11.0 г	29.0 г	51.0 г	Мука пшеничная в/с, вода, масло подсолнечное рафинированное дезодорированное, масло оливковое нерафинированное Extra Virgin, дрожжи хлебопекарные, чеснок сушёный, соль морская, приправа «итальянские травы» (базилик, чабер, тимьян, майоран, шалфей, розмарин, орегано). 	True	True	Sun Jul  7 18:07:48 2024
Хлебные палочки Baker House Grissini с семенами подсолнечника и морской солью, 80г	54,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-baker-house-grissini-s-semenami-podsolnecnika-i-morskoj-solu-80g-4268917	Sun Jul  7 16:58:27 2024	Хлебные палочки Baker House Grissini с семенами подсолнечника и морской солью, 80г	Цена54,99 ₽	Baker House	450.0	13.0 г	18.0 г	60.0 г	Мука пшеничная в/с, вода, семена подсолнечника, масло оливковое нерафинированное Extra Virgin, семена кунжута, соль морская, дрожжи хлебопекарные, глюкоза. 	True	True	Sun Jul  7 18:07:49 2024
Хлебные палочки Roberto Гриссини кроккини с розмарином, 250г	359,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-roberto-grissini-krokkini-s-rozmarinom-250g-3918617	Sun Jul  7 16:58:27 2024	Хлебные палочки Roberto Гриссини кроккини с розмарином, 250г	Цена359,99 ₽	Roberto	413.0	12.0 г	9.4 г	68.0 г	Мука из мягких сортов пшеницы тип 0, пальмовое масло 6, 6%, хлебопекарные дрожжи, соль пищевая, декстроза, розмарин 0, 5%, эмульгатор: Е472е, ячменный солод, пшеничный глютен, антиокислитель: экстракт розмарина. 	True	True	Sun Jul  7 18:07:50 2024
Палочки Kelbi My Sticks хлебные с томатами и орегано, 150г	149,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/715/p/palocki-kelbi-my-sticks-hlebnye-s-tomatami-i-oregano-150g-4336424	Sun Jul  7 16:58:27 2024	Палочки Kelbi My Sticks хлебные с томатами и орегано, 150г	Цена149,99 ₽	Kelbi	360.0	10.0 г	9.0 г	57.0 г	"Мука пшеничная в/с, вода питьевая, масло растительное (подсолнечное), ароматизатор пищевой идентичный натуральному ""Сыр чеддер"", жир растительный, масло растительное (оливковое), кунжутное семя, специя ""итальянские травы"", перец сладкий, сахарная пудра, соль морская, лук сухой, дрожжи сухие, лецитин, томатная паста, соль поваренная пищевая, специя ""перец красный сухой"", разрыхлители (двууглекислый натрий, соль углеаммонийная). "	True	True	Sun Jul  7 18:07:50 2024
Хлебные палочки Семейка Озби с сыром, 150г	41,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/715/p/hlebnye-palocki-semejka-ozbi-s-syrom-150g-3467118	Sun Jul  7 17:19:36 2024	Хлебные палочки Семейка Озби с сыром, 150г	Цена43,99 ₽	Семейка Озби	404.0	11.0 г	6.8 г	74.8 г	"Мука пшеничная хлебопекарная высшего сорта, вода, масло растительное, сахар, соль, дрожжи хлебопекарные прессованные, солод, ароматизатор ""сыр"". "	True	True	Sun Jul  7 18:07:51 2024
Палочки Семейка Озби хлебные цельнозерновые, 150г	45,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/715/p/palocki-semejka-ozbi-hlebnye-celnozernovye-150g-4235662	Sun Jul  7 17:26:56 2024	Палочки Семейка Озби хлебные цельнозерновые, 150г	Цена53,99 ₽	Семейка Озби	385.0	12.3 г	9.0 г	63.8 г	Мука пшеничная цельнозерновая, мука пшеничная хлебопекарная высшего сорта, семена льна масличного, масло растительное, дрожжи хлебопекарные прессованные, вода, сахар, соль, солодовый экстракт (солод ячменный, вода, солод пшеничный).Продукт может содержать следы молочного белка, орехов, кунжута, яиц, сои, горчицы. 	True	True	Sun Jul  7 18:07:52 2024
