name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Булочка Ремесленный Хлеб с абрикосовой начинкой, 75г	19,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/bulocka-remeslennyj-hleb-s-abrikosovoj-nacinkoj-75g-4095507	Wed Jul  3 15:03:58 2024	Булочка Ремесленный Хлеб с абрикосовой начинкой, 75г	Цена19,99 ₽	Ремесленный Хлеб	378.0	6.0 г	14.1 г	54.3 г	Мука пшеничная хлебопекарная высшего сорта, начинка (сахар, абрикос сушеный, загуститель - крахмал кукурузный модифицированный, эмульгатор-целлюлоза микрокристаллическая, стабилизатор-ксантановая камедь, вода, регулятор кислотности- кислота лимонная, ароматизатор, консерванты - сорбат калия, бензоат натрия, краситель-каротин), вода, сахар, маргарин (масла растительные, в том числе соевое, вода, эмульгаторы: эфиры полиглицерина и жирных кислот, моно - и диглицериды жирных кислот, соль, сахар, консервант- сорбат калия, регулятор кислотности - кислота лимонная, ароматизатор, краситель- бета-каротин, антиокислители: аскорбиновая кислота, альфа-токоферол), продукты яичные, дрожжи хлебопекарные прессованные, влагоудерживающий агент – глицерин, соль, улучшитель хлебопекарный (стабилизатор - карбонат кальция, эмульгатор- эфиры глицерина и диацетилвинной и жирных кислот, антиокислитель – аскорбиновая кислота), влагоудерживающий агент-ксантановая камедь, консерванты-сорбат калия, пропионат кальция. Может содержать следы арахиса, кунжута, соевой муки, молока сухого. 	True	True	Fri Jul  5 22:53:19 2024
Булочка Ремесленный Хлеб с лимонной начинкой, 75г	21,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/bulocka-remeslennyj-hleb-s-limonnoj-nacinkoj-75g-4095506	Wed Jul  3 15:03:58 2024	Булочка Ремесленный Хлеб с лимонной начинкой, 75г	Цена19,99 ₽	Ремесленный Хлеб	287.0	7.7 г	5.2 г	52.5 г	Мука пшеничная хлебопекарная высшего сорта, начинка лимонная (сахар, лимон, вода, загустители - крахмал кукурузный модифицированный, эмульгатор –целлюлоза, стабилизатор - ксантановая камедь, регуляторы кислотности: цитрат натрия, кислота лимонная, ароматизатор, консерванты- сорбат калия, бензоат натрия, краситель - куркумин), вода, сахар, маргарин (масла растительные, в том числе соевое, вода, эмульгаторы: эфиры полиглицерина и жирных кислот, моно - и диглицериды жирных кислот, соль, сахар, консервант- сорбат калия, регулятор кислотности - кислота лимонная, ароматизатор, краситель- бета-каротин, антиокислители: аскорбиновая кислота, альфа-токоферол), продукты яичные, дрожжи хлебопекарные прессованные, влагоудерживающий агент – глицерин, соль, улучшитель хлебопекарный (стабилизатор - карбонат кальция, эмульгатор- эфиры глицерина и диацетилвинной и жирных кислот, антиокислитель – аскорбиновая кислота), влагоудерживающий агент-ксантановая камедь, консерванты-сорбат калия, пропионат кальция. Может содержать следы арахиса, кунжута, соевой муки, молока сухого. 	True	True	Fri Jul  5 22:53:20 2024
Булочка Каравай Ассоль, 2х50г	39,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/246/p/bulocka-karavaj-assol-2h50g-4118655	Wed Jul  3 15:03:58 2024	Булочка Каравай Ассоль, 2х50г	Цена39,99 ₽	Каравай	340.0	8.5 г	9.5 г	65.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар, вода питьевая, продукты яичные, творог, маргарин (масла растительные рафинированные дезодорированные, вода, эмульгаторы (Е471, Е475), соль, антиокислители (Е304i, Е306), регулятор кислотности лимонная кислота, ароматизатор, красители: куркумин, Е160b), дрожжи хлебопекарные, смесь сухая молокосодержащая (сахар, загустители: Е1414, альгинат натрия, молоко сухое цельное, стабилизаторы: Е339, Е450, ароматизатор, краситель каротины, уплотнитель сульфат кальция), соль, антиокислитель аскорбиновая кислота, ароматизатор. Продукт может содержать следы горчицы, сои, кунжута, орехов и продукты их переработки. 	True	True	Fri Jul  5 22:53:21 2024
Бублики Каравай Украинские, 2х100г	53,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/bubliki-karavaj-ukrainskie-2h100g-2004208	Wed Jul  3 15:03:58 2024	Бублики Каравай Украинские, 2х100г	Цена53,99 ₽	Каравай	350.0	8.5 г	7.0 г	64.0 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, сахар, маргарин (рафинированные дезодорированные растительные масла, вода, эмульгаторы (Е471, Е475), соль, ароматизатор, краситель каротины, регулятор кислотности лимонная кислота), дрожжи хлебопекарные, мак пищевой, соль. 	True	True	Fri Jul  5 22:53:22 2024
Корж Аладушкин молочный, 75г	26,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/korz-aladuskin-molocnyj-75g-3604687	Wed Jul  3 15:03:58 2024	Корж Аладушкин молочный, 75г	Цена26,99 ₽	Аладушкин	390.0	6.5 г	11.0 г	65.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар,, маргарин (масла растительные, вода, эмульгаторы: моно - и диглицериды жирных кислот, полиглицерина и жирных кислот эфиры, ароматизатор, регулятор кислотности - кислота лимонная, краситель пищевой «Аннато»),, вода, продукты яичные, молоко сухое цельное, разрыхлители: карбонат аммония, гидрокарбонат натрия, ароматизатор –ванилин. Может содержать следы муки соевой, кунжута, арахиса. 	True	True	Fri Jul  5 22:53:24 2024
Булочка Арнаут Босоногое детство, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/bulocka-arnaut-bosonogoe-detstvo-200g-3638217	Wed Jul  3 15:03:58 2024	Булочка Арнаут Босоногое детство, 200г	Цена69,99 ₽	Арнаут	360.0	8.5 г	9.5 г	60.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар, вода, меланж жидкий, маргарин, дрожжи, улучшитель хлебопекарный, молоко сухое обезжиренное, соль, ароматизатор. 	True	True	Fri Jul  5 22:53:24 2024
Кольцо Аладушкин песочное, 80г	49,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/246/p/kolco-aladuskin-pesocnoe-80g-3482783	Wed Jul  3 15:03:58 2024	Кольцо Аладушкин песочное, 80г	Цена47,99 ₽	Аладушкин	490.0	8.5 г	28.0 г	52.0 г	Мука пшеничная хлебопекарная высшего сорта, маргарин (масла растительные, вода, эмульгаторы: моно - и диглицериды жирных кислот, полиглицерина и жирных кислот эфиры, ароматизатор, регулятор кислотности - кислота лимонная, краситель пищевой «Аннато»), сахар, арахис, продукты яичные, ароматизатор, соль, разрыхлители: карбонат аммония, гидрокарбонат натрия. 	True	True	Fri Jul  5 22:53:25 2024
Полоска Каравай песочная со сгущёнкой, 70г	57,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/246/p/poloska-karavaj-pesocnaa-so-sgusenkoj-70g-3257518	Wed Jul  3 15:03:58 2024	Полоска Каравай песочная со сгущёнкой, 70г	Цена57,99 ₽	Каравай	450.0	6.0 г	23.0 г	57.0 г	Мука пшеничная хлебопекарная высшего сорта, кондитерская глазурь (сахар, заменитель масла какао лауринового типа, молоко сухое обезжиренное, сыворотка сухая молочная, эмульгатор лецитин соевый, ароматизаторы), сахар, продукты яичные, маргарин (масла растительные рафинированные дезодорированные, вода, эмульгаторы: Е471, Е433, антиокислители: Е304i, Е306, регулятор кислотности лимонная кислота, ароматизатор, красители: куркумин, Е160b), повидло яблочное (пюре яблочное, сахар), молоко сгущенное с сахаром вареное (молоко цельное (лактоза), сахар), крем кондитерский (сахар, вода, сухое обезжиренное молоко, жир растительный, стабилизатор Е452, консервант сорбат калия), разрыхлители (пирофосфаты, карбонаты натрия), агент антислеживающий Е170, вещество для обработки муки Е516, ароматизатор. 	True	True	Fri Jul  5 22:53:26 2024
Рожки Арнаут сдобные обсыпные, 200г	43,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/rozki-arnaut-sdobnye-obsypnye-200g-3416970	Wed Jul  3 15:03:58 2024	Рожки Арнаут сдобные обсыпные, 200г	Цена45,99 ₽	Арнаут	317.0	7.6 г	5.0 г	59.5 г	Мука пшеничная хлебопекарная высшего сорта, вода, сахар, маргарин (растительные масла, вода, эмульгаторы (Е471, Е475), соль, ароматизатор, регулятор кислотности - лимонная кислота, краситель аннато), продукты яичные, дрожжи хлебопекарные прессованные, соль, комплексная пищевая добавка (мука пшеничная первого сорта, стабилизатор Е170, эмульгатор Е472е, антиокислитель аскорбиновая кислота, вещество для обработки муки Е920, ферменты). 	True	True	Fri Jul  5 22:53:27 2024
Ромовая баба Аладушкин, 160г	99,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/246/p/romovaa-baba-aladuskin-160g-71813	Wed Jul  3 15:03:58 2024	Ромовая баба Аладушкин, 160г	Цена99,99 ₽	Аладушкин	320.0	4.5 г	10.0 г	53.0 г	Выпеченный полуфабрикат (мука пшеничная хлебопекарная высшего сорта, вода, сахар, маргарин (масла растительные, вода, эмульгаторы: моно - и диглицериды жирных кислот, полиглицерина и жирных кислот эфиры; ароматизатор, регулятор кислотности - кислота лимонная, краситель пищевой «Аннато»), продукты яичные, виноград сушеный, дрожжи хлебопекарные прессованные, ароматизатор «Ром», соль), сироп для промочки (сахар, вода, коньяк, консервант – сорбат калия, ароматизаторы: «Коньячный», «Ром»), глазурь (сахар, заменитель масла какао, молоко сухое цельное, сыворотка молочная сухая, эмульгаторы: лецитин, Е476, ароматизатор). (Может содержать следы муки соевой, арахиса, кунжута). 	True	True	Fri Jul  5 22:53:27 2024
