name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлопья Любятово кукурузные, 600г	219,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/225/p/hlopa-lubatovo-kukuruznye-600g-3659059	Wed Jul  3 15:04:51 2024	Хлопья Любятово кукурузные, 600г	Цена149,99 ₽	Любятово	380.0	8.0 г	1.0 г	82.0 г	Крупа кукурузная, сахар, экстракт ячменно-солодовый, соль. 	True	True	Fri Jul  5 23:32:27 2024
Хлопья Любятово кукурузные, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/225/p/hlopa-lubatovo-kukuruznye-300g-3659060	Wed Jul  3 15:04:51 2024	Хлопья Любятово кукурузные, 300г	Цена124,99 ₽	Любятово	380.0	8.0 г	1.0 г	82.0 г	Крупа кукурузная, сахар, экстракт ячменно-солодовый, соль. 	True	True	Fri Jul  5 23:32:27 2024
Хлопья кукурузные Хрутка медовые, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-hrutka-medovye-300g-3373466	Wed Jul  3 15:04:51 2024	Хлопья кукурузные Хрутка медовые, 300г	Цена184,99 ₽	Хрутка	369.0	7.0 г	3.0 г	78.6 г	Зерновые продукты (кукурузная крупа, кукуруза), сахар, мед натуральный (2%), соль, кальция карбонат ячменно-солодовый экстракт (содержит глютен), патока, масло подсолнечное, антиокислитель (токоферолы, концентрат смеси), ароматизатор натуральный (аромат меда). 	True	True	Fri Jul  5 23:32:28 2024
Мюсли Matti ежевика-малина, 250г	99,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/225/p/musli-matti-ezevika-malina-250g-3398285	Wed Jul  3 15:04:51 2024	Мюсли Matti ежевика-малина, 250г	Цена154,99 ₽	Matti	390.0	7.5 г	13.0 г	62.0 г	Хлопья овсяные, сахар, патока карамельная, масло растительное, пшеница воздушная шарики (мука пшеничная, сахар, мука рисовая, отруби пшеничные, соль, солод ржаной), мука пшеничная, малина сушеная, ежевика сушеная, сухой сок малины, ароматизаторы («Лесные ягоды», «белый шоколад»). 	True	True	Fri Jul  5 23:32:29 2024
Мюсли Ого с орехом запечённые, 350г	144,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-orehom-zapecennye-350g-2137587	Wed Jul  3 15:04:51 2024	Мюсли Ого с орехом запечённые, 350г	Цена149,99 ₽	Ого	430.0	8.5 г	18.0 г	58.0 г	Хлопья овсяные, хлопья пшеничные, рапсовое масло, сахар, изюм, арахис половинки, ядра семян подсолнечника, кокосовая стружка, мука пшеничная, патока, рис экструдированный (крупа рисовая, соль), ядра ореха миндаля дробленые, ядра ореха фундука дробленые, соль. 	True	True	Fri Jul  5 23:32:30 2024
Хлопья кукурузные Хрутка хрустящие, 700г	219,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/225/p/hlopa-kukuruznye-hrutka-hrustasie-700g-3628506	Wed Jul  3 15:04:51 2024	Хлопья кукурузные Хрутка хрустящие, 700г	Цена259,99 ₽	Хрутка	369.0	7.0 г	3.0 г	78.7 г	Зерновые продукты (86,3%) (кукурузная крупа, кукуруза), сахар, соль, кальция карбонат, патока, ячменно-солодовый экстракт (содержит глютен), масло подсолнечное, антиокислитель (токоферолы, концентрат смеси). 	True	True	Fri Jul  5 23:32:31 2024
Хлопья Mini Mills кукурузные карамельные обогащённые витаминами и железом, 200г	64,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/225/p/hlopa-mini-mills-kukuruznye-karamelnye-obogasennye-vitaminami-i-zelezom-200g-4324974	Wed Jul  3 15:04:51 2024	Хлопья Mini Mills кукурузные карамельные обогащённые витаминами и железом, 200г	Цена139,99 ₽	Mini Mills	350.0	5.5 г	1.0 г	80.0 г	Крупа кукурузная, вода, сахар, ячменно-солодовый концентрат, соль, патока крахмальная карамельная, ароматизатор молочно-карамельный, витаминно-минеральный комплекс (железо, ниацин, пантотеновая кислота, витамин D3, витамин В2, витамин В6, витамин В1, фолиевая кислота). 	True	True	Fri Jul  5 23:32:32 2024
Мюсли Ого с тропическими фруктами запечённые, 350г	149,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/225/p/musli-ogo-s-tropiceskimi-fruktami-zapecennye-350g-3417240	Wed Jul  3 15:04:51 2024	Мюсли Ого с тропическими фруктами запечённые, 350г	Цена139,99 ₽	Ого	430.0	8.0 г	17.0 г	62.0 г	Хлопья овсяные, хлопья пшеничные, рапсовое масло, сахар, кусочки сушеного банана в рисовой муке, изюм, рис экструдированный (крупа рисовая, соль, цукаты ананаса (ананас, сахар, регулятор кислотности – лимонная кислота), мука пшеничная хлебопекарная, патока, цукаты папайи (папайя, сахар, регулятор кислотности – лимонная кислота), цукаты манго 9манго, сахар, регулятор кислотности – лимонная кислота), кусочки сушеного киви, соль, ароматизатор. 	True	True	Fri Jul  5 23:32:32 2024
Готовый шоколадный завтрак Chocozavr Шоксики, 195г	169,99 ₽/шт	195 гр	https://www.perekrestok.ru/cat/225/p/gotovyj-sokoladnyj-zavtrak-chocozavr-soksiki-195g-4315453	Wed Jul  3 15:04:51 2024	Готовый шоколадный завтрак Chocozavr Шоксики, 195г	Цена129,99 ₽	Chocozavr	362.0	8.4 г	1.9 г	74.0 г	крупа кукурузная, крупа пшеничная, сахар, мука пшеничная, какао-порошок, патока, шоколад-порошок [сахар, какао тёртое, эмульгатор: лецитин соевый], соль, стабилизатор: кальция карбонат, ароматизатор, корица молотая. 	True	True	Fri Jul  5 23:32:33 2024
Подушечки Любятово с молочной начинкой, 220г	119,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/225/p/podusecki-lubatovo-s-molocnoj-nacinkoj-220g-4187953	Wed Jul  3 15:04:51 2024	Подушечки Любятово с молочной начинкой, 220г	Цена139,99 ₽	Любятово	450.0	7.0 г	16.0 г	67.0 г	Зерновые продукты [крупа пшеничная, хлопья овсяные, мука рисовая], сахар, масло растительное, крахмал кукурузный, молоко обезжиренное сухое, молоко цельное сухое, какао-порошок, соль, эмульгатор: лецитин соевый, ароматизатор. 	True	True	Fri Jul  5 23:32:34 2024
