name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Холодец из cвинины и говядины Маркет, 300г	179,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/144/p/holodec-iz-cvininy-i-govadiny-market-300g-4324761	Wed Jul  3 15:04:07 2024	Холодец из cвинины и говядины Маркет, 300г	Цена179,99 ₽	Маркет	75.0	12.3 г	2.4 г	1.0 г	Бульон (вода, свинина, говядина), мясо свинины, мясо говядины, желатин, соль пищевая, лук репчатый свежий, экстракт чеснока, экстракт перца черного, консервант (сорбат калия Е202), лавровый лист. 	True	True	Fri Jul  5 22:59:18 2024
Холодец Домашний мясосодержащий Зелёная Линия, 300г	229,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/144/p/holodec-domasnij-masosoderzasij-zelenaa-linia-300g-4328815	Wed Jul  3 15:04:07 2024	Холодец Домашний мясосодержащий Зелёная Линия, 300г	Цена209,99 ₽	Зелёная Линия	49.5	7.9 г	1.9 г	0.2 г	Бульон (вода, говядина, мясо кур), говядина, мясо кур, желатин, лук репчатый свежий, соль пищевая, экстракт чеснока, экстракт перца черного, перец душистый лавровый лист. 	True	True	Fri Jul  5 22:59:19 2024
Холодец Ремит из свинины и говядины, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/144/p/holodec-remit-iz-svininy-i-govadiny-400g-4080401	Thu Jul  4 08:48:39 2024	Холодец Ремит из свинины и говядины, 400г	Цена179,99 ₽	Ремит	90.0	11.0 г	4.5 г	1.0 г	Бульон, свинина, говядина, желатин, загуститель каррагинан, соль, лук репчатый, чеснок, регулятор кислотности цитрат натрия, антиокислитель изоаскорбат натрия, пряности (перец черный, перец душистый, лавровый лист), сахар, усилитель вкуса и аромата глутамат натрия, консервант сорбат калия. Производится на предприятии, где также используются горчица, молоко, орехи, пшеница, сельдерей, соя и яйца. Срок годности при температуре от 0°С до +6°С не более 30 суток. Срок годности после вскрытия при температуре от 0°С до +6°С и отн. влажности 75%- 78% не более 72 часов в пределах срока годности Пищевая ценность в 100г продукта (среднее значение): белки - 11 г, жиры - 4,5 г, углеводы - 1 г, энергетическая ценность 90 ккал/370 кДж. 	True	True	Fri Jul  5 22:59:20 2024
Холодец говяжий Зелёная Линия, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/144/p/holodec-govazij-zelenaa-linia-300g-4009330	Thu Jul  4 08:48:39 2024	Холодец говяжий Зелёная Линия, 300г	Цена249,99 ₽	Зелёная Линия	66.0	10.3 г	2.4 г	0.8 г	Бульон (вода питьевая, говядина), мясо говядины, желатин, лук репчатый свежий, соль пищевая, экстракт чеснока, экстракт перца черного, лавровый лист. 	True	True	Fri Jul  5 22:59:20 2024
Заливное с говядиной баклажанами и соусом песто Зелёная Линия, 300г	359,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/807/p/zalivnoe-s-govadinoj-baklazanami-i-sousom-pesto-zelenaa-linia-300g-4321979	Thu Jul  4 08:48:39 2024	Заливное с говядиной баклажанами и соусом песто Зелёная Линия, 300г	Цена359,99 ₽	Зелёная Линия	70.0	7.0 г	2.0 г	5.0 г	Вода питьевая, бульон говяжий, говядина вареная, баклажаны запеченные, соус песто (масло подсолнечное рафинированное дезодорированное, яичный меланж, соль пищевая, базилик, сыр Пармезан м.д.ж. в сухом веществе 42% (пастеризованное коровье молоко, бактериальная закваска мезофильных и термофильных молочнокислых микроорганизмов, соль пищевая, уплотнитель (хлорид кальция), молокосвертывающий ферментный препарат микробного происхождения), орех кедровый, клетчатка бамбуковая, горчица порошок, сахар, загуститель агар-агар, чеснок свежий, сок лимонный концентрированный), желатин пищевой, соль пищевая, пищевая добавка (декстроза, экстракты пряностей (перец черный, кардамон, перец душистый, укроп), лук репчатый сушеный, экстракт чеснока), сок лимонный концентрированный. 	True	True	Fri Jul  5 22:59:22 2024
Холодец Ремит говяжий мясосодержащий, 300г	379,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/809/p/holodec-remit-govazij-masosoderzasij-300g-4354933	Sun Jul  7 17:00:31 2024	Холодец Ремит говяжий мясосодержащий, 300г	Цена379,99 ₽	Ремит	40.0	6.0 г	2.0 г	0.2 г	Бульон, говядина, желатин, соль пищевая, лук репчатый, чеснок, регуляторы кислотности (ацетаты натрия, цитрат натрия 3-замещенный), загуститель и стабилизатор каррагинан, сахар, пряности и экстракты пряностей (перец черный, перец душистый, лавровый лист), агент желирующий хлорид калия, усилитель вкуса и аромата глутамат натрия 1-замещенный, консервант сорбат калия. Производится на предприятии, где также используются горчица, молоко, орехи, глютен, сельдерей, соя и яйца. 	True	True	Sun Jul  7 18:38:44 2024
Холодец Ариант Деревенский, 500г	189,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/144/p/holodec-ariant-derevenskij-500g-3637426	Sun Jul  7 17:14:31 2024	Холодец Ариант Деревенский, 500г	Цена189,99 ₽	Ариант	247.0	10.0 г	23.0 г	0.0 г	Ноги свиные, вода питьевая, калтык свиной, шкурка свиная, смесь посолочно-нитритная (соль поваренная пищевая, фиксатор окраски – нитрит натрия), желатин пищевой, декстроза, соль поваренная пищевая , усилитель вкуса и аромата (глутамат натрия),ароматизатор, чеснок, консерванты (ацетат натрия, сорбат калия), антиокислитель (аскорбиновая кислота), регулятор кислотности (молочная кислота), антиокислитель (аскорбат натрия), перец черный молотый. 	True	True	Sun Jul  7 18:38:45 2024
Паштет Рублёвский Французский с уткой запечённый охлаждённый, 175г	229,99 ₽/шт	175 гр	https://www.perekrestok.ru/cat/144/p/pastet-rublevskij-francuzskij-s-utkoj-zapecennyj-ohlazdennyj-175g-4166426	Sun Jul  7 17:14:31 2024	Паштет Рублёвский Французский с уткой запечённый охлаждённый, 175г	Цена199,99 ₽	Рублевский	280.0	9.0 г	26.0 г	3.0 г	Печень свиная, вода, кожа куриная, свинина, шпик, печень куриная, мясо утки, крахмал картофельный, лук жареный (лук репчатый, мука пшеничная, масло растительное), сушеные овощи (лук, томаты), посолочно-нитритная смесь (соль поваренная, фиксатор окраски (нитрит натрия)), декстроза, сахар, экстракты пряностей, ароматизаторы, усилитель вкуса и аромата (глутамат натрия), загуститель (каррагинан), эмульгатор (эфиры глицерина и лимонной и жирных кислот), антиокислители (лактат натрия, изоаскорбат натрия), регуляторы кислотности (ацетат натрия, цитрат натрия, аскорбиновая кислота), пряности (имбирь, горчица, кориандр, орех мускатный), стабилизатор (пирофосфат натрия). На предприятии используются орехи, молоко, яйца, горчица, сельдерей и продукты их переработки. 	True	True	Sun Jul  7 18:38:46 2024
Холодец говяжий Диво Домашний, 300г	179,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/144/p/holodec-govazij-divo-domasnij-300g-3603565	Sun Jul  7 17:21:49 2024	Холодец говяжий Диво Домашний, 300г	Цена179,99 ₽	Диво	31.0	6.3 г	0.5 г	0.3 г	Вода питьевая, мясо говядины 2 сорт, желатин, лук репчатый свежий, соль поваренная пищевая, чеснок сушеный молотый, перец душистый, перец черный молотый, лавровый лист, консервант (сорбат калия E 202), усилитель вкуса и аромата (глутамат натрия E621). 	True	True	Sun Jul  7 18:38:47 2024
Холодец куриный Диво Сельский, 300г	159,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/144/p/holodec-kurinyj-divo-selskij-300g-3603564	Sun Jul  7 17:28:59 2024	Холодец куриный Диво Сельский, 300г	Цена124,99 ₽	Диво	39.0	6.0 г	1.0 г	0.9 г	Бульон (вода питьевая, мясной навар, лук, лавровый лист), мясо кур , желатин пищевой, соль пищевая, чеснок сушеный, перец черный экстракт, усилитель вкуса и аромата глутамат натрия (Е621), консервант сорбат калия (Е202). 	True	True	Sun Jul  7 18:38:47 2024
