name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток на чайном грибе Kombucha immuno+ имбирь-мёд-лимон Зелёная Линия, 555мл	139,99 ₽/шт	555 мл	https://www.perekrestok.ru/cat/210/p/napitok-na-cajnom-gribe-kombucha-immuno-imbir-med-limon-zelenaa-linia-555ml-4124908	Wed Jul  3 15:03:39 2024	Напиток на чайном грибе Kombucha immuno+ имбирь-мёд-лимон Зелёная Линия, 555мл	Цена139,99 ₽	Зелёная Линия	30.0	0.1 г	0.0 г	7.5 г	Подготовленная артезианская вода, сахар белый, лимонный сок, мед натуральный, свежий корень имбиря, иван-чай (кипрей узколистный), чай черный байховый, эхинацея пурпурная трава, чистая культура чайного гриба. 	True	True	Fri Jul  5 22:45:23 2024
Холодный чай Lipton Персик, 1.5л	194,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-persik-1-5l-3487484	Wed Jul  3 15:03:39 2024	Холодный чай Lipton Персик, 1.5л	Цена189,99 ₽	Lipton	20.0	0.0 г	0.0 г	5.0 г	Вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, персиковый сок (из концентрата), ароматизатор, антиокислитель аскорбиновая кислота, подсластитель натуральный экстракт стевии. 	True	True	Fri Jul  5 22:45:24 2024
Холодный чай Lipton Лимон, 1.5л	194,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-1-5l-3487487	Wed Jul  3 15:03:39 2024	Холодный чай Lipton Лимон, 1.5л	Цена184,99 ₽	Lipton	29.0	0.0 г	0.0 г	6.9 г	Вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, концентрированный лимонный сок, ароматизатор, антиокислитель аскорбиновая кислота, подсластитель натуральный экстракт стевии. 	True	True	Fri Jul  5 22:45:25 2024
Напиток сокосодержащий Фрутмотив Чёрный чай лесные ягоды негазированный, 1.5л	124,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-lesnye-agody-negazirovannyj-1-5l-4312349	Wed Jul  3 15:03:39 2024	Напиток сокосодержащий Фрутмотив Чёрный чай лесные ягоды негазированный, 1.5л	Цена174,99 ₽	Фрутмотив	30.0	0.0 г	0.0 г	7.0 г	Сок яблочный, сок малины, сок клубники, сахар, регулятор кислотности (лимонная кислота), экстракт чёрного чая, ароматизатор натуральный, вода. 	True	True	Fri Jul  5 22:45:25 2024
Холодный чай Lipton Лимон, 500мл	95,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-500ml-3491143	Wed Jul  3 15:03:39 2024	Холодный чай Lipton Лимон, 500мл	Цена95,99 ₽	Lipton	29.0	0.0 г	0.0 г	6.9 г	Вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, концентрированный лимонный сок, ароматизатор, антиокислитель аскорбиновая кислота, подсластитель натуральный экстракт стевии. 	True	True	Fri Jul  5 22:45:26 2024
Чай холодный чёрный с ароматом лимона и мяты безалкогольный негазированный Маркет, 1л	114,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/caj-holodnyj-cernyj-s-aromatom-limona-i-maty-bezalkogolnyj-negazirovannyj-market-1l-4322446	Wed Jul  3 15:03:39 2024	Чай холодный чёрный с ароматом лимона и мяты безалкогольный негазированный Маркет, 1л	Цена114,99 ₽	Маркет	71.0	0.1 г	0.0 г	4.1 г	Вода, сахар, регулятор кислотности – лимонная кислота, экстракт черного чая, ароматизатор пищевой «чай», ароматизатор пищевой «лимон», ароматизатор натуральный «мята», консерванты (сорбат калия, бензоат натрия), подсластитель сукралоза. 	True	True	Fri Jul  5 22:45:27 2024
Напиток сокосодержащий Фрутмотив Чёрный чай манго и ананас , 1.5л	124,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-mango-i-ananas-1-5l-4312365	Wed Jul  3 15:03:39 2024	Напиток сокосодержащий Фрутмотив Чёрный чай манго и ананас , 1.5л	Цена174,99 ₽	Фрутмотив	35.0	0.0 г	0.0 г	8.0 г	Сок яблочный, сок манго, сок ананаса, сахар, регулятор кислотности (лимонная кислота), экстракт чёрного чая, ароматизатор натуральный, антиокислитель (аскорбиновая кислота), вода. 	True	True	Fri Jul  5 22:45:28 2024
Холодный чай Святой Источник Черный Смородина безалкогольный негазированный, 500мл	69,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-svatoj-istocnik-cernyj-smorodina-bezalkogolnyj-negazirovannyj-500ml-4343518	Wed Jul  3 15:03:39 2024	Холодный чай Святой Источник Черный Смородина безалкогольный негазированный, 500мл	Цена91,99 ₽	Святой Источник	20.0	0.0 г	0.0 г	4.5 г	none	True	True	Fri Jul  5 22:45:29 2024
Чёрный чай Riсh tea со вкусом лимона, 1л	119,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/cernyj-caj-rish-tea-so-vkusom-limona-1l-4255800	Wed Jul  3 15:03:39 2024	Чёрный чай Riсh tea со вкусом лимона, 1л	Цена134,99 ₽	Rich	28.0	0.0 г	0.0 г	7.0 г	Очищенная вода, сахар, лимонный сок, карамельный сахарный сироп, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), натуральные ароматизаторы, экстракт черного чая, подсластитель сукралоза. 	True	True	Fri Jul  5 22:45:30 2024
Холодный чай Lipton Лимон, 1л	149,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-1l-3487476	Wed Jul  3 15:03:39 2024	Холодный чай Lipton Лимон, 1л	Цена149,99 ₽	Lipton	29.0	0.0 г	0.0 г	6.9 г	Вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, концентрированный лимонный сок, ароматизатор, антиокислитель аскорбиновая кислота, подсластитель натуральный экстракт стевии. 	True	True	Fri Jul  5 22:45:31 2024
