name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Икра Красное Золото лососевая тихоокеанская горбуша зернистая соленая, 250г	999,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/180/p/ikra-krasnoe-zoloto-lososevaa-tihookeanskaa-gorbusa-zernistaa-solenaa-250g-4320305	Wed Jul  3 15:04:31 2024	Икра Красное Золото лососевая тихоокеанская горбуша зернистая соленая, 250г	Цена1 599,00 ₽	Красное золото	232.0	31.0 г	12.0 г	0.0 г	none	True	True	Fri Jul  5 23:14:00 2024
Икра лососёвая Тунгутун, 95г	419,99 ₽/шт	95 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-tungutun-95g-3274709	Wed Jul  3 15:04:31 2024	Икра лососёвая Тунгутун, 95г	Цена399,99 ₽	Тунгутун	232.0	31.0 г	12.0 г	0.0 г	Икра, соль, консерванты: E200 (сорбиновая кислота), E211 (бензоат натрия), стабилизатор Е412, агент антислеживающий Е538. 	True	True	Fri Jul  5 23:14:02 2024
Икра лососёвая горбуши, 95г	259,99 ₽/шт	95 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-gorbusi-95g-3465904	Wed Jul  3 15:04:31 2024	Икра лососёвая горбуши, 95г	Цена369,99 ₽	Тесей	0.0	32.0 г	13.0 г	0.0 г	Икра лососевая зернистая горбуши, соль пищевая, масло подсолнечное рафинированное дезодорированное, консерванты: сорбиновая кислота Е200, бензоат натрия Е211, влагоудерживающий агент Е422 (глицерин), загустители: Е412 (гуаровая камедь), Е415 (ксантановая камедь). 	True	True	Fri Jul  5 23:14:02 2024
Икра лососёвая Красное золото, 100г	499,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-100g-2046674	Wed Jul  3 15:04:31 2024	Икра лососёвая Красное золото, 100г	Цена669,99 ₽	Красное золото	232.0	31.0 г	12.0 г	0.0 г	Икра лососевая, соль, масло растительное, консерванты E200 (сорбиновая кислота), Е211 (бензоат натрия). 	True	True	Fri Jul  5 23:14:03 2024
Икра лососёвая Красное золото, 500г	2 699,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-500g-2046679	Wed Jul  3 15:04:31 2024	Икра лососёвая Красное золото, 500г	Цена2 699,00 ₽	Красное золото	232.0	31.0 г	12.0 г	0.0 г	Икра, соль, масло растительное, консерванты E200 (сорбиновая кислота), Е211 (бензоат натрия). 	True	True	Fri Jul  5 23:14:03 2024
Икра горбуши Камчатское море зернистая солёная, 200г	1 199,00 ₽/шт	200 гр	https://www.perekrestok.ru/cat/180/p/ikra-gorbusi-kamcatskoe-more-zernistaa-solenaa-200g-4180322	Wed Jul  3 15:04:31 2024	Икра горбуши Камчатское море зернистая солёная, 200г	Цена1 199,00 ₽	Камчатское море	263.0	32.0 г	15.0 г	0.0 г	"Икра лосеевая зернистая горбуши, комплексная пищевая добавка ""Экофиш""(вода, консервант ""Варекс 2"": Е220 сорбиновая кислота, Е300 аскорбиновая кислота, Е412, Е415, Ph-активат), соль, растительное масло, Е422, Е200, Е211. "	True	True	Fri Jul  5 23:14:04 2024
Икра Камчатское Море лососевая зернистая соленая, 100г	679,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/180/p/ikra-kamcatskoe-more-lososevaa-zernistaa-solenaa-100g-4316773	Wed Jul  3 15:04:31 2024	Икра Камчатское Море лососевая зернистая соленая, 100г	Цена679,99 ₽	Камчатское море	230.0	31.0 г	12.0 г	0.0 г	"Икра лососевая зернистая горбуши, комплексная пищевая добавка ""Экофиш"" (вода, консервант ""Варекс2"": Е200 сорбиновая кислота, Е300 аскорбиновая кислота; загустители Е412 гуаровая камедь и Е415 ксатиновая камедь, Ph-активат), соль, растительное масло, влагоудерживающий агент Е422(Глицерин), консервант Е200сорбиновая кислота, Е211 бензоат натрия. "	True	True	Fri Jul  5 23:14:05 2024
Икра форели зернистая солёная, 180г	1 249,00 ₽/шт	180 гр	https://www.perekrestok.ru/cat/180/p/ikra-foreli-zernistaa-solenaa-180g-4244343	Wed Jul  3 15:04:31 2024	Икра форели зернистая солёная, 180г	Цена1 199,00 ₽	none	205.0	29.9 г	7.3 г	4.9 г	Икра форели, соль 3,5%, сорбат калия, сорбиновая кислота. 	True	True	Fri Jul  5 23:14:06 2024
Икра лососёвая Красное Золото, 320г	2 199,00 ₽/шт	320 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-320g-2046677	Wed Jul  3 15:04:31 2024	Икра лососёвая Красное Золото, 320г	Цена1 899,00 ₽	Красное золото	199.0	32.0 г	15.0 г	0.0 г	Икра лососёвая, соль пищевая, масло растительное, консерванты: Е200, Е211. 	True	True	Fri Jul  5 23:14:07 2024
Икра горбуши Путина зернистая лососёвая 1 сорт, 440г	2 699,00 ₽/шт	440 гр	https://www.perekrestok.ru/cat/180/p/ikra-gorbusi-putina-zernistaa-lososevaa-1-sort-440g-2053738	Wed Jul  3 15:04:31 2024	Икра горбуши Путина зернистая лососёвая 1 сорт, 440г	Цена2 699,00 ₽	Путина	245.0	32.0 г	13.0 г	0.0 г	Икра-зерно горбуши, соль пищевая, масло подсолнечное рафинированное дезодорированное , консерванты Е200, Е211. 	True	True	Fri Jul  5 23:14:08 2024
