name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кетчуп Mr.Ricco сладкий черри Pomodore Speciale, 550г	209,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/219/p/ketcup-mr-ricco-sladkij-cerri-pomodore-speciale-550g-4078080	Wed Jul  3 15:04:40 2024	Кетчуп Mr.Ricco сладкий черри Pomodore Speciale, 550г	Цена194,99 ₽	Mr. Ricco	110.0	1.5 г	0.0 г	26.0 г	Вода, томатная паста, сахар , соль, регуляторы кислотности: уксусная и молочная кислоты, томаты Черри. 	True	True	Fri Jul  5 23:19:26 2024
Кетчуп Heinz томатный, 320г	109,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-320g-4157702	Wed Jul  3 15:04:40 2024	Кетчуп Heinz томатный, 320г	Цена109,99 ₽	Heinz	110.0	1.0 г	0.1 г	25.0 г	Вода, паста томатная, сахар, уксус натуральный, соль, экстракты специй (содержит сельдерей). 	True	True	Fri Jul  5 23:19:27 2024
Кетчуп Слобода Томатный, 320г	124,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/219/p/ketcup-sloboda-tomatnyj-320g-4227928	Wed Jul  3 15:04:40 2024	Кетчуп Слобода Томатный, 320г	Цена129,99 ₽	Слобода	83.0	1.6 г	0.0 г	19.1 г	Вода, томатная паста, сахар, соль поваренная, уксус, специи (гвоздика, корица). 	True	True	Fri Jul  5 23:19:27 2024
Кетчуп Heinz томатный, 800г	279,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-800g-4274973	Wed Jul  3 15:04:40 2024	Кетчуп Heinz томатный, 800г	Цена349,99 ₽	Heinz	110.0	1.0 г	0.1 г	25.0 г	Вода, паста томатная,сахар, уксус натуральный,соль,экстаркты специй (содержат сельдерей) 	True	True	Fri Jul  5 23:19:29 2024
Кетчуп Махеевъ Томатный, 300г	114,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-tomatnyj-300g-4044938	Wed Jul  3 15:04:40 2024	Кетчуп Махеевъ Томатный, 300г	Цена109,99 ₽	Махеевъ	86.0	1.3 г	0.0 г	20.2 г	Вода питьевая, томатная паста, сахар, загуститель E1422, соль пищевая, перец красный молотый, регуляторы кислотности: уксусная и молочная кислоты, антиокислитель аскорбиновая кислота, консерванты: сорбат калия, бензоат натрия. 	True	True	Fri Jul  5 23:19:29 2024
Кетчуп Mr.Ricco Pomodoro Speciale Томатный, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/219/p/ketcup-mr-ricco-pomodoro-speciale-tomatnyj-300g-4312325	Wed Jul  3 15:04:40 2024	Кетчуп Mr.Ricco Pomodoro Speciale Томатный, 300г	Цена109,99 ₽	Mr. Ricco	110.0	1.5 г	0.0 г	26.0 г	вода, томатная паста, сахар, соль, регулятор кислотности: уксусная и молочная кислота, смесь специй (корица; экстракты: корицы, чили, муската, лука, сельдерея). 	True	True	Fri Jul  5 23:19:30 2024
Кетчуп Махеевъ Лечо с кусочками овощей, 500г	159,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-leco-s-kusockami-ovosej-500g-2157567	Wed Jul  3 15:04:40 2024	Кетчуп Махеевъ Лечо с кусочками овощей, 500г	Цена179,99 ₽	Махеевъ	67.0	0.9 г	0.0 г	15.9 г	Вода, томатная паста, сахар, пюре яблочное, крахмал кукурузный, соль поваренная пищевая, уксус из пищевого сырья, сушеные: перец сладкий зеленый, чеснок, лук, морковь, консерванты: сорбат калия, бензоат натрия. 	True	True	Fri Jul  5 23:19:31 2024
Кетчуп Махеевъ Томатный без сахара и крахмала, 300г	119,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/219/p/ketcup-maheev-tomatnyj-bez-sahara-i-krahmala-300g-3970015	Wed Jul  3 15:04:40 2024	Кетчуп Махеевъ Томатный без сахара и крахмала, 300г	Цена119,99 ₽	Махеевъ	60.0	1.0 г	0.0 г	11.6 г	Вода питьевая, томатная паста, фруктоза, подсластитель сорбитовый сироп, соль пищевая, загуститель пектины, уксус столовый, пищевые цитрусовые волокна, перец красный молотый, ароматизатор, консерванты: сорбат калия, бензоат натрия. 	True	True	Fri Jul  5 23:19:31 2024
Кетчуп Heinz томатный 1 категория, 550г	229,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/219/p/ketcup-heinz-tomatnyj-1-kategoria-550g-4154517	Wed Jul  3 15:04:40 2024	Кетчуп Heinz томатный 1 категория, 550г	Цена249,99 ₽	Heinz	110.0	1.0 г	0.1 г	25.0 г	Вода, паста томатная, сахар, уксус натуральный, соль, экстракты специй (содержат сельдерей). 	True	True	Fri Jul  5 23:19:33 2024
Кетчуп Томатный Пр!ст, 800г	72,90 ₽/шт	800 мл	https://www.perekrestok.ru/cat/219/p/ketcup-tomatnyj-pr-st-800g-3652684	Wed Jul  3 15:04:40 2024	Кетчуп Томатный Пр!ст, 800г	Цена67,99 ₽	Пр!ст	48.0	0.0 г	0.0 г	12.0 г	Вода питьевая, паста томатная, загуститель e1422, соль поваренная пищевая, пюре яблочное, регулятор кислотности уксусная кислота, консервант (бензоат натрия, сорбат калия), загустители (гуаровая камедь, ксантановая камедь), пере цчерный молотый, ароматизатор томат, подсластители (e590, e594), красители (кармузин, понсо), корица молотая. 	True	True	Fri Jul  5 23:19:33 2024
