name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кофе Carte Noire Original жареный в зёрнах, 800г	2 338,00 ₽/шт	800 гр	https://www.perekrestok.ru/cat/80/p/kofe-carte-noire-original-zarenyj-v-zernah-800g-3504147	Wed Jul  3 15:04:46 2024	Кофе Carte Noire Original жареный в зёрнах, 800г	Цена1 949,00 ₽	Carte noire	218.0	13.9 г	14.4 г	2.8 г	Кофе жареный в зернах. 	True	True	Fri Jul  5 23:21:39 2024
Кофе Lavazza Crema e Aroma в зёрнах, 1кг	2 158,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/80/p/kofe-lavazza-crema-e-aroma-v-zernah-1kg-3396617	Wed Jul  3 15:04:46 2024	Кофе Lavazza Crema e Aroma в зёрнах, 1кг	Цена2 299,00 ₽	Lavazza	none	0.0 г	0.0 г	0.0 г	100% натуральный кофе. 	True	True	Fri Jul  5 23:21:39 2024
Кофе Lavazza Qualita Oro в зёрнах, 1кг	1 999,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/80/p/kofe-lavazza-qualita-oro-v-zernah-1kg-3086387	Wed Jul  3 15:04:46 2024	Кофе Lavazza Qualita Oro в зёрнах, 1кг	Цена2 599,00 ₽	Lavazza	0.0	0.0 г	0.0 г	0.0 г	Арабика 100%. 	True	True	Fri Jul  5 23:21:40 2024
Кофе Tibio Gold Mokka натуральный жареный в зёрнах, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/80/p/kofe-tibio-gold-mokka-naturalnyj-zarenyj-v-zernah-250g-4342558	Wed Jul  3 15:04:46 2024	Кофе Tibio Gold Mokka натуральный жареный в зёрнах, 250г	Цена279,99 ₽	Tibio	0.0	0.0 г	0.0 г	0.0 г	кофе натуральный жареный в зернах 	True	True	Fri Jul  5 23:21:42 2024
Кофе Egoiste Noir в зёрнах, 250г	659,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/80/p/kofe-egoiste-noir-v-zernah-250g-3395342	Wed Jul  3 15:04:46 2024	Кофе Egoiste Noir в зёрнах, 250г	Цена759,99 ₽	Egoiste	0.0	0.0 г	0.0 г	0.0 г	100% Арабика. 	True	True	Fri Jul  5 23:21:44 2024
Кофе Poetti Daily Classic Crema натуральный жареный в зернах, 250г	389,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/80/p/kofe-poetti-daily-classic-crema-naturalnyj-zarenyj-v-zernah-250g-4261896	Wed Jul  3 15:04:46 2024	Кофе Poetti Daily Classic Crema натуральный жареный в зернах, 250г	Цена389,99 ₽	Poetti	218.0	13.9 г	2.8 г	14.4 г	Кофе. 	True	True	Fri Jul  5 23:21:45 2024
Кофе Monarch Original натуральный жареный в зёрнах, 230г	349,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/80/p/kofe-monarch-original-naturalnyj-zarenyj-v-zernah-230g-4291319	Wed Jul  3 15:04:46 2024	Кофе Monarch Original натуральный жареный в зёрнах, 230г	Цена429,99 ₽	Monarch	218.0	13.9 г	14.4 г	2.8 г	Кофе жареный в зёрнах 	True	True	Fri Jul  5 23:21:46 2024
Кофе Julius Meinl Президент классическая коллекция натуральный жареный в зёрнах, 1кг	1 699,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/80/p/kofe-julius-meinl-prezident-klassiceskaa-kollekcia-naturalnyj-zarenyj-v-zernah-1kg-4060069	Wed Jul  3 15:04:46 2024	Кофе Julius Meinl Президент классическая коллекция натуральный жареный в зёрнах, 1кг	Цена2 299,00 ₽	Julius Meinl	331.0	13.9 г	14.4 г	29.5 г	Арабика, робуста. 	True	True	Fri Jul  5 23:21:47 2024
Кофе Fresco Arabica Solo натуральный жареный в зернах, 1000г	1 299,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/80/p/kofe-fresco-arabica-solo-naturalnyj-zarenyj-v-zernah-1000g-4254205	Wed Jul  3 15:04:46 2024	Кофе Fresco Arabica Solo натуральный жареный в зернах, 1000г	Цена1 799,00 ₽	Fresco	330.0	14.0 г	15.0 г	30.0 г	Кофе натуральный. 	True	True	Fri Jul  5 23:21:49 2024
Кофе Verle Бразилия натуральный жареный в зёрнах, 250г	399,00 ₽/шт	250 гр	https://www.perekrestok.ru/cat/80/p/kofe-verle-brazilia-naturalnyj-zarenyj-v-zernah-250g-4332726	Wed Jul  3 15:04:46 2024	Кофе Verle Бразилия натуральный жареный в зёрнах, 250г	Цена399,00 ₽	Verle	0.0	0.0 г	0.0 г	0.0 г	Натуральный жареный кофе 	True	True	Fri Jul  5 23:21:50 2024
