name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Конфеты Золотой Степ Славянка, 192г	139,99 ₽/шт	192 гр	https://www.perekrestok.ru/cat/193/p/konfety-zolotoj-step-slavanka-192g-3639554	Wed Jul  3 15:03:20 2024	Конфеты Золотой Степ Славянка, 192г	Цена124,99 ₽	Золотой степ	499.0	10.5 г	27.5 г	51.0 г	Арахис, патока, сахар, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахара (сахароза, лактоза)), жир растительный (масла растительные, антиокислители: (Е319, кислота лимонная)), эквивалент масла какао (масла растительные, эмульгатор лецитин соевый, антиокислители (Е306, кислота лимонная)), сыворотка молочная сухая, какао-тертое, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476), заменитель масла какао (масла растительные, эмульгаторы (Е492, лецитин соевый), антиокислитель Е306), соль, ядра фундука тертые, ароматизаторы, какао-порошок. 	True	True	Fri Jul  5 22:16:04 2024
Конфеты Красный Октябрь Кара-Кум, 250г	359,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-kara-kum-250g-2062117	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Кара-Кум, 250г	Цена379,99 ₽	Красный Октябрь	410.0	5.5 г	29.0 г	59.0 г	"Сахар, шоколадная глазурь (сахар, какао тертое, эквивалент масла какао (растительные негидрогенизированны­е масла (пальмовое, ши, иллипе, подсолнечное)), какао-порошок, эмульгаторы: лецитин соевый, Е476, ароматизатор ""Ваниль""), какао тертое, масло какао, ядро ореха миндаля тертое, вафли дробленые (мука пшеничная хлебопекарная, масло подсолнечное рафинированное дезодорированное, соль, эмульгатор - лецитин соевый, разрыхлитель - гидрокарбонат натрия), заменитель молочного жира (рафинированные дезодорированные растительные масла: частично гидрогенизированное пальмовое масло, антиокислитель токоферолы, концентрат смеси), арахис тертый, антиокислитель - аскорбиновая кислота, эмульгатор - лецитин соевый, ароматизатор ""Ванильно - сливочный"". "	True	True	Fri Jul  5 22:16:04 2024
Конфеты Красный Октябрь Ласточка, 250г	194,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-lastocka-250g-2057829	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Ласточка, 250г	Цена209,99 ₽	Красный Октябрь	400.0	2.5 г	9.0 г	77.0 г	Сахар, шоколадная глазурь(сахар, какао тертое, эквивалент масло какао, (растительные негидрогенизированны­е масла(пальмовое масло, ши, иллипе, подсолнечное)), какао порошок, эмульгаторы: лецитин соевый, Е476, аромат Ваниль), сгущенное молоко с сахаром (цельное молоко,сахар), потока, пюре апельсиновое (апельсины,концентрат-диоксид серы), какао-порошок, заменитель молочного жира (рафинированные, дезодорированные растительные масла:частично гидрогенезированное пальмовое масло, частично гидрогенизированное подсолнечное масло, пальмоядровое масло, антиокислитель токоферолы, концентрат смеси),ароматизатор Апельсин. 	True	True	Fri Jul  5 22:16:05 2024
Конфеты Красный Октябрь Цитрон, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-citron-250g-2057831	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Цитрон, 250г	Цена199,99 ₽	Красный Октябрь	410.0	1.0 г	8.0 г	81.0 г	"Сахар, шоколадная глазурь (сахар, какао тёртое, эквивалент масла какао, растительные негидрогенизированны­е масла (пальмовое, ши, иллипе, подсолнечное)), какао-порошок, эмульгаторы: лецитин соевый, Е476, ароматизатор "" Ваниль""), патока, пюре яблочное (яблоки, консервант - диоксид серы), регулятор кислотности - лимонная кислота, краситель Е100, ароматизатор ""Лимон"". "	True	True	Fri Jul  5 22:16:06 2024
Конфеты Красный Октябрь Маска, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-maska-250g-2057832	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Маска, 250г	Цена239,99 ₽	Красный Октябрь	530.0	9.0 г	31.0 г	54.0 г	"Сахар, шоколадная глазурь(сахар, какао тертое, эквивалент какао масла(растительные негидрогенезированны­е масла (пальмовое, ши, иллипе, подсолнечное)), какао порошок, эмульгаторы Е322, Е476, ароматизатор ""Ванильный""), заменитель масла какао (частично гидрогенизированная фракция пальмового масла, эмульгаторы: Е492,соевый лецитин, антиокислители,токоферолы,концентрат смеси, лимонная кислота), арахис тертый, сухое цельное молоко, мука соевая дезодорированная, какао порошок, антиокислитель Е 300, ароматизатор, идентичный натуральному ""Ванильный"". Противопоказано при индивидуальной непереносимости белка молока и яичного белка. Возможно наличие незначительного количества ореха, фундука, ореха миндаля, кунжута, яичного порошка, муки пшеничной, крахмала картофельного, кокосовой стружки. "	True	True	Fri Jul  5 22:16:07 2024
Конфеты Красный Октябрь Красная шапочка, 250г	379,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-krasnaa-sapocka-250g-2057828	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Красная шапочка, 250г	Цена379,99 ₽	Красный Октябрь	530.0	7.5 г	29.0 г	58.0 г	"Шоколадная глазурь (сахар, какое тёртое, эквивалент масла какао (растительные негидрогенизированные масла (пальмовое, ши, иллипе, подсолнечное)), какое-порошок, эмульгаторы: лецитин соевый, E476; ароматизатор ""Ванильный""), сахар, арахис тёртый, вафли листовые (вода питьевая, мука пшеничная хлебопераная, масло подсолнечное (рафинированное дезодорированное), меланж сухой яичный, эмульгатор лецитин соевый, соль, разрыхлитель - гидрокарбонат натрия, регулятор кислотности - лимонная кислота), заменитель масла какао (частично гидрогенизированная фракция пальмового масла, эмульгаторы:E492, лецитин соевый;антиокислители: токоферолы, концентрат смеси, лимонная кислота), эмульгатор лецитин соевый, ароматизатор ""Ваниль"", антиокислитель - аскорбиновая кислота. Возможно наличие незначительного количества ореха, миндаля, ореха кешью, сухого цельного молока. "	True	True	Fri Jul  5 22:16:08 2024
Конфеты Акконд Птица дивная, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/193/p/konfety-akkond-ptica-divnaa-300g-3281142	Wed Jul  3 15:03:20 2024	Конфеты Акконд Птица дивная, 300г	Цена239,99 ₽	Птица дивная	440.0	2.5 г	22.0 г	58.0 г	Сливочное суфле (сахар, патока, масло сливочное (пастеризованные сливки), молоко сгущенное с сахаром (молоко цельное,молоко обезжиренное, сахара-сахароза,лактоза), белок яичный,желирующий агент-агар, консервант-кислота сорбиновая, ароматизатор- ванилин); шоколадная глазурь ( сахар. какао-порошок, тертое какао, масло какао, эквивалент масла какао (на основе растительных масел- пальмовое и ши, эмульгатор- соевый лецитин), эмульгаторы-соевый лецитин, Е476, ароматизатор- ванильный). 	True	True	Fri Jul  5 22:16:09 2024
Конфеты Красный Октябрь Мишка косолапый, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-miska-kosolapyj-200g-3611870	Wed Jul  3 15:03:20 2024	Конфеты Красный Октябрь Мишка косолапый, 200г	Цена199,99 ₽	Красный Октябрь	530.0	6.0 г	30.0 г	58.0 г	"Шоколадная глазурь(сахар, какао тертое, эквивалент масла какао (растительные негидрогенизированны­е масла (пальмовое, ши, подсолнечное), какао порошок, эмульгаторы: лецитин соевый, Е476, ароматизатор ""ваниль""), сахар, ядро ореха миндаля тертое, масло какао, вафли листовые(мука пшеничная, масло подсолнечное, соль поваренная, эмульгатор Е322, разрыхлитель сода пищевая), антиокислитель Е306, ароматизатор идентичный натуральному ""Ваниль"". Возможно наличие следов фундука, молочных продуктов и арахиса. "	True	True	Fri Jul  5 22:16:10 2024
Конфеты Рот Фронт Птичье молоко настоящее, 225г	239,99 ₽/шт	225 гр	https://www.perekrestok.ru/cat/193/p/konfety-rot-front-ptice-moloko-nastoasee-225g-3291332	Wed Jul  3 15:03:20 2024	Конфеты Рот Фронт Птичье молоко настоящее, 225г	Цена239,99 ₽	Рот Фронт	460.0	2.5 г	25.0 г	55.0 г	"Шоколадная глазурь (сахар, какао тертое, эквивалент масла какао (рафинированные, дезодорированные, фракционированные, негидрогенизированные растительные масла (пальмовое, ши)), какао- порошок, эмульгаторы лецитин соевый, E476, ароматизатор ""Ваниль""), сахар, вода питьевая, заменитель молочного жира (рафинированные дезодорированные растительные масло: пальмовое масло, частично гидрогенизированное пальмовое масло, соевое масло, антиокислители: лимонная кислота, аскорбиллальмитат, токоферолы, концентрат смеси, лецитин подсолнечника), патока, сгущенное с сахаром молоко (цельное молоко, сахар), белок сухой яичный, желирующий агент – агар, регулятор кислотности – лимонная кислота, консервант E202, ароматизатор натуральный «Ваниль», ароматизатор «Масло-Сливки», соль. "	True	True	Fri Jul  5 22:16:10 2024
Конфеты ассорти Зелёная Линия, 200г	219,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-assorti-zelenaa-linia-200g-4091384	Wed Jul  3 15:03:20 2024	Конфеты ассорти Зелёная Линия, 200г	Цена219,99 ₽	Зелёная Линия	381.0	7.4 г	16.3 г	153.3 г	Конфеты финики и грецкий орех: финиковая паста, грецкий орех, арахис жареный, семена кунжута. Конфеты кешью и инжир: финиковая паста, кешью, инжирная паста, арахис жареный. Конфеты финики и кокос: финиковая паста, кокосовая стружка, семена кунжута. 	True	True	Fri Jul  5 22:16:11 2024
