name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Конфитюр Zuegg Вильямс грушевый экстра, 320г	279,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-vilams-grusevyj-ekstra-320g-3404166	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg Вильямс грушевый экстра, 320г	Цена279,99 ₽	Zuegg	196.0	0.0 г	0.0 г	48.0 г	Груша Вильямс, сахар, желеобразователь: пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:23 2024
Конфитюр Zuegg из инжира экстра, 330г	279,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-iz-inzira-ekstra-330g-3404165	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg из инжира экстра, 330г	Цена279,99 ₽	Zuegg	241.0	0.5 г	0.0 г	59.0 г	Инжир, сахар, лимонный сок, желеобразователь: пектин. 	True	True	Fri Jul  5 23:46:24 2024
Конфитюр Zuegg клубника с земляникой с пониженной калорийностью, 220г	359,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-klubnika-s-zemlanikoj-s-ponizennoj-kalorijnostu-220g-4267607	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg клубника с земляникой с пониженной калорийностью, 220г	Цена329,99 ₽	Zuegg	46.0	0.5 г	0.0 г	12.5 г	Клубника, подсластители, вода, Земляника, желирующий агент: пектин, концентрированный сок лимона. 	True	True	Fri Jul  5 23:46:25 2024
Конфитюр Zuegg из абрикосов, 220г	359,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-iz-abrikosov-220g-4268617	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg из абрикосов, 220г	Цена329,99 ₽	Zuegg	44.0	0.5 г	0.0 г	12.0 г	Абрикос, вода, подсластители, желирующий агент: пектин, концентрированный сок лимона. 	True	True	Fri Jul  5 23:46:25 2024
Конфитюр Zuegg абрикосовый экстра, 320г	379,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-abrikosovyj-ekstra-320g-3354058	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg абрикосовый экстра, 320г	Цена379,99 ₽	Zuegg	193.0	0.3 г	0.0 г	47.0 г	Абрикосы сахар, желеобразователь: пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:26 2024
Конфитюр Zuegg клубничный экстра, 320г	379,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-klubnicnyj-ekstra-320g-3354061	Wed Jul  3 15:05:16 2024	Конфитюр Zuegg клубничный экстра, 320г	Цена379,99 ₽	Zuegg	190.0	0.4 г	0.0 г	46.0 г	Клубника, сахар, желеобразователь: пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:27 2024
Конфитюр Ратибор грушевый, 350г	169,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/775/p/konfitur-ratibor-grusevyj-350g-3491217	Thu Jul  4 08:49:44 2024	Конфитюр Ратибор грушевый, 350г	Цена219,99 ₽	Ратибор	200.0	none	none	50.0 г	Груша, сахар, вода, загуститель - пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:28 2024
Конфитюр Ратибор вишнёвый, 350г	169,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/775/p/konfitur-ratibor-visnevyj-350g-3491216	Thu Jul  4 08:49:44 2024	Конфитюр Ратибор вишнёвый, 350г	Цена219,99 ₽	Ратибор	220.0	none	none	50.0 г	Вишня, сахар, вода, загуститель - пектин. 	True	True	Fri Jul  5 23:46:29 2024
Конфитюр Ратибор из апельсина с лимоном, 350г	169,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/775/p/konfitur-ratibor-iz-apelsina-s-limonom-350g-3491219	Thu Jul  4 08:49:44 2024	Конфитюр Ратибор из апельсина с лимоном, 350г	Цена219,99 ₽	Ратибор	250.0	none	none	62.0 г	Фрукты (апельсин, лимон), сахар, загуститель - пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:30 2024
Конфитюр Ратибор из манго, 350г	194,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/775/p/konfitur-ratibor-iz-mango-350g-4343183	Thu Jul  4 08:49:44 2024	Конфитюр Ратибор из манго, 350г	Цена219,99 ₽	Ратибор	200.0	0.0 г	0.0 г	50.0 г	манго, сахар, вода, загуститель - пектин, лимонный сок 	True	True	Fri Jul  5 23:46:31 2024
Конфитюр Ратибор из киви, 350г	169,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/775/p/konfitur-ratibor-iz-kivi-350g-4342707	Thu Jul  4 08:49:44 2024	Конфитюр Ратибор из киви, 350г	Цена219,99 ₽	Ратибор	200.0	0.0 г	0.0 г	50.0 г	киви, сахар, вода, загуститель - пектин, лимонный сок 	True	True	Fri Jul  5 23:46:32 2024
Конфитюр Darbo из розовых абрикос 70% фруктов, 200г	299,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/775/p/konfitur-darbo-iz-rozovyh-abrikos-70-fruktov-200g-9284	Thu Jul  4 08:49:44 2024	Конфитюр Darbo из розовых абрикос 70% фруктов, 200г	Цена369,99 ₽	Darbo	162.0	0.8 г	0.0 г	39.0 г	Абрикосы 70%, сахар, концентрированный лимонный сок, загуститель: пектин. 	True	True	Fri Jul  5 23:46:33 2024
Конфитюр Darbo вишнёвый низкокалорийный, 220г	409,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/775/p/konfitur-darbo-visnevyj-nizkokalorijnyj-220g-3279829	Thu Jul  4 08:49:44 2024	Конфитюр Darbo вишнёвый низкокалорийный, 220г	Цена399,99 ₽	Darbo	80.0	0.6 г	0.1 г	24.0 г	Вишня 60%, вода, фруктоза, подсластители: эритрол и ацесульфам калия, концентрированный лимонный сок, загуститель: пектины. 	True	True	Fri Jul  5 23:46:34 2024
Конфитюр Zuegg экстра из лесных ягод, 320г	379,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-ekstra-iz-lesnyh-agod-320g-4268402	Thu Jul  4 08:49:44 2024	Конфитюр Zuegg экстра из лесных ягод, 320г	Цена379,99 ₽	Zuegg	198.0	0.5 г	0.0 г	48.0 г	Лесные ягоды (малина, клубника, ежевика, сородина, черника), сахар, желирующий агент: пектин, концентрированный лимрнный сок. 	True	True	Fri Jul  5 23:46:35 2024
Конфитюр Zuegg экстра из персиков, 320г	379,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/775/p/konfitur-zuegg-ekstra-iz-persikov-320g-4268401	Thu Jul  4 08:49:44 2024	Конфитюр Zuegg экстра из персиков, 320г	Цена379,99 ₽	Zuegg	195.0	0.4 г	0.0 г	48.0 г	Персики, сахар, желеобразователь: пектин, лимонный сок. 	True	True	Fri Jul  5 23:46:36 2024
Конфитюр Frueva из инжира, 310г	319,99 ₽/шт	310 мл	https://www.perekrestok.ru/cat/775/p/konfitur-frueva-iz-inzira-310g-4068149	Thu Jul  4 08:49:44 2024	Конфитюр Frueva из инжира, 310г	Цена299,99 ₽	Frueva	180.0	0.0 г	0.0 г	45.0 г	Инжир, жидкий виноградный сахар, вода, лимонный сок, загуститель:пектин. 	True	True	Fri Jul  5 23:46:37 2024
