name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Гречка ядрица пропаренная Маркет Перекрёсток, 900г	109,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/grecka-adrica-proparennaa-market-perekrestok-900g-3477255	Wed Jul  3 15:02:56 2024	Гречка ядрица пропаренная Маркет Перекрёсток, 900г	Цена109,99 ₽	Маркет	350.0	13.0 г	3.0 г	68.0 г	Крупа гречневая ядрица. 	True	True	Fri Jul  5 21:47:48 2024
Рис длиннозёрный Маркет Перекрёсток, 900г	154,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-dlinnozernyj-market-perekrestok-900g-3469126	Wed Jul  3 15:02:56 2024	Рис длиннозёрный Маркет Перекрёсток, 900г	Цена154,99 ₽	Маркет	340.0	7.0 г	0.4 г	77.0 г	Крупа рисовая шлифованная рис длиннозерный. 	True	True	Fri Jul  5 21:47:50 2024
Кускус Зелёная Линия, 350г	109,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/107/p/kuskus-zelenaa-linia-350g-4151856	Wed Jul  3 15:02:56 2024	Кускус Зелёная Линия, 350г	Цена139,99 ₽	Зелёная Линия	370.0	13.0 г	0.5 г	77.0 г	Крупа кускус. 	True	True	Fri Jul  5 21:47:51 2024
Киноа белая Зелёная Линия, 350г	189,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/107/p/kinoa-belaa-zelenaa-linia-350g-4151854	Wed Jul  3 15:02:56 2024	Киноа белая Зелёная Линия, 350г	Цена239,99 ₽	Зелёная Линия	320.0	14.0 г	6.0 г	52.0 г	Киноа белая. 	True	True	Fri Jul  5 21:47:52 2024
Булгур из пшеницы Зелёная Линия, 400г	119,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/bulgur-iz-psenicy-zelenaa-linia-400g-4151852	Wed Jul  3 15:02:56 2024	Булгур из пшеницы Зелёная Линия, 400г	Цена119,99 ₽	Зелёная Линия	340.0	12.0 г	1.5 г	76.0 г	Булгур. 	True	True	Fri Jul  5 21:47:52 2024
Гречка зелёная ядрица 1 сорт Зелёная Линия, 400г	154,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/grecka-zelenaa-adrica-1-sort-zelenaa-linia-400g-4151853	Wed Jul  3 15:02:56 2024	Гречка зелёная ядрица 1 сорт Зелёная Линия, 400г	Цена154,99 ₽	Зелёная Линия	370.0	13.0 г	3.5 г	72.0 г	Крупа гречневая зеленая ядрица. Может содержать следы глютена, горчицы, сои, орехов, арахиса, сельдерея, кунжута. 	True	True	Fri Jul  5 21:47:53 2024
Рис Мистраль Кубань белый круглозёрный, 900г	184,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-kuban-belyj-kruglozernyj-900g-3766	Wed Jul  3 15:02:56 2024	Рис Мистраль Кубань белый круглозёрный, 900г	Цена184,99 ₽	Мистраль	346.0	5.6 г	0.2 г	81.9 г	Рис. 	True	True	Fri Jul  5 21:47:54 2024
Рис Мистраль Янтарь длиннозёрный пропаренный, 900г	229,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-antar-dlinnozernyj-proparennyj-900g-57930	Wed Jul  3 15:02:56 2024	Рис Мистраль Янтарь длиннозёрный пропаренный, 900г	Цена229,99 ₽	Мистраль	341.0	7.2 г	0.5 г	80.0 г	Рис. 	True	True	Fri Jul  5 21:47:55 2024
Рис Националь для плова шлифованный, 900г	159,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-nacional-dla-plova-slifovannyj-900g-3413111	Wed Jul  3 15:02:56 2024	Рис Националь для плова шлифованный, 900г	Цена159,99 ₽	Националь	360.0	6.5 г	0.5 г	83.0 г	Рис. 	True	True	Fri Jul  5 21:47:56 2024
Рис Увелка круглозёрный шлифованный, 5х80г	97,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-uvelka-kruglozernyj-slifovannyj-5h80g-3603169	Wed Jul  3 15:02:56 2024	Рис Увелка круглозёрный шлифованный, 5х80г	Цена109,99 ₽	Увелка	340.0	8.0 г	1.0 г	76.0 г	Рис круглозерный шлифованный. 	True	True	Fri Jul  5 21:47:57 2024
