name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кукурузные палочки Кузя лакомкин с сахарной пудрой, 190г	84,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/713/p/kukuruznye-palocki-kuza-lakomkin-s-saharnoj-pudroj-190g-4096123	Wed Jul  3 15:03:07 2024	Кукурузные палочки Кузя лакомкин с сахарной пудрой, 190г	Цена129,99 ₽	Кузя Лакомкин	490.0	4.0 г	24.0 г	65.0 г	Крупа кукурузная, сахарная пудра, масло растительное (подсолнечное), соль, натуральный ароматизатор. может содержать следы молочного белка, сои, глютена. 	True	True	Fri Jul  5 21:59:01 2024
Палочки кукурузные Кузя Лакомкин сладкие, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-kuza-lakomkin-sladkie-140g-3370312	Wed Jul  3 15:03:07 2024	Палочки кукурузные Кузя Лакомкин сладкие, 140г	Цена49,99 ₽	Кузя Лакомкин	490.0	4.0 г	24.0 г	65.0 г	крупа кукурузная, масло (соевое) растительное рафинированное дезодорированное, сахарная пудра, соль, ароматизатор «Ваниль» 	True	True	Fri Jul  5 21:59:02 2024
Кукурузные снеки Cheetos Сыр, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	Wed Jul  3 15:03:07 2024	Кукурузные снеки Cheetos Сыр, 85г	Цена97,99 ₽	Cheetos	470.0	7.0 г	22.0 г	62.0 г	Крупа кукурузная, масло растительное, ароматизатор [пшеничная мука, сухая молочная сыворотка, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-гуанилат натрия 2-замещенный, 5'-инозинат натрия 2-замещенный), агент желирующий (хлорид калия), сахар, вкусоароматические вещества, регулятор кислотности (лимонная кислота), краситель (экстракт паприки). 	True	True	Fri Jul  5 21:59:03 2024
Палочки кукурузные Cheetos Сыр, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	Wed Jul  3 15:03:07 2024	Палочки кукурузные Cheetos Сыр, 50г	Цена54,99 ₽	Cheetos	470.0	7.0 г	22.0 г	62.0 г	Крупа кукурузная, масло растительное, ароматизатор (панировочные сухари (содержат пшеницу, рожь), сухая молочная сыворотка, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5-инозинат натрия 2-замещенный, 5-гуанилат натрия 2-замещенный), агент желирующий (хлорид калия), сахар, вкусоароматические вещества, регулятор кислотности (лимонная кислота), краситель (экстракт паприки)). 	True	True	Fri Jul  5 21:59:05 2024
Кукурузные снеки Cheetos Кетчуп, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	Wed Jul  3 15:03:07 2024	Кукурузные снеки Cheetos Кетчуп, 85г	Цена97,99 ₽	Cheetos	480.0	7.0 г	22.0 г	63.0 г	Крупа кукурузная, масло растительное, ароматизатор [пшеничная мука, соль, сахароза, вкусоароматические вещества (содержат производные молока), усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-инозинат натрия 2-замещенный, 5'-гуанилат натрия 2-замещенный), гидролизованный растительный белок (содержит сою), термический технологический ароматизатор, краситель (экстракт паприки), регулятор кислотности (лимонная кислота), специи. 	True	True	Fri Jul  5 21:59:05 2024
Палочки Cheetos кукурузные Кетчуп, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	Wed Jul  3 15:03:07 2024	Палочки Cheetos кукурузные Кетчуп, 50г	Цена54,99 ₽	Cheetos	490.0	7.5 г	23.0 г	63.0 г	Крупа кукурузная, масло рапсовое, мука пшеничная, ароматизатор [соль, сахар, вкусоароматические вещества (содержат производные молока), усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-инозинат натрия 2-замещенный, 5'-гуанилат натрия 2-замещенный), гидролизованный растительный белок (содержит сою), термический технологический ароматизатор, краситель (экстракт паприки), регулятор кислотности (лимонная кислота), специи]. 	True	True	Fri Jul  5 21:59:06 2024
Палочки кукурузные сладкие Ухтышки, 140г	63,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-sladkie-uhtyski-140g-3922199	Wed Jul  3 15:03:07 2024	Палочки кукурузные сладкие Ухтышки, 140г	Цена67,99 ₽	Ухтышки	410.0	6.1 г	12.9 г	67.2 г	Крупа кукурузная, пудра сахарная, масло подсолнечное рафинированное дезодорированное, вода питьевая, соль пищевая. 	True	True	Fri Jul  5 21:59:08 2024
Снеки Cheetos кукурузные со вкусом краба, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	Wed Jul  3 15:03:07 2024	Снеки Cheetos кукурузные со вкусом краба, 50г	Цена65,99 ₽	Cheetos	490.0	6.5 г	24.0 г	62.0 г	Крупа кукурузная, масло рапсовое, ароматизатор [сухая молочная сыворотка, сахар, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5’-гуанилат натрия 2-замещенный, 5’-инозинат натрия 2-замещенный), вкусоароматические вещества, томатный порошок, порошок сухого молока, термический технологический ароматизатор, специи, травы, краситель (экстракт паприки)]. 	True	True	Fri Jul  5 21:59:08 2024
Палочки кукурузные Lava Lava со вкусом клубника-банан, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-klubnika-banan-50g-4259992	Wed Jul  3 15:03:07 2024	Палочки кукурузные Lava Lava со вкусом клубника-банан, 50г	Цена79,99 ₽	Lava-Lava	455.0	4.5 г	19.0 г	67.0 г	Крупа кукурузная, сахар, масло подсолнечное рафинированное дезодорированное, соль, ароматизаторы пищевые, вода питьевая. 	True	True	Fri Jul  5 21:59:09 2024
Палочки кукурузные Lava Lava со вкусом тутти-фрутти, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-tutti-frutti-50g-4259993	Wed Jul  3 15:03:07 2024	Палочки кукурузные Lava Lava со вкусом тутти-фрутти, 50г	Цена75,99 ₽	Lava-Lava	463.0	4.8 г	20.0 г	65.0 г	Крупа кукурузная, сахар, масло подсолнечное рафинированное дезодорированное, соль, ароматизатор пищевой, вода питьевая. 	True	True	Fri Jul  5 21:59:10 2024
Снеки кукурузные Cheetos Краб, 85г	99,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-cheetos-krab-85g-4157228	Sun Jul  7 13:44:17 2024	Снеки кукурузные Cheetos Краб, 85г	Цена97,99 ₽	Cheetos	490.0	6.5 г	24.0 г	62.0 г	Крупа кукурузная, масло рапсовое, ароматизатор [сухая молочная сыворотка, сахар, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5’-гуанилат натрия 2-замещенный, 5’-инозинат натрия 2-замещенный), вкусоароматические вещества, томатный порошок, порошок сухого молока, термический технологический ароматизатор, специи, травы, краситель (экстракт паприки)], сахар, агент антислеживающий (карбонат кальция), карамелизованный сахар, экстракт моркови. 	True	True	Sun Jul  7 18:06:58 2024
Косички Кукурузные Lope-Lope, 70г	99,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/713/p/kosicki-kukuruznye-lope-lope-70g-3463894	Sun Jul  7 13:44:17 2024	Косички Кукурузные Lope-Lope, 70г	Цена99,99 ₽	Lope-Lope	330.0	7.5 г	1.2 г	82.3 г	none	True	True	Sun Jul  7 18:06:59 2024
Палочки Кузя Лакомкин кукурузные со вкусом клубники, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/713/p/palocki-kuza-lakomkin-kukuruznye-so-vkusom-klubniki-100g-4173808	Sun Jul  7 16:58:21 2024	Палочки Кузя Лакомкин кукурузные со вкусом клубники, 100г	Цена59,99 ₽	Кузя Лакомкин	510.0	4.0 г	23.0 г	72.0 г	Крупа кукурузная, сахарная пудра, масло растительное (подсолнечное), соль, натуральный ароматизатор клубника. 	True	True	Sun Jul  7 18:07:00 2024
Палочки Кузя Лакомкин кукурузные с апельсином, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/713/p/palocki-kuza-lakomkin-kukuruznye-s-apelsinom-100g-4168294	Sun Jul  7 16:58:21 2024	Палочки Кузя Лакомкин кукурузные с апельсином, 100г	Цена59,99 ₽	Кузя Лакомкин	510.0	4.0 г	23.0 г	72.0 г	Крупа кукурузная, масло (соевое) растительное рафинированное дезодорированное, сахарная пудра, соль, комплексная пищевая добавка апельсин, ароматизатор апельсин. 	True	True	Sun Jul  7 18:07:01 2024
Кукурузные палочки Holy Corn Малина, 50г	45,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/713/p/kukuruznye-palocki-holy-corn-malina-50g-4244969	Sun Jul  7 16:58:21 2024	Кукурузные палочки Holy Corn Малина, 50г	Цена45,99 ₽	Holy Corn	477.0	3.8 г	20.3 г	68.3 г	Кукурузная крупа, высокоолеиновое подсолнечное масло, тростниковый сахар, натуральный ароматизатор малина, натуральный ароматизатор сливки, малина сушеная, натуральный краситель красный свекольный. 	True	True	Sun Jul  7 18:07:02 2024
Палочки кукурузные Lava Lava со вкусом апельсин-цитрусы, 50г	43,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-lava-lava-so-vkusom-apelsin-citrusy-50g-4259995	Sun Jul  7 16:58:21 2024	Палочки кукурузные Lava Lava со вкусом апельсин-цитрусы, 50г	Цена43,99 ₽	Lava-Lava	460.0	4.0 г	19.0 г	67.0 г	Крупа кукурузная, сахар, масло подсолнечное рафинированное дезодорированное, соль, ароматизатор пищевой, вода питьевая. 	True	True	Sun Jul  7 18:07:03 2024
Палочки кукурузные Vitek Десертные, 60г	21,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-vitek-desertnye-60g-4029859	Sun Jul  7 17:12:20 2024	Палочки кукурузные Vitek Десертные, 60г	Цена21,99 ₽	Vitek	483.0	4.0 г	25.0 г	62.0 г	"Крупа кукурузная,сахар,масло подсолнечное рафинированное,дезодорированное,ароматизатор ""ванилин"",соль пищевая поваренная,регулятор кислотности-кислота лимонная,краситель ""аннато"". "	True	True	Sun Jul  7 18:07:04 2024
Палочки кукурузные Рузик Макси сладкие, 150г	55,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/713/p/palocki-kukuruznye-ruzik-maksi-sladkie-150g-2084005	Sun Jul  7 17:19:31 2024	Палочки кукурузные Рузик Макси сладкие, 150г	Цена57,99 ₽	Рузик	416.0	4.3 г	12.9 г	71.0 г	Крупа кукурузная, сахар, масло подсолнечное рафинированное дезодорированное, соль, вода питьевая. 	True	True	Sun Jul  7 18:07:04 2024
Палочки Cheese Lol Сыр кукурузные, 60г	57,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/713/p/palocki-cheese-lol-syr-kukuruznye-60g-4286577	Sun Jul  7 17:19:31 2024	Палочки Cheese Lol Сыр кукурузные, 60г	Цена63,99 ₽	none	435.0	6.8 г	17.0 г	63.4 г	none	True	True	Sun Jul  7 18:07:05 2024
