name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ролл пшеничный Каравай, 200г	64,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/244/p/roll-psenicnyj-karavaj-200g-3366353	Wed Jul  3 15:03:57 2024	Ролл пшеничный Каравай, 200г	Цена64,99 ₽	Каравай	240.0	7.5 г	1.0 г	49.0 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль поваренная пищевая. 	True	True	Fri Jul  5 22:52:54 2024
Лаваш Рижский Хлеб мини из пшеничной муки Мини, 200г	59,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/244/p/lavas-rizskij-hleb-mini-iz-psenicnoj-muki-mini-200g-3940608	Wed Jul  3 15:03:57 2024	Лаваш Рижский Хлеб мини из пшеничной муки Мини, 200г	Цена65,99 ₽	Рижский Хлеб	290.0	8.0 г	1.0 г	55.0 г	Мука пшеничная хлебопекарная высшего сорта, мука пшеничная хлебопекарная 1 сорта, вода питьевая, соль поваренная пищевая. 	True	True	Fri Jul  5 22:52:55 2024
Лаваш Mission Деревенский, 270г	114,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/244/p/lavas-mission-derevenskij-270g-4096013	Wed Jul  3 15:03:57 2024	Лаваш Mission Деревенский, 270г	Цена109,99 ₽	Mission	390.0	8.0 г	7.0 г	47.0 г	Мука пшеничная хлебопекарная высший сорт, вода, масло растительное, агент влагоудерживающий глицерин, глютен пшеничный, солод ржаной ферментированный, соль поваренная пищевая, мальтодекстрин, эмульгатор Е471, консерванты(сорбат калия, пропионат кальция), регулятор кислотности яблочная кислота, разрыхлители(Е450i, гидрокарбонат натрия), стабилизатор гуаровая камедь, агент антислеживающий Е536, вещество для обработки муки Е920. Может содержать следовые количества молочных продуктов. 	True	True	Fri Jul  5 22:52:56 2024
Лаваш Каравай армянский, 250г	69,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/244/p/lavas-karavaj-armanskij-250g-3114089	Wed Jul  3 15:03:57 2024	Лаваш Каравай армянский, 250г	Цена69,99 ₽	Каравай	220.0	8.0 г	0.0 г	48.0 г	Мука пшеничная хлебопекарная первого сорта, вода питьевая, мука пшеничная хлебопекарная высшего сорта, соль. 	True	True	Fri Jul  5 22:52:57 2024
Лаваш Арнаут Тандырный, 200г	73,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/244/p/lavas-arnaut-tandyrnyj-200g-4268751	Wed Jul  3 15:03:57 2024	Лаваш Арнаут Тандырный, 200г	Цена73,99 ₽	Арнаут	209.0	6.7 г	0.8 г	43.6 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль. 	True	True	Fri Jul  5 22:52:57 2024
Лаваши-малыши Арнуат из пшеничной муки, 140г	53,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/244/p/lavasi-malysi-arnuat-iz-psenicnoj-muki-140g-4336449	Wed Jul  3 15:03:57 2024	Лаваши-малыши Арнуат из пшеничной муки, 140г	Цена53,99 ₽	Арнаут	209.0	6.7 г	0.8 г	43.6 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль. 	True	True	Fri Jul  5 22:52:58 2024
Лаваши-малыши Арнаут сырные из пшеничной муки, 140г	53,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/244/p/lavasi-malysi-arnaut-syrnye-iz-psenicnoj-muki-140g-4336963	Wed Jul  3 15:03:57 2024	Лаваши-малыши Арнаут сырные из пшеничной муки, 140г	Цена53,99 ₽	Арнаут	238.0	7.4 г	0.8 г	50.7 г	Мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль, комплексная пищевая добавка (соль, сухая молочная сыворотка, ароматизатор «Сыр», усилители вкуса и аромата ( Е621,Е635), сахар, мальтодекстрин, молоко сухое цельное, сыр сухой (сыр, мальтодекстрин, эмульгирующая соль ( Е339ii)), регулятор кислотности (Е270), агент антислеживающий ( Е551), краситель (Е160с)) . 	True	True	Fri Jul  5 22:53:00 2024
Лепёшки ржано-пшеничные Хлебный Дом краюшки, 240г	89,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/244/p/lepeski-rzano-psenicnye-hlebnyj-dom-krauski-240g-36560	Wed Jul  3 15:03:57 2024	Лепёшки ржано-пшеничные Хлебный Дом краюшки, 240г	Цена79,99 ₽	Хлебный Дом	226.0	8.6 г	1.4 г	43.4 г	Вода питьевая, мука ржаная хлебопекарная обдирная, мука пшеничная хлебопекарная первого сорта, солод ржаной ферментированный, отруби пшеничные, хлопья картофельные), экстракт солодовый, глютен пшеничный, патока, соль, добавка комплексная пищевая (клейковина пшеничная, мука пшеничная, эмульгаторы Е482 и Е471, мука солодовая, декстроза, загуститель - камедь гуаровая, регулятор кислотности - ацетаты натрия, фермент – амилаза, антиокислитель – кислота аскорбиновая), дрожжи хлебопекарные, кориандр, стабилизатор – ацетат кальция. 	True	True	Fri Jul  5 22:53:01 2024
Лепёшка пшеничная Delicados тортильи мексиканские сырные, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/244/p/lepeska-psenicnaa-delicados-tortili-meksikanskie-syrnye-400g-2039592	Wed Jul  3 15:03:57 2024	Лепёшка пшеничная Delicados тортильи мексиканские сырные, 400г	Цена169,99 ₽	Delicados	270.0	6.5 г	7.0 г	45.0 г	Мука пшеничная в/с, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (Е319, лимонная кислота)), ароматизатор (сыворотка молочная сухая, соль, лук порошок, чеснок порошок, усилитель вкуса и аромата (Е621, Е627, Е631)), глюкоза, жир растительный, натуральные вкусоароматические вещества, вкусоаромитические вещества, регуляторы кислотности (молочная кислота, винная кислота, лимонная кислота, лактат кальция), агент антислеживающий Е551), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий, глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота, яблочная кислота), соль, глютен пшеничный, консерванты (сорбат калия, пропионат кальция, Е223), стабилизатор Е466, краситель бета-каротн, антиокислитель альфа-Токоферол, агент антислеживающий Е536. Содержит молочный продукт. 	True	True	Fri Jul  5 22:53:01 2024
Лепёшка пшеничная Delicados тортильи мексиканские, 400г	119,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/244/p/lepeska-psenicnaa-delicados-tortili-meksikanskie-400g-2039589	Wed Jul  3 15:03:57 2024	Лепёшка пшеничная Delicados тортильи мексиканские, 400г	Цена159,99 ₽	Delicados	280.0	7.0 г	7.0 г	46.0 г	Мука пшеничная в/с, вода, жир специального назначения (рафинированные дезодорированные фракционированные масла: пальмовое, кокосовое, Пальмоядровое, эмульгатор моно- и диглицериды жирных кислот, комплексная пищевая добавка антиокислитель (ЕЗ19, лимонная кислота)), масло подсолнечное рафинированное дезодорированное в/с, агент влагоудерживающий глицерин, разрыхлители (гидрокарбонат натрия, дигидропирофосфат натрия), регуляторы кислотности (лимонная кислота яблочная кислота), соль, консерванты (сорбат калия, пропионат кальция, Е223), глютен, стабилизатор Е466, ароматизатор, агенты антислеживающие (фосфат кальция, Е536). Может содержать следовые количества молочных продуктов. Продукт готов к употреблению. 	True	True	Fri Jul  5 22:53:02 2024
