name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ликёр Campari десертный 25%, 500мл	1 399,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/16/p/liker-campari-desertnyj-25-500ml-27652	Wed Jul  3 15:05:36 2024	Ликёр Campari десертный 25%, 500мл	Цена1 599,00 ₽	Campari	0.0	0.0 г	0.0 г	0.0 г	Деминерализованная Вода, Сахар, Спирт этиловый ректификованный высшей очистки из пищевого сырья, натуральные Ароматизаторы (фруктовый, травяной, древесный), красители (Е122, Е102, Е133). 	True	True	Sat Jul  6 00:18:37 2024
Ликёр Jagermeister десертный 35%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/16/p/liker-jagermeister-desertnyj-35-700ml-26510	Wed Jul  3 15:05:36 2024	Ликёр Jagermeister десертный 35%, 700мл	Цена1 299,00 ₽	Jagermeister	250.0	0.0 г	0.0 г	13.2 г	Вода подготовленная, Спирт этиловый ректификованный высшей очистки из пищевого сырья, Сахар, экстракты из пряно-аРоматического сырья (трав, кореньев, цветов, листьев, коры, семян и фруктов), Краситель – Сахарный колер I простой. 	True	True	Sat Jul  6 00:18:38 2024
Ликёр Tundra Биттер десертный 35%, 500мл	469,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/16/p/liker-tundra-bitter-desertnyj-35-500ml-3608307	Wed Jul  3 15:05:36 2024	Ликёр Tundra Биттер десертный 35%, 500мл	Цена559,99 ₽	Tundra	0.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья ""Альфа"", Сахарный сироп, настой Спиртованный ликера №2 (трава душицы, трава зверобоя, цветы календулы, цветы и листья кипрея узколистного, кора дуба, мелисса лимонная, мята перечная, трава донника, пустырник обыкновенный, тысячелистник обыкновенный, трава и листья полыни горькой, цветки липы, березовые почки, сосновые почки), Краситель Сахарный колер I простой (CARAMEL I-Plain), настой Спиртованный ликера 1№ (корень калгана, имбирь, корневище и корни девясила, кориандр, корица, корень валерианы лекарственной, гвоздика), Мёд натуральный, настой бадьяна Спиртованный, настой корня солодки Спиртованный. "	True	True	Sat Jul  6 00:18:39 2024
Ликёр Beluga Хантинг Хербал десертный травяной 40%, 50мл	199,99 ₽/шт	50 мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hanting-herbal-desertnyj-travanoj-40-50ml-4255516	Wed Jul  3 15:05:36 2024	Ликёр Beluga Хантинг Хербал десертный травяной 40%, 50мл	Цена199,99 ₽	Beluga	280.0	0.0 г	0.0 г	15.0 г	"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья ""Люкс"", сахарный сироп, настой спиртованный растительного сырья №1: изюма, плодов аниса,травы зверобоя, травы крапивы,вишневого листа, травы душицы обыкновенной, плодов можжевельника обыкновенного, ореха кедрового, травы донника, коры дуба, листьев мяты перечной, травы полыни обыкновенной и хмеля, морс спиртованный рябиновый, настой спиртованный растительного сырья №2 : плодов кориандра, корня имбиря, коры корицы, перца душистого, корня солодки, корня валерианы, почек сосны, родиолы розовой, морс спиртованный грушевый, патока крахмальная мальтозная, пищевая добавка краситель сахарный колер простой (Е150а), морс спиртованный малиновый, пищевая добавка регулятор кислотности - кислота лимонная(Е330), ароматный спирт корки лимонной свежей. "	True	True	Sat Jul  6 00:18:40 2024
Ликёр Beluga Hunting травяной десертный 40%, 500мл	879,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hunting-travanoj-desertnyj-40-500ml-3485671	Wed Jul  3 15:05:36 2024	Ликёр Beluga Hunting травяной десертный 40%, 500мл	Цена1 099,00 ₽	Beluga	280.0	0.0 г	0.0 г	15.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья «Люкс», Сахарный сироп, настой Спиртованный растительного сырья № 1, изюма, плодов аниса, травы зверобоя, травы крапивы, вишневого листа, травы душицы обыкновенной, плодов можжевельника обыкновенного, ореха кедрового, травы донника, коры дуба, листьев мяты перечной, травы полыни обыкновенной и хмеля, морс Спиртованный рябиновый, настой Спиртованный растительного сырья № 2, плодов кориандра, корня имбиря, коры корицы, перца душистого, корня солодки, корня валерианы, почек сосны, родиолы розовой, морс Спиртованный грушевый, патока крахмальная мальтозная, пищевая добавка Краситель Сахарный колер I простой (Е 150а), морс Спиртованный малиновый, пищевая добавка регулятор кислотности - кислота лимонная (Е 330), Ароматный Спирт корки лимонной свежей. 	True	True	Sat Jul  6 00:18:41 2024
Ликёр Tundra Биттер Минт десертный 35%, 500мл	499,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/16/p/liker-tundra-bitter-mint-desertnyj-35-500ml-4221236	Wed Jul  3 15:05:36 2024	Ликёр Tundra Биттер Минт десертный 35%, 500мл	Цена529,99 ₽	Tundra Bitter	250.0	0.0 г	0.0 г	13.0 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Альфа», сахарный сироп, ароматизаторы пищевые мята и охлаждающий, настой спиртованный перечной мяты. 	True	True	Sat Jul  6 00:18:41 2024
Ликёр Gorki List десертный 28%, 700мл	1 049,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/16/p/liker-gorki-list-desertnyj-28-700ml-4167244	Wed Jul  3 15:05:36 2024	Ликёр Gorki List десертный 28%, 700мл	Цена1 099,00 ₽	Gorki List	199.8	0.0 г	0.0 г	0.0 г	Природная вода, спирт этиловый ректификованный высшей очистки из пищевого сырья, сахар, натуральный травяной экстракт. 	True	True	Sat Jul  6 00:18:42 2024
Ликёр Gorki List десертный 28%, 1л	1 299,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/16/p/liker-gorki-list-desertnyj-28-1l-4167243	Wed Jul  3 15:05:36 2024	Ликёр Gorki List десертный 28%, 1л	Цена1 299,00 ₽	Gorki List	199.8	0.0 г	0.0 г	10.0 г	Природная вода, спирт этиловый ректификованный высшей очистки из пищевого сырья, сахар, натуральный травяной экстракт. 	True	True	Sat Jul  6 00:18:43 2024
Ликёр Beluga Хантинг травяной десертный 40%, 250мл	449,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/16/p/liker-beluga-hanting-travanoj-desertnyj-40-250ml-4049651	Wed Jul  3 15:05:36 2024	Ликёр Beluga Хантинг травяной десертный 40%, 250мл	Цена449,99 ₽	Beluga	260.0	0.0 г	0.0 г	12.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья «Люкс», Сахарный сироп, настой Спиртованный растительного сырья № 1, изюма, плодов аниса, травы зверобоя, травы крапивы, вишневого листа, травы душицы обыкновенной, плодов можжевельника обыкновенного, ореха кедрового, травы донника, коры дуба, листьев мяты перечной, травы полыни обыкновенной и хмеля, морс Спиртованный рябиновый, настой Спиртованный растительного сырья № 2, плодов кориандра, корня имбиря, коры корицы, перца душистого, корня солодки, корня валерианы, почек сосны, родиолы розовой, морс Спиртованный грушевый, патока крахмальная мальтозная, пищевая добавка Краситель Сахарный колер I простой (Е 150а), морс Спиртованный малиновый, пищевая добавка регулятор кислотности - кислота лимонная (Е 330), Ароматный Спирт корки лимонной свежей. 	True	True	Sat Jul  6 00:18:44 2024
Ликёр Lamonica Самбука Экстра крепкий 42%, 500мл	469,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/16/p/liker-lamonica-sambuka-ekstra-krepkij-42-500ml-3411721	Wed Jul  3 15:05:36 2024	Ликёр Lamonica Самбука Экстра крепкий 42%, 500мл	Цена539,99 ₽	Lamonica	400.0	none	none	40.0 г	"Вода питьевая исправленная, Спирт этиловый ректификованный ""Люкс"" (зерновой), Сахар, Ароматизатор ""Анис"" натуральный. "	True	True	Sat Jul  6 00:18:45 2024
