name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Спагетти группа А высший сорт Маркет Перекрёсток, 400г	59,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/spagetti-gruppa-a-vyssij-sort-market-perekrestok-400g-3501223	Wed Jul  3 15:02:54 2024	Спагетти группа А высший сорт Маркет Перекрёсток, 400г	Цена59,99 ₽	Маркет	340.0	10.5 г	1.0 г	71.0 г	Мука из твердой пшеницы, вода питьевая. 	True	True	Fri Jul  5 21:45:30 2024
Спагетти из твёрдых сортов пшеницы Market Collection, 450г	159,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/spagetti-iz-tverdyh-sortov-psenicy-market-collection-450g-4117174	Wed Jul  3 15:02:54 2024	Спагетти из твёрдых сортов пшеницы Market Collection, 450г	Цена159,99 ₽	Market Collection	340.0	14.5 г	1.2 г	69.0 г	Крупа из твердых сортов пшеницы, вода. 	True	True	Fri Jul  5 21:45:32 2024
Фузилли из твёрдых сортов пшеницы Market Collection, 450г	169,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/fuzilli-iz-tverdyh-sortov-psenicy-market-collection-450g-4117157	Wed Jul  3 15:02:54 2024	Фузилли из твёрдых сортов пшеницы Market Collection, 450г	Цена169,99 ₽	Market Collection	340.0	14.5 г	1.2 г	69.0 г	Крупа из твердых сортов пшеницы, вода. 	True	True	Fri Jul  5 21:45:33 2024
Макароны Makfa паутинка, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-pautinka-450g-2110596	Wed Jul  3 15:02:54 2024	Макароны Makfa паутинка, 450г	Цена79,99 ₽	Makfa	338.0	11.0 г	1.3 г	70.5 г	Мука из твердых сортов пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:45:34 2024
Лапша Продукты от Масловой по-домашнему яичная, 150г	59,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/105/p/lapsa-produkty-ot-maslovoj-po-domasnemu-aicnaa-150g-3368235	Wed Jul  3 15:02:54 2024	Лапша Продукты от Масловой по-домашнему яичная, 150г	Цена59,99 ₽	Продукты от Масловой	310.0	10.5 г	2.1 г	62.1 г	Мука пшеничная высшего сорта, масло растительное, яйцо куриное, вода. 	True	True	Fri Jul  5 21:45:34 2024
Лапша Роллтон яичная классическая, 400г	87,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/lapsa-rollton-aicnaa-klassiceskaa-400g-45105	Wed Jul  3 15:02:54 2024	Лапша Роллтон яичная классическая, 400г	Цена89,99 ₽	Роллтон	298.0	10.4 г	2.0 г	59.2 г	Пшеничная мука в/с, вода питьевая, соль, яичный порошок. 	True	True	Fri Jul  5 21:45:35 2024
Макароны Шебекинские гнёзда №500, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-sebekinskie-gnezda-no500-450g-62764	Wed Jul  3 15:02:54 2024	Макароны Шебекинские гнёзда №500, 450г	Цена79,99 ₽	Шебекинские	350.0	13.0 г	1.5 г	72.0 г	Мука из твердых сортов пшеницы, вода питьевая. 	True	True	Fri Jul  5 21:45:36 2024
Макароны Rummo Tagliatelle Alluovo №132, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/105/p/makarony-rummo-tagliatelle-alluovo-no132-250g-4145063	Wed Jul  3 15:02:54 2024	Макароны Rummo Tagliatelle Alluovo №132, 250г	Цена259,99 ₽	Rummo	369.0	16.5 г	3.5 г	66.5 г	Мука из твердых сортов пшеницы, вода питьевая. Яйцо – 5 яиц / 1000 г муки, вода. 	True	True	Fri Jul  5 21:45:38 2024
Вермишель Sen Soy Premium фунчоза, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/105/p/vermisel-sen-soy-premium-funcoza-200g-3227619	Wed Jul  3 15:02:54 2024	Вермишель Sen Soy Premium фунчоза, 200г	Цена209,99 ₽	Sen Soy	340.0	1.5 г	0.0 г	83.0 г	Горох, картофельный крахмал, зеленые бобы, вода. 	True	True	Fri Jul  5 21:45:39 2024
Лапша Sen Soy Fo-Kho рисовая, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/105/p/lapsa-sen-soy-fo-kho-risovaa-200g-3469828	Wed Jul  3 15:02:54 2024	Лапша Sen Soy Fo-Kho рисовая, 200г	Цена169,99 ₽	Sen Soy	349.0	7.0 г	0.0 г	79.0 г	Рисовая мука, вода. 	True	True	Fri Jul  5 21:45:40 2024
Макароны Barilla Fettuccine из твёрдых сортов пшеницы, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/105/p/makarony-barilla-fettuccine-iz-tverdyh-sortov-psenicy-500g-3474261	Wed Jul  3 15:02:54 2024	Макароны Barilla Fettuccine из твёрдых сортов пшеницы, 500г	Цена369,99 ₽	Barilla	364.0	12.5 г	2.0 г	71.2 г	Мука из твердой пшеницы высшего сорта, вода. Может содержать следы сои. 	True	True	Fri Jul  5 21:45:41 2024
Лапша Sen Soy Premium Soba гречневая, 300г	194,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/105/p/lapsa-sen-soy-premium-soba-grecnevaa-300g-2151515	Wed Jul  3 15:02:54 2024	Лапша Sen Soy Premium Soba гречневая, 300г	Цена194,99 ₽	Sen Soy	350.0	15.0 г	1.0 г	71.0 г	Мука пшеничная, мука гречневая, соль, вода. Группа А высший сорт гречневая. 	True	True	Fri Jul  5 21:45:42 2024
Лапша Шебекинские лагман группа А высший сорт, 350г	87,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/105/p/lapsa-sebekinskie-lagman-gruppa-a-vyssij-sort-350g-3660436	Wed Jul  3 15:02:54 2024	Лапша Шебекинские лагман группа А высший сорт, 350г	Цена89,99 ₽	Шебекинские	350.0	13.0 г	1.5 г	72.0 г	Мука из твердой пшеницы, вода питьевая. 	True	True	Fri Jul  5 21:45:42 2024
Лапша Sen Soy Udon пшеничная, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/105/p/lapsa-sen-soy-udon-psenicnaa-300g-3052127	Wed Jul  3 15:02:54 2024	Лапша Sen Soy Udon пшеничная, 300г	Цена179,99 ₽	Sen Soy	350.0	11.0 г	0.0 г	76.0 г	Мука пшеничная, соль, вода. 	True	True	Fri Jul  5 21:45:43 2024
Лапша Продукты от Масловой по-домашнему яичная широкая, 150г	59,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/105/p/lapsa-produkty-ot-maslovoj-po-domasnemu-aicnaa-sirokaa-150g-3414034	Wed Jul  3 15:02:54 2024	Лапша Продукты от Масловой по-домашнему яичная широкая, 150г	Цена59,99 ₽	Продукты от Масловой	310.0	10.5 г	2.1 г	62.1 г	Мука пшеничная высшего сорта, яйцо куриное, вода. 	True	True	Fri Jul  5 21:45:44 2024
Макароны Barilla Lasagne из твёрдых сортов пшеницы, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/105/p/makarony-barilla-lasagne-iz-tverdyh-sortov-psenicy-500g-3020941	Wed Jul  3 15:02:54 2024	Макароны Barilla Lasagne из твёрдых сортов пшеницы, 500г	Цена369,99 ₽	Barilla	359.0	12.5 г	2.0 г	71.2 г	Мука из твердой пшеницы высшего сорта, вода. Может содержать следы соевых и яичных продуктов. 	True	True	Fri Jul  5 21:45:45 2024
Макароны Pasteroni Таглиателле Корте №132, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-pasteroni-tagliatelle-korte-no132-400g-4300502	Wed Jul  3 15:02:54 2024	Макароны Pasteroni Таглиателле Корте №132, 400г	Цена109,99 ₽	Pasteroni	350.0	13.0 г	1.5 г	70.0 г	мука, вода 	True	True	Fri Jul  5 21:45:46 2024
Набор для приготовления фунчозы в устричном соусе Чим-Чим, 190 г	269,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/105/p/nabor-dla-prigotovlenia-funcozy-v-ustricnom-souse-cim-cim-190-g-3622185	Wed Jul  3 15:02:54 2024	Набор для приготовления фунчозы в устричном соусе Чим-Чим, 190 г	Цена199,99 ₽	Чим Чим	260.0	1.0 г	0.5 г	63.0 г	Фунчоза: крахмал зеленых бобов, вода питьевая; соус устричный для фунчозы: патока, вода питьевая, соль, чеснок, загустители (Е1442, ксантановая камедь), лук репчатый, перец черный, соевые бобы, глюкоза, лактоза, пшеница, масло кунжутное, регуляторы кислотности (лимонная кислота, янтарная кислота, уксусная кислота, Е262, Е575), мальтодекстрин, устричный экстракт, экстракт черного перца, рыбный порошок, креветки, красители (кармины, сахарный колер III), ароматизаторы, усилители вкуса и аромата (глутамат натрия, Е627, Е631), консерванты (бензоат натрия, сорбат калия). На предприятии используются арахис, горчица, орехи, сельдерей, яйца и продукты их переработки. 	True	True	Fri Jul  5 21:45:47 2024
Вермишель Makfa гречневая длинная, 500г	95,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/105/p/vermisel-makfa-grecnevaa-dlinnaa-500g-3662326	Wed Jul  3 15:02:54 2024	Вермишель Makfa гречневая длинная, 500г	Цена95,99 ₽	Makfa	350.0	14.3 г	1.0 г	70.9 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, мука гречневая, вода питьевая. 	True	True	Fri Jul  5 21:45:50 2024
Макароны Pasteroni Грандине Птитим №122, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-pasteroni-grandine-ptitim-no122-400g-4300500	Wed Jul  3 15:02:54 2024	Макароны Pasteroni Грандине Птитим №122, 400г	Цена109,99 ₽	Pasteroni	350.0	13.0 г	1.5 г	70.0 г	Мука из твердых сортов пшеницы, вода питьевая 	True	True	Fri Jul  5 21:45:51 2024
Макароны Maltagliati Spaghetti, 450г	109,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-maltagliati-spaghetti-450g-4199595	Wed Jul  3 15:02:54 2024	Макароны Maltagliati Spaghetti, 450г	Цена109,99 ₽	Maltagliati	358.0	12.0 г	1.3 г	73.0 г	Мука из твердой пшеницы для макаронных изделий, вода питьевая. Содержит натуральный белок злаковых культур – глютен. 	True	True	Fri Jul  5 21:45:53 2024
Спагетти Шебекинские №2 тонкие, 450г	59,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/spagetti-sebekinskie-no2-tonkie-450g-82760	Wed Jul  3 15:02:54 2024	Спагетти Шебекинские №2 тонкие, 450г	Цена59,99 ₽	Шебекинские	350.0	13.0 г	1.5 г	72.0 г	Мука из твердой пшеницы,вода питьевая. Содержит натуральный белок злаковых культур - глютен. 	True	True	Fri Jul  5 21:45:55 2024
Макароны Barilla Spaghettini n.3 из твёрдых сортов пшеницы, 450г	124,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-barilla-spaghettini-n-3-iz-tverdyh-sortov-psenicy-450g-4037646	Wed Jul  3 15:02:54 2024	Макароны Barilla Spaghettini n.3 из твёрдых сортов пшеницы, 450г	Цена134,99 ₽	Barilla	359.0	14.0 г	2.0 г	69.7 г	Мука из твердой пшеницы высшего сорта, вода. Может содержать следы соевых продуктов. 	True	True	Fri Jul  5 21:45:56 2024
Макароны Makfa соломка длинная, 400г	83,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-solomka-dlinnaa-400g-91302	Wed Jul  3 15:02:54 2024	Макароны Makfa соломка длинная, 400г	Цена81,99 ₽	Makfa	338.0	11.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:45:57 2024
Макароны Grand Di Pasta Спагетти группа А высший сорт, 450г	55,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-grand-di-pasta-spagetti-gruppa-a-vyssij-sort-450g-4208484	Wed Jul  3 15:02:54 2024	Макароны Grand Di Pasta Спагетти группа А высший сорт, 450г	Цена99,99 ₽	Grand di pasta	346.0	13.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:45:58 2024
Спагетти №3 без глютена из кукурузно-рисовой муки Зелёная Линия, 300г	79,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/105/p/spagetti-no3-bez-glutena-iz-kukuruzno-risovoj-muki-zelenaa-linia-300g-4323866	Wed Jul  3 15:02:54 2024	Спагетти №3 без глютена из кукурузно-рисовой муки Зелёная Линия, 300г	Цена99,99 ₽	Зелёная Линия	335.0	7.3 г	1.2 г	73.7 г	Кукурузная мука, рисовая мука,  вода питьевая, эмульгатор: моно- и диглицериды жирных кислот. 	True	True	Fri Jul  5 21:45:59 2024
Макароны Спагетти группы А Маркет, 400г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-spagetti-gruppy-a-market-400g-4340661	Wed Jul  3 15:02:54 2024	Макароны Спагетти группы А Маркет, 400г	Цена99,99 ₽	Маркет	350.0	13.0 г	1.5 г	70.0 г	Мука высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:00 2024
Спагетти группа В высший сорт Пр!ст, 400г	16,30 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/spagetti-gruppa-v-vyssij-sort-pr-st-400g-3435297	Wed Jul  3 15:02:54 2024	Спагетти группа В высший сорт Пр!ст, 400г	Цена16,30 ₽	Пр!ст	340.0	10.5 г	1.0 г	71.0 г	Мука пшеничная хлебопекарная, вода питьевая, содержит натуральный белок злаковых культур – глютен. 	True	True	Fri Jul  5 21:46:02 2024
Макароны Pasteroni Лингвини №115 группа А высший сорт, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-pasteroni-lingvini-no115-gruppa-a-vyssij-sort-400g-4268636	Wed Jul  3 15:02:54 2024	Макароны Pasteroni Лингвини №115 группа А высший сорт, 400г	Цена109,99 ₽	Pasteroni	350.0	13.0 г	1.5 г	70.0 г	вода, мука. 	True	True	Fri Jul  5 21:46:02 2024
Спагетти Pasteroni Spaghetti №114 группа А, 450г	124,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/spagetti-pasteroni-spaghetti-no114-gruppa-a-450g-3623096	Wed Jul  3 15:02:54 2024	Спагетти Pasteroni Spaghetti №114 группа А, 450г	Цена109,99 ₽	Pasteroni	344.0	13.0 г	1.9 г	70.3 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода. 	True	True	Fri Jul  5 21:46:04 2024
Макароны La Molisana Spaghetti №15, 450г	179,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-la-molisana-spaghetti-no15-450g-3438671	Wed Jul  3 15:02:54 2024	Макароны La Molisana Spaghetti №15, 450г	Цена179,99 ₽	La Molisana	351.0	14.0 г	1.0 г	70.0 г	Мука из твердых сортов пшеницы, вода. Содержит глютен. 	True	True	Fri Jul  5 21:46:06 2024
Макароны Pasteroni Спагеттони №118 группа А, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-pasteroni-spagettoni-no118-gruppa-a-400g-4336186	Wed Jul  3 15:02:54 2024	Макароны Pasteroni Спагеттони №118 группа А, 400г	Цена109,99 ₽	Pasteroni	350.0	13.0 г	1.5 г	70.0 г	Мука высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:06 2024
Спагетти группы А высшего сорта Маркет, 450г	99,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/spagetti-gruppy-a-vyssego-sorta-market-450g-4273870	Wed Jul  3 15:02:54 2024	Спагетти группы А высшего сорта Маркет, 450г	Цена114,99 ₽	Маркет	350.0	13.0 г	1.5 г	70.0 г	Вода, мука. 	True	True	Fri Jul  5 21:46:07 2024
Макароны Delverde Spaghettini №3, 500г	249,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/105/p/makarony-delverde-spaghettini-no3-500g-3256621	Wed Jul  3 15:02:54 2024	Макароны Delverde Spaghettini №3, 500г	Цена249,99 ₽	Delverde	366.0	14.0 г	1.5 г	73.0 г	Мука из твердых сортов пшеницы, вода, содержит глютен. 	True	True	Fri Jul  5 21:46:08 2024
Макароны Makfa спирали, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-spirali-450g-62190	Wed Jul  3 15:02:54 2024	Макароны Makfa спирали, 450г	Цена79,99 ₽	Makfa	338.0	11.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:09 2024
Макароны Makfa витки, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-vitki-450g-2110594	Wed Jul  3 15:02:54 2024	Макароны Makfa витки, 450г	Цена79,99 ₽	Makfa	342.0	12.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных высшего сорта, вода питьевая. Без пищеевых добавок и красителей. Не содержит ГМО. 	True	True	Fri Jul  5 21:46:10 2024
Макароны Makfa ракушки, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-rakuski-450g-2013077	Wed Jul  3 15:02:54 2024	Макароны Makfa ракушки, 450г	Цена79,99 ₽	Makfa	342.0	12.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:11 2024
Макароны Makfa улитки, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-ulitki-450g-2049750	Wed Jul  3 15:02:54 2024	Макароны Makfa улитки, 450г	Цена79,99 ₽	Makfa	342.0	12.0 г	1.3 г	70.5 г	Мука из твердой пшеницы для макаронных изделий высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:12 2024
Макароны Рожки группы А Маркет, 400г	59,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-rozki-gruppy-a-market-400g-4328907	Wed Jul  3 15:02:54 2024	Макароны Рожки группы А Маркет, 400г	Цена59,99 ₽	Маркет	340.0	10.5 г	1.0 г	71.0 г	Мука из твердой пшеницы для макаронных изделий, вода питьевая. Содержит натуральный белок злаковых культур - глютен. 	True	True	Fri Jul  5 21:46:13 2024
Макароны Спиральки группы А Маркет, 400г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-spiralki-gruppy-a-market-400g-4340662	Wed Jul  3 15:02:54 2024	Макароны Спиральки группы А Маркет, 400г	Цена99,99 ₽	Маркет	350.0	13.0 г	1.5 г	70.0 г	Мука высшего сорта, вода питьевая. 	True	True	Fri Jul  5 21:46:14 2024
Макароны Спираль группы А Маркет, 400г	59,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/makarony-spiral-gruppy-a-market-400g-4336730	Wed Jul  3 15:02:54 2024	Макароны Спираль группы А Маркет, 400г	Цена59,99 ₽	Маркет	340.0	10.5 г	1.0 г	71.0 г	Мука из твердой пшеницы для макаронных изделий, вода питьевая. Содержит натуральный белок злаковых культур - глютен. 	True	True	Fri Jul  5 21:46:15 2024
