name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Мармелад Весёлый зоопарк жевательный фигурный Ухтышки, 70г	43,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/191/p/marmelad-veselyj-zoopark-zevatelnyj-figurnyj-uhtyski-70g-3983484	Wed Jul  3 15:03:26 2024	Мармелад Весёлый зоопарк жевательный фигурный Ухтышки, 70г	Цена34,99 ₽	Ухтышки	310.0	8.0 г	0.0 г	70.0 г	Патока, сахар, желатин, регулятор кислотности молочная кислота, сок яблочный концентрированный, масло кокосовое, глазирователь воск пчелиный, ароматизаторы натуральные: ананас, яблоко, жевательная резинка, виноград, груша дюшес, грейпфрут, малина, банан, экстракт сафлора, экстракт спирулины, регулятор кислотности цитрат натрия, концентрированный сок чёрной моркови, регулятор кислотности лимонная кислота. 	True	True	Fri Jul  5 22:25:14 2024
Мармелад желейный со вкусом абрикоса Bonte, 300г	74,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/191/p/marmelad-zelejnyj-so-vkusom-abrikosa-bonte-300g-4208962	Wed Jul  3 15:03:26 2024	Мармелад желейный со вкусом абрикоса Bonte, 300г	Цена74,99 ₽	Bonte	320.0	0.0 г	0.0 г	80.0 г	Сахар, патока, вода питьевая, агент влагоудерживающий сорбитовый сироп, комплексная пищевая добавка (агент желирующий пектин, сахароза, стабилизатор Е 452i), порошок фруктовый «Яблочный» ( мальтодекстрин, cок яблочный концентрированный), регуляторы кислотности (лимонная кислота, цитрат натрия), краситель экстракт паприки, ароматизатор Абрикос. Содержит подсластитель. При чрезмерном употреблении может оказывать слабительное действие. Продукт может содержать диоксид серы. 	True	True	Fri Jul  5 22:25:15 2024
Мармелад Бон Пари Кислые червячки жевательный фрукты, 75г	104,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-kislye-cervacki-zevatelnyj-frukty-75g-43332	Wed Jul  3 15:03:26 2024	Мармелад Бон Пари Кислые червячки жевательный фрукты, 75г	Цена59,99 ₽	Бон Пари	341.0	4.4 г	0.0 г	79.0 г	Патока, сахар, желатин, вода, регулятор кислотности (лимонная кислота), комплексная пищевая добавка (регуляторы кислотности (молочная кислота, лактат кальция), агент антислеживающий (диоксид кремния аморфный)), концентрированный яблочный сок, красители (антоцианы (получен из моркови), куркумин, медные комплексы хлорофиллинов (получен из щелковицы)), натуральные ароматизаторы (черная смородина, яблоко, с маслом лимона, малина), комплексная пищевая добавка (глюкозный сироп, наоситель (глицерин), краситель (уголь растительный)). Продукт может содержать глютен, молоко и диоксид серы. 	True	True	Fri Jul  5 22:25:16 2024
Мармелад Мармеландия Дольки лимонные, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-dolki-limonnye-250g-2087635	Wed Jul  3 15:03:26 2024	Мармелад Мармеландия Дольки лимонные, 250г	Цена189,99 ₽	Мармеландия	328.0	0.1 г	0.0 г	81.1 г	Сахар-песок; патока; пудра сахарная; желирующий агент - агар; сок лимонный; белок яичный сухой; регуляторы кислотности - кислота лимонная, цитрат натрия; экстракт лимона; ароматизтор натуральный; краситель натуральный - куркумин. 	True	True	Fri Jul  5 22:25:17 2024
Мармелад Mamba Фрукты-йогурт фрумеладки жевательный, 72г	74,99 ₽/шт	72 гр	https://www.perekrestok.ru/cat/191/p/marmelad-mamba-frukty-jogurt-frumeladki-zevatelnyj-72g-3617432	Wed Jul  3 15:03:26 2024	Мармелад Mamba Фрукты-йогурт фрумеладки жевательный, 72г	Цена119,99 ₽	Mamba	333.0	6.1 г	0.1 г	75.7 г	Глюкозный сироп, сахар, пищевой желатин, сок восстановленный мультиягодный (5%) (концентрированный виноградный сок, концентрированный сок бузины), сухой обезжиренный йогуртный продукт (молоко нормализованное, закваска) (2,1%), регулятор кислотности лимонная кислота, регулятор кислотности молочная кислота, агент желирующий пектин, ароматизаторы (банан, малина, красный апельсин, апельсин, лимон, яблоко-груша), гидролизованный молочный белок, ниацин, витамин Е, пантотеновая кисло- та, краситель Aнтоцианы, экстракт спирулины, витамин В6, краситель Куркумин, биотин, витамин В12, глазирователи (карнаубский воск; воск пчелиный, белый и желтый). 	True	True	Fri Jul  5 22:25:18 2024
Мармелад Mamba Фрумеладки фруктовый микс жевательный, 72г	74,99 ₽/шт	72 гр	https://www.perekrestok.ru/cat/191/p/marmelad-mamba-frumeladki-fruktovyj-miks-zevatelnyj-72g-3617730	Wed Jul  3 15:03:26 2024	Мармелад Mamba Фрумеладки фруктовый микс жевательный, 72г	Цена119,99 ₽	Mamba	333.0	6.5 г	0.2 г	75.4 г	Глюкозный сироп, сахар, пищевой желатин, сок восстановленный мультиягодный (5%) (концентрированный виноградный сок, концентрированный сок бузины), регулятор кислотности лимонная кислота, регулятор кислотности молочная кислота, ароматизаторы (банан, малина, красный апельсин, апельсин, лимон, яблоко-груша), ниацин, концентрат черной моркови, концентрат спирулины, витамин Е, пантотеновая кислота, краситель куркумин, витамин В6, биотин, витамин В12, глазирователи (воск карнаубский, воск пчелиный, белый и желтый). 	True	True	Fri Jul  5 22:25:19 2024
Мармелад Бон Пари Машины жевательный фрукты, 75г	104,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-masiny-zevatelnyj-frukty-75g-2127571	Wed Jul  3 15:03:26 2024	Мармелад Бон Пари Машины жевательный фрукты, 75г	Цена59,99 ₽	Бон Пари	331.0	5.1 г	0.1 г	76.0 г	Патока, сахар, желатин, вода, регулятор кислотности (лимонная кислота), концентрированный яблочный сок, масло пальмовое, натуральные ароматизаторы (апельсин, яблоко, клубника, с маслом лимона), красители (экстракт паприки, антоцианы (получен из моркови), куркумин, медные комплексы хлорофиллинов (получен из шелковицы)), глазирователь (карнаубский воск). 	True	True	Fri Jul  5 22:25:20 2024
Мармелад Мармеландия Сочное манго дольки, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/191/p/marmelad-marmelandia-socnoe-mango-dolki-250g-4345491	Wed Jul  3 15:03:26 2024	Мармелад Мармеландия Сочное манго дольки, 250г	Цена219,99 ₽	Мармеландия	328.0	0.0 г	0.0 г	80.6 г	none	True	True	Fri Jul  5 22:25:21 2024
Мармелад Бон Пари Забавный медвежонок жевательный фрукты, 75г	97,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-zabavnyj-medvezonok-zevatelnyj-frukty-75g-75897	Wed Jul  3 15:03:26 2024	Мармелад Бон Пари Забавный медвежонок жевательный фрукты, 75г	Цена109,99 ₽	Бон Пари	330.0	5.0 г	0.1 г	76.0 г	Патока, сахар, желатин, вода, регулятор кислотности (лимонная кислота), концентрированный яблочный сок, масло пальмовое, натуральные ароматизаторы (апельсин, яблоко, клубника, с маслом лимона), красители (экстракт паприки, антоцианы (получен из моркови), куркумин, медные комплексы хлорофиллинов (получен из шелковицы)), глазирователь (карнаубский воск). Продукт может содержать глютен, молоко и диоксид серы. 	True	True	Fri Jul  5 22:25:22 2024
Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты, 120г	89,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/191/p/marmelad-bon-pari-kislye-zmejki-zevatelnyj-figurnyj-frukty-120g-3928270	Wed Jul  3 15:03:26 2024	Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты, 120г	Цена159,99 ₽	Бон Пари	341.0	4.4 г	0.0 г	79.0 г	"Патока, сахар, желатин, вода, регулятор кислотности (лимонная кислота), комплексная пищевая добавка (регуляторы кислотности (молочная кислота, L-,
лактат кальция), агент антислеживающий (диоксид кремния аморфный)), концентрированный яблочный сок, красители (антоцианы (получен из моркови), уголь растительный, куркумин, медные комплексы хлорофиллинов (получен с использованием растительного сырья)), ароматизаторы натуральные. "	True	True	Fri Jul  5 22:25:23 2024
