name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Тушка цыплёнка 1 сорт охлаждённый	173,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/tuska-cyplenka-1-sort-ohlazdennyj-3153446	Wed Jul  3 15:04:00 2024	Тушка цыплёнка 1 сорт охлаждённый	Цена174,99 ₽	Куриное Царство	190.0	16.0 г	14.0 г	0.0 г	Тушка цыплят-бройлеров 1-го сорта 	True	True	Fri Jul  5 22:55:41 2024
Цыплёнок-корнишон Псковская Птицефабрика Любительский 1 сорт охлаждённый	419,99 ₽/кг	none	https://www.perekrestok.ru/cat/138/p/cyplenok-kornison-pskovskaa-pticefabrika-lubitelskij-1-sort-ohlazdennyj-3673631	Wed Jul  3 15:04:00 2024	Цыплёнок-корнишон Псковская Птицефабрика Любительский 1 сорт охлаждённый	Цена469,00 ₽	Псковская птицефабрика	212.4	18.0 г	15.6 г	0.0 г	Тушка цыпленка бройлера Корнишон 	True	True	Fri Jul  5 22:55:42 2024
Тушка перепела Qegg Премиум охлажденная, 340г	269,99 ₽/шт	340 гр	https://www.perekrestok.ru/cat/138/p/tuska-perepela-qegg-premium-ohlazdennaa-340g-4208822	Wed Jul  3 15:04:00 2024	Тушка перепела Qegg Премиум охлажденная, 340г	Цена289,99 ₽	Qegg	244.0	16.0 г	20.0 г	0.0 г	Тушка перепелов. 	True	True	Fri Jul  5 22:55:43 2024
Филе куриное Перекрёсток	399,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/file-kurinoe-perekrestok-52888	Wed Jul  3 15:04:00 2024	Филе куриное Перекрёсток	Цена469,99 ₽	Собственное производство Перекрёсток	112.0	23.6 г	1.9 г	0.0 г	Полуфабрикаты из мяса птицы натуральные мясокостные, бескостные без панировки. Состав: Филе куриное охл. Пищевая ценность на 100г продукта(среднее значение):Белки-23,6г;Жиры-1,9г;Углеводы-0,0г;Энергетическая ценность 112,0ккал/471,5кДж.Срок годности: 48 часа при t от +2 до +6 °С.Информацию об изготовителе указана внизу. 	True	True	Fri Jul  5 22:55:44 2024
Филе грудки индейки Пава-Пава премиум охлаждённое, 500г	349,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/138/p/file-grudki-indejki-pava-pava-premium-ohlazdennoe-500g-3979117	Wed Jul  3 15:04:00 2024	Филе грудки индейки Пава-Пава премиум охлаждённое, 500г	Цена349,99 ₽	Пава-Пава	110.0	24.0 г	1.5 г	0.0 г	Филе грудки индейки. 	True	True	Fri Jul  5 22:55:45 2024
Филе бедра цыплёнка-бройлера Петелинка без кожи охлаждённое	449,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/file-bedra-cyplenka-brojlera-petelinka-bez-kozi-ohlazdennoe-4007208	Wed Jul  3 15:04:00 2024	Филе бедра цыплёнка-бройлера Петелинка без кожи охлаждённое	Цена489,99 ₽	Петелинка	190.0	16.0 г	14.0 г	0.0 г	Филе бедра цыплёнка бройлера. 	True	True	Fri Jul  5 22:55:46 2024
Филе грудки индейки Перекрёсток	489,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/file-grudki-indejki-perekrestok-89015	Wed Jul  3 15:04:00 2024	Филе грудки индейки Перекрёсток	Цена499,99 ₽	Собственное производство Перекрёсток	193.0	13.7 г	15.3 г	0.0 г	Филе индейки. 	True	True	Fri Jul  5 22:55:46 2024
Филе бедра индейки Индилайт охлаждённое, 410г	309,99 ₽/шт	410 гр	https://www.perekrestok.ru/cat/138/p/file-bedra-indejki-indilajt-ohlazdennoe-410g-3673236	Wed Jul  3 15:04:00 2024	Филе бедра индейки Индилайт охлаждённое, 410г	Цена309,99 ₽	Индилайт	150.0	16.0 г	9.0 г	0.0 г	Филе бедра индейки. 	True	True	Fri Jul  5 22:55:47 2024
Филе бедра цыплёнка-бройлера Троекурово без кости охлаждённое, 750г	369,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/951/p/file-bedra-cyplenka-brojlera-troekurovo-bez-kosti-ohlazdennoe-750g-3692842	Wed Jul  3 15:04:00 2024	Филе бедра цыплёнка-бройлера Троекурово без кости охлаждённое, 750г	Цена369,99 ₽	Троекурово	140.0	18.0 г	8.0 г	0.0 г	Филе бедра ЦБ. 	True	True	Fri Jul  5 22:55:48 2024
Филе грудки цыплёнка Петелинка	419,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/file-grudki-cyplenka-petelinka-2173555	Wed Jul  3 15:04:00 2024	Филе грудки цыплёнка Петелинка	Цена399,99 ₽	Петелинка	120.0	21.0 г	4.0 г	0.0 г	Филе грудки цыплёнка. 	True	True	Fri Jul  5 22:55:49 2024
