name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 270г	129,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-270g-3332809	Wed Jul  3 15:02:46 2024	Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 270г	Цена129,99 ₽	Алексеевский	330.0	7.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар (сахароза, лактоза). 	True	True	Fri Jul  5 21:39:05 2024
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 360г	154,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-360g-3484257	Wed Jul  3 15:02:46 2024	Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 360г	Цена159,99 ₽	Алексеевский	330.0	7.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар (сахароза), сахар молочный пищевой (лактоза). 	True	True	Fri Jul  5 21:39:06 2024
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 650г	209,99 ₽/шт	600 мл	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-650g-2123014	Wed Jul  3 15:02:46 2024	Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 650г	Цена209,99 ₽	Алексеевский	330.0	7.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар (сахароза, лактоза). 	True	True	Fri Jul  5 21:39:07 2024
Молоко сгущённое с сахаром 1% Пр!ст, 270г	42,90 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-s-saharom-1-pr-st-270g-3913111	Wed Jul  3 15:02:46 2024	Молоко сгущённое с сахаром 1% Пр!ст, 270г	Цена42,90 ₽	Пр!ст	270.0	2.5 г	1.0 г	63.0 г	Сыворотка молочная концентрированная, сахар (сахароза), цельное молоко, сахар молочный пищевой (лактоза). 	True	True	Fri Jul  5 21:39:08 2024
Молоко сгущённое Рогачевъ с сахаром 8.5%, 380г	164,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-rogacev-s-saharom-8-5-380g-3376242	Wed Jul  3 15:02:46 2024	Молоко сгущённое Рогачевъ с сахаром 8.5%, 380г	Цена169,99 ₽	Рогачевъ	330.0	8.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар (сахароза, лактоза). 	True	True	Fri Jul  5 21:39:09 2024
Сгущённое молоко цельное с сахаром 8.5% Молочный знак, 270г	109,99 ₽/шт	270 мл	https://www.perekrestok.ru/cat/124/p/sgusennoe-moloko-celnoe-s-saharom-8-5-molocnyj-znak-270g-4211054	Wed Jul  3 15:02:46 2024	Сгущённое молоко цельное с сахаром 8.5% Молочный знак, 270г	Цена114,90 ₽	Молочный знак	330.0	7.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар белый (сахароза), сахар молочный пищевой (лактоза). 	True	True	Fri Jul  5 21:39:10 2024
Молоко сгущённое Рогачевъ цельное с сахаром 8.5%, 270г	159,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-rogacev-celnoe-s-saharom-8-5-270g-4147345	Wed Jul  3 15:02:46 2024	Молоко сгущённое Рогачевъ цельное с сахаром 8.5%, 270г	Цена159,99 ₽	Рогачевъ	330.0	8.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар (сахароза, лактоза). 	True	True	Fri Jul  5 21:39:11 2024
Молоко сгущённое Молочный Знак с сахаром варёное 8.5%, 360г	149,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-molocnyj-znak-s-saharom-varenoe-8-5-360g-4250610	Wed Jul  3 15:02:46 2024	Молоко сгущённое Молочный Знак с сахаром варёное 8.5%, 360г	Цена139,99 ₽	Молочный знак	313.0	5.0 г	8.0 г	54.0 г	none	True	True	Fri Jul  5 21:39:11 2024
Молоко сгущённое Главпродукт цельное с сахаром ГОСТ 8.5%, 600г	239,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-glavprodukt-celnoe-s-saharom-gost-8-5-600g-3490712	Wed Jul  3 15:02:46 2024	Молоко сгущённое Главпродукт цельное с сахаром ГОСТ 8.5%, 600г	Цена232,99 ₽	Главпродукт	320.5	5.0 г	8.5 г	56.0 г	Цельное коровье молоко, сахар-песок (сахароза). 	True	True	Fri Jul  5 21:39:12 2024
Молоко сгущенное цельное с сахаром 8.5% Молочный знак, 360г	129,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-celnoe-s-saharom-8-5-molocnyj-znak-360g-4218934	Wed Jul  3 15:02:46 2024	Молоко сгущенное цельное с сахаром 8.5% Молочный знак, 360г	Цена129,99 ₽	Молочный знак	330.0	7.0 г	8.5 г	56.0 г	Молоко нормализованное, сахар белый (сахароза), сахар молочный пищевой (лактоза). 	True	True	Fri Jul  5 21:39:13 2024
Молоко сгущённое Вологодские Молочные Продукты 8.5%, 370г	114,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-vologodskie-molocnye-produkty-8-5-370g-3022222	Wed Jul  3 15:02:46 2024	Молоко сгущённое Вологодские Молочные Продукты 8.5%, 370г	Цена114,99 ₽	Вологодские молочные продукты	320.0	5.0 г	8.5 г	56.0 г	Молоко цельное, молоко обезжиренное, сахар (сахароза), молочный сахар (лактоза). 	True	True	Fri Jul  5 21:39:14 2024
Молоко сгущённое Густияр с сахаром 0.2%, 270г	91,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-gustiar-s-saharom-0-2-270g-3696844	Wed Jul  3 15:02:46 2024	Молоко сгущённое Густияр с сахаром 0.2%, 270г	Цена91,99 ₽	Густияр	250.0	5.0 г	0.2 г	57.0 г	Нормализованное молоко, сахар (сахароза), сахар молочный пищевой (лактоза). 	True	True	Fri Jul  5 21:39:15 2024
