name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Мороженое пломбир крем-брюле в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-krem-brule-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289044	Wed Jul  3 15:03:33 2024	Мороженое пломбир крем-брюле в вафельном стаканчике 12% Молочный знак, 70г	Цена47,99 ₽	Молочный знак	210.0	3.5 г	12.0 г	23.0 г	Молоко цельное, масло сливочное, сироп крем-брюле (сахар, молоко цельное сгущенное с сахаром (цельное молоко, обезжиренное молоко, сахар (сахароза, лактоза)), вода питьевая), вафельный стаканчик (вода питьевая, мука пшеничная хлебопекарная, масло подсолнечное, меланж яичный сухой, разрыхлитель гидрокарбонат натрия, эмульгатор лецитины (соевый), соль), сухое обезжиренное молоко, сахар, комплексная пищевая добавка (эмульгаторы (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан)), ароматизатор «ванилин». 	True	True	Fri Jul  5 22:29:37 2024
Мороженое пломбир со вкусом ванили в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-so-vkusom-vanili-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289045	Wed Jul  3 15:03:33 2024	Мороженое пломбир со вкусом ванили в вафельном стаканчике 12% Молочный знак, 70г	Цена47,99 ₽	Молочный знак	210.0	3.5 г	12.0 г	23.0 г	Цельное молоко, сливочное масло, сахар, вафельный стаканчик (вода питьевая, мука пшеничная хлебопекарная, масло подсолнечное, меланж яичный сухой, разрыхлитель гидрокарбонат натрия, эмульгатор лецитины (соевый), соль), сухое обезжиренное молоко, сухая молочная сыворотка, комплексная пищевая добавка (эмульгаторы (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан)), ароматизатор «ванилин». 	True	True	Fri Jul  5 22:29:38 2024
Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г	399,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650	Wed Jul  3 15:03:33 2024	Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г	Цена349,99 ₽	Зелёная Линия	234.6	4.0 г	16.2 г	18.2 г	Молоко цельное, сливки питьевые, сахар, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахара (сахароза, лактоза)), сахар, тростниковый сахар, вода, масло сливочное, соль морская пищевая йодированная (соль морская, йодат калия), шоколадный трюфель (шоколад (какао тертое, сахар, масло какао, эмульгатор-соевый лецитин, натуральный ароматизатор: ваниль), сливки, масло сливочное, сироп из топинамбура, сироп глюкозы, инвертный сахар,крахмал), стабилизаторы (камедь рожкового дерева, гуаровая камедь), эмульгатор моно-и диглицериды жирных кислот. 	True	True	Fri Jul  5 22:29:39 2024
Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г	429,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-malinovyj-pirog-s-belym-sokoladom-plombir-15-zelenaa-linia-300g-4210655	Wed Jul  3 15:03:33 2024	Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г	Цена349,99 ₽	Зелёная Линия	246.0	3.3 г	15.1 г	24.2 г	"Молоко цельное, сливки питьевые, цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар (сахароза), сахар молочный (лактоза)), сахар, сухой глюкозный сироп, вкусоароматическая паста ""французская ваниль"" (сироп глюкозы, сахар, натуральный экстракт ванили, стручки ванили, вода питьевая, загуститель – пектин (цитрусовый), соль пищевая), стабилизаторы (камедь рожкового дерева, гуаровая камедь), эмульгатор (моно и –диглицериды жирных кислот), малиновый джем (пюре малины замороженное, сахар, сахар инвертный,, лимонный сок, крахмал тапиоки, инулин, стабилизаторы (камедь рожкового дерева, гуаровая камедь). Пирог с белым шоколадом (мука пшеничная, тростниковый сахар, белый шоколад (сахар, масло какао, сухое цельное молоко, эмульгатор-лецитин соевый, ароматизатор натуральный — ваниль), масло сливочное, белок куриный, желток куриный. Может содержать следы арахиса, кунжута и орехов. "	True	True	Fri Jul  5 22:29:40 2024
Пломбир Коровка из Кореновки стаканчик 15%, 100г	83,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-stakancik-15-100g-3371923	Wed Jul  3 15:03:33 2024	Пломбир Коровка из Кореновки стаканчик 15%, 100г	Цена94,99 ₽	Коровка из Кореновки	216.0	3.0 г	14.0 г	19.0 г	"Сливки, сахар, молоко цельное сгущенное с сахаром, вафельный стаканчик (мука пшеничная хлебопекарная, масло растительное, сахар-песок, соль поваренная пищевая, сода питьевая), стабилизатор ""Кремодан"" (стабилизаторы: моно- и диглицериды жирных кислот, камедь рожкового дерева, гуаровая камедь, каррагинан), ванилин. "	True	True	Fri Jul  5 22:29:43 2024
Пломбир Коровка из Кореновки шоколадный стаканчик, 100г	83,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-sokoladnyj-stakancik-100g-3409340	Wed Jul  3 15:03:33 2024	Пломбир Коровка из Кореновки шоколадный стаканчик, 100г	Цена94,99 ₽	Коровка из Кореновки	222.0	2.5 г	14.0 г	21.0 г	Сливки, сахар, вафельный стакан (мука пшеничная хлебопекарная, масло растительное, сахар-песок, соль поваренная пищевая, сода пищевая), молоко цельное сгущенное с сахаром, какао-порошок, стабилизатор Кремодан (стабилизаторы: моно- и диглицериды жирных кислот, камедь рожкового дерева, гуаровая камедь, каррагинан). 	True	True	Fri Jul  5 22:29:44 2024
Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г	89,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-raduga-vanilnyj-stakancik-12-90g-3680631	Wed Jul  3 15:03:33 2024	Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г	Цена89,99 ₽	Чистая Линия	219.0	4.6 г	11.2 г	25.0 г	Молоко коровье цельное -51.5%, сливки натуральные - 21.6%, молоко сгущенное цельное с сахаром - 17.7% (молоко цельное, молоко обезжиренное, сахароза, лактоза), сахар - 5.5%, глюкозный сироп - 1.6%, цитрусовые волокна - 0.6%, яичный желток - 0.5%, молочный белок - 0.5%, натуральные красители: концентрат спирулины, аннато, кармин, куркумин, медные комплексы хлорофиллинов - 0.4%, натуральный ароматизатор ванили - 0.1%. 	True	True	Fri Jul  5 22:29:45 2024
Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г	99,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194	Wed Jul  3 15:03:33 2024	Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г	Цена124,99 ₽	Чистая Линия	291.0	4.3 г	16.2 г	31.8 г	Молоко коровье цельное – 54.77%, сливки натуральные – 23.3%, молоко сгущенное цельное с сахаром – 12% (молоко цельное, молоко обезжиренное, сахароза, лактоза), сахар – 7.5%, глюкозный сироп – 2%, комплексная пищевая добавка -0.33% (эмульгатор моно- и диглицериды жирных кислот, стабилизаторы – гуаровая камедь, камедь рожкового дерева, камедь тары, каррагинан), ароматизатор натуральный ваниль -0.1%. 	True	True	Fri Jul  5 22:29:46 2024
Пломбир со вкусом ванили в вафельном рожке 12% Молочный Знак, 90г	65,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/321/p/plombir-so-vkusom-vanili-v-vafelnom-rozke-12-molocnyj-znak-90g-4298191	Wed Jul  3 15:03:33 2024	Пломбир со вкусом ванили в вафельном рожке 12% Молочный Знак, 90г	Цена65,99 ₽	Молочный знак	230.0	4.0 г	10.0 г	32.0 г	Цельное молоко, вафельный сахарный рожок (мука пшеничная хлебопекарная, сахар, масло кокосовое рафинированное дезодорированное, клетчатка пшеничная (волокна), эмульгатор лецитины (соевый), вода питьевая, ароматизатор «ванилин»), сливочное масло, сахар, сухое обезжиренное молоко, сухая молочная сыворотка, комплексная пищевая добавка (эмульгаторы (моно- и диглицериды жирных кислот), стабилизаторы (камедь рожкового дерева, гуаровая камедь, каррагинан)), ароматизатор «ваниль». 	True	True	Fri Jul  5 22:29:47 2024
Пломбир Коровка из Кореновки крем-брюле стаканчик, 100г	83,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-krem-brule-stakancik-100g-3409339	Wed Jul  3 15:03:33 2024	Пломбир Коровка из Кореновки крем-брюле стаканчик, 100г	Цена94,99 ₽	Коровка из Кореновки	216.0	3.0 г	14.0 г	19.0 г	Сливки, сахар, вафельный стакан (мука пшеничная хлебопекарная, масло растительное, сахар-песок, соль поваренная пищевая, сода пищевая), молоко цельное сгущенное с сахаром, молоко сухое обезжиренное, стабилизатор Кремодан (моно- и диглицериды жирных кислот, камедь рожкового дерева, гуаровая камедь, каррагинан). 	True	True	Fri Jul  5 22:29:48 2024
