name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Начос Delicados с кусочками оливок и паприкой, 150г	124,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-delicados-s-kusockami-olivok-i-paprikoj-150g-3427312	Wed Jul  3 15:03:02 2024	Начос Delicados с кусочками оливок и паприкой, 150г	Цена134,99 ₽	Delicados	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, масло растительное рафинированное дезодорированное, мука кукурузная, оливки, специи (паприка зеленая, паприка красная, лук, перец черный, перец чили, горчица), соль, сахарная пудра, усилители вкуса и аромата (е621, е631, е627), декстроза, мальтодекстрин, экстракт дрожжевой, ароматизаторы, экстракт паприки, антиокислитель е319, регулятор кислотности е270, фиксатор окраски е579. 	True	True	Fri Jul  5 21:57:16 2024
Начос кукурузные Delicados со вкусом сыра, 150г	114,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-kukuruznye-delicados-so-vkusom-syra-150g-3463552	Wed Jul  3 15:03:02 2024	Начос кукурузные Delicados со вкусом сыра, 150г	Цена134,99 ₽	Delicados	500.0	7.0 г	25.0 г	61.0 г	"Зерно кукурузы, вода, масло подсолнечное высокоопеиновое рафинированное дезодорированное, ароматизатор ""сыр"" (соль, мальтодекстрин, сыворотка сухая, сахар, сырный порошок, лук порошок, натуральные вкусоароматические добавки, дрожжевой экстракт, жир растительный, регулятор кислотности е330, красители (е100, е160с), агент антислеживающий е551), антиокислитель. может содержать следовые количества глютена, горчицы. "	True	True	Fri Jul  5 21:57:17 2024
Начос кукурузные Delicados оригинальные, 150г	119,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-kukuruznye-delicados-originalnye-150g-3463551	Wed Jul  3 15:03:02 2024	Начос кукурузные Delicados оригинальные, 150г	Цена134,99 ₽	Delicados	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоопеиновое рафинированное дезодорированное, соль, антиокислитель е319. может содержать следовые количества глютена, горчицы. 	True	True	Fri Jul  5 21:57:18 2024
Чипсы Delicados кукурузные со вкусом соуса Ранч, 150г	119,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-delicados-kukuruznye-so-vkusom-sousa-ranc-150g-4236250	Wed Jul  3 15:03:02 2024	Чипсы Delicados кукурузные со вкусом соуса Ранч, 150г	Цена134,99 ₽	Delicados	460.0	6.0 г	23.0 г	57.0 г	Зерно кукурузы, вода питьевая, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор «сметанный соус ранч» (соль, мальтодекстрин, сахар, глюкоза, чеснокпорошок, усилителивкуса и аромата (глутамат натрия, гуанилатнатрия, инозинат натрия), лукпорошок, зеленьсушеная, регуляторы кислотности (молочная кислота, лактат кальция, ацетаты натрия, лимонная кислота), натуральные вкусоароматические вещества, вкусоароматические вещества, специи, краситель куркумин, агент антислеживающий е551), регулятор кислотности е526, антиокислитель е319. 	True	True	Fri Jul  5 21:57:19 2024
Чипсы Mission кукурузные со вкусом сыра чеддер, 150г	109,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-syra-cedder-150g-4013364	Wed Jul  3 15:03:02 2024	Чипсы Mission кукурузные со вкусом сыра чеддер, 150г	Цена109,99 ₽	Mission	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор пищевой сыр чеддер (мальтодекстрин, соль, глюкоза, усилители вкуса и аромата (e621, e627, e631), натуральные вкусоароматические вещества, вкусоароматические вещества, лук порошок, регулятор кислотности лимонная кислота, специи, красители (экстракт паприки, куркумин), антикомкователь e551), регулятор кислотности e526, антиокислитель e319. может содержать следовые количества молочных продуктов, глютена, горчицы. 	True	True	Fri Jul  5 21:57:20 2024
Чипсы Mission кукурузные со вкусом бекона, 150г	109,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-bekona-150g-4013362	Wed Jul  3 15:03:02 2024	Чипсы Mission кукурузные со вкусом бекона, 150г	Цена109,99 ₽	Mission	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор пищевой бекон (копченый) (соль, глюкоза, мальтодекстрин, усилители вкуса и аромата (e621, e627, e631), лук порошок, паприка порошок, сахар, чеснок порошок, натуральные вкусоароматические вещества, вкусоароматические вещества, регуляторы кислотности (лимонная кислота, e262), дрожжевой экстракт, красители (сахарный колер e510c, экстракт паприки), антикомкователь e551), регулятор кислотности e526, антиокислитель e319. может содержать следовые количества молочных продуктов, глютена, горчицы. 	True	True	Fri Jul  5 21:57:21 2024
Чипсы Mission кукурузные со вкусом сметаны и лука, 90г	75,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-smetany-i-luka-90g-4237448	Thu Jul  4 08:47:34 2024	Чипсы Mission кукурузные со вкусом сметаны и лука, 90г	Цена75,99 ₽	Mission	470.0	6.5 г	22.5 г	57.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор пищевой сметана с луком (мальтодекстрин, соль, сыворотка молочная сухая, сахар, лук порошок, усилители вкуса и аромата (е621, е627, е631), регуляторы кислотности (винная кислота, молочная кислота, лактат кальция), натуральные вкусоароматические вещества, вкусоароматические вещества, зелень сушеная, агент антислеживающий е341), регулятор кислотности е526, антиокислитель е319. 	True	True	Fri Jul  5 21:57:22 2024
Чипсы кукурузные Carambas сыр, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-syr-150g-94326	Thu Jul  4 08:47:34 2024	Чипсы кукурузные Carambas сыр, 150г	Цена104,99 ₽	Carambas	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор (соль, мальтодекстрин, глюкоза, усилители вкуса и аромата (е621, е627, е631), сахар, сырный порошок, лук порошок, чеснок порошок, регулятор кислотности е330, натуральные вкусоароматические вещества, жир растительный, красители (е100, е160с), агент антислеживающий е535, антиокислитель е319, пеногаситель е900. может содержать следовые количества глютена, молочных продуктов, горчицы. 	True	True	Fri Jul  5 21:57:23 2024
Чипсы кукурузные Carambas сметана и лук, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-smetana-i-luk-150g-94329	Thu Jul  4 08:47:34 2024	Чипсы кукурузные Carambas сметана и лук, 150г	Цена104,99 ₽	Carambas	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, специи (лук, куркума, петрушка), соль, усилитель вкуса и аромата е621, ароматизатор, сахар), антиокислитель е319. может содержать следовые количества глютена, молочных продуктов, горчицы. 	True	True	Fri Jul  5 21:57:23 2024
Чипсы кукурузные Salto Nachos Барбекю с соусом, 220г/100г	529,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-salto-nachos-barbeku-s-sousom-220g-100g-4132780	Thu Jul  4 08:47:34 2024	Чипсы кукурузные Salto Nachos Барбекю с соусом, 220г/100г	Цена489,99 ₽	Salto	500.0	7.0 г	25.0 г	61.0 г	Зерно кукурузы, вода, масло подсолнечное высокоолеиновое рафинированное дезодорированное, ароматизатор (соль, сахар, усилители вкуса и аромата (е621, е627, е631), регулятор кислотности е262, лук порошок, паприка порошок, специи, чеснок порошок, жир растительный, натуральные вкусоароматические вещества, красители (е150с, е160с), подсластитель е955, агент антислеживающий е551, антиокислитель е319. 	True	True	Fri Jul  5 21:57:25 2024
