name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Настойка Коноплянка на семенах конопли горькая 40%, 500мл	399,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-konoplanka-na-semenah-konopli-gorkaa-40-500ml-4126796	Wed Jul  3 15:05:33 2024	Настойка Коноплянка на семенах конопли горькая 40%, 500мл	Цена389,99 ₽	Коноплянка	230.0	0.0 г	0.0 г	0.3 г	"Вода питьевая подготовленная, Спирт этиловый ректификованный из пищевого сырья ""Альфа"", сок березовый Спиртованный, Спиртованный настой зубровки, Ароматный Спирт имбиря, Спиртованный настой тысячелистника, Спиртованный настой семян конопли, Спиртованный настой душицы, Спиртованный настой чабреца, Спиртованный настой цветков липы, Ароматный Спирт зверобоя, Сахар, Ароматный Спирт эфирного масла мяты, Мёд натуральный. "	True	True	Sat Jul  6 00:15:43 2024
Настойка Бульбашъ Зубровая горькая 40%, 500мл	389,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-zubrovaa-gorkaa-40-500ml-3171928	Wed Jul  3 15:05:33 2024	Настойка Бульбашъ Зубровая горькая 40%, 500мл	Цена429,99 ₽	Бульбашъ	220.0	0.0 г	0.0 г	0.0 г	"Артезианская умягченная питьевая Вода, Спирт этиловый ректификованный из пищевого сырья ""Люкс"", Спиртованный настой травы зубровки, трава зубровка подготовленная. "	True	True	Sat Jul  6 00:15:43 2024
Настойка Бульбашъ Зубровая горькая 40%, 200мл	189,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-zubrovaa-gorkaa-40-200ml-3640424	Wed Jul  3 15:05:33 2024	Настойка Бульбашъ Зубровая горькая 40%, 200мл	Цена189,99 ₽	Бульбашъ	0.0	0.0 г	0.0 г	0.0 г	"Артезианская умягченная питьевая Вода, Спирт этиловый ректификованный из пищевого сырья ""Люкс"", Спиртованный настой травы зубровки, трава зубровка подготовленная. "	True	True	Sat Jul  6 00:15:44 2024
Хреновуха Nemiroff 38%, 250мл	249,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/8/p/hrenovuha-nemiroff-38-250ml-4102304	Wed Jul  3 15:05:33 2024	Хреновуха Nemiroff 38%, 250мл	Цена219,99 ₽	Nemiroff	210.0	0.0 г	0.0 г	0.4 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья «Люкс», настой Спиртованный хрена, Ароматный Спирт ржаных сухарей, Мёд натуральный. 	True	True	Sat Jul  6 00:15:45 2024
Настойка Бульбашъ Медовая с перцем горькая 40%, 500мл	389,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-medovaa-s-percem-gorkaa-40-500ml-3171931	Wed Jul  3 15:05:33 2024	Настойка Бульбашъ Медовая с перцем горькая 40%, 500мл	Цена429,99 ₽	Бульбашъ	230.0	0.0 г	0.0 г	0.5 г	"Артезианская умягченная питьевая Вода, Спирт этиловый ректификованный из пищевого сырья ""Люкс"", коньяк, Сахар, Спиртованный настой перца стручкового, пищевые экстракты перца красного жгучего и цветочной пыльцы с Мёдом, пищевая добавка Краситель Сахарный колер IV, перец стручковый подготовленый. "	True	True	Sat Jul  6 00:15:46 2024
Настойка Бульбашъ Медовая с перцем горькая 40%, 200мл	189,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/8/p/nastojka-bulbas-medovaa-s-percem-gorkaa-40-200ml-3640425	Wed Jul  3 15:05:33 2024	Настойка Бульбашъ Медовая с перцем горькая 40%, 200мл	Цена189,99 ₽	Бульбашъ	0.0	0.0 г	0.0 г	0.0 г	"Артезианская умягченная питьевая Вода, Спирт этиловый ректификованный из пищевого сырья ""Люкс"", коньяк, Сахар, Спиртованный настой перца стручкового, пищевые экстракты перца красного жгучего и цветочной пыльцы с Мёдом, пищевая добавка Краситель Сахарный колер IV, перец стручковый подготовленый. "	True	True	Sat Jul  6 00:15:47 2024
Настойка горькая Архангельская Перцовая с Северным Мёдом 38%, 500мл	399,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-gorkaa-arhangelskaa-percovaa-s-severnym-medom-38-500ml-4275030	Wed Jul  3 15:05:33 2024	Настойка горькая Архангельская Перцовая с Северным Мёдом 38%, 500мл	Цена449,99 ₽	Архангельская	210.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья ""Люкс"", ароматный спирт перца красного стручкового сушеного, настой спиртованный растительного сырья (зверобой, мускатный орех, донник, цветки липы, перец черный, перец кубеба, перец душистый, сабельник, лавровый лист), мед натуральный, сахарный сироп, пищевая добавка - краситель сахарный колер I простой (E150а), плод перца красного стручкового. "	True	True	Sat Jul  6 00:15:48 2024
Настойка полусладкая Душа Карелии Брусника с перцем 38%, 500мл	429,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-polusladkaa-dusa-karelii-brusnika-s-percem-38-500ml-4112885	Wed Jul  3 15:05:33 2024	Настойка полусладкая Душа Карелии Брусника с перцем 38%, 500мл	Цена499,99 ₽	Душа Карелии	220.0	0.0 г	0.0 г	0.0 г	"Спирт этиловый ректификованный из пищевого сырья ""Альфа"", вода питьевая исправленная, брусничный спиртованный морс, сахар, экстракт плодов аронии и вишни, настой спиртованный перца красного (сушеные плоды), СО2-экстракт перца черного. "	True	True	Sat Jul  6 00:15:49 2024
Настойка горькая Петровская Гавань 40%, 500мл	399,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-gorkaa-petrovskaa-gavan-40-500ml-4058502	Wed Jul  3 15:05:33 2024	Настойка горькая Петровская Гавань 40%, 500мл	Цена479,99 ₽	Петровская Гавань	220.0	0.0 г	0.0 г	0.0 г	"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья ""Альфа"", ароматный спирт ржаных сухарей, ароматный спирт ржано-пшеничных сухарей, коньяк, сахар, краситель натуральный сахарный колер I простой (CARAMEL I-Plain). "	True	True	Sat Jul  6 00:15:50 2024
Настойка Царь Солодовый перегон горькая 38%, 500мл	286,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/8/p/nastojka-car-solodovyj-peregon-gorkaa-38-500ml-4105593	Wed Jul  3 15:05:33 2024	Настойка Царь Солодовый перегон горькая 38%, 500мл	Цена309,99 ₽	Царь	210.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Спирт этиловый ректификованный из пищевого сырья Люкс, Ароматный Спирт солода ржаного, Ароматный Спирт изюма и дрожжей, настой Спиртованный овсяных хлопьев, Сахарный сироп, Ароматный Спирт хлеба ржаного, комплексная пищевая добавка, замутнитель RO656 (водка, гуммиарабик E414, вещества вкусоаРоматические натуральные, эмульгатор E445, антиокислитель E300, антиокислитель Е330, антиокислитель Е307, антиокислитель Е320). 	True	True	Sat Jul  6 00:15:51 2024
