name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нектар Добрый ананасовый, 1л	139,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/737/p/nektar-dobryj-ananasovyj-1l-58389	Wed Jul  3 15:03:37 2024	Нектар Добрый ананасовый, 1л	Цена159,99 ₽	Добрый	48.0	0.0 г	0.0 г	12.0 г	Ананасовый сок, сахар, регулятор кислотности - лимонная кислота, вода. изготовлен из концентрированного сока. 	True	True	Fri Jul  5 22:43:26 2024
Нектар J7 Ананас с мякотью, 970мл	159,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/737/p/nektar-j7-ananas-s-makotu-970ml-3191950	Wed Jul  3 15:03:37 2024	Нектар J7 Ананас с мякотью, 970мл	Цена159,99 ₽	J7	50.0	0.0 г	0.0 г	13.0 г	Сок ананасовый, сахар (s)** или глюкозно-фруктозный сироп и сахар (s)**, регулятор кислотности – лимонная кислота, вода. 	True	True	Fri Jul  5 22:43:27 2024
Сок Vinut ананасовый с мякотью 100%, 500мл	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/737/p/sok-vinut-ananasovyj-s-makotu-100-500ml-4329987	Wed Jul  3 15:03:37 2024	Сок Vinut ананасовый с мякотью 100%, 500мл	Цена239,99 ₽	Vinut	40.0	0.0 г	0.0 г	10.0 г	Сок прямого отжима с мякотью. Без добавления сахара, консервантов и красителей. 	True	True	Fri Jul  5 22:43:28 2024
Нектар Добрый Апельсин, 1л	139,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/737/p/nektar-dobryj-apelsin-1l-51284	Wed Jul  3 15:03:37 2024	Нектар Добрый Апельсин, 1л	Цена159,99 ₽	Добрый	52.0	0.0 г	0.0 г	13.0 г	Апельсиновый сок, сахар, регулятор кислотности - лимонная кислота, вода. изготовлен из концентрированного сока. 	True	True	Fri Jul  5 22:43:29 2024
Нектар Добрый апельсиновый, 300мл	65,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/737/p/nektar-dobryj-apelsinovyj-300ml-4259037	Wed Jul  3 15:03:37 2024	Нектар Добрый апельсиновый, 300мл	Цена59,99 ₽	Добрый	42.0	0.0 г	0.0 г	10.5 г	Апельсиновый сок, сахар, регулятор кислотности - лимонная кислота, вода. 	True	True	Fri Jul  5 22:43:30 2024
Нектар J7 Вишневый, 970мл	159,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/737/p/nektar-j7-visnevyj-970ml-3190693	Wed Jul  3 15:03:37 2024	Нектар J7 Вишневый, 970мл	Цена159,99 ₽	J7	50.0	0.0 г	0.0 г	13.0 г	Вишневый сок, сахар (s)** или глюкозно-фруктозный сироп и сахар (s)**, регулятор кислотности – лимонная кислота, вода. 	True	True	Fri Jul  5 22:43:31 2024
Нектар вишнёвый Маркет Перекрёсток, 1л	144,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/737/p/nektar-visnevyj-market-perekrestok-1l-3612825	Wed Jul  3 15:03:37 2024	Нектар вишнёвый Маркет Перекрёсток, 1л	Цена144,99 ₽	Маркет	55.0	0.0 г	0.0 г	14.0 г	Вишневый сок, сахар, регулятор кислотности - кислота лимонная, вода. 	True	True	Fri Jul  5 22:43:32 2024
Нектар Я Вишня осветленный, 970мл	219,99 ₽/шт	970 мл	https://www.perekrestok.ru/cat/737/p/nektar-a-visna-osvetlennyj-970ml-3376408	Wed Jul  3 15:03:37 2024	Нектар Я Вишня осветленный, 970мл	Цена209,99 ₽	Я	55.0	0.0 г	0.0 г	14.0 г	Вишневый сок, сахар, регулятор кислотности – лимонная кислота, вода. 	True	True	Fri Jul  5 22:43:33 2024
Нектар Rich вишнёвый, 300мл	89,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/737/p/nektar-rich-visnevyj-300ml-3902703	Wed Jul  3 15:03:37 2024	Нектар Rich вишнёвый, 300мл	Цена69,99 ₽	Rich	44.0	0.0 г	0.0 г	11.0 г	Вишневый сок, сахар, регулятор кислотности - лимонная кислота, вода. изготовлен из концентрированного сока. 	True	True	Fri Jul  5 22:43:33 2024
Нектар Santal черешневый, 1л	199,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/737/p/nektar-santal-ceresnevyj-1l-3209	Wed Jul  3 15:03:37 2024	Нектар Santal черешневый, 1л	Цена194,99 ₽	Santal	56.0	0.0 г	0.0 г	13.9 г	Сок черешни, сахар-песок, регулятор кислотности - лимонная кислота, вода. 	True	True	Fri Jul  5 22:43:34 2024
Нектар Ararat Premium вишнёвый, 750мл	189,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/737/p/nektar-ararat-premium-visnevyj-750ml-4110020	Wed Jul  3 15:03:37 2024	Нектар Ararat Premium вишнёвый, 750мл	Цена189,99 ₽	Арарат	48.0	0.0 г	0.0 г	12.0 г	Вишневый сок, сахар-песок, пищевая добавка - регулятор кислотности кислота лимонная пищевая, вода питьевая. 	True	True	Fri Jul  5 22:43:35 2024
Нектар Вико вишнёвый, 200мл	39,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/737/p/nektar-viko-visnevyj-200ml-3152663	Wed Jul  3 15:03:37 2024	Нектар Вико вишнёвый, 200мл	Цена43,99 ₽	Вико	55.0	0.0 г	0.0 г	14.0 г	Концентрированный вишневый сок, сахар. 	True	True	Fri Jul  5 22:43:36 2024
