name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Фисташки жареные неочищенные солёные Маркет, 50г	109,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/159/p/fistaski-zarenye-neocisennye-solenye-market-50g-4309728	Wed Jul  3 15:05:09 2024	Фисташки жареные неочищенные солёные Маркет, 50г	Цена109,99 ₽	Маркет	620.0	22.0 г	52.0 г	17.0 г	Орехи фисташковые неочищенные жареные, пищевая соль. 	True	True	Fri Jul  5 23:42:17 2024
Фисташки солёные обжаренные Пр!ст, 100г	199,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/159/p/fistaski-solenye-obzarennye-pr-st-100g-3638619	Wed Jul  3 15:05:09 2024	Фисташки солёные обжаренные Пр!ст, 100г	Цена209,99 ₽	Пр!ст	560.0	20.0 г	40.0 г	29.0 г	Орехи фисташковые неочищенные жареные, соль пищевая. Продукт может содержать следы других орехов, арахиса. 	True	True	Fri Jul  5 23:42:18 2024
Орехи фисташки в скорлупе жареные соленые Market Collection,120г	319,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/159/p/orehi-fistaski-v-skorlupe-zarenye-solenye-market-collection-120g-4274180	Wed Jul  3 15:05:09 2024	Орехи фисташки в скорлупе жареные соленые Market Collection,120г	Цена319,99 ₽	Market Collection	640.0	20.9 г	53.3 г	19.9 г	Фисташковые орехи жареные, соль. 	True	True	Fri Jul  5 23:42:19 2024
Фисташки солёные жареные неочищенные Маркет, 134г	289,99 ₽/шт	134 гр	https://www.perekrestok.ru/cat/159/p/fistaski-solenye-zarenye-neocisennye-market-134g-3640863	Wed Jul  3 15:05:09 2024	Фисташки солёные жареные неочищенные Маркет, 134г	Цена289,99 ₽	Маркет	560.0	20.0 г	40.0 г	29.0 г	Орехи фисташковые неочищенные жареные, соль. 	True	True	Fri Jul  5 23:42:20 2024
Фисташки солёные жареные в скорлупе Пр!ст, 300г	759,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/159/p/fistaski-solenye-zarenye-v-skorlupe-pr-st-300g-3900345	Wed Jul  3 15:05:09 2024	Фисташки солёные жареные в скорлупе Пр!ст, 300г	Цена759,99 ₽	Пр!ст	490.0	12.0 г	38.0 г	24.0 г	Орехи фисташки в скорлупе жареные, соль. 	True	True	Fri Jul  5 23:42:21 2024
Фисташки Семушка солёные жареные, 90г	299,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/159/p/fistaski-semuska-solenye-zarenye-90g-4066346	Wed Jul  3 15:05:09 2024	Фисташки Семушка солёные жареные, 90г	Цена359,99 ₽	Семушка	643.0	20.8 г	53.3 г	19.9 г	Фисташки жареные, соль морская. 	True	True	Fri Jul  5 23:42:22 2024
Кешью очищенный жареный Маркет, 50г	104,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/159/p/kesu-ocisennyj-zarenyj-market-50g-4306959	Wed Jul  3 15:05:09 2024	Кешью очищенный жареный Маркет, 50г	Цена104,99 ₽	Маркет	579.0	21.0 г	48.0 г	15.7 г	Кешью жареный, ядро. 	True	True	Fri Jul  5 23:42:23 2024
Ядра орехов кешью сушёные Market Collection, 150г	329,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/adra-orehov-kesu-susenye-market-collection-150g-4303530	Wed Jul  3 15:05:09 2024	Ядра орехов кешью сушёные Market Collection, 150г	Цена329,99 ₽	Market Collection	603.0	19.0 г	47.0 г	26.0 г	Ядра орехов кешью сушеные. 	True	True	Fri Jul  5 23:42:24 2024
Кешью жареный Маркет Collection, 150г	359,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/kesu-zarenyj-market-collection-150g-4280430	Wed Jul  3 15:05:09 2024	Кешью жареный Маркет Collection, 150г	Цена359,99 ₽	Market Collection	620.0	18.0 г	51.0 г	22.0 г	Ядра кешью жареные, масло растительное. 	True	True	Fri Jul  5 23:42:25 2024
Кешью Семушка жареный, 150г	379,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/kesu-semuska-zarenyj-150g-3428417	Wed Jul  3 15:05:09 2024	Кешью Семушка жареный, 150г	Цена399,99 ₽	Семушка	664.0	25.2 г	12.6 г	53.6 г	Кешью жареный, ядро. 	True	True	Fri Jul  5 23:42:26 2024
Кешью Маркет, 130г	279,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/159/p/kesu-market-130g-3640845	Wed Jul  3 15:05:09 2024	Кешью Маркет, 130г	Цена279,99 ₽	Маркет	610.0	19.0 г	49.0 г	23.0 г	Ядра кешью. 	True	True	Fri Jul  5 23:42:26 2024
Драже кешью в карамели с кунжутом Маркет Перекрёсток, 130г	259,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/159/p/draze-kesu-v-karameli-s-kunzutom-market-perekrestok-130g-3476499	Wed Jul  3 15:05:09 2024	Драже кешью в карамели с кунжутом Маркет Перекрёсток, 130г	Цена219,99 ₽	Маркет	400.0	10.0 г	25.0 г	34.0 г	Ядра кешью обжаренные, семена кунжута, сахар, патока. 	True	True	Fri Jul  5 23:42:28 2024
Кешью жареный Пр!ст, 100г	219,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/159/p/kesu-zarenyj-pr-st-100g-3900342	Wed Jul  3 15:05:09 2024	Кешью жареный Пр!ст, 100г	Цена219,99 ₽	Пр!ст	570.0	18.0 г	42.0 г	31.0 г	Ядра орехов кешью жареные. 	True	True	Fri Jul  5 23:42:28 2024
Кешью Ароматные Орехи жареный с паприкой и томатом, 113г	299,99 ₽/шт	113 гр	https://www.perekrestok.ru/cat/159/p/kesu-aromatnye-orehi-zarenyj-s-paprikoj-i-tomatom-113g-4279871	Wed Jul  3 15:05:09 2024	Кешью Ароматные Орехи жареный с паприкой и томатом, 113г	Цена299,99 ₽	Ароматные Орехи	574.0	15.3 г	46.4 г	32.7 г	жареные ядра кешью, томатная паста, паприка молотая, морская соль 	True	True	Fri Jul  5 23:42:30 2024
Ядра орехов фундука обжаренные Маркет, 50г	99,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/159/p/adra-orehov-funduka-obzarennye-market-50g-4305395	Wed Jul  3 15:05:09 2024	Ядра орехов фундука обжаренные Маркет, 50г	Цена99,99 ₽	Маркет	630.0	16.0 г	55.0 г	18.0 г	Ядра орехов фундука обжаренные. 	True	True	Fri Jul  5 23:42:30 2024
Фундук жареный Пр!ст, 100г	169,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/159/p/funduk-zarenyj-pr-st-100g-4249431	Wed Jul  3 15:05:09 2024	Фундук жареный Пр!ст, 100г	Цена169,99 ₽	Пр!ст	703.0	17.8 г	66.1 г	9.4 г	Ядра фундука жареные. 	True	True	Fri Jul  5 23:42:32 2024
Фундук Семушка жареный, 150г	289,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/funduk-semuska-zarenyj-150g-3428416	Wed Jul  3 15:05:09 2024	Фундук Семушка жареный, 150г	Цена289,99 ₽	Семушка	704.0	16.1 г	66.9 г	9.9 г	Фундук жареный, ядро. 	True	True	Fri Jul  5 23:42:35 2024
Фундук сушёный Пр!ст, 100г	184,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/159/p/funduk-susenyj-pr-st-100g-3900343	Wed Jul  3 15:05:09 2024	Фундук сушёный Пр!ст, 100г	Цена184,99 ₽	Пр!ст	700.0	16.0 г	66.0 г	10.0 г	Ядра орехов фундука сушеные. 	True	True	Fri Jul  5 23:42:36 2024
Драже фундук в шоколадной глазури Маркет Перекрёсток, 150г	269,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/draze-funduk-v-sokoladnoj-glazuri-market-perekrestok-150g-3476505	Wed Jul  3 15:05:09 2024	Драже фундук в шоколадной глазури Маркет Перекрёсток, 150г	Цена209,99 ₽	Маркет	560.0	8.0 г	41.0 г	40.0 г	Шоколадная глазурь (сахар, эквивалент масла какао шоклин р, тёртое какао, какао-порошок, эмульгаторы соевый лецитин и е476, ароматизатор ванилин), ядра фундука обжаренные, глазирователь е904, стабилизатор гуммиарабик. 	True	True	Fri Jul  5 23:42:37 2024
Фундук жареный Пр!ст, 500г	799,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/159/p/funduk-zarenyj-pr-st-500g-4309723	Wed Jul  3 15:05:09 2024	Фундук жареный Пр!ст, 500г	Цена799,99 ₽	Пр!ст	640.0	16.0 г	55.0 г	18.0 г	Ядра орехов фундука жареные. 	True	True	Fri Jul  5 23:42:38 2024
Фундук жареный Маркет, 130г	309,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/159/p/funduk-zarenyj-market-130g-3640847	Wed Jul  3 15:05:09 2024	Фундук жареный Маркет, 130г	Цена309,99 ₽	Маркет	700.0	18.0 г	65.0 г	9.5 г	Ядра орехов фундука жареные. 	True	True	Fri Jul  5 23:42:39 2024
Фундук Маркет Перекрёсток, 135г	339,99 ₽/шт	135 гр	https://www.perekrestok.ru/cat/159/p/funduk-market-perekrestok-135g-3651926	Wed Jul  3 15:05:09 2024	Фундук Маркет Перекрёсток, 135г	Цена339,99 ₽	Маркет	650.0	15.0 г	61.0 г	9.0 г	Ядра орехов лещины (фундука) без обжарки. В редких случаях продукт может содержать незначительное количество других орехов, арахиса. 	True	True	Fri Jul  5 23:42:40 2024
Фундук Аркада в скорлупе, 500г	459,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/159/p/funduk-arkada-v-skorlupe-500g-4098813	Wed Jul  3 15:05:09 2024	Фундук Аркада в скорлупе, 500г	Цена439,99 ₽	Аркада	628.0	14.9 г	60.8 г	7.0 г	Фундук в скорлупе. 	True	True	Fri Jul  5 23:42:41 2024
Ядра грецкого ореха Маркет, 50г	79,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/159/p/adra-greckogo-oreha-market-50g-4309729	Wed Jul  3 15:05:09 2024	Ядра грецкого ореха Маркет, 50г	Цена79,99 ₽	Маркет	660.0	16.0 г	61.0 г	11.0 г	Ядра грецкого ореха пастеризованные. 	True	True	Fri Jul  5 23:42:41 2024
Ядра грецкого ореха сушёные Пр!ст, 100г	125,40 ₽/шт	100 гр	https://www.perekrestok.ru/cat/159/p/adra-greckogo-oreha-susenye-pr-st-100g-4268794	Wed Jul  3 15:05:09 2024	Ядра грецкого ореха сушёные Пр!ст, 100г	Цена104,80 ₽	Пр!ст	629.0	16.7 г	59.8 г	6.0 г	Ядра грецкого ореха сушеные. 	True	True	Fri Jul  5 23:42:42 2024
Ядра грецкого ореха сушеные Маркет, 134г	169,99 ₽/шт	134 гр	https://www.perekrestok.ru/cat/159/p/adra-greckogo-oreha-susenye-market-134g-4269175	Wed Jul  3 15:05:09 2024	Ядра грецкого ореха сушеные Маркет, 134г	Цена169,99 ₽	Маркет	629.0	16.7 г	59.8 г	6.0 г	Ядра грецкого ореха сушеные. 	True	True	Fri Jul  5 23:42:43 2024
Грецкий орех Семушка, 110г	379,99 ₽/шт	110 гр	https://www.perekrestok.ru/cat/159/p/greckij-oreh-semuska-110g-3428420	Wed Jul  3 15:05:09 2024	Грецкий орех Семушка, 110г	Цена389,99 ₽	Семушка	691.0	16.8 г	22.3 г	53.4 г	Грецкий орех, ядро. 	True	True	Fri Jul  5 23:42:44 2024
Ядро ореха грецкого Market Collection, 100г	279,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/159/p/adro-oreha-greckogo-market-collection-100g-4272202	Wed Jul  3 15:05:09 2024	Ядро ореха грецкого Market Collection, 100г	Цена279,99 ₽	Market Collection	660.0	16.0 г	61.0 г	11.0 г	Ядро ореха грецкого. 	True	True	Fri Jul  5 23:42:45 2024
Грецкий орех Аркада в скорлупе, 500г	459,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/159/p/greckij-oreh-arkada-v-skorlupe-500g-4098825	Wed Jul  3 15:05:09 2024	Грецкий орех Аркада в скорлупе, 500г	Цена429,99 ₽	Аркада	656.0	16.2 г	60.8 г	11.1 г	Грецкий орех в скорлупе (чили). 	True	True	Fri Jul  5 23:42:46 2024
Миндаль очищенный жареный Маркет, 50г	99,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/159/p/mindal-ocisennyj-zarenyj-market-50g-4306957	Wed Jul  3 15:05:09 2024	Миндаль очищенный жареный Маркет, 50г	Цена99,99 ₽	Маркет	641.0	18.0 г	57.0 г	14.0 г	Миндаль жареный, ядро. 	True	True	Fri Jul  5 23:42:47 2024
Ядра орехов миндаля обжаренные Пр!ст, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/159/p/adra-orehov-mindala-obzarennye-pr-st-100g-4269170	Wed Jul  3 15:05:09 2024	Ядра орехов миндаля обжаренные Пр!ст, 100г	Цена149,99 ₽	Пр!ст	610.0	18.4 г	53.9 г	12.7 г	Ядра миндаля обжаренные. 	True	True	Fri Jul  5 23:42:47 2024
Миндаль Маркет Collection, 135г	279,99 ₽/шт	135 гр	https://www.perekrestok.ru/cat/159/p/mindal-market-collection-135g-4280434	Wed Jul  3 15:05:09 2024	Миндаль Маркет Collection, 135г	Цена279,99 ₽	Market Collection	610.0	19.0 г	54.0 г	13.0 г	Ядра орехов миндаля без обжарки. 	True	True	Fri Jul  5 23:42:48 2024
Миндаль жареный Маркет Перекрёсток, 130г	279,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/159/p/mindal-zarenyj-market-perekrestok-130g-3640846	Wed Jul  3 15:05:09 2024	Миндаль жареный Маркет Перекрёсток, 130г	Цена279,99 ₽	Маркет	620.0	19.0 г	55.0 г	13.0 г	Ядро миндаля жаренное. 	True	True	Fri Jul  5 23:42:51 2024
Миндаль Семушка жареный, 150г	389,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/mindal-semuska-zarenyj-150g-3428419	Wed Jul  3 15:05:09 2024	Миндаль Семушка жареный, 150г	Цена389,99 ₽	Семушка	641.0	18.0 г	57.0 г	14.0 г	Миндаль жареный, ядро. 	True	True	Fri Jul  5 23:42:51 2024
Миндаль Семушка, 120г	319,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/159/p/mindal-semuska-120g-4065823	Wed Jul  3 15:05:09 2024	Миндаль Семушка, 120г	Цена319,99 ₽	Семушка	641.0	18.0 г	57.0 г	14.0 г	Миндаль сушеный, ядро. 	True	True	Fri Jul  5 23:42:52 2024
Драже миндаль в шоколадной глазури Маркет Перекрёсток, 150г	269,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/159/p/draze-mindal-v-sokoladnoj-glazuri-market-perekrestok-150g-3476504	Wed Jul  3 15:05:09 2024	Драже миндаль в шоколадной глазури Маркет Перекрёсток, 150г	Цена199,99 ₽	Маркет	550.0	10.0 г	39.0 г	40.0 г	Шоколадная глазурь (сахар-песок, эквивалент масла какао шоклин р, тертое какао, какао-порошок, эмульгаторы соевый лецитин и е476, ароматизатор ванилин), ядра миндаля обжаренные, глазирователь е904, стабилизатор гуммиарабик. 	True	True	Fri Jul  5 23:42:53 2024
