name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Брокколи быстрозамороженная Маркет, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/brokkoli-bystrozamorozennaa-market-400g-3489151	Wed Jul  3 15:04:24 2024	Брокколи быстрозамороженная Маркет, 400г	Цена139,99 ₽	Маркет	41.2	2.8 г	0.4 г	6.6 г	Капуста брокколи. 	True	True	Fri Jul  5 23:11:27 2024
Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/spinat-rezanyj-bystrozamorozennyj-market-perekrestok-400g-4150062	Wed Jul  3 15:04:24 2024	Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	Цена139,99 ₽	Маркет	22.3	2.9 г	0.3 г	2.0 г	Шпинат резаный. 	True	True	Fri Jul  5 23:11:28 2024
Смесь овощная Овощи для жарки быстрозамороженная Маркет Перекрёсток, 400г	81,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-ovosi-dla-zarki-bystrozamorozennaa-market-perekrestok-400g-3489168	Wed Jul  3 15:04:24 2024	Смесь овощная Овощи для жарки быстрозамороженная Маркет Перекрёсток, 400г	Цена139,99 ₽	Маркет	153.5	5.1 г	1.4 г	30.0 г	Рис, грибы шампиньоны, перец сладкий, кукуруза, горошек зеленый. 	True	True	Fri Jul  5 23:11:31 2024
Смесь овощная Agama Гавайская замороженная, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-agama-gavajskaa-zamorozennaa-400g-4009160	Wed Jul  3 15:04:24 2024	Смесь овощная Agama Гавайская замороженная, 400г	Цена159,99 ₽	Hortex	423.0	3.7 г	0.6 г	18.5 г	Овощи в изменяемых соотношениях 60%: зеленый горошек, кукуруза, сладкий перец; рис 40%. 	True	True	Fri Jul  5 23:11:32 2024
Смесь овощная Hortex Брокколи и цветная быстрозамороженная, 400г	184,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-hortex-brokkoli-i-cvetnaa-bystrozamorozennaa-400g-3444911	Wed Jul  3 15:04:24 2024	Смесь овощная Hortex Брокколи и цветная быстрозамороженная, 400г	Цена184,99 ₽	Hortex	30.0	3.0 г	0.0 г	5.0 г	Капуста брокколи, цветная капуста. 	True	True	Fri Jul  5 23:11:33 2024
Спаржа Планета Витаминов зеленая, 400г	209,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/sparza-planeta-vitaminov-zelenaa-400g-3449160	Wed Jul  3 15:04:24 2024	Спаржа Планета Витаминов зеленая, 400г	Цена519,99 ₽	Планета Витаминов	20.0	1.9 г	0.1 г	3.1 г	none	True	True	Fri Jul  5 23:11:34 2024
Смесь овощная Морозко Green Овощное трио быстрозамороженная, 400г	189,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-morozko-green-ovosnoe-trio-bystrozamorozennaa-400g-3431069	Wed Jul  3 15:04:24 2024	Смесь овощная Морозко Green Овощное трио быстрозамороженная, 400г	Цена174,99 ₽	Морозко Green	36.0	2.2 г	0.2 г	5.8 г	Морковь, капуста брокколи, цветная капуста. 	True	True	Fri Jul  5 23:11:34 2024
Брокколи быстрозамороженная Маркет, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/brokkoli-bystrozamorozennaa-market-400g-3489151	Wed Jul  3 15:04:24 2024	Брокколи быстрозамороженная Маркет, 400г	Цена139,99 ₽	Маркет	41.2	2.8 г	0.4 г	6.6 г	Капуста брокколи. 	True	True	Fri Jul  5 23:11:35 2024
Капуста брюссельская быстрозамороженная Маркет Перекрёсток, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/kapusta-brusselskaa-bystrozamorozennaa-market-perekrestok-400g-3489150	Wed Jul  3 15:04:24 2024	Капуста брюссельская быстрозамороженная Маркет Перекрёсток, 400г	Цена199,99 ₽	Маркет	35.0	4.5 г	0.5 г	3.2 г	Капуста брюссельская. 	True	True	Fri Jul  5 23:11:36 2024
Смесь грибов лесных резаных быстрозамороженных Маркет, 300г	259,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/59/p/smes-gribov-lesnyh-rezanyh-bystrozamorozennyh-market-300g-4278476	Wed Jul  3 15:04:24 2024	Смесь грибов лесных резаных быстрозамороженных Маркет, 300г	Цена259,99 ₽	Маркет	25.0	3.3 г	0.7 г	1.5 г	Маслята, подосиновики, грибы белые. 	True	True	Fri Jul  5 23:11:37 2024
Грибы Белые резаные быстрозамороженные Маркет, 300г	379,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/59/p/griby-belye-rezanye-bystrozamorozennye-market-300g-4278477	Wed Jul  3 15:04:24 2024	Грибы Белые резаные быстрозамороженные Маркет, 300г	Цена359,99 ₽	Маркет	34.0	3.7 г	1.7 г	1.1 г	none	True	True	Fri Jul  5 23:11:37 2024
Опята быстрозамороженные Маркет Перекрёсток, 400г	259,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/opata-bystrozamorozennye-market-perekrestok-400g-3489171	Wed Jul  3 15:04:24 2024	Опята быстрозамороженные Маркет Перекрёсток, 400г	Цена269,99 ₽	Маркет	21.6	2.2 г	1.2 г	0.5 г	Опята. 	True	True	Fri Jul  5 23:11:38 2024
Картофель Фри замороженный Маркет, 700г	219,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/59/p/kartofel-fri-zamorozennyj-market-700g-4326042	Wed Jul  3 15:04:24 2024	Картофель Фри замороженный Маркет, 700г	Цена219,99 ₽	Маркет	137.0	1.8 г	5.6 г	20.0 г	Картофель, растительное масло. 	True	True	Fri Jul  5 23:11:39 2024
