name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Томаты протёртые Маркет Перекрёсток, 200г	79,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/76/p/tomaty-protertye-market-perekrestok-200g-4042451	Wed Jul  3 15:05:05 2024	Томаты протёртые Маркет Перекрёсток, 200г	Цена79,99 ₽	Маркет	25.0	1.2 г	0.1 г	4.9 г	Томаты, соль, регулятор кислотности лимонная кислота. 	True	True	Fri Jul  5 23:36:29 2024
Маслины без косточки Пр!ст, 280г	129,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/76/p/masliny-bez-kostocki-pr-st-280g-3468532	Wed Jul  3 15:05:05 2024	Маслины без косточки Пр!ст, 280г	Цена129,99 ₽	Пр!ст	128.0	0.5 г	17.0 г	none	Вода питьевая, оливки, соль, фиксатор окраски: глюконат железа. 	True	True	Fri Jul  5 23:36:31 2024
Огурцы маринованные целые Пр!ст, 680г	149,99 ₽/шт	720 мл	https://www.perekrestok.ru/cat/76/p/ogurcy-marinovannye-celye-pr-st-680g-3504166	Wed Jul  3 15:05:05 2024	Огурцы маринованные целые Пр!ст, 680г	Цена149,99 ₽	Пр!ст	8.0	0.6 г	0.0 г	1.5 г	Огурцы, вода питьевая, соль, сахар, регулятор кислотности - уксусная кислота, зелень укропа, лук, семена горчицы, уплотнитель - хлорид кальция. 	True	True	Fri Jul  5 23:36:32 2024
Фасоль белая в томатном соусе Маркет Перекрёсток, 400г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/fasol-belaa-v-tomatnom-souse-market-perekrestok-400g-3635744	Wed Jul  3 15:05:05 2024	Фасоль белая в томатном соусе Маркет Перекрёсток, 400г	Цена79,99 ₽	Маркет	90.0	6.2 г	0.0 г	15.7 г	Фасоль белая, вода питьевая, томатная паста, сахар, соль, перец душистый молотый, перец красный молотый. 	True	True	Fri Jul  5 23:36:33 2024
Горошек зелёный Пр!ст, 420г	39,30 ₽/шт	420 гр	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-pr-st-420g-4100914	Wed Jul  3 15:05:05 2024	Горошек зелёный Пр!ст, 420г	Цена41,30 ₽	Пр!ст	38.0	3.1 г	0.0 г	6.5 г	Горошек зеленый восстановленный, вода питьевая, соль пищевая, сахар белый. 	True	True	Fri Jul  5 23:36:34 2024
Оливки Халкидики с косточкой Market Collection, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/76/p/olivki-halkidiki-s-kostockoj-market-collection-200g-4027822	Wed Jul  3 15:05:05 2024	Оливки Халкидики с косточкой Market Collection, 200г	Цена249,99 ₽	Market Collection	240.0	1.5 г	25.0 г	3.8 г	Оливки халкидики с косточкой, оливковое масло extra virgin, орегано, соль. 	True	True	Fri Jul  5 23:36:34 2024
Горошек зелёный Маркет Перекрёсток, 400г	97,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-market-perekrestok-400g-3504837	Wed Jul  3 15:05:05 2024	Горошек зелёный Маркет Перекрёсток, 400г	Цена99,99 ₽	Маркет	40.0	3.1 г	0.0 г	6.5 г	Зеленый горошек, вода питьевая, сахар-песок, соль поваренная пищевая. 	True	True	Fri Jul  5 23:36:35 2024
Горошек Bonduelle Classique зелёный, 200г	79,99 ₽/шт	212 гр	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-200g-27460	Wed Jul  3 15:05:05 2024	Горошек Bonduelle Classique зелёный, 200г	Цена79,99 ₽	Bonduelle	52.2	4.8 г	0.2 г	7.5 г	Зеленый горошек, вода питьевая, сахар-песок, соль поваренная пищевая. 	True	True	Fri Jul  5 23:36:37 2024
Горошек Bonduelle Classique зелёный, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-400g-16791	Wed Jul  3 15:05:05 2024	Горошек Bonduelle Classique зелёный, 400г	Цена159,99 ₽	Bonduelle	73.0	5.5 г	0.7 г	7.4 г	Зеленый горошек, вода питьевая, сахар-песок, соль поваренная пищевая. 	True	True	Fri Jul  5 23:36:38 2024
Горошек 6 соток зелёный, 400г	65,99 ₽/шт	425 гр	https://www.perekrestok.ru/cat/76/p/gorosek-6-sotok-zelenyj-400g-82254	Wed Jul  3 15:05:05 2024	Горошек 6 соток зелёный, 400г	Цена109,99 ₽	6 соток	38.4	3.1 г	0.0 г	6.5 г	Зелёный горошек свежий мозгового сорта, вода питьевая, сахар, соль. 	True	True	Fri Jul  5 23:36:38 2024
