name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Подушечки Любятово шоколадные, 500г	169,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/748/p/podusecki-lubatovo-sokoladnye-500g-3691087	Wed Jul  3 15:04:53 2024	Подушечки Любятово шоколадные, 500г	Цена239,99 ₽	Любятово	450.0	6.5 г	16.0 г	67.0 г	Зерновые продукты (крупа (мука) пшеничная, овсяная, рисовая,), сахар, масло растительное, какао-порошок, крахмал кукурузный, соль, эмульгатор: лецитин соевый, молоко обезжиренное сухое. 	True	True	Fri Jul  5 23:33:03 2024
Шарики Любятово шоколадные, 500г	219,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/748/p/sariki-lubatovo-sokoladnye-500g-3659063	Wed Jul  3 15:04:53 2024	Шарики Любятово шоколадные, 500г	Цена149,99 ₽	Любятово	380.0	8.0 г	1.5 г	79.0 г	Зерновые продукты (крупа (мука) пшеничная, овсяная, рисовая), сахар, масло растительное, какао-порошок, крахмал кукурузный, соль, эмульгатор: лецитин соевый, молоко обезжиренное сухое. 	True	True	Fri Jul  5 23:33:03 2024
Подушечки с какао Ухтышки, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/748/p/podusecki-s-kakao-uhtyski-250g-3933314	Wed Jul  3 15:04:53 2024	Подушечки с какао Ухтышки, 250г	Цена109,99 ₽	Ухтышки	410.0	6.7 г	13.5 г	64.9 г	Мука пшеничная, сахар, мука кукурузная, масло подсолнечное рафинированное дезодорированное, вода питьевая, какао-порошок, крахмал кукурузный, молоко сухое цельное, мука овсяная, сыворотка молочная сухая, соль пищевая, эмульгатор лецитин соевый, ароматизатор “шоколад”. 	True	True	Fri Jul  5 23:33:04 2024
Подушечки Chocozavr хрустящие с шоколадно-молочной начинкой, 220г	164,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/748/p/podusecki-chocozavr-hrustasie-s-sokoladno-molocnoj-nacinkoj-220g-4272345	Wed Jul  3 15:19:37 2024	Подушечки Chocozavr хрустящие с шоколадно-молочной начинкой, 220г	Цена129,99 ₽	none	446.0	7.6 г	15.1 г	68.0 г	Зерновые продукты (мука пшеничная; хлопья овсяные, мука рисовая), шоколадно-молочная начинка (сахар, масло рапсовое, молочный шоколад (сахар, какао-тёртое, молоко цельное сухое, эмульгатор: лецитин соевый), молоко цельное сухое, крахмал кукурузный, какао-порошок, эмульгатор: лецитин соевый, ароматизатор), сахар, соль, красители: каротины, аннато. 	True	True	Fri Jul  5 23:33:06 2024
Подушечки Любятово с банановой начинкой, 220г	144,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/748/p/podusecki-lubatovo-s-bananovoj-nacinkoj-220g-4187957	Wed Jul  3 15:19:37 2024	Подушечки Любятово с банановой начинкой, 220г	Цена139,99 ₽	Любятово	440.0	8.0 г	14.0 г	67.0 г	Зерновые продукты [крупа пшеничная, хлопья овсяные, мука рисовая], сахар, масло растительное, крахмал кукурузный, молоко обезжиренное сухое, какао-порошок, соль, порошок фруктовый банан, эмульгатор: лецитин соевый, ароматизатор натуральный банан. 	True	True	Fri Jul  5 23:33:06 2024
Подушечки Хрутка с шоколадной начинкой, 250г	184,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/748/p/podusecki-hrutka-s-sokoladnoj-nacinkoj-250g-3498890	Wed Jul  3 15:19:37 2024	Подушечки Хрутка с шоколадной начинкой, 250г	Цена179,99 ₽	Хрутка	442.0	5.2 г	16.0 г	69.3 г	Зерновые продукты (крупа рисовая, пшеница (содержит глютен)), сахар, масло подсолнечное, крахмал кукурузный, какао-порошок с повышенным содержанием жира, молоко сухое обезжиренное, соль, эмульгатор (соевый лецитин), кальция карбонат. 	True	True	Fri Jul  5 23:33:07 2024
Подушечки Chocozavr хрустящие с шоколадно-ореховой начинкой, 220г	209,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/748/p/podusecki-chocozavr-hrustasie-s-sokoladno-orehovoj-nacinkoj-220g-4272344	Wed Jul  3 15:19:37 2024	Подушечки Chocozavr хрустящие с шоколадно-ореховой начинкой, 220г	Цена129,99 ₽	none	456.0	7.2 г	16.5 г	68.0 г	Зерновые продукты [мука пшеничная; хлопья овсяные, мука рисовая], шоколадно-ореховая начинка [сахар, масло рапсовое, молоко цельное сухое, шоколад-порошок (сахар, какао тёртое, эмульгатор: лецитин соевый), крахмал кукурузный, какао-порошок, фундук жареный протёртый, эмульгатор: лецитин соевый, ароматизатор], сахар, соль, красители: каротины, аннато. 	True	True	Fri Jul  5 23:33:08 2024
Подушечки с молоком Ухтышки, 250г	89,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/748/p/podusecki-s-molokom-uhtyski-250g-3933313	Sat Jul  6 19:32:30 2024	Подушечки с молоком Ухтышки, 250г	Цена89,99 ₽	Ухтышки	410.0	6.1 г	12.9 г	67.2 г	Мука пшеничная, сахар, мука кукурузная, масло подсолнечное рафинированное дезодорированное, вода питьевая, молоко сухое цельное, крахмал кукурузный, сыворотка молочная сухая, мука овсяная, соль пищевая, эмульгатор лецитин соевый. 	True	True	Sat Jul  6 20:04:18 2024
Подушечки Хрутка с молочной начинкой, 250г	179,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/748/p/podusecki-hrutka-s-molocnoj-nacinkoj-250g-3498889	Sat Jul  6 19:32:30 2024	Подушечки Хрутка с молочной начинкой, 250г	Цена239,99 ₽	Хрутка	443.0	5.5 г	15.5 г	70.2 г	Зерновые продукты (крупа рисовая, пшеница (содержит глютен)), сахар, масло подсолнечное, крахмал кукурузный, молоко сухое обезжиренное, соль, эмульгатор (соевый лецитин), кальция корбонат. 	True	True	Sat Jul  6 20:04:19 2024
Подушечки злаковые Хрутка со вкусом клубники, 220г	239,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/748/p/podusecki-zlakovye-hrutka-so-vkusom-klubniki-220g-4261140	Sat Jul  6 19:32:30 2024	Подушечки злаковые Хрутка со вкусом клубники, 220г	Цена249,99 ₽	Хрутка	410.0	6.0 г	13.2 г	66.6 г	Пшеница (содержит глютен), сахар, крупа рисовая, масло подсолнечное, крахмал кукурузный, кукуруза, какао-порошок алкализованный, карбонат кальция, экстракт свеклы, эмульгатор (лецитины), соль, ароматизаторы натуральные. Продукт может содержать молоко. 	True	True	Sat Jul  6 20:04:20 2024
