name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пряники Звёздные заварные Пр!ст, 500г	63,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/703/p/praniki-zvezdnye-zavarnye-pr-st-500g-3685929	Wed Jul  3 15:03:15 2024	Пряники Звёздные заварные Пр!ст, 500г	Цена63,99 ₽	Пр!ст	380.0	5.4 г	4.5 г	80.9 г	Мука пшеничная хлебопекарная первого сорта, сахар белый, вода питьевая, масло подсолнечное рафинированное дезодорированное, повидло (пюре яблочное, сахар, регулятор кислотности – лимонная кислота, консервант – сорбиновая кислота), разрыхлители (карбонат аммония, гидрокарбонат натрия), агент влагоудерживающий (глицерин), корица молотая. 	True	True	Fri Jul  5 22:07:57 2024
Пряники Полёт заварные вишня, 300г	114,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-polet-zavarnye-visna-300g-3057546	Wed Jul  3 15:03:15 2024	Пряники Полёт заварные вишня, 300г	Цена129,99 ₽	Полет	353.0	3.9 г	3.2 г	77.1 г	Мука пшеничная, сахар-песок, начинка фруктовая (пюре яблочное, пюре вишневое, сахар, консервант - сорбат калия, ароматизатор, краситель - кармин), вода питьевая, патока, мука ржаная, масла растительные рафинированные дезодорированные, пряности молотые (кардамон, корица, имбирь, перец душистый, гвоздика, мускатный орех), разрыхлитель - гидрокарбонат аммония, краситель – сахарный колер, консервант - сорбат калия. Возможно присутствие следов арахиса, кунжута и орехов. 	True	True	Fri Jul  5 22:07:58 2024
Пряники Яшкино Шоколадные, 350г	114,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/703/p/praniki-askino-sokoladnye-350g-3343012	Wed Jul  3 15:03:15 2024	Пряники Яшкино Шоколадные, 350г	Цена154,99 ₽	Яшкино	380.0	5.0 г	8.0 г	72.0 г	Сахар, мука пшеничная, вода питьевая, масла растительные, мука ржаная обдирная, какао-порошок, сыворотка молочная сухая, разрыхлитель: гидрокарбонат аммония; ароматизаторы, какао-масло, консервант: сорбиновая кислота; регуляторы кислотности: гидрокарбонат натрия, лимонная кислота, молочная кислота; эмульгаторы: сорбитан тристеарат, лецитин соевый, моно- и диглицериды жирных кислот; стабилизатор: гуммиарабик; краситель: каротины; антиокислители: аскорбиновая кислота альфа- Токоферол. 	True	True	Fri Jul  5 22:07:59 2024
Пряники Полёт шоколадные, 250г	169,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/703/p/praniki-polet-sokoladnye-250g-4051330	Wed Jul  3 15:03:15 2024	Пряники Полёт шоколадные, 250г	Цена144,99 ₽	Полет	370.0	5.5 г	9.0 г	67.0 г	Мука пшеничная хлебопекарная, сахар, патока, масло подсолнечное рафинированное дездорированное, вода питьевая, мука ржаная хлебопекарная обдирная, шоколад горький (какао тертое, сахар, какао масло, эмульгатор (лецитин соевый), ароматизатор), какао тертое, какао порошок натуральный, молоко сухое цельное, разрыхлитель - гидрокарбонат аммония, консервант сорбат калия. Восзможно присутствие следов арахиса, кунжута и орехов. 	True	True	Fri Jul  5 22:08:00 2024
Пряники Сладояр имбирные, 350г	97,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/703/p/praniki-sladoar-imbirnye-350g-3654104	Wed Jul  3 15:03:15 2024	Пряники Сладояр имбирные, 350г	Цена95,99 ₽	СладоЯр	370.0	4.5 г	5.0 г	74.0 г	Мука пшеничная хлебопекарная, инвертный сироп (сахар, вода питьевая, регуляторы кислотности (кислота лимонная, гидрокарбонат натрия)), сахар, масло растительное дезодорированное, жженка (сахар, вода питьевая), смесь пряностей молотых (корица, имбирь, гвоздика, перец душистый), пищевое волокно, смесь функциональная (мука соевая, растительный жир, лактоза, молочный белок), разрыхлители (гидрокарбонат натрия, карбонат аммония), эмульгатор Е481, ароматизатор, краситель Е155, комплексная пищевая добавка (мука пшеничная хлебопекарная, консерванты (Е200, Е282)). 	True	True	Fri Jul  5 22:08:01 2024
Пряник Наслада Имбирный, 340г	109,99 ₽/шт	340 гр	https://www.perekrestok.ru/cat/703/p/pranik-naslada-imbirnyj-340g-3374464	Wed Jul  3 15:03:15 2024	Пряник Наслада Имбирный, 340г	Цена109,99 ₽	Наслада	350.0	4.5 г	3.0 г	76.0 г	Инвертный сироп (сахар-песок, вода питьевая, регуляторы кислотности: кислота лимонная, гидрокарбонат натрия), мука пшеничная общего назначения М 75-23, сахар-песок, вода питьевая, масло подсолнечное рафинированное дезодорированное, разрыхлители (карбонат аммония, гидрокарбонат натрия), пшеничные пищевые волокна, корица молотая, имбирь молотый, краситель пищевой Е150с, гвоздика молотая. 	True	True	Fri Jul  5 22:08:02 2024
Пряник Пекарня Sofi на палочке, 45г	199,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/703/p/pranik-pekarna-sofi-na-palocke-45g-4328081	Wed Jul  3 15:03:15 2024	Пряник Пекарня Sofi на палочке, 45г	Цена229,99 ₽	Пекарня Софи	411.0	5.1 г	10.8 г	73.1 г	мука пшеничная в/с, сахар, сахарная пудра, мед натуральный, маргарин (масла растительные рафинированные дезодорированные, вода, ароматизатор натуральный) вода питьевая, продукты яичные, разрыхлитель теста (разрыхлители: гидрокарбонат натрия (сода пищевая) и пирофосфат натрия, кукурузный крахмал), какао-порошок, сухой яичный белок, корица молотая, имбирь молотый, ароматизатор (ванилин), посыпка кондитерская (сахар, крахмал кукурузный, глазирователи (карнаубский воск, шеллак), красители пищевые натуральные (бета-каротин, куркумин, хролофилл, карамельный колер, кармин, экстракт спирулины синей, экстракт сафлора, экстракт паприки, уголь растительный). 	True	True	Fri Jul  5 22:08:03 2024
Пряник Ясная Поляна Тульский с фруктовой начинкой, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-asnaa-polana-tulskij-s-fruktovoj-nacinkoj-140g-2109598	Wed Jul  3 15:03:15 2024	Пряник Ясная Поляна Тульский с фруктовой начинкой, 140г	Цена49,99 ₽	Ясная Поляна	370.0	6.0 г	6.0 г	73.0 г	"Мука пшеничная хлебопекарная высшего сорта 46%, сахар, начинка фруктовая 15,5% (пюре фруктовое (яблоки, консервант-диоксид серы), сахар, патока), меланж яичный 6,5%, мягкий маргарин (растительные масла(пальмовое масло, рапсовое масло, частично гидрогенизированное пальмовое масло) и жиры (частично гидрогенезированные), вода, соль ,эмульгаторы: моно-и диглицерицы жирных кислот, лецитин соевый, консервант: сорбат калия, регулятор кислотности-лимонная кислота Е330, красители: экстракты натуральных каротинов Е160а, ароматизатор ""Масло"", витамины: А и D3), мед натуральный, вода питьевая, разрыхлители: Е503, гидрокарбонат натрия, ароматизатор ""Мед"", регулятор кислотности кислота лимонная. Содержание SO2 в продукте менее 0,01%. Возможно наличие незначительных количеств орехов, какао-продуктов, молочных продуктов. Противопоказано при индивидуальной непереносимости яичного белка. "	True	True	Fri Jul  5 22:08:04 2024
Пряник Ясная Поляна Тульский с начинкой варёная сгущёнка, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-asnaa-polana-tulskij-s-nacinkoj-varenaa-sgusenka-140g-73998	Wed Jul  3 15:03:15 2024	Пряник Ясная Поляна Тульский с начинкой варёная сгущёнка, 140г	Цена49,99 ₽	Ясная Поляна	380.0	7.0 г	8.0 г	69.0 г	Мука пшеничная хлебопекарная высшего сорта – 48.1% сахар, начинка «Варёная сгущенка» - 12.4 (цельное молоко – 40%, обезжиренное молоко-22%, сахар-20%, сухое обезжиренное молоко – 12%, масло сливочное – 3%, заменитель молочного жира – 2%, вода питьевая – 1%), меланж жирных кислот E471, лецитин соевый E322), консервант – сорбат калия E202, регулятор кислотности – лимонная кислота E330, краситель – бета-каротин E160a, ароматизатор «Масло», витамины A и D3, или маргарин(Z)*рафинированные растительные масла (пальмовое масло, рапсовое масло, частично гидрогенизированное пальмовое масло), вода, эмульгаторы (моно – и диглицериды жирных кислот, сложные эфиры полиглицеридов и жирных кислот, лецитин соевый E322), соль-0.4%, консервант – сорбиновая кислота E200, регулятор кислотности – лимонная кислота E330, ароматизатор, пищевой краситель –бета-каротин E160a), вода питьевая, мёд натуральный, разрыхлители E503, гидрокарбонат натрия, ароматизатор «Ваниль», регулятор кислотности кислота лимонная. Противопоказано при индивидуальной непереносимости белка молока и/или яичного белка. Возможно наличие незначительных количеств орехов, какао-продуктов, фруктового сырья. 	True	True	Fri Jul  5 22:08:05 2024
Пряник Тульский Ясные поляны со смородиновой начинкой, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-tulskij-asnye-polany-so-smorodinovoj-nacinkoj-140g-3975876	Wed Jul  3 15:03:15 2024	Пряник Тульский Ясные поляны со смородиновой начинкой, 140г	Цена49,99 ₽	Ясная Поляна	370.0	6.0 г	6.5 г	72.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар, начинка (сахар, пюре фруктовое (яблоки, консервант - диоксид серы), вода питьевая , патока , пюре черносмородиновое, агенты влагоудерживающие: сорбит, глицерин; мальтодекстрин,  агент желирующий пектин, регуляторы кислотности: кислота лимонная, цитрат натрия; цитрусовые волокна, краситель концентрированный сок  черной моркови , ароматизатор «Черная смородина», регулятор кислотности цитрат кальция), меланж яичный, маргарин (S)* (растительные масла, в том числе соевое, вода питьевая, эмульгатор Е471, соль, регулятор кислотности лимонная кислота, ароматизатор, краситель каротины) или маргарин (Z)* (растительные масла, вода питьевая, эмульгаторы: Е471, Е475, лецитин; соль, консервант Е200, регулятор кислотности лимонная кислота, ароматизатор, краситель каротины), мёд натуральный, вода питьевая, разрыхлители: Е503ii, гидрокарбонат натрия; ароматизатор, регулятор кислотности лимонная кислота. 	True	True	Fri Jul  5 22:08:06 2024
