name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Молоко кокосовое 60% Aroy-D 17-19%, 250мл	164,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/215/p/moloko-kokosovoe-60-aroy-d-17-19-250ml-3491618	Wed Jul  3 15:03:40 2024	Молоко кокосовое 60% Aroy-D 17-19%, 250мл	Цена164,99 ₽	Aroy-D	185.0	1.6 г	19.0 г	2.0 г	Переработанная мякоть кокосового ореха 60%, вода, эмульгатор е435 0,05%. 	True	True	Fri Jul  5 22:46:04 2024
Молоко кокосовое мякоть Aroy-D 17-19%, 400мл	229,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/215/p/moloko-kokosovoe-makot-aroy-d-17-19-400ml-3495702	Wed Jul  3 15:03:40 2024	Молоко кокосовое мякоть Aroy-D 17-19%, 400мл	Цена229,99 ₽	Aroy-D	185.0	1.6 г	19.0 г	2.0 г	Переработаная мякоть кокосового ореха 70%, вода 29,99%, эмульгатор e435 = 0,01%. 	True	True	Fri Jul  5 22:46:05 2024
Вода кокосовая Chaokoh, 350мл	154,99 ₽/шт	350 мл	https://www.perekrestok.ru/cat/215/p/voda-kokosovaa-chaokoh-350ml-3678971	Wed Jul  3 15:03:40 2024	Вода кокосовая Chaokoh, 350мл	Цена229,99 ₽	Chaokoh	20.0	0.1 г	0.0 г	4.8 г	100% сок кокосовых орехов. 	True	True	Fri Jul  5 22:46:06 2024
Напиток Zinus Coconut Кокосовый, 1л	129,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-zinus-coconut-kokosovyj-1l-4322165	Wed Jul  3 15:03:40 2024	Напиток Zinus Coconut Кокосовый, 1л	Цена129,99 ₽	Zinus	40.0	0.5 г	1.8 г	5.5 г	Орехово-зерновая смесь (вода питьевая, рисовая крупка, переработанная мякоть кокосовых орехов, овсяный белок); подсолнечное масло, регулятор кислотности – фосфат калия; эмульгатор – лецитин подсолнечный; стабилизатор – геллановая камедь, соль морская пищевая, натуральный ароматизатор. 	True	True	Fri Jul  5 22:46:07 2024
Напиток Velle Кокосовый Классический на растительной основе, 1л	219,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-velle-kokosovyj-klassiceskij-na-rastitelnoj-osnove-1l-4249799	Wed Jul  3 15:03:40 2024	Напиток Velle Кокосовый Классический на растительной основе, 1л	Цена179,99 ₽	Velle	36.0	0.6 г	1.5 г	5.0 г	Вода, рисовая мука, кокосовая паста; ингредиенты менее 2%: масло растительное подсолнечное, ароматизатор натуральный, морская соль, минеральная соль трикальцийфосфат пищевой, регулятор кислотности: ортофосфат калия 2-замещенный, стабилизаторы: геллановая камедь, гуаровая камедь, каррагинан из водорослей; эмульгатор: подсолнечный лецитин. 	True	True	Fri Jul  5 22:46:08 2024
Напиток Nemoloko кокосовый на соевой основе, 1л	154,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-nemoloko-kokosovyj-na-soevoj-osnove-1l-4345771	Wed Jul  3 15:03:40 2024	Напиток Nemoloko кокосовый на соевой основе, 1л	Цена159,99 ₽	Nemoloko	150.0	1.5 г	1.5 г	4.0 г	вода, кокосовые сливки, мука соевая, сахар, соевый белок (изолят), витаминно-минеральный премикс (витамин D2, витамин B2 (рибофлавин), кальций (трикальцый фосфат), кальция карбонат), ароматизатор натуральный, соль,  эмульгатор - E1450, стабилизатор - каррагинан 	True	True	Fri Jul  5 22:46:08 2024
Продукт растительный Kara Coconut Milk на основе мякоти кокосового ореха 17%, 200мл	119,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/215/p/produkt-rastitelnyj-kara-coconut-milk-na-osnove-makoti-kokosovogo-oreha-17-200ml-4237733	Wed Jul  3 15:03:40 2024	Продукт растительный Kara Coconut Milk на основе мякоти кокосового ореха 17%, 200мл	Цена124,99 ₽	Kara	178.0	2.0 г	17.8 г	2.9 г	Мякоть кокосового ореха 64%, вода 35,9%, стабилизаторы (ксантановая камедь, гуаровая камедь) 0,1%. 	True	True	Fri Jul  5 22:46:09 2024
Напиток Green Milk с кокосом на ячменно-нутовой основе, 1л	149,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-green-milk-s-kokosom-na-acmenno-nutovoj-osnove-1l-4336121	Wed Jul  3 15:03:40 2024	Напиток Green Milk с кокосом на ячменно-нутовой основе, 1л	Цена159,99 ₽	Green Milk	75.0	0.5 г	2.0 г	11.0 г	вода питьевая, крупа ячменная, крупа нутовая, масло подсолнечное, кокос, регулятор кислотности (фосфат калия двузамещенный), соль, стабилизаторы (гуаровая камедь, геллановая камедь), ароматизаторы натуральные. Возможно наличие остаточного содержания сои, фундука и продуктов их переработки. 	True	True	Fri Jul  5 22:46:10 2024
Вода Foco Organic питьевая кокосовая, 330мл	164,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/215/p/voda-foco-organic-pitevaa-kokosovaa-330ml-4237661	Wed Jul  3 15:03:40 2024	Вода Foco Organic питьевая кокосовая, 330мл	Цена154,99 ₽	Foco	21.0	0.0 г	0.0 г	5.2 г	Натуральная органическая кокосовая вода 100%. 	True	True	Fri Jul  5 22:46:11 2024
Напиток Миндальный Классический на растительной основе Зелёная Линия, 1л	154,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-mindalnyj-klassiceskij-na-rastitelnoj-osnove-zelenaa-linia-1l-4220001	Wed Jul  3 15:03:40 2024	Напиток Миндальный Классический на растительной основе Зелёная Линия, 1л	Цена169,99 ₽	Зелёная Линия	40.0	0.5 г	2.0 г	5.0 г	Вода, рисовая мука, миндальная паста, ингредиенты менее 2%: масло подсолнечное, минеральная соль карбонат кальция, стабилизатор: каррагинан из водорослей, морская соль, ароматизаторы натуральные. 	True	True	Fri Jul  5 22:46:12 2024
