name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ром Old Monk 7-летний тёмный 42.8%, 750мл	1 299,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-7-letnij-temnyj-42-8-750ml-3651114	Wed Jul  3 15:05:26 2024	Ром Old Monk 7-летний тёмный 42.8%, 750мл	Цена1 299,00 ₽	Old Monk	0.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, Ромовый выдержанный дистиллят (срок выдержки дистиллята 7 лет). 	True	True	Sat Jul  6 00:07:13 2024
Ром Barcelo Империал выдержанный 38% в подарочной упаковке, 700мл	2 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-imperial-vyderzannyj-38-v-podarocnoj-upakovke-700ml-4216291	Wed Jul  3 15:05:26 2024	Ром Barcelo Империал выдержанный 38% в подарочной упаковке, 700мл	Цена2 999,00 ₽	Барсело	213.0	0.0 г	0.0 г	0.9 г	Вода питьевая подготовленная, ромовый дистиллят, выдержанный не менее 10 лет, пищевая добавка - пищевой краситель Е150а. 	True	True	Sat Jul  6 00:07:14 2024
Спиртной напиток Dead Man`s Fingers Passion Fruit Rum на основе рома со вкусом маракуйи 37.5%, 700мл	1 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-dead-man-s-fingers-passion-fruit-rum-na-osnove-roma-so-vkusom-marakuji-37-5-700ml-4184028	Wed Jul  3 15:05:26 2024	Спиртной напиток Dead Man`s Fingers Passion Fruit Rum на основе рома со вкусом маракуйи 37.5%, 700мл	Цена1 849,00 ₽	Dead Mans Fingers	230.0	0.0 г	0.0 г	6.5 г	Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья «Люкс». 	True	True	Sat Jul  6 00:07:15 2024
Ром Old Monk 7-летний тёмный 42.8%, 375мл	679,99 ₽/шт	375 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-7-letnij-temnyj-42-8-375ml-3651115	Wed Jul  3 15:05:26 2024	Ром Old Monk 7-летний тёмный 42.8%, 375мл	Цена679,99 ₽	Old Monk	0.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, Ромовый выдержанный дистиллят (срок выдержки дистиллята 7 лет). 	True	True	Sat Jul  6 00:07:15 2024
Ром Barcelo Аньехо тёмный 37.5%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-aneho-temnyj-37-5-700ml-3070469	Wed Jul  3 15:05:26 2024	Ром Barcelo Аньехо тёмный 37.5%, 700мл	Цена1 249,00 ₽	Barcelo	210.0	0.0 г	0.0 г	0.0 г	none	True	True	Sat Jul  6 00:07:16 2024
Ром Castro 40%, 500мл	579,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/15/p/rom-castro-40-500ml-4207382	Wed Jul  3 15:05:26 2024	Ром Castro 40%, 500мл	Цена799,00 ₽	Castro	220.0	0.0 г	0.0 г	0.0 г	Ромовые выдержанные дистилляты, вода питьевая исправленная,пищевая добавка: краситель — сахарный колер I простой(E 150a). 	True	True	Sat Jul  6 00:07:17 2024
Ром Dead Man's Fingers белый 37.5%, 700мл	1 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-dead-mans-fingers-belyj-37-5-700ml-4217335	Wed Jul  3 15:05:26 2024	Ром Dead Man's Fingers белый 37.5%, 700мл	Цена1 999,00 ₽	Dead Mans Fingers	210.0	0.0 г	0.0 г	0.0 г	Дистилляты ромовые из сахарного тростника, выдержанные 2 года, вода питьевая исправленная. 	True	True	Sat Jul  6 00:07:17 2024
Ром Old Monk невыдержанный белый 42.8%, 750мл	1 349,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-nevyderzannyj-belyj-42-8-750ml-4007406	Wed Jul  3 15:05:26 2024	Ром Old Monk невыдержанный белый 42.8%, 750мл	Цена1 249,00 ₽	Old Monk	240.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, Ромовый дистиллят. 	True	True	Sat Jul  6 00:07:18 2024
Ром Old Monk невыдержанный белый 42.8%, 375мл	659,99 ₽/шт	375 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-nevyderzannyj-belyj-42-8-375ml-4007407	Wed Jul  3 15:05:26 2024	Ром Old Monk невыдержанный белый 42.8%, 375мл	Цена679,99 ₽	Old Monk	240.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, Ромовый дистиллят. 	True	True	Sat Jul  6 00:07:19 2024
Ром Барсело Бланко 37.5%, 700мл + стакан	1 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barselo-blanko-37-5-700ml-stakan-4257888	Wed Jul  3 15:05:26 2024	Ром Барсело Бланко 37.5%, 700мл + стакан	Цена1 599,00 ₽	Барсело	224.0	0.0 г	0.0 г	0.0 г	Вода подготовленная, дистиллят из сахарного тростника, выдержанный два года. 	True	True	Sat Jul  6 00:07:20 2024
