name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нерка Люди Любят стейк мороженый, 500г	549,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	Wed Jul  3 15:04:26 2024	Нерка Люди Любят стейк мороженый, 500г	Цена549,99 ₽	Люди Любят	157.0	20.3 г	8.4 г	0.0 г	Нерка, вода (защитная ледяная оболочка). 	True	True	Fri Jul  5 23:12:49 2024
Горбуша дальневосточная филе порционное Маркет, 400г	449,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	Wed Jul  3 15:04:26 2024	Горбуша дальневосточная филе порционное Маркет, 400г	Цена449,99 ₽	Маркет	140.0	21.0 г	6.5 г	0.0 г	Горбуша дальневосточная (oncorhynchus gorbuscha). 	True	True	Fri Jul  5 23:12:50 2024
Филе Люди любят минтая без кожи порционное мороженое, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/57/p/file-ludi-lubat-mintaa-bez-kozi-porcionnoe-morozenoe-400g-4350402	Wed Jul  3 15:04:26 2024	Филе Люди любят минтая без кожи порционное мороженое, 400г	Цена199,99 ₽	Люди Любят	70.0	15.9 г	0.9 г	0.0 г	Минтай (Theragra chalcogramma). Продукт может содержать следы ракообразных, моллюсков, продукты переработки сои, кунжута, глютен. 	True	True	Fri Jul  5 23:12:51 2024
Минтай Люди любят тушка потрошеная замороженный, 600г	189,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/57/p/mintaj-ludi-lubat-tuska-potrosenaa-zamorozennyj-600g-4352277	Wed Jul  3 15:04:26 2024	Минтай Люди любят тушка потрошеная замороженный, 600г	Цена189,99 ₽	Люди Любят	72.1	16.0 г	9.0 г	0.0 г	Минтай (лат. Theragra chalcogramma). 	True	True	Fri Jul  5 23:12:51 2024
Треска Borealis Атлантическая филе без кожи замороженное, 400г	839,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-bez-kozi-zamorozennoe-400g-4119553	Wed Jul  3 15:04:26 2024	Треска Borealis Атлантическая филе без кожи замороженное, 400г	Цена879,99 ₽	Borealis	77.0	17.0 г	1.0 г	0.0 г	Треска. 	True	True	Fri Jul  5 23:12:52 2024
Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	808,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3646643	Wed Jul  3 15:04:26 2024	Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	Цена898,99 ₽	Borealis	77.0	17.0 г	1.0 г	0.0 г	Треска атлантическая однократной заморозки. 	True	True	Fri Jul  5 23:12:54 2024
Палтус Borealis Синекорый стейки замороженные, 400г	819,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/812/p/paltus-borealis-sinekoryj-stejki-zamorozennye-400g-3664717	Wed Jul  3 15:04:26 2024	Палтус Borealis Синекорый стейки замороженные, 400г	Цена819,99 ₽	Borealis	177.0	15.0 г	13.0 г	0.0 г	Палтус синекорый однократной заморозки. 	True	True	Fri Jul  5 23:12:54 2024
Дорадо Вкус Арт неразделанная свежемороженая	1 099,00 ₽/кг	none	https://www.perekrestok.ru/cat/273/p/dorado-vkus-art-nerazdelannaa-svezemorozenaa-4307375	Wed Jul  3 15:04:26 2024	Дорадо Вкус Арт неразделанная свежемороженая	Цена969,99 ₽	Вкус Арт	206.0	20.0 г	14.0 г	0.0 г	Дорадо. 	True	True	Fri Jul  5 23:12:55 2024
Филе морского гребешка Delight мороженое очищенное, 185г	349,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/57/p/file-morskogo-grebeska-delight-morozenoe-ocisennoe-185g-4284171	Wed Jul  3 15:04:26 2024	Филе морского гребешка Delight мороженое очищенное, 185г	Цена349,99 ₽	Delight	80.0	19.3 г	0.3 г	0.2 г	Филе морского  гребешка ,  вода  питьевая (защитная  ледяная  оболочка). 	True	True	Fri Jul  5 23:12:56 2024
Форель Вкус Арт стейк замороженный, 500г	629,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	Thu Jul  4 09:46:29 2024	Форель Вкус Арт стейк замороженный, 500г	Цена629,99 ₽	Вкус Арт	130.0	18.8 г	4.6 г	0.0 г	Форель радужная, вода (защитная глазурь). 	True	True	Fri Jul  5 23:12:57 2024
