name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Икра Санта Бремор с копчёным лососем, 270г	239,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/812/p/ikra-santa-bremor-s-kopcenym-lososem-270g-3983178	Wed Jul  3 15:04:20 2024	Икра Санта Бремор с копчёным лососем, 270г	Цена229,99 ₽	Санта Бремор	420.0	7.0 г	41.0 г	5.5 г	Икра мойвы, икра сельди атлантической; масло растительное, вода питьевая, кусочки лососевых рыб подкопченные (форель радужная, семга), сахар, соль, яичный желток, красители: кармины, экстракт паприки; картофельный крахмал, сухое обезжиренное молоко, загуститель ксантановая камедь, регулятор кислотности уксусная кислота ледяная. 	True	True	Fri Jul  5 23:07:39 2024
Горбуша 5 Морей натуральная, 250г	209,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-5-morej-naturalnaa-250g-87726	Wed Jul  3 15:04:20 2024	Горбуша 5 Морей натуральная, 250г	Цена199,99 ₽	5 Морей	138.0	21.0 г	6.0 г	0.0 г	Горбуша, соль. 	True	True	Fri Jul  5 23:07:40 2024
Горбуша + скумбрия Европром рубленая, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-180g-3940705	Wed Jul  3 15:04:20 2024	Горбуша + скумбрия Европром рубленая, 180г	Цена99,99 ₽	Европром	300.0	8.0 г	28.0 г	4.5 г	Масло растительное; вода питьевая; филе горбуши; филе скумбрии атлантической; мука соевая текстурированная; желток яичный сухой; соль; сахар; овощи; загустители – Е1422, гуаровая камедь; консерванты – сорбат калия, бензоат натрия, низин; регуляторы кислотности – уксусная, молочная кислоты; антиокислитель – Е321. 	True	True	Fri Jul  5 23:07:41 2024
Горбуша + скумбрия Европром рубленая с ароматом копчения, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-s-aromatom-kopcenia-180g-3940708	Wed Jul  3 15:04:20 2024	Горбуша + скумбрия Европром рубленая с ароматом копчения, 180г	Цена99,99 ₽	Европром	300.0	8.0 г	28.0 г	4.5 г	Масло растительное; вода питьевая; филе горбуши; филе скумбрии атлантической; мука соевая текстурированная; желток яичный сухой; соль; сахар; ароматизатор (усилитель вкуса и аромата - Е621; специи); овощи; загустители – Е1422, гуаровая камедь; консерванты – сорбат калия, бензоат натрия, низин; регуляторы кислотности – уксусная, молочная кислоты; антиокислитель – Е321. 	True	True	Fri Jul  5 23:07:42 2024
Масло лососёвое Санта Бремор Бутербродное, 100г	61,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/maslo-lososevoe-santa-bremor-buterbrodnoe-100g-4118408	Wed Jul  3 15:04:20 2024	Масло лососёвое Санта Бремор Бутербродное, 100г	Цена61,99 ₽	Санта Бремор	490.0	2.0 г	54.0 г	0.0 г	Масла растительные (пальмовое, подсолнечное, соевое), вода питьевая, кусочки лососевых рыб* слабосоленые (форель радужная, лосось атлантический (семга), соль), соль, загуститель Е466, эмульгаторы: Е471, Е476; антиокислители: токоферолы, концентрат смеси, альфа-Токоферол, Е304i, лимонная кислота; красители: каротины, кармины, экстракт паприки; сахар, ароматизаторы коптильные, консерванты: сорбат калия, бензоат натрия; усилитель вкуса и аромата глутамат натрия 1-замещенный. Может содержать незначительное количество компонентов, используемых при производстве другой продукции (ракообразные). 	True	True	Fri Jul  5 23:07:43 2024
Горбуша + скумбрия Европром рубленая с чесноком, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-s-cesnokom-180g-3940706	Wed Jul  3 15:04:20 2024	Горбуша + скумбрия Европром рубленая с чесноком, 180г	Цена99,99 ₽	Европром	300.0	8.0 г	28.0 г	4.5 г	Масло растительное, вода питьевая, филе горбуши, филе скумбрии атлантической, мука соевая текстурированная, желток яичный сухой, соль, сахар, овощи, чеснок сушеный, загустители – Е1422, гуаровая камедь, консерванты – сорбат калия, бензоат натрия, низин, регуляторы кислотности – уксусная, молочная кислоты, антиокислитель – Е321. 	True	True	Fri Jul  5 23:07:44 2024
Лосось Балтийский Берег Creme Le Mare рубленый подкопчённый, 150г	115,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/losos-baltijskij-bereg-creme-le-mare-rublenyj-podkopcennyj-150g-4126005	Wed Jul  3 15:04:20 2024	Лосось Балтийский Берег Creme Le Mare рубленый подкопчённый, 150г	Цена114,99 ₽	Балтийский Берег	270.0	9.5 г	23.0 г	6.0 г	Филе рыб рубленое подкопченное (горбуша (вид рода лососи тихоокеанские), лосось атлантический (вид рода лососи благородные)); вода питьевая; масло подсолнечное рафинированное дезодорированное; сахар; белок соевый текстурированный; сухой яичный желток; загустители: дикрахмаладипат ацетилированный, ксантановая камедь, гуаровая камедь; соль; сушеные овощи и пряности (лук, перец черный молотый, тимьян, тмин, мацис, чеснок, сельдерей, паприка, куркума, розмарин, шалфей, душистый перец); усилитель вкуса и аромата глутамат натрия 1-замещенный; регулятор кислотности лимонная кислота; краситель экстракт паприки; ароматизатор коптильный. 	True	True	Fri Jul  5 23:07:45 2024
Лосось Балтийский Берег Creme Le Mare Классический филе рубленое, 150г	120,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/losos-baltijskij-bereg-creme-le-mare-klassiceskij-file-rublenoe-150g-4125999	Wed Jul  3 15:04:20 2024	Лосось Балтийский Берег Creme Le Mare Классический филе рубленое, 150г	Цена114,99 ₽	Балтийский Берег	270.0	9.5 г	23.0 г	6.0 г	Филе рыб рубленое (горбуша (вид рода лососи тихоокеанские), лосось атлантический (вид рода лососи благородные)); вода питьевая; масло подсолнечное рафинированное дезодорированное; сахар; белок соевый текстурированный; сухой яичный желток; загустители: дикрахмаладипат ацетилированный, ксантановая камедь, гуаровая камедь; соль; сушеные овощи и пряности (лук, перец черный молотый, тимьян, тмин, мацис, чеснок, сельдерей, паприка, куркума, розмарин, шалфей, душистый перец); усилитель вкуса и аромата глутамат натрия 1-замещенный; регулятор кислотности лимонная кислота; красители: экстракт паприки, кармины. 	True	True	Fri Jul  5 23:07:45 2024
Риет из форели радужной с мягким творогом Маркет Collection, 100г	214,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/riet-iz-foreli-raduznoj-s-magkim-tvorogom-market-collection-100g-4354555	Wed Jul  3 15:04:20 2024	Риет из форели радужной с мягким творогом Маркет Collection, 100г	Цена219,99 ₽	Market Collection	260.0	12.5 г	18.5 г	11.0 г	Форель радужная, вода, масло подсолнечное рафинированное дезодорированное, сливки сухие, творог мягкий (молоко обезжиренное, закваска с использованием мезофильных бактерий, сычужный фермент животного происхождения), молочный белок, соль, лук репчатый сушеный, загустители гуаровая и ксантановая камеди, перец черный молотый.Возможно наличие следов ракообразных, моллюсков, горчицы, кунжута, орехов, сельдерея, продуктов яичных, глютена, сои. 	True	True	Fri Jul  5 23:07:47 2024
Паста Крем-Фиш горбуша-скумбрия, 150г	115,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/pasta-krem-fis-gorbusa-skumbria-150g-4048658	Wed Jul  3 15:04:20 2024	Паста Крем-Фиш горбуша-скумбрия, 150г	Цена119,99 ₽	Европром	300.0	9.0 г	28.0 г	3.0 г	Масло растительное, вода питьевая, филе горбуши, филе скумбрии атлантической, мука соевая текстурированная, молоко сухое обезжиренное, сахар, желток яичный сухой, соль, загустители - Е1422, гуаровая камедь, овощи, регулятор кислотности - молочная кислота, консерванты - сорбат калия, бензоат натрия, низин, антиокислители - Е321, Е385. 	True	True	Fri Jul  5 23:07:48 2024
