name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Тунец скипджек филе-кусок Новый Океан, 185г	229,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-file-kusok-novyj-okean-185g-4003715	Wed Jul  3 15:05:06 2024	Тунец скипджек филе-кусок Новый Океан, 185г	Цена229,99 ₽	Новый океан	105.0	25.0 г	0.6 г	0.0 г	Тунец, вода, соль. 	True	True	Fri Jul  5 23:39:22 2024
Тунец скипджек рубленый Новый Океан, 185г	209,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-rublenyj-novyj-okean-185g-4003717	Wed Jul  3 15:05:06 2024	Тунец скипджек рубленый Новый Океан, 185г	Цена209,99 ₽	Новый океан	70.0	15.0 г	0.8 г	0.0 г	Тунец, вода, соль. 	True	True	Fri Jul  5 23:39:23 2024
Тунец Fortuna полосатый рубленый, 185г	259,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-fortuna-polosatyj-rublenyj-185g-72318	Wed Jul  3 15:05:06 2024	Тунец Fortuna полосатый рубленый, 185г	Цена269,99 ₽	Fortuna	91.6	20.8 г	0.9 г	0.0 г	Тунец, вода, соль. 	True	True	Fri Jul  5 23:39:24 2024
Тушенка Владкон из тунца желтоперого премиум, 338г	199,99 ₽/шт	338 гр	https://www.perekrestok.ru/cat/75/p/tusenka-vladkon-iz-tunca-zeltoperogo-premium-338g-4284229	Wed Jul  3 15:05:06 2024	Тушенка Владкон из тунца желтоперого премиум, 338г	Цена259,99 ₽	Владкон	75.3	8.5 г	4.1 г	1.1 г	Рыба (обрезь тунца желтоперого), вода питьевая, масло подсолнечное рафинированное дезодорированное, комплексные пищевые добавки (загуститель - каррагинан, конжаковая камедь, ксантовая камедь, стабилизаторы - каррагинан, Е466, регуляторы кислотности - аскорбат натрия, цитрат калия, натриевая соль аскорбиновой кислоты, Е 451, мальтодекстрин, виноградный сахар, усилитель вкуса и аромата - глутамат натрия, агент желирующий хлорид калия), ароматизаторы, соль пищевая,  сахар, перец душистый горошек,  лавровый лист, натуральные красители - натуральный экстракт паприки, кармин. 	True	True	Fri Jul  5 23:39:25 2024
Тунец Fortuna рубленый в масле, 185г	249,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-fortuna-rublenyj-v-masle-185g-72319	Wed Jul  3 15:05:06 2024	Тунец Fortuna рубленый в масле, 185г	Цена269,99 ₽	Fortuna	167.0	22.3 г	8.7 г	0.0 г	Тунец полосатый, подсолнечное масло, вода, соль. 	True	True	Fri Jul  5 23:39:25 2024
Филе Thai Blue тунца желтоперого в масле, 160г	229,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/75/p/file-thai-blue-tunca-zeltoperogo-v-masle-160g-4276147	Wed Jul  3 15:05:06 2024	Филе Thai Blue тунца желтоперого в масле, 160г	Цена229,99 ₽	none	127.0	25.0 г	2.7 г	0.0 г	Тунец, соевое масло, вода, соль 	True	True	Fri Jul  5 23:39:26 2024
Тунец Владкон филе-кусочки с овощами в томатном соусе по-гавайски, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/75/p/tunec-vladkon-file-kusocki-s-ovosami-v-tomatnom-souse-po-gavajski-240g-4112728	Wed Jul  3 15:05:06 2024	Тунец Владкон филе-кусочки с овощами в томатном соусе по-гавайски, 240г	Цена169,99 ₽	Владкон	120.0	7.0 г	3.5 г	15.0 г	Рыба (тунец желтоперый филе-кусочки), фасоль стручковая, морковь, кукуруза, горошек зеленый, перец болгарский сладкий,томатный соус (вода питьевая,томатная паста, сахар, соль пищевая, масло подсолнечное, мука пшеничная, крахмал модифицированный, уксусная кислота - регулятор кислотности Е260, пряности: кориандр молотый, лавровый лист сухой, перец черный молотый, перец душистый молотый, перец красный молотый. 	True	True	Fri Jul  5 23:39:27 2024
Тунец скипджек филе-кусок в масле Новый Океан, 185г	229,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-file-kusok-v-masle-novyj-okean-185g-4003714	Wed Jul  3 15:05:06 2024	Тунец скипджек филе-кусок в масле Новый Океан, 185г	Цена229,99 ₽	Новый океан	130.0	24.0 г	4.0 г	0.0 г	Тунец, соевое масло, вода, соль. 	True	True	Fri Jul  5 23:39:28 2024
Набор Вкусные Консервы тунец криспи, 140г	199,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/75/p/nabor-vkusnye-konservy-tunec-krispi-140g-4342756	Wed Jul  3 15:05:06 2024	Набор Вкусные Консервы тунец криспи, 140г	Цена199,99 ₽	Вкусные консервы	244.0	25.0 г	18.0 г	2.0 г	none	True	True	Fri Jul  5 23:39:29 2024
Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г	85,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/812/p/kilka-vkusnye-konservy-nerazdelannaa-obzarennaa-v-tomatnom-souse-240g-3468685	Wed Jul  3 15:05:06 2024	Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г	Цена109,99 ₽	Вкусные консервы	182.0	14.0 г	12.0 г	4.5 г	Обжаренная балтийская килька (мука пшеничная, подсолнечное масло), томатный соус (вода, томатная паста, сахар, масло подсолнечное, соль, луковый порошок, смесь пряностей). 	True	True	Fri Jul  5 23:39:31 2024
Килька 5 Морей натуральная в томатном соусе, 240г	114,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/812/p/kilka-5-morej-naturalnaa-v-tomatnom-souse-240g-39501	Wed Jul  3 15:05:06 2024	Килька 5 Морей натуральная в томатном соусе, 240г	Цена119,99 ₽	5 Морей	182.0	14.0 г	12.0 г	4.5 г	Рыба, масло растительное, томатная паста, сахар, лук, мука, специи, соль, уксусная кислота. 	True	True	Fri Jul  5 23:39:31 2024
Шпроты Вкусные Консервы в масле, 175г	169,99 ₽/шт	175 гр	https://www.perekrestok.ru/cat/812/p/sproty-vkusnye-konservy-v-masle-175g-3469704	Wed Jul  3 15:05:06 2024	Шпроты Вкусные Консервы в масле, 175г	Цена169,99 ₽	Вкусные консервы	356.0	17.0 г	32.0 г	none	Копченая каспийская килька, подсолнечное масло, соль пищевая. 	True	True	Fri Jul  5 23:39:32 2024
Скумбрия атлантическая натуральная с добавлением масла куски Маркет, 240г	119,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/75/p/skumbria-atlanticeskaa-naturalnaa-s-dobavleniem-masla-kuski-market-240g-4323677	Wed Jul  3 15:05:06 2024	Скумбрия атлантическая натуральная с добавлением масла куски Маркет, 240г	Цена149,99 ₽	Маркет	290.0	15.0 г	26.0 г	0.0 г	Скумбрия атлантическая (куски), масло растительное, соль, пряности. 	True	True	Fri Jul  5 23:39:33 2024
Скумбрия Доброфлот дальневосточная натуральная в масле, 245г	179,99 ₽/шт	245 гр	https://www.perekrestok.ru/cat/812/p/skumbria-dobroflot-dalnevostocnaa-naturalnaa-v-masle-245g-3507133	Wed Jul  3 15:05:06 2024	Скумбрия Доброфлот дальневосточная натуральная в масле, 245г	Цена179,99 ₽	Доброфлот	206.0	20.0 г	14.0 г	0.0 г	Скумбрия дальневосточная, соль, масло растительное, перец черный или перец душистый. 	True	True	Fri Jul  5 23:39:34 2024
Скумбрия Сохраним Традиции атлантическая с томатным соусом и овощным гарниром По-Болгарски, 240г	164,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/75/p/skumbria-sohranim-tradicii-atlanticeskaa-s-tomatnym-sousom-i-ovosnym-garnirom-po-bolgarski-240g-4244103	Wed Jul  3 15:05:06 2024	Скумбрия Сохраним Традиции атлантическая с томатным соусом и овощным гарниром По-Болгарски, 240г	Цена129,99 ₽	Сохраним Традиции	280.0	11.0 г	22.0 г	9.0 г	Рыба, томатный соус(паста томатная, сахар,масло подсолнечное рафинированное дезодорированное, соль, мука пшеничная, лук, регулятор кислотности - уксусная кислота ледяная (е260)), экстракт пряностей (перец душистый, перец чёрный, гвоздика, кориандр,лавровый лист), гарнир (морковь, лук). 	True	True	Fri Jul  5 23:39:35 2024
Скумбрия Рыбное Меню атлантическая в томатном соусе, 250г	134,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/75/p/skumbria-rybnoe-menu-atlanticeskaa-v-tomatnom-souse-250g-4289096	Wed Jul  3 15:05:06 2024	Скумбрия Рыбное Меню атлантическая в томатном соусе, 250г	Цена114,99 ₽	Рыбное меню	160.0	18.0 г	8.0 г	4.0 г	Рыба-скумбрия куски, томатный соус (томатная паста, сахар, масло растительное, лук, мука, соль. уксус, пряности). 	True	True	Fri Jul  5 23:39:36 2024
Горбуша натуральная, 245г	154,99 ₽/шт	245 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-naturalnaa-245g-46230	Wed Jul  3 15:05:06 2024	Горбуша натуральная, 245г	Цена159,99 ₽	Monolith	138.0	21.0 г	6.0 г	0.0 г	Горбуша, соль поваренная пищевая. 	True	True	Fri Jul  5 23:39:37 2024
Горбуша 5 Морей натуральная, 250г	209,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-5-morej-naturalnaa-250g-87726	Wed Jul  3 15:05:06 2024	Горбуша 5 Морей натуральная, 250г	Цена199,99 ₽	5 Морей	138.0	21.0 г	6.0 г	0.0 г	Горбуша, соль. 	True	True	Fri Jul  5 23:39:38 2024
Горбуша Курильский Берег натуральная, 250г	184,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-kurilskij-bereg-naturalnaa-250g-3900135	Wed Jul  3 15:05:06 2024	Горбуша Курильский Берег натуральная, 250г	Цена189,99 ₽	Курильский берег	138.0	21.0 г	6.0 г	0.0 г	Горбуша дальневосточная, соль. 	True	True	Fri Jul  5 23:39:39 2024
Горбуша натуральная Пр!ст, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-naturalnaa-pr-st-250g-3653861	Wed Jul  3 15:05:06 2024	Горбуша натуральная Пр!ст, 250г	Цена129,99 ₽	Пр!ст	138.0	21.0 г	6.0 г	0.0 г	Рыба, соль. 	True	True	Fri Jul  5 23:39:40 2024
Лосось Владкон атлантический с овощами в томатном соусе по-итальянски филе-кусочки, 240г	154,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/75/p/losos-vladkon-atlanticeskij-s-ovosami-v-tomatnom-souse-po-italanski-file-kusocki-240g-4212266	Wed Jul  3 15:05:06 2024	Лосось Владкон атлантический с овощами в томатном соусе по-итальянски филе-кусочки, 240г	Цена159,99 ₽	Владкон	120.0	10.1 г	3.5 г	15.0 г	Рыба (лососи атлантические (АТЛ)*/ тихоокеанские (ТО)* (кета(К)*/горбуша(Г)*/кижуч(КЧ)*), морковь, лук репчатый свежий, горошек зеленый, кукуруза, перец болгарский сладкий, томатный соус (вода питьевая, томатная паста, сахар, масло подсолнечное рафинированное, соль пищевая, лук репчатый сушеный, уксусная кислота-регулятор кислотности, пряности : гвоздика молотая, кориандр молотый, лавровый лист молотый , перец черный молотый, перец душистый молотый) Продукт может содержать следы горчицы, сои, молока, злаковых, глютена и продукты их переработки. *используемый зоологический вид указан соответствующим обозначением в маркировке на дне банки во втором ряду перед номером завода. 	True	True	Fri Jul  5 23:39:41 2024
Шпроты За Родину тушки из балтийской кильки в масле, 270г	169,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/812/p/sproty-za-rodinu-tuski-iz-baltijskoj-kilki-v-masle-270g-3962298	Wed Jul  3 15:05:06 2024	Шпроты За Родину тушки из балтийской кильки в масле, 270г	Цена199,99 ₽	За Родину	356.0	17.0 г	32.0 г	0.0 г	Килька балтийская, масло растительное, соль. 	True	True	Fri Jul  5 23:39:42 2024
Шпроты в масле из Балтийской кильки Маркет, 160г	99,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/75/p/sproty-v-masle-iz-baltijskoj-kilki-market-160g-4261613	Wed Jul  3 15:05:06 2024	Шпроты в масле из Балтийской кильки Маркет, 160г	Цена129,99 ₽	Маркет	360.0	17.0 г	32.0 г	0.0 г	Рыба копченая, масло подсолнечное, соль пищевая. Изготовлено из мороженого сырья. 	True	True	Fri Jul  5 23:39:43 2024
Шпроты Вкусные Консервы в масле, 160г	144,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/812/p/sproty-vkusnye-konservy-v-masle-160g-3475329	Wed Jul  3 15:05:06 2024	Шпроты Вкусные Консервы в масле, 160г	Цена139,99 ₽	Вкусные консервы	356.0	17.0 г	32.0 г	0.0 г	Балтийская килька, подсолнечное масло, соль пищевая. 	True	True	Fri Jul  5 23:39:44 2024
Шпроты Вкусные Консервы в масле, 240г	179,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/812/p/sproty-vkusnye-konservy-v-masle-240g-3468682	Wed Jul  3 15:05:06 2024	Шпроты Вкусные Консервы в масле, 240г	Цена189,99 ₽	Вкусные консервы	356.0	17.0 г	32.0 г	none	Копченая салака, подсолнечное масло, соль пищевая. 	True	True	Fri Jul  5 23:39:45 2024
Шпроты Барс из балтийской кильки в масле, 175г	169,99 ₽/шт	175 гр	https://www.perekrestok.ru/cat/812/p/sproty-bars-iz-baltijskoj-kilki-v-masle-175g-3633223	Wed Jul  3 15:05:06 2024	Шпроты Барс из балтийской кильки в масле, 175г	Цена179,99 ₽	Барс	356.0	17.0 г	32.0 г	0.0 г	Рыба копчёная, масло растительное, соль. 	True	True	Fri Jul  5 23:39:46 2024
