name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сельдь Матиас деликатесное оригинальное филе, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-delikatesnoe-originalnoe-file-400g-3637884	Wed Jul  3 15:04:22 2024	Сельдь Матиас деликатесное оригинальное филе, 400г	Цена199,99 ₽	Матиас	187.0	12.9 г	14.4 г	1.5 г	Филе сельди , масло растительное, соль, созреватель (регулятор кислотности кислота лимонная, глюконо-дельта-лактон), консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:25 2024
Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	239,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/812/p/seld-santa-bremor-matias-xxl-otbornaa-file-kusocki-v-masle-slabosolenaa-260g-4034451	Wed Jul  3 15:04:22 2024	Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	Цена239,99 ₽	Санта Бремор	355.0	10.0 г	35.0 г	0.0 г	Филе сельди*, масло: подсолнечное (С) или рапсовое (D); соль, регулятор кислотности лимонная кислота, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:26 2024
Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г	115,99 ₽/шт	115 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-krasnom-vine-115g-3463468	Wed Jul  3 15:04:22 2024	Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г	Цена124,99 ₽	Русское Море	165.0	8.4 г	6.9 г	17.2 г	Филе сельди, вода, сахар, соль, вино (содержит антиокислитель Е220), пряности, руглятор кислотности уксусная кислота, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:27 2024
Сельдь Матиас оригинал филе в масле, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-original-file-v-masle-250g-79542	Wed Jul  3 15:04:22 2024	Сельдь Матиас оригинал филе в масле, 250г	Цена179,99 ₽	Матиас	187.0	12.9 г	14.4 г	1.5 г	Филе сельди, масло: подсолнечное (C) или рапсовое (D), соль, регулятор кислотности лимонная кислота, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:27 2024
Сельдь тихоокеанская соленая филе-кусочки в масле Пр!ст, 200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-pr-st-200g-4322376	Wed Jul  3 15:04:22 2024	Сельдь тихоокеанская соленая филе-кусочки в масле Пр!ст, 200г	Цена109,99 ₽	Пр!ст	459.0	11.3 г	46.0 г	0.0 г	Сельдь филе, масло подсолнечное рафинированное дезодорированное, соль (содержит агент антислеживающий Е536), комплексная пищевая добавка (усилитель вкуса и аромата (Е621), консерванты (Е200, Е211), регуляторы кислотности (Е330, Е331iii, Е450i, Е451i, Е575), поваренная соль, декстроза), уксусная кислота пищевая, кон-серванты (бензоат натрия, сорбат калия), регуляторы кислотности (лимонная, молочная, яблочная кислоты). 	True	True	Fri Jul  5 23:09:28 2024
Сельдь Русское Море бочковая слабосолёная филе, 230г	138,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-bockovaa-slabosolenaa-file-230g-3454388	Wed Jul  3 15:04:22 2024	Сельдь Русское Море бочковая слабосолёная филе, 230г	Цена154,99 ₽	Русское Море	118.0	11.8 г	7.9 г	none	Филе сельди, вода питьевая, пряный отвар (вода питьевая, соль, душистый перец, перец черный, кориандр, гвоздика), соль, регуляторы кислотности: лимонная кислота, винная кислота, усилитель вкуса и аромата глутамат натрия 1-замещенный, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:30 2024
Сельдь тихоокеанская солёная филе-кусочки в масле с укропом Пр!ст,  200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-s-ukropom-pr-st-200g-4323336	Wed Jul  3 15:04:22 2024	Сельдь тихоокеанская солёная филе-кусочки в масле с укропом Пр!ст,  200г	Цена109,99 ₽	Пр!ст	459.0	11.3 г	46.0 г	0.0 г	Сельдь филе, масло подсолнечное рафинированное дезодорированное, соль (содержит агент антислеживающий Е536), комплексная пищевая добавка (усилитель вкуса и аромата (Е621), консерванты (Е200, Е211), регуляторы кислотности (Е330, Е331iii, Е450i, Е451i, Е575), поваренная соль, декстроза), уксусная кислота пищевая, укроп сушеный, консерванты (бензоат натрия, сорбат калия), регуляторы кислотности (лимонная, молочная, яблочная кислоты). 	True	True	Fri Jul  5 23:09:31 2024
Сельдь Балтийский Берег по-царски филе-кусочки в масле, 400г	241,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-400g-3621742	Wed Jul  3 15:04:22 2024	Сельдь Балтийский Берег по-царски филе-кусочки в масле, 400г	Цена239,99 ₽	Балтийский Берег	390.0	12.0 г	38.0 г	0.0 г	Сельдь атлантическая, масло подсолнечное рафинированное дезодорированное, соль. консерватны: E211, E202. 	True	True	Fri Jul  5 23:09:31 2024
Сельдь Матиас ХХL Отборная филе-кусочки в масле, 200г	205,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-hhl-otbornaa-file-kusocki-v-masle-200g-3497722	Wed Jul  3 15:04:22 2024	Сельдь Матиас ХХL Отборная филе-кусочки в масле, 200г	Цена209,99 ₽	Матиас	240.0	19.0 г	18.0 г	none	Филе сельди, масло подсолнечное (C) или масло рапсовое (D), соль, регулятор кислотности лимонная кислота, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:32 2024
Сельдь Русское Море Исландка филе-кусочки в масле, 115г	115,99 ₽/шт	115 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-masle-115g-3463465	Wed Jul  3 15:04:22 2024	Сельдь Русское Море Исландка филе-кусочки в масле, 115г	Цена129,99 ₽	Русское Море	340.0	9.5 г	30.2 г	8.5 г	Сельдь-филе, масло растительное, соль, сахар, пряности, усилитель вкуса и аромата глутамат натрия, консерванты (Е211, Е202). 	True	True	Fri Jul  5 23:09:33 2024
Сельдь атлантическая Матиас XXL отборная филе слабосолёное в масле, 300г	205,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/812/p/seld-atlanticeskaa-matias-xxl-otbornaa-file-slabosolenoe-v-masle-300g-4147685	Wed Jul  3 15:04:22 2024	Сельдь атлантическая Матиас XXL отборная филе слабосолёное в масле, 300г	Цена229,99 ₽	Матиас	272.0	11.4 г	25.1 г	0.0 г	Филе сельди**, масло: подсолнечное (С) или рапсовое (D); масло оливковое, соль, регулятор кислотности лимонная кислота, консерванты: бензоат натрия, сорбат калия. 	True	True	Fri Jul  5 23:09:34 2024
Сельдь Vici из бочки филе с кожей в рассоле с пряностями, 250г	133,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-vici-iz-bocki-file-s-kozej-v-rassole-s-pranostami-250g-3504605	Wed Jul  3 15:04:22 2024	Сельдь Vici из бочки филе с кожей в рассоле с пряностями, 250г	Цена139,99 ₽	Vici	183.6	14.4 г	14.0 г	0.0 г	Сельд филе с кожей, соль, усилитель вкуса и аромата: глутамат натрия, консерванты: бензоат натрия, сорбат калия; рассол(вода; пряности). 	True	True	Fri Jul  5 23:09:34 2024
Сельдь Матиас филе в масле с ароматом дыма, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-file-v-masle-s-aromatom-dyma-250g-79544	Wed Jul  3 15:04:22 2024	Сельдь Матиас филе в масле с ароматом дыма, 250г	Цена179,99 ₽	Матиас	240.0	19.0 г	18.0 г	0.6 г	Филе сельди, масло: подсолнечное (C) или рапсовое (D), соль, регулятор кислотности лимонная кислота, консерванты: бензоат натрия, сорбат калия, ароматизатор коптильный. 	True	True	Fri Jul  5 23:09:35 2024
