name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сахар белый прессованный кусковой, 1кг	81,50 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-belyj-pressovannyj-kuskovoj-1kg-625	Wed Jul  3 15:04:49 2024	Сахар белый прессованный кусковой, 1кг	Цена78,90 ₽	Русский Сахар	400.0	0.0 г	0.0 г	100.0 г	Сахар. 	True	True	Fri Jul  5 23:31:43 2024
Сахар Русский Сахар белый кусковой категории экстра, 1кг	149,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-russkij-sahar-belyj-kuskovoj-kategorii-ekstra-1kg-4092763	Wed Jul  3 15:04:49 2024	Сахар Русский Сахар белый кусковой категории экстра, 1кг	Цена149,99 ₽	Русский Сахар	95.6	0.0 г	0.0 г	100.0 г	Сахар свекловичный белый. 	True	True	Fri Jul  5 23:31:44 2024
Сахар Чайкофский рафинад, 500г	79,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-cajkofskij-rafinad-500g-66355	Wed Jul  3 15:04:49 2024	Сахар Чайкофский рафинад, 500г	Цена69,99 ₽	Чайкофский	400.0	none	none	100.0 г	Сахар. 	True	True	Fri Jul  5 23:31:45 2024
Сахар тростниковый кусковой нерафинированный Market Collection, 500г	189,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kuskovoj-nerafinirovannyj-market-collection-500g-4282808	Wed Jul  3 15:04:49 2024	Сахар тростниковый кусковой нерафинированный Market Collection, 500г	Цена189,99 ₽	Market Collection	396.0	0.0 г	0.0 г	99.0 г	Сахар тростниковый. 	True	True	Fri Jul  5 23:31:46 2024
Сахар тростниковый кусковой Маркет, 500г	149,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kuskovoj-market-500g-4269180	Wed Jul  3 15:04:49 2024	Сахар тростниковый кусковой Маркет, 500г	Цена149,99 ₽	Маркет	392.0	0.0 г	0.0 г	98.0 г	Тростниковый сахар. 	True	True	Fri Jul  5 23:31:47 2024
Сахар Naturiqa Экстра белый кусковой, 500г	77,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-naturiqa-ekstra-belyj-kuskovoj-500g-4137488	Wed Jul  3 15:04:49 2024	Сахар Naturiqa Экстра белый кусковой, 500г	Цена59,99 ₽	Naturiqa	400.0	0.0 г	0.0 г	100.0 г	Происхождение по виду сырья: свекловичный. Пищевая ценность на 100 г продукта: углеводы – 100г; энергетическая ценность 100 г продукта- 400ккал/1700кДж; 10) Хранить при температуре воздуха не выше 400С и относительной влажности воздуха не выше 75%. 	True	True	Fri Jul  5 23:31:48 2024
Сахар Чуточка тростниковый прессованный кусковой колотый, 420г	169,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/83/p/sahar-cutocka-trostnikovyj-pressovannyj-kuskovoj-kolotyj-420g-3651345	Wed Jul  3 15:04:49 2024	Сахар Чуточка тростниковый прессованный кусковой колотый, 420г	Цена259,99 ₽	Чуточка	396.0	0.0 г	0.0 г	99.0 г	Сахар. 	True	True	Fri Jul  5 23:31:49 2024
Сахар Мистраль тростниковый нерафинированный кусковой, 500г	449,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-mistral-trostnikovyj-nerafinirovannyj-kuskovoj-500g-2113550	Wed Jul  3 15:04:49 2024	Сахар Мистраль тростниковый нерафинированный кусковой, 500г	Цена379,99 ₽	Мистраль	394.0	0.0 г	0.0 г	98.5 г	Сахар тростниковый. 	True	True	Fri Jul  5 23:31:49 2024
Сахар Чуточка прессованный кусковой колотый, 420г	159,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/83/p/sahar-cutocka-pressovannyj-kuskovoj-kolotyj-420g-3651344	Wed Jul  3 15:04:49 2024	Сахар Чуточка прессованный кусковой колотый, 420г	Цена149,99 ₽	Чуточка	400.0	0.0 г	0.0 г	100.0 г	Сахар. 	True	True	Fri Jul  5 23:31:50 2024
Сахар Советский Экстра, 1кг	129,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-sovetskij-ekstra-1kg-3650732	Wed Jul  3 15:04:49 2024	Сахар Советский Экстра, 1кг	Цена129,99 ₽	Советский	400.0	0.0 г	0.0 г	100.0 г	Сахар. 	True	True	Fri Jul  5 23:31:51 2024
