name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сардельки варёные Ближние Горки свиные категория Б	369,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-bliznie-gorki-svinye-kategoria-b-3398810	Wed Jul  3 15:04:13 2024	Сардельки варёные Ближние Горки свиные категория Б	Цена859,99 ₽	Ближние горки	310.0	10.0 г	30.0 г	0.0 г	Свинина, вода, нитритно-посолочная смесь (соль, фиксатор окраски- нитрит натрия), сахар-песок, чеснок свежий, пряности (орех мускатный, чеснок, перец белый), регулятор кислотности- трифосфат натрия, антиокислитель- аскорбиновая кислота. 	True	True	Fri Jul  5 23:04:59 2024
Сардельки Папа Может мясные	499,90 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-papa-mozet-masnye-78007501	Wed Jul  3 15:04:13 2024	Сардельки Папа Может мясные	Цена639,99 ₽	Папа может	287.0	8.0 г	27.0 г	3.0 г	Свинина, вода, белковый стабилизатор, филе грудок куриных, крахмал картофельный, комплексные пищевые добавки (посолочно-нитритная смесь (соль, фиксатор окраски Е250), регуляторы кислотности: Е450(i), Е451(i), Е262(i,ii), E331(iii); сахар, стабилизатор Е452(i), пряности (в т.ч. горчичное семя, сельдерей), ароматизаторы (в т.ч. молока), усилитель вкуса и аромата Е621, антиокислитель Е316); соль, пшеничная клетчатка, животный белок, краситель кармины. 	True	True	Fri Jul  5 23:05:00 2024
Сардельки варёные Иней Мясные категория Б, 500г	329,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-inej-masnye-kategoria-b-500g-4207553	Wed Jul  3 15:04:13 2024	Сардельки варёные Иней Мясные категория Б, 500г	Цена329,99 ₽	Иней	200.0	11.0 г	17.0 г	2.0 г	Свинина, мясо кур, шкурка свиная, вода питьевая, животный белок говяжий, нитритно-посолочная смесь (соль, фиксатор окраски (нитрит натрия)), крахмал картофельный, стабилизаторы (пирофосфаты, полифосфат натрия), усилитель вкуса и аромата (глутамат натрия), регуляторы кислотности (ацетат натрия, цитрат натрия), антиокислитель (лимонная кислота), молоко сухое, ароматизаторы (орех мускатный, перец черный, перец белый), пряности молотые (перец белый, чеснок), сахар, краситель (кармины). 	True	True	Fri Jul  5 23:05:01 2024
Сардельки копчёные Велком Велкомовские, 450г	319,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/784/p/sardelki-kopcenye-velkom-velkomovskie-450g-3411852	Thu Jul  4 09:46:14 2024	Сардельки копчёные Велком Велкомовские, 450г	Цена329,99 ₽	Велком	310.0	10.0 г	30.0 г	0.0 г	Свинина, вода, соль, стабилизаторы фосфаты пищевые (пирофосфаты, трифосфаты, полифосфаты), сахар, чеснок, перец, экстракт мускатного ореха, усилитель вкуса и аромата глутамат натрия, антиокислитель аскорбиновая кислота, краситель кармин, фиксатор окраски нитрит натрия. 	True	True	Fri Jul  5 23:05:02 2024
Сардельки варёные Ремит телячьи, 460г	429,99 ₽/шт	460 гр	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-remit-telaci-460g-4137249	Thu Jul  4 09:46:14 2024	Сардельки варёные Ремит телячьи, 460г	Цена459,99 ₽	Ремит	180.0	11.0 г	14.0 г	2.0 г	Говядина, шпик, свинина, вода, крахмал пшеничный, соевый белок, соль нитритная(соль, фиксатор окраски нитрит натрия), регулятор кислотн. трифосфат натрия, стабилизаторы (дигидропирофосфат, пирофосфат, тартрат натрия), сахар, загустители (альгинат натрия, карбоксиметилцеллюлоза), пряности (тмин, чеснок), молочный сывороточный белок, усилит. вкуса и аромата глутамат натрия, антиокислитель изоаскорбиновая кислота, экстракты пряностей (сельдерей, перец черный, душистый, белый), краситель кармины. Производится на предприятии, где также используются горчица, молоко, орехи, пшеница, сельдерей, соя и яйца. Срок годности при t от 0°С до +6°С не более 30 суток. Срок годности после вскрытия упаковки при t0+6°С отн. влажн. не выше 75% не более 3 сут в пределах срока годности. Пищевая и энергетическая ценность в 100г продукта (среднее значение): белки - 11 г, жиры - 14 г, углеводы - 2 г, энергетическая ценность - 180 ккал/740 кДж., Производитель: ООО «Мясоперерабатывающий завод РЕМИТ» 142111, МО, г.Подольск, Художественный проезд, д.2Д. 	True	True	Fri Jul  5 23:05:02 2024
Сардельки варёные Клинский МК Чешские категории Б	879,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-klinskij-mk-cesskie-kategorii-b-4201500	Thu Jul  4 09:46:14 2024	Сардельки варёные Клинский МК Чешские категории Б	Цена790,99 ₽	Клинский	210.0	12.0 г	18.0 г	0.0 г	Свинина,филе куриной грудки,вода,говядина,животный белок,загуститель альгинат натрия,мальтодекстрин,регуляторы кислотности пирофосфат натрия,трифосфат натрия, молочный белок, кожа куриная, крахмал картофельный, посолочная смесь(соль,фиксатор окраски нитрит натрия),усилитель вкуса и аромата глутамат натрия,антиокислитель аскорбиновая кислота,черный перец,экстракты кориандра и чеснока,загустители каррагинан,ксантановая камедь,гуаровая камедь,сульфат кальция,чеснок,стабилизатор полифосфат натрия,регуляторы кислотности ацетат натрия,цитрат натрия,краситель пищевой кармин. 	True	True	Fri Jul  5 23:05:03 2024
Сардельки Рублёвский свиные-люкс рублёвские	1 099,00 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-rublevskij-svinye-luks-rublevskie-3387727	Thu Jul  4 09:46:14 2024	Сардельки Рублёвский свиные-люкс рублёвские	Цена1 199,00 ₽	Рублевский	175.0	10.0 г	15.0 г	0.0 г	Свинина, вода, белковый стабилизатор, посолочная смесь (соль, фиксатор окраски нитрит натрия), экстракты специй (черного перца, кориандра, кардамона, паприки), регуляторы кислотности (трифосфат натрия, ацетат натрия, лактат кальция), стабилизаторы (пирофосфат и полифосфатнатрия), пряности (чеснок, имбирь), усилитель вкуса и аромата глутамат натрия, антиокислитель аскорбиновая кислота, ароматизатор, молоко сухое цельное, животный белок, растительная клетчатка, сахар, натуральный пищевой краситель кармин. 	True	True	Fri Jul  5 23:05:05 2024
Сардельки Высший Вкус Шпикачки пшеничные постные, 400г	639,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/784/p/sardelki-vyssij-vkus-spikacki-psenicnye-postnye-400g-4314696	Thu Jul  4 09:46:14 2024	Сардельки Высший Вкус Шпикачки пшеничные постные, 400г	Цена549,99 ₽	Высший Вкус	259.1	18.8 г	15.9 г	10.2 г	Клейковина гидратированная охлажденная, вода питьевая очищенная, масло подсолнечное рафинированное дезодорированное, масло кокосовое рафинированное дезодорированное отбеленное, загустители (ксантановая камедь, гуаровая камедь, камедь рожкового дерева, тары камедь), соль пищевая, дрожжевой экстракт, добавка пищевая «Аромат говядины», комплексная пищевая добавка «Сардельки сочные», специи (мускатный орех, кориандр, душистый перец, кардамон), краситель - оксиды железа. 	True	True	Fri Jul  5 23:05:05 2024
Сардельки Вязанка Филейские вареные	719,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-vazanka-filejskie-varenye-4283121	Sat Jul  6 19:16:26 2024	Сардельки Вязанка Филейские вареные	Цена529,99 ₽	Вязанка	160.0	11.0 г	13.0 г	0.0 г	СВИНИНА, МЯСО ПТИЦЫ КУСКОВОЕ, вода питьевая, мясо цыпленка-бройлера механической обвалки, ГОВЯДИНА, белковый стабилизатор (шкурка свиная, вода питьевая), МОЛОКО КОРОВЬЕ СУХОЕ, сыворотка молочная сухая, крахмал кукурузный, смесь посолочно-нитритная (соль, фиксатор окраски: нитрит натрия), соль, продукты яичные, белок животный (свиной, говяжий), стабилизаторы (пирофосфаты, полифосфаты), регулятор кислотности: трифосфаты, загустители (ксантановая камедь, агар), виноградный сахар, НАТУРАЛЬНЫЕ ПРЯНОСТИ, антиокислители (аскорбиновая кислота, лимонная кислота), краситель: кармины. В продукте возможно наличие следов горчицы, злаков, содержащих глютен и клетчатку, сельдерея и продуктов их переработки. 	True	True	Sat Jul  6 19:16:26 2024
Сардельки Владимирский стандарт миньоны варёные, 410г	239,99 ₽/шт	410 гр	https://www.perekrestok.ru/cat/784/p/sardelki-vladimirskij-standart-minony-varenye-410g-4332357	Sun Jul  7 00:37:13 2024	Сардельки Владимирский стандарт миньоны варёные, 410г	Цена239,99 ₽	Владимирский Стандарт	196.0	10.0 г	16.0 г	3.0 г	Свинина, филе куриное, мясо куриное механической обвалки, шпик, телятина, вода, бульон куриный натуральный сухой, белковый стабилизатор (шкурка свиная, вода),крахмал кукурузный, нитритная соль (соль, фиксатор окраски: нитрит натрия), соль,  стабилизатор: пирофосфат натрия, усилитель вкуса и аромата: Е621, антиокислители (аскорбиновая кислота, лимонная кислота), пряности (перец черный), экстракты пряностей (мускатный орех), краситель: кармины. В заботе о вашем здоровье мы обязаны указать возможность содержания в продукте аллергенов: сельдерея, молока, яиц, горчицы, сои, глютена, кунжута и продуктов их переработки. 	True	True	Sun Jul  7 00:43:03 2024
Сардельки Рублевский Рублевские Говяжьи-люкс, 100г	1 149,00 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-rublevskij-rublevskie-govazi-luks-100g-3387730	Sun Jul  7 00:37:13 2024	Сардельки Рублевский Рублевские Говяжьи-люкс, 100г	Цена1 049,00 ₽	Рублевский	180.0	10.0 г	16.0 г	0.0 г	говядина, вода, стабилизатор белковый, посолочно-нитритная смесь (соль поваренная, фиксатор окраски (нитрит натрия)), крахмал картофельный,  молоко сухое цельное, сахар, усилитель вкуса и аромата (глутамат натрия), декстроза, экстракты пряностей (орех мускатный, кориандр), стабилизаторы (пирофосфат натрия, полифосфат натрия), регулятор кислотности (трифосфат натрия), антиокислитель (аскорбат натрия), краситель (кармины). На предприятии используются орехи, молоко, яйца и продукты их переработки. 	True	True	Sun Jul  7 00:43:04 2024
Сардельки Рублевский Докторские варёные категории Б, 400г	429,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/784/p/sardelki-rublevskij-doktorskie-varenye-kategorii-b-400g-4125461	Sun Jul  7 17:00:44 2024	Сардельки Рублевский Докторские варёные категории Б, 400г	Цена379,99 ₽	Рублевский	160.0	10.0 г	13.0 г	0.0 г	Говядина, вода, мясо птицы, белковый стабилизатор, свинина, молоко сухое цельное, посолочная смесь (соль, фиксатор окраски нитрит натрия), животный белок, сахар, стабилизатор: пирофосфат натрия, регулятор кислотности: трифосфат натрия, усилитель вкуса и аромата (глутамат натрия), антиокислители (аскорбат натрия, изоаскорбат натрия), экстракты пряностей (аромат черного перца, мускатный орех, перец душистый), загуститель (каррагинан, конжак), краситель пищевой (кармин). 	True	True	Sun Jul  7 18:43:36 2024
Сардельки Домашние вареные Мясной Дом Бородина	879,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-domasnie-varenye-masnoj-dom-borodina-4066587	Sun Jul  7 17:00:44 2024	Сардельки Домашние вареные Мясной Дом Бородина	Цена879,99 ₽	МД Бородина	275.0	8.0 г	27.0 г	0.0 г	Говядина, свинина, вода, меланж яичный, соль, регуляторы кислотности трифосфат и пирофосфат натрия, перец белый, кардамон, мускатный орех, чеснок, нитритно-посолочная смесь (соль, фиксатор окраски нитрит натрия), продукт может содержать следы молока, яичных продуктов, орехов, сельдерея, горчицы. 	True	True	Sun Jul  7 18:43:37 2024
Сардельки Delikaiser Баварские из мяса птицы варёные, 360г	124,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/784/p/sardelki-delikaiser-bavarskie-iz-masa-pticy-varenye-360g-4292484	Sun Jul  7 17:14:41 2024	Сардельки Delikaiser Баварские из мяса птицы варёные, 360г	Цена249,99 ₽	Delikaiser	254.0	9.0 г	22.0 г	5.0 г	Филе куриной грудки, свинина, вода питьевая, мясо куриное механической обвалки, белковый стабилизатор (шкурка свиная, вода питьевая), крахмал пшеничный, посолочно-нитритная смесь (соль, фиксатор окраски (нитрит натрия)), молочный белок, экстракты пряностей (перец черный), антиокислитель (аскорбиновая кислота), стабилизатор (пирофосфаты), регуляторы кислотности (ацетат натрия, трифосфаты), краситель (кармины). На территории предприятия используются: сельдерей, горчица, яйца, соя, злаки, содержащие глютен и продукты их переработки. 	True	True	Sun Jul  7 18:43:38 2024
Черкашин Сардельки Сочные, 390г	229,99 ₽/шт	390 гр	https://www.perekrestok.ru/cat/784/p/cerkasin-sardelki-socnye-390g-4061415	Sun Jul  7 17:14:41 2024	Черкашин Сардельки Сочные, 390г	Цена269,99 ₽	Черкашин и партнеръ	238.0	10.0 г	22.0 г	0.0 г	Свинина, филе куриной грудки, фарш куриный, вода питьевая, яйца куриные пищевые, соевый белок, молоко сухое цельное, СПН (соль, фиксатор окраскиЕ250),КПД(стаб-торЕ450, усилитель вкуса и ароматаЕ621, ант-тельЕ300, декстроза, пряности, экстракт пряностей),КПД(стаб-тор Е407, загустительЕ425), перец черный, пищевой кр-тель красный свекольный. 	True	True	Sun Jul  7 18:43:39 2024
Сардельки Черкашин и Партнеръ обыкновенные, 400г	359,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/784/p/sardelki-cerkasin-i-partner-obyknovennye-400g-3664323	Sun Jul  7 17:14:41 2024	Сардельки Черкашин и Партнеръ обыкновенные, 400г	Цена359,99 ₽	Черкашин и партнеръ	224.0	11.0 г	20.0 г	0.0 г	Говядина, свинина, вода питьевая, посолочно-нитритная смесь (соль, фиксатор окраски Е250), молоко сухое цельное, крахмал картофельный, стабилизатор Е452, сахар, чеснок свежий, перец черный молотый, кориандр молотый, антиокислитель - аскорбиновая кислота. 	True	True	Sun Jul  7 18:43:40 2024
Сардельки Вязанка Филейские вареные, 400г	349,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/784/p/sardelki-vazanka-filejskie-varenye-400g-4299288	Sun Jul  7 17:22:04 2024	Сардельки Вязанка Филейские вареные, 400г	Цена279,99 ₽	Вязанка	160.0	11.0 г	13.0 г	0.0 г	свинина, мясо птицы кусковое, вода питьевая, мясо цыпленка-бройлера механической обвалки, говядина, белковый стабилизатор (шкурка свиная, вода питьевая), молоко коровье сухое, сыворотка молочная сухая, крахмал кукурузный, смесь посолочно-нитритная (соль, фиксатор окраски: нитрит натрия), соль, продукты яичные, белок животный (свиной, говяжий), стабилизаторы (пирофосфаты, полифосфаты), регулятор кислотности: трифосфаты, загустители (ксантановая камедь, агар), виноградный сахар, натуральные пряности, антиокислители (аскорбиновая кислота, лимонная кислота), краситель: кармины.В продукте возможно наличие следов горчицы, злаков, содержащих глютен и клетчатку, сельдерея и продуктов их переработки. 	True	True	Sun Jul  7 18:43:40 2024
Сардельки Дым Дымычъ с говядиной	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-dym-dymyc-s-govadinoj-3206573	Sun Jul  7 17:22:04 2024	Сардельки Дым Дымычъ с говядиной	Цена469,99 ₽	Дым Дымыч	168.0	11.0 г	12.0 г	4.0 г	Свинина, мясо птицы, вода питьевая, соевый белок, крахмал картофельный, молоко коровье сухое обезжиренное, яйцо куриное, посолочная смесь (соль, фиксатор окраски, нитрит натрия), специи, стабилизатор (Е450), регулятор кислотности (Е451), консервант (Е262), загуститель (Е412). 	True	True	Sun Jul  7 18:43:41 2024
Сардельки Владимирский Стандарт Сочные вареные категории В, 320г	239,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/784/p/sardelki-vladimirskij-standart-socnye-varenye-kategorii-v-320g-4277967	Sun Jul  7 17:22:04 2024	Сардельки Владимирский Стандарт Сочные вареные категории В, 320г	Цена239,99 ₽	Владимирский Стандарт	228.0	9.0 г	20.0 г	3.0 г	свинина, филе куриное, говядина, мясо птицы механической обвалки, шпик, вода, белковый стабилизатор (шкурка свиная, вода), крахмал картофельный, нитритная соль (соль, фиксатор окраски: нитрит натрия), стабилизатор: пирофосфат натрия, соль, растительный гидролизат, усилитель вкуса и аромата: Е621, пряности (чеснок, чили), экстракт пряности (чеснок), краситель: кармины. В заботе о вашем здоровье мы обязаны указать возможность содержания в продукте аллергенов: сельдерея, молока, яиц, горчицы, сои, глютена, кунжута и продуктов их переработки. 	True	True	Sun Jul  7 18:43:42 2024
Сардельки варёные Мяском телячьи	679,99 ₽/кг	none	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-maskom-telaci-3313217	Sun Jul  7 17:22:04 2024	Сардельки варёные Мяском телячьи	Цена759,99 ₽	Мяском	305.0	11.0 г	29.0 г	2.0 г	Говядина, свинина, шпик, яйцо куриное, сухое молоко, вода питьевая, экстракты пряностей (мускатный орех, перец чёрный душистый), стабилизатор Е450, декстроза, усилитель вкуса и аромата Е621, антиокислитель аскорбат натрия Е301, нитритно-посолочная смесь (соль пищевая, фиксатор окраски нитрит натрия Е250). 	True	True	Sun Jul  7 18:43:43 2024
Сардельки варёные Донские Традиции Мясные категория Б, 500г	329,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/784/p/sardelki-varenye-donskie-tradicii-masnye-kategoria-b-500g-4221385	Sun Jul  7 17:36:20 2024	Сардельки варёные Донские Традиции Мясные категория Б, 500г	Цена329,99 ₽	Донские Традиции	250.0	9.0 г	23.0 г	2.0 г	Свинина, филе бедра цыплят бройлеров, мясо птицы механической обвалки, животный белок, вода питьевая, смесь посолочно-нитритная (соль поваренная пищевая, фиксатор окраски -нитрит натрия), крахмал картофельный, соевый белок, комплексная пищевая добавка (стабилизаторы (Е450(i), Е452(i)), регуляторы кислотности (ацетат натрия(i), цитрат натрия (iii), Е451(i)), антиокислитель (аскорбат натрия), загустители (Е407, Е425), усилитель вкуса и аромата (глутамат натрия), ароматизаторы (мясо, сливочное масло), сахар, экстракты пряностей (мускатный орех, кориандр), пищевой краситель (кармин). 	True	True	Sun Jul  7 18:43:44 2024
