name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Крылья куриные в маринаде	359,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/kryla-kurinye-v-marinade-78003875	Wed Jul  3 15:04:00 2024	none	none	none	none	none	none	none	none	True	False	Fri Jul  5 22:53:46 2024
Бедро куриное Перекрёсток в маринаде	349,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/bedro-kurinoe-perekrestok-v-marinade-78003879	Wed Jul  3 15:04:00 2024	none	none	none	none	none	none	none	none	True	False	Fri Jul  5 22:53:47 2024
Голень куриная Перекрёсток в маринаде	369,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/golen-kurinaa-perekrestok-v-marinade-78003878	Wed Jul  3 15:04:00 2024	none	none	none	none	none	none	none	none	True	False	Fri Jul  5 22:53:47 2024
Филе курицы в маринаде	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/file-kuricy-v-marinade-78003876	Wed Jul  3 15:04:00 2024	Филе курицы в маринаде	Цена499,99 ₽	none	186.0	19.6 г	12.0 г	0.0 г	none	True	True	Fri Jul  5 22:53:48 2024
Филе голени индейки Индилайт в пряном маринаде охлаждённое, 900г	339,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/951/p/file-goleni-indejki-indilajt-v-pranom-marinade-ohlazdennoe-900g-4345931	Wed Jul  3 15:04:00 2024	Филе голени индейки Индилайт в пряном маринаде охлаждённое, 900г	Цена409,99 ₽	Индилайт	100.0	13.0 г	5.0 г	0.0 г	none	True	True	Fri Jul  5 22:53:49 2024
Шашлык Слово Мясника Отборный из свинины бескостный охлаждённый	359,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/saslyk-slovo-masnika-otbornyj-iz-svininy-beskostnyj-ohlazdennyj-4132659	Wed Jul  3 15:04:00 2024	Шашлык Слово Мясника Отборный из свинины бескостный охлаждённый	Цена359,99 ₽	Слово Мясника	360.0	12.0 г	35.0 г	0.0 г	Свинина, вода питьевая, соль поваренная пищевая, лук репчатый сушеный, перец черный горошек, перец ро-зовый, перец зеленый, сахар, чеснок, петрушка, шпи-нат, перец чили, укроп, базилик, майоран, кориандр, паприка, перец белый, чабрец, крахмал картофельный, молочная сыворотка, растительный жир, лимонный сок, декстроза, мальтодекстрин, регуляторы кислотности (цитрат натрия, лимонная кислота), антиокислитель (ас-корбиновая кислота), сухой глюкозный сироп, пищевые растительные волокна (пшеничные), крахмал ячмен-ный, ароматизатор (свинина), гидролизат кукурузного белка. 	True	True	Fri Jul  5 22:53:50 2024
Стейк Цыплёнка Бройлера Мираторг Классический в маринаде охлажденный, 450г	239,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/951/p/stejk-cyplenka-brojlera-miratorg-klassiceskij-v-marinade-ohlazdennyj-450g-4266469	Wed Jul  3 15:04:00 2024	Стейк Цыплёнка Бройлера Мираторг Классический в маринаде охлажденный, 450г	Цена259,99 ₽	Мираторг	110.0	21.0 г	2.5 г	0.0 г	none	True	True	Fri Jul  5 22:53:50 2024
Ребрышки Самсон свиные классика в маринаде	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/rebryski-samson-svinye-klassika-v-marinade-78005039	Wed Jul  3 15:04:00 2024	Ребрышки Самсон свиные классика в маринаде	Цена599,99 ₽	Самсон	299.0	10.0 г	25.0 г	9.0 г	Свинина, растительное масло, соль, паприка, перец черный, лук, сахар, аромтизатор дыма. 	True	True	Fri Jul  5 22:53:51 2024
Рёбра свиные Заволжский премиум для гриля в маринаде	329,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/rebra-svinye-zavolzskij-premium-dla-grila-v-marinade-3693812	Wed Jul  3 15:04:00 2024	Рёбра свиные Заволжский премиум для гриля в маринаде	Цена389,99 ₽	Заволжский	342.0	18.0 г	30.0 г	0.0 г	Ребрышки свиные, вода, соль, комплексные добавки (пряности (томаты, чеснок, базилик, паприка, лук, перец черный), сахар, гидролизат рапсового белка, регуляторы кислотности – Е451i, E451, E331iii, усилитель вкуса и аромата – Е621, краситель – 160с). 	True	True	Fri Jul  5 22:53:52 2024
Шашлык Черкизово лёгкий из карбонада из свинины бескостный категории В	479,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/saslyk-cerkizovo-legkij-iz-karbonada-iz-svininy-beskostnyj-kategorii-v-4299080	Wed Jul  3 15:04:00 2024	Шашлык Черкизово лёгкий из карбонада из свинины бескостный категории В	Цена479,99 ₽	Черкизово	166.0	17.0 г	10.0 г	2.0 г	Cвинина, вода, соль, подсолнечное масло, пищевые волокна, соус-маринад (соль, йогуртовая пудра, специи и их экстракты (в т. ч. горчица), натуральные ароматизаторы (соевый соус, йогурт, говядина), сахар, усилитель вкуса и аромата (глутамат натрия 1-замещенный), мальтодекстрин, регулятор кислотности (лимонная кислота), загустители (гуаровая камедь, ксантановая камедь), краситель (экстракт паприки, капсантин, капсорубин), консерванты (бензоат натрия, сорбат калия)), регуляторы кислотности (трифосфаты, ацетаты натрия, цитраты натрия), стабилизаторы (пирофосфаты, камедь рожкового дерева), загустители (ксантановая камедь, гуаровая камедь), лук, ароматизатор, декстроза, животный белок, антиокислители (лимонная кислота, аскорбат натрия), лимонный сок (сок лимона, консервант (пиросульфит натрия)). 	True	True	Fri Jul  5 22:53:53 2024
Части утенка Озерка в маринаде охлажденный, 900г	319,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/951/p/casti-utenka-ozerka-v-marinade-ohlazdennyj-900g-4276473	Wed Jul  3 15:04:00 2024	Части утенка Озерка в маринаде охлажденный, 900г	Цена329,99 ₽	Озёрка	240.0	14.0 г	20.0 г	2.0 г	"Мясокостные куски тушки утенка, вода, пряности (перец черный, паприка, кориандр, чеснок, перец душистый, петрушка, розмарин, тимьян, имбирь), соль пищевая, декстроза, крахмал кукурузный, растительная клетчатка псиллиун),
 экстракты пряностей (паприка, кориандр, перец душистый), свекольный сок. Может содержать глютен, сою, кунжут, яйца, сельдерей, горчицу, лактозу. "	True	True	Fri Jul  5 22:53:53 2024
Шашлык из свиного окорока в брусничном маринаде	479,99 ₽/кг	none	https://www.perekrestok.ru/cat/951/p/saslyk-iz-svinogo-okoroka-v-brusnicnom-marinade-78005444	Wed Jul  3 15:04:00 2024	Шашлык из свиного окорока в брусничном маринаде	Цена479,99 ₽	none	212.5	13.4 г	16.5 г	2.6 г	П/ф мясн.бескост,мелкокуск,катВ,охл.Состав:окорок свиной,лук репчат,маринад(масло подсолн,соль,фруктоза,чеснок,сумах,брусника,перец черн,перец душист,имбирь,орех мускат,паприка,перец чили,Е260,Е300,сахарин,аромат,экстракт дрожжей,красит.натур.кармин)клюква,масло подсолн.Cр.зн.п/ц,э/ц в 100г:Б13,4г;Ж16,5г;У2,6г;212,5Ккал/882,5кДж.Срок годн:72ч при t+2+6С.Треб.терм.обработка.Изгот.указан ниже 	True	True	Fri Jul  5 22:53:54 2024
