name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Смесь Grand Master Гурман, 550г	799,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/158/p/smes-grand-master-gurman-550g-3645971	Wed Jul  3 15:05:11 2024	Смесь Grand Master Гурман, 550г	Цена799,99 ₽	Grand Master	447.0	10.2 г	24.2 г	47.3 г	Изюм, ядро кешью жареное, ядро миндаля жареное. 	True	True	Fri Jul  5 23:43:50 2024
Смесь Семушка из орехов и клюквы, 100г	269,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-orehov-i-klukvy-100g-4027702	Wed Jul  3 15:05:11 2024	Смесь Семушка из орехов и клюквы, 100г	Цена269,99 ₽	Семушка	564.0	18.0 г	36.1 г	64.5 г	Клюква (клюква, сахар, подсолнечное масло, регулятор кислотности лимонная кислота), сушеные ядра орехов миндаля, фундука, кешью. 	True	True	Fri Jul  5 23:43:51 2024
Смесь Семушка из жареных орехов и изюма, 150г	309,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-zarenyh-orehov-i-izuma-150g-3428415	Wed Jul  3 15:05:11 2024	Смесь Семушка из жареных орехов и изюма, 150г	Цена309,99 ₽	Семушка	511.0	12.0 г	36.1 г	34.5 г	Изюм (виноград сушеный, подсолнечное масло, консервант E220), жареные ядра орехов миндаля, фундука, кешью. 	True	True	Fri Jul  5 23:43:52 2024
Смесь Albero Verde миндаль + клюква, 200г	499,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/158/p/smes-albero-verde-mindal-klukva-200g-4053145	Wed Jul  3 15:05:11 2024	Смесь Albero Verde миндаль + клюква, 200г	Цена499,99 ₽	Albero Verde	420.0	10.6 г	25.4 г	50.0 г	Миндаль, клюква. 	True	True	Fri Jul  5 23:43:53 2024
Смесь Коктейль орехов и сухофруктов Маркет Collection, 135г	199,99 ₽/шт	135 гр	https://www.perekrestok.ru/cat/158/p/smes-koktejl-orehov-i-suhofruktov-market-collection-135g-4280428	Wed Jul  3 15:05:11 2024	Смесь Коктейль орехов и сухофруктов Маркет Collection, 135г	Цена289,99 ₽	Market Collection	550.0	15.0 г	41.0 г	30.0 г	Ядра орехов миндаля обжаренные, ядра орехов фундука обжаренные, ядра орехов кешью обжаренные, виноград сушёный (изюм темный и светлый, консервант е220). 	True	True	Fri Jul  5 23:43:54 2024
Смесь орехов Семушка жареных сладкая с цукатами, 110г	239,99 ₽/шт	110 гр	https://www.perekrestok.ru/cat/158/p/smes-orehov-semuska-zarenyh-sladkaa-s-cukatami-110g-4268668	Wed Jul  3 15:05:11 2024	Смесь орехов Семушка жареных сладкая с цукатами, 110г	Цена219,99 ₽	Семушка	367.0	10.4 г	26.3 г	22.2 г	Цукаты ананаса (кубики ананаса, сахар, регулятор кислотности лимонная кислота, пищевые красители Е110, Е124, Е102+Е133); изюм (виноград сушеный, подсолнечное масло); жареные ядра орехов: арахиса, миндаля, фундука, кешью. 	True	True	Fri Jul  5 23:43:54 2024
Смесь орехово-фруктовая Пр!ст, 500г	359,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/158/p/smes-orehovo-fruktovaa-pr-st-500g-4310049	Wed Jul  3 15:05:11 2024	Смесь орехово-фруктовая Пр!ст, 500г	Цена359,99 ₽	Пр!ст	390.0	8.8 г	22.0 г	39.0 г	Арахис очищенный (ядро), изюм (виноград сушеный кишмиш, консервант е220), цукаты ананаса (ананас, сахар, регулятор кислотности - лимонная кислота, консервант е220, красители пищевые: е110, е102, е133, е122, е124), чипсы банановые (бананы, сахар, кокосовое масло, ароматизатор банана), ядра орехов кешью сушеные, ядра орехов миндаля, ядра орехов фундука. 	True	True	Fri Jul  5 23:43:55 2024
Смесь салатная Семушка, 80г	159,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/158/p/smes-salatnaa-semuska-80g-4267521	Wed Jul  3 15:05:11 2024	Смесь салатная Семушка, 80г	Цена159,99 ₽	Семушка	594.5	27.5 г	47.7 г	13.6 г	Арахис жареный дробленый, семена тыквы очищенные, семена подсолнечника очищенные, ядра фисташки жареные дробленые. 	True	True	Fri Jul  5 23:43:56 2024
Смесь сладкая Маркет, 167г	149,99 ₽/шт	167 гр	https://www.perekrestok.ru/cat/158/p/smes-sladkaa-market-167g-3640862	Wed Jul  3 15:05:11 2024	Смесь сладкая Маркет, 167г	Цена149,99 ₽	Маркет	410.0	8.5 г	19.0 г	50.0 г	Виноград сушеный, ядра арахиса, ананас сушеный, сахар, банан сушеный, ядра кешью, ядра миндаля, ядра фундука, патока, масло растительное, регулятор кислотности, лимонная кислота, ароматизатор банан, консервант e220, красители (e102, e110, e124, e133). 	True	True	Fri Jul  5 23:43:57 2024
Коктейль смесь сухофруктов и ядер орехов Маркет Перекрёсток, 150г	219,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/158/p/koktejl-smes-suhofruktov-i-ader-orehov-market-perekrestok-150g-3651949	Wed Jul  3 15:05:11 2024	Коктейль смесь сухофруктов и ядер орехов Маркет Перекрёсток, 150г	Цена219,99 ₽	Маркет	430.0	9.0 г	17.0 г	59.0 г	Ананас цукаты, виноград сушенный (изюм), отборные ядра жареных орехов миндаля, фундука, кешью, папайя цукаты, когнсервант e220. В редких случаях продукт может содержать незначительное количество арахиса. 	True	True	Fri Jul  5 23:43:58 2024
