name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кукурузные снеки Cheetos Сыр, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	Wed Jul  3 15:03:04 2024	Кукурузные снеки Cheetos Сыр, 85г	Цена97,99 ₽	Cheetos	470.0	7.0 г	22.0 г	62.0 г	Крупа кукурузная, масло растительное, ароматизатор [пшеничная мука, сухая молочная сыворотка, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-гуанилат натрия 2-замещенный, 5'-инозинат натрия 2-замещенный), агент желирующий (хлорид калия), сахар, вкусоароматические вещества, регулятор кислотности (лимонная кислота), краситель (экстракт паприки). 	True	True	Fri Jul  5 21:57:30 2024
Палочки кукурузные Cheetos Сыр, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	Wed Jul  3 15:03:04 2024	Палочки кукурузные Cheetos Сыр, 50г	Цена54,99 ₽	Cheetos	470.0	7.0 г	22.0 г	62.0 г	Крупа кукурузная, масло растительное, ароматизатор (панировочные сухари (содержат пшеницу, рожь), сухая молочная сыворотка, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5-инозинат натрия 2-замещенный, 5-гуанилат натрия 2-замещенный), агент желирующий (хлорид калия), сахар, вкусоароматические вещества, регулятор кислотности (лимонная кислота), краситель (экстракт паприки)). 	True	True	Fri Jul  5 21:57:31 2024
Кукурузные снеки Cheetos Кетчуп, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	Wed Jul  3 15:03:04 2024	Кукурузные снеки Cheetos Кетчуп, 85г	Цена97,99 ₽	Cheetos	480.0	7.0 г	22.0 г	63.0 г	Крупа кукурузная, масло растительное, ароматизатор [пшеничная мука, соль, сахароза, вкусоароматические вещества (содержат производные молока), усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-инозинат натрия 2-замещенный, 5'-гуанилат натрия 2-замещенный), гидролизованный растительный белок (содержит сою), термический технологический ароматизатор, краситель (экстракт паприки), регулятор кислотности (лимонная кислота), специи. 	True	True	Fri Jul  5 21:57:31 2024
Палочки Cheetos кукурузные Кетчуп, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	Wed Jul  3 15:03:04 2024	Палочки Cheetos кукурузные Кетчуп, 50г	Цена54,99 ₽	Cheetos	490.0	7.5 г	23.0 г	63.0 г	Крупа кукурузная, масло рапсовое, мука пшеничная, ароматизатор [соль, сахар, вкусоароматические вещества (содержат производные молока), усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-инозинат натрия 2-замещенный, 5'-гуанилат натрия 2-замещенный), гидролизованный растительный белок (содержит сою), термический технологический ароматизатор, краситель (экстракт паприки), регулятор кислотности (лимонная кислота), специи]. 	True	True	Fri Jul  5 21:57:32 2024
Шарики кукурузные СырBall со вкусом сыра, 140г	144,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	Wed Jul  3 15:03:04 2024	Шарики кукурузные СырBall со вкусом сыра, 140г	Цена89,99 ₽	СырBall	490.0	7.0 г	25.0 г	55.0 г	Крупа кукурузная, масло растительное, соль, комплексная пищевая добавка «сыр»: ароматизаторы, соль, мальтодекстрин, лактоза, усилители вкуса и аромата: глутамат натрия 1-замещенный, е 635, сырная приправа, сырный порошок, кукурузная мука, агент антислеживающий: диоксид кремния аморфный, красители: куркумин, аннато, экстракт паприки, масло растительное, регулятор кислотности: лимонная кислота, антиокислитель: экстракт розмарина. может содержать следы яиц, горчицы, сельдерея, сои. 	True	True	Fri Jul  5 21:57:33 2024
Снеки Cheetos Ветчина и сыр кукурузные, 50г	75,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-vetcina-i-syr-kukuruznye-50g-4281894	Wed Jul  3 15:03:04 2024	Снеки Cheetos Ветчина и сыр кукурузные, 50г	Цена54,99 ₽	Cheetos	490.0	7.0 г	24.0 г	61.0 г	Крупа кукурузная, масло рапсовое, ароматизатор [порошок молочной сыворотки, соль, сахар, вкусоароматические вещества(содержат молочные производные, куриный порошок), усилители вкуса и аромата (глутамат натрия 1-замещенный, 5'-гуанилат натрия 2-замещенный, 5' - инозинат натрия 2-замещенный), овощи сушёные (порошки лука и чеснока), сырный порошок, паприка молотая, перец белый молотый, регулятор кислотности (лимонная кислота)]. 	True	True	Fri Jul  5 21:57:34 2024
Снеки Cheetos кукурузные со вкусом краба, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	Wed Jul  3 15:03:04 2024	Снеки Cheetos кукурузные со вкусом краба, 50г	Цена65,99 ₽	Cheetos	490.0	6.5 г	24.0 г	62.0 г	Крупа кукурузная, масло рапсовое, ароматизатор [сухая молочная сыворотка, сахар, соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5’-гуанилат натрия 2-замещенный, 5’-инозинат натрия 2-замещенный), вкусоароматические вещества, томатный порошок, порошок сухого молока, термический технологический ароматизатор, специи, травы, краситель (экстракт паприки)]. 	True	True	Fri Jul  5 21:57:35 2024
Снеки Сырколбас кукурузные со вкусом сыр и колбаса, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-syr-i-kolbasa-100g-4233208	Wed Jul  3 15:03:04 2024	Снеки Сырколбас кукурузные со вкусом сыр и колбаса, 100г	Цена84,99 ₽	Сырколбас	560.0	6.5 г	37.0 г	50.0 г	Крупа кукурузная, масло растительное (подсолнечное) рафинированное дезодорированное, соль, комплексная пищевая добавка: мука пшеничная, соль, вкусоароматические вещества, в т.ч. сыр, колбаса, глюкоза, усилитель вкуса и аромата: глутамат натрия 1-замещенный, сахар, гидролизованный белок, мальтодекстрин, агент антислеживающий: диоксид кремния аморфный, краситель: экстракт паприки, эмульгирующая соль: орто-фосфат натрия 2-замещенный, антиокислитель: альфа-токоферол, регулятор кислотности: лимонная кислота. 	True	True	Fri Jul  5 21:57:36 2024
Кукуруза Грызли жареная со вкусом бекона, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-bekona-50g-4345228	Wed Jul  3 15:03:04 2024	Кукуруза Грызли жареная со вкусом бекона, 50г	Цена74,99 ₽	ГРЫЗЛИ	437.0	7.0 г	14.0 г	67.0 г	Ззерна золотой кукурузы, соль, смесь растительных масел (масло подсолнечное высокоолеиновое, пальмоядровый олеин, антиоксиданты: Е319, Е321), комплексная пищевая добавка «Бекон»: соль, глюкоза, сахар, мальтодекстрин, усилители вкуса и аромата: глутамат натрия, гуанилат натрия , инозинат натрия , паприка порошок, натуральные  вкусоароматические вещества, лук порошок, белок растительный гидролизованный,  жир растительный, регулятор кислотности лимонная кислота , краситель: экстракт паприки, дрожжевой экстракт, специи, антикомкователь Е551. Может содержать следы  сульфитов, глютена,горчицы, рыбы, ракообразных, сои, сельдерея, молока, кунжута, орехов и продуктов их переработки. 	True	True	Fri Jul  5 21:57:37 2024
Кукуруза Грызли жареная со вкусом васаби, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-vasabi-50g-4345231	Wed Jul  3 15:03:04 2024	Кукуруза Грызли жареная со вкусом васаби, 50г	Цена74,99 ₽	ГРЫЗЛИ	437.0	7.0 г	14.0 г	67.0 г	Зерна золотой кукурузы, соль, смесь растительных масел (масло подсолнечное высокоолеиновое, пальмоядровый олеин, антиоксиданты: Е319, Е321), комплексная пищевая добавка «Васаби»( соль пищевая, глюкоза, мальтодекстрин, усилители  вкуса и аромата: глутамат натрия, гуанилат  натрия , инозинат натрия  , натуральные вкусоароматические вещества, жир растительный, регулятор  кислотности лимонная кислота, краситель тартразин Е102, специи,  антикомкователь Е551). Содержит краситель, который  может  оказывать отрицательное влияние на активность и внимание детей. Может содержать следы  сульфитов, глютена,горчицы, рыбы, ракообразных, сои, сельдерея, молока, кунжута, орехов и продуктов их переработки. 	True	True	Fri Jul  5 21:57:37 2024
