name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-morskaa-jodirovannaa-povarennaa-pisevaa-market-perekrestok-500g-3652519	Wed Jul  3 15:03:01 2024	Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	Цена69,99 ₽	Маркет	0.0	0.0 г	0.0 г	0.0 г	Хлорид натрия (nacl не менее 98.40%), йодат калия (kio3, массовая доля йода от 11.25 до 40 мкг/г), агент антислеживающий е535 (массовая доля до 0.001%). 	True	True	Fri Jul  5 21:54:36 2024
Соль гималайская Зелёная Линия, 400г	99,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/101/p/sol-gimalajskaa-zelenaa-linia-400g-4221321	Wed Jul  3 15:03:01 2024	Соль гималайская Зелёная Линия, 400г	Цена134,99 ₽	Зелёная Линия	0.0	0.0 г	0.0 г	0.0 г	Соль каменная гималайская розовая пищевая. 	True	True	Fri Jul  5 21:54:37 2024
Соль Адыгейская Абадзехская поваренная пищевая Маркет Перекрёсток, 300г	69,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/101/p/sol-adygejskaa-abadzehskaa-povarennaa-pisevaa-market-perekrestok-300g-4105539	Wed Jul  3 15:03:01 2024	Соль Адыгейская Абадзехская поваренная пищевая Маркет Перекрёсток, 300г	Цена95,99 ₽	Маркет	27.0	4.3 г	0.2 г	1.9 г	Соль пищевая, кориандр, зелень петрушки, чеснок сушеный, зелень укропа, перец чёрный молотый, чабер сушеный. 	True	True	Fri Jul  5 21:54:38 2024
Соль пищевая универсальная с грузинскими травами Маркет Перекрёсток, 200г	129,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/101/p/sol-pisevaa-universalnaa-s-gruzinskimi-travami-market-perekrestok-200g-4105542	Wed Jul  3 15:03:01 2024	Соль пищевая универсальная с грузинскими травами Маркет Перекрёсток, 200г	Цена164,99 ₽	Маркет	167.0	6.5 г	6.6 г	20.1 г	"Соль пищевая, куркума, кориандр молотый, чеснок, семя укропа,, смесь пряностей ""хмели-сунели"", лук, морковь, базилик, петрушка, укроп, майоран. "	True	True	Fri Jul  5 21:54:39 2024
Соль поваренная пищевая крупная, 1кг	13,90 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-krupnaa-1kg-3255026	Wed Jul  3 15:03:01 2024	Соль поваренная пищевая крупная, 1кг	Цена11,99 ₽	Славяна	378.0	6.0 г	24.6 г	32.7 г	Соль. 	True	True	Fri Jul  5 21:54:41 2024
Соль поваренная пищевая мелкая, 1кг	25,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-melkaa-1kg-3231335	Wed Jul  3 15:03:01 2024	Соль поваренная пищевая мелкая, 1кг	Цена20,90 ₽	Тендер	0.0	0.0 г	0.0 г	0.0 г	Соль. 	True	True	Fri Jul  5 21:54:44 2024
Соль Salina каменная поваренная пищевая помол №1, 1кг	39,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-salina-kamennaa-povarennaa-pisevaa-pomol-no1-1kg-3450465	Wed Jul  3 15:03:01 2024	Соль Salina каменная поваренная пищевая помол №1, 1кг	Цена37,99 ₽	Salina	none	none	none	none	Хлорид натрия не менее 97.7%. 	True	True	Fri Jul  5 21:54:45 2024
Соль Salina пищевая каменная, 1кг	39,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-salina-pisevaa-kamennaa-1kg-3958082	Wed Jul  3 15:03:01 2024	Соль Salina пищевая каменная, 1кг	Цена39,99 ₽	Salina	0.0	0.0 г	0.0 г	0.0 г	Хлористый натрий (NaCI), массовая доля не менее 98,4%. 	True	True	Fri Jul  5 21:54:47 2024
Соль Илецкая поваренная пищевая высшего сорта помол 1, 500г	83,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-ileckaa-povarennaa-pisevaa-vyssego-sorta-pomol-1-500g-3613637	Wed Jul  3 15:03:01 2024	Соль Илецкая поваренная пищевая высшего сорта помол 1, 500г	Цена79,99 ₽	Илецкая	0.0	0.0 г	0.0 г	0.0 г	Хлористый натрий, кальций-ион, магний-ион, сульфат-ион, селен (Se). 	True	True	Fri Jul  5 21:54:48 2024
Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод, 350г	83,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/101/p/sol-valetek-pisevaa-s-ponizennym-soderzaniem-natria-kalij-magnij-jod-350g-3393119	Wed Jul  3 15:03:01 2024	Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод, 350г	Цена78,99 ₽	Валетек	0.0	0.0 г	0.0 г	0.0 г	Соль поваренная пищевая, калий хлористый, магний сернокислый, калий йодноватокислый. 	True	True	Fri Jul  5 21:54:48 2024
