name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Соус Barilla Basilico томатный с базиликом, 400мл	259,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-basilico-tomatnyj-s-bazilikom-400ml-2156106	Wed Jul  3 15:04:38 2024	Соус Barilla Basilico томатный с базиликом, 400мл	Цена259,99 ₽	Barilla	61.0	1.6 г	2.7 г	6.8 г	Мякоть томатов 72%, томатная паста 14%, лук, масло подсолнечное рафинированное, базилик 2%, сахар, соль, ароматизатор натуральный. 	True	True	Fri Jul  5 23:15:36 2024
Соус Barilla Napoletana томатный с овощами, 400мл	259,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-napoletana-tomatnyj-s-ovosami-400ml-3010197	Wed Jul  3 15:04:38 2024	Соус Barilla Napoletana томатный с овощами, 400мл	Цена259,99 ₽	Barilla	64.0	1.5 г	3.7 г	5.1 г	Томаты измельченные 66%, паста томатная 10%, лук репчатый 7%, вода, морковь 3,5%, масло подсолнечное рафинированное, сахар, соль, чеснок 0,5%, тимьян 0,4%, лук-резанец 0,2%, петрушка 0,2%, ароматизатор натуральный Специи, перец черный 0,01%. 	True	True	Fri Jul  5 23:15:36 2024
Аджика Стоевъ Грузинская перечная, 120мл	57,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/218/p/adzika-stoev-gruzinskaa-perecnaa-120ml-3384959	Wed Jul  3 15:04:38 2024	Аджика Стоевъ Грузинская перечная, 120мл	Цена59,99 ₽	Стоевъ	16.0	1.0 г	0.0 г	3.0 г	Чеснок сушеный, паприка острая дробленая, кориандр молотый, соль поваренная пищевая, базилик сушеный, укроп сушеный, уцхо-сунели молотый, семена шамбалы молотой, регулятор кислотности уксусная кислота, консерванты: сорбат калия, бензоат натрия, не содержит ГМО. 	True	True	Fri Jul  5 23:15:37 2024
Соус Barilla Arrabbiata томатный с перцем чили, 400мл	259,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-arrabbiata-tomatnyj-s-percem-cili-400ml-2168220	Wed Jul  3 15:04:38 2024	Соус Barilla Arrabbiata томатный с перцем чили, 400мл	Цена259,99 ₽	Barilla	58.0	1.4 г	3.1 г	5.2 г	Томаты измельченные 82%, концентрат томатный 7,9%, масло подсолнечное рафинированное, перец красный, чеснок, соль, петрушка, сахар, перец чили 0,1%. 	True	True	Fri Jul  5 23:15:38 2024
Соус томатный Краснодарский, 500мл	104,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-krasnodarskij-500ml-3659898	Wed Jul  3 15:04:38 2024	Соус томатный Краснодарский, 500мл	Цена109,99 ₽	Бастион	54.0	0.8 г	0.0 г	12.7 г	Вода питьевая, томатная паста, яблочная паста, сахар, соль поваренная пищевая, уксус столовый 9%, перец черный, перец душистый, корица, гвоздика, чеснок, мускатный орех, консервант – сорбат калия. 	True	True	Fri Jul  5 23:15:39 2024
Соус Буздякский Краснодарский, 670мл	124,99 ₽/шт	670 гр	https://www.perekrestok.ru/cat/218/p/sous-buzdakskij-krasnodarskij-670ml-3354001	Wed Jul  3 15:04:38 2024	Соус Буздякский Краснодарский, 670мл	Цена159,99 ₽	Буздякский КК	60.6	2.7 г	0.2 г	12.1 г	Вода, паста томатная, загуститель – крахмал картофельный, пюре яблочное, соль, сахар, регулятор кислотности – уксусная кислота, смесь пряностей: чеснок, перец черный, перец душистый, экстракты: чеснок, душистый перец, гвоздика, подсластитель сахарин, консерванты: сорбат калия, бензоат натрия. 	True	True	Fri Jul  5 23:15:40 2024
Соус Кинто Сацебели охотничий, 300мл	159,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/218/p/sous-kinto-sacebeli-ohotnicij-300ml-9238	Wed Jul  3 15:04:38 2024	Соус Кинто Сацебели охотничий, 300мл	Цена159,99 ₽	Кинто	60.0	0.0 г	0.0 г	15.0 г	Вода, томатная паста , сахар,соль, зелень кинзы свежая, чесночная паста (чеснок свежий, соль), зелень укропа свежая , семя кориандра молотое , семя укропа молотое, уксусная кислота, перец красный молотый. 	True	True	Fri Jul  5 23:15:41 2024
Соус томатный Кинто Грузинский шашлычный, 305мл	159,99 ₽/шт	305 мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-kinto-gruzinskij-saslycnyj-305ml-3363586	Wed Jul  3 15:04:38 2024	Соус томатный Кинто Грузинский шашлычный, 305мл	Цена159,99 ₽	Кинто	64.0	none	none	16.0 г	Вода, томатная паста, сахар, соль, чеснок свежий, уцхо-сунели, семя кориандра молотое, перец красный молотый, уксусная кислота. 	True	True	Fri Jul  5 23:15:41 2024
Соус Кухмастер Сацебели, 300мл	102,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/218/p/sous-kuhmaster-sacebeli-300ml-3406437	Wed Jul  3 15:04:38 2024	Соус Кухмастер Сацебели, 300мл	Цена119,99 ₽	Кухмастер	50.0	2.0 г	0.0 г	11.0 г	Томатная паста, вода, сахар, соль, специи, зелень (кинза, укроп), регулятор кислотности - уксусная кислота. 	True	True	Fri Jul  5 23:15:42 2024
Соус томатный Славянский Дар По-грузински, 360мл	129,99 ₽/шт	350 мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-slavanskij-dar-po-gruzinski-360ml-3901092	Wed Jul  3 15:04:38 2024	Соус томатный Славянский Дар По-грузински, 360мл	Цена109,99 ₽	Славянский дар	65.0	1.5 г	0.3 г	14.0 г	Дольки томатов, вода, паста томатная концентрированная, сахар, соль, перец сладкий, пюре острого перца (острый перец, соль, стабилизатор – ксантановая камедь, регулятор кислотности – лимонная кислота, консервант – сорбиновая кислота, экстракт паприки), чеснок, винный уксус, кинза, сок гранатовый (сок гранатовый, сахар), смесь пряностей (кориандр, пажитник, куркума, пряные травы, перец красный, лавровый лист), регулятор кислотности (уксусная кислота), кориандр, консервант (сорбат калия), перец черный, загуститель (камедь ксантановая). 	True	True	Fri Jul  5 23:15:43 2024
