name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Печень говяжья Перекрёсток дефростированная	369,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/pecen-govaza-perekrestok-defrostirovannaa-2159	Wed Jul  3 15:04:06 2024	Печень говяжья Перекрёсток дефростированная	Цена359,99 ₽	Собственное производство Перекрёсток	105.0	17.9 г	3.7 г	0.0 г	Печень говяжья. 	True	True	Fri Jul  5 22:59:04 2024
Печень цыпленка-бройлера Север охлаждённая, 650г	169,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/141/p/pecen-cyplenka-brojlera-sever-ohlazdennaa-650g-3908228	Wed Jul  3 15:04:06 2024	Печень цыпленка-бройлера Север охлаждённая, 650г	Цена169,99 ₽	Северная	160.0	18.0 г	10.0 г	0.0 г	Печень цыпленка-бройлера 	True	True	Fri Jul  5 22:59:05 2024
Шея Индилайт охлаждённая	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/sea-indilajt-ohlazdennaa-4095778	Wed Jul  3 15:04:06 2024	Шея Индилайт охлаждённая	Цена229,99 ₽	Индилайт	173.0	14.0 г	13.0 г	0.0 г	Шея индейки. 	True	True	Fri Jul  5 22:59:06 2024
Шеи цыплят-бройлеров Троекурово охлаждённые, 500г	83,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/sei-cyplat-brojlerov-troekurovo-ohlazdennye-500g-3692843	Wed Jul  3 15:04:06 2024	Шеи цыплят-бройлеров Троекурово охлаждённые, 500г	Цена83,99 ₽	Троекурово	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 22:59:07 2024
Печень цыплят-бройлеров Благояр охлаждённая, 490г	139,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/pecen-cyplat-brojlerov-blagoar-ohlazdennaa-490g-4021228	Wed Jul  3 15:18:51 2024	Печень цыплят-бройлеров Благояр охлаждённая, 490г	Цена139,99 ₽	Благояр	162.0	18.0 г	10.0 г	0.0 г	Печень ЦБ. 	True	True	Fri Jul  5 22:59:08 2024
Сердце индейки охлаждённое Зелёная Линия, 500г	259,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/serdce-indejki-ohlazdennoe-zelenaa-linia-500g-4326979	Wed Jul  3 15:18:51 2024	Сердце индейки охлаждённое Зелёная Линия, 500г	Цена299,99 ₽	Зелёная Линия	150.0	15.0 г	10.0 г	0.0 г	Сердце индейки. 	True	True	Fri Jul  5 22:59:09 2024
Сердце цыплёнка-бройлера Благояр охлаждённое, 490г	239,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/serdce-cyplenka-brojlera-blagoar-ohlazdennoe-490g-4021225	Wed Jul  3 15:18:51 2024	Сердце цыплёнка-бройлера Благояр охлаждённое, 490г	Цена239,99 ₽	Благояр	150.0	15.0 г	10.0 г	0.0 г	Сердце ЦБ. 	True	True	Fri Jul  5 22:59:10 2024
Желудки утёнка Озёрка мышечные охлаждённые, 500г	139,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/zeludki-utenka-ozerka-mysecnye-ohlazdennye-500g-4116901	Wed Jul  3 15:18:51 2024	Желудки утёнка Озёрка мышечные охлаждённые, 500г	Цена169,99 ₽	Озёрка	143.0	20.0 г	7.0 г	0.0 г	Мышечные желудки утенка. 	True	True	Fri Jul  5 22:59:10 2024
Шеи цыплёнка-бройлера Благояр охлаждённые, 490г	59,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/sei-cyplenka-brojlera-blagoar-ohlazdennye-490g-4021229	Wed Jul  3 15:18:51 2024	Шеи цыплёнка-бройлера Благояр охлаждённые, 490г	Цена77,99 ₽	Благояр	173.0	13.0 г	14.0 г	0.0 г	Шеи ЦБ. 	True	True	Fri Jul  5 22:59:11 2024
Язык говяжий Перекрёсток дефростированный	919,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/azyk-govazij-perekrestok-defrostirovannyj-2155	Wed Jul  3 15:18:51 2024	Язык говяжий Перекрёсток дефростированный	Цена899,99 ₽	Собственное производство Перекрёсток	173.0	16.0 г	12.1 г	0.0 г	Язык говяжий. 	True	True	Fri Jul  5 22:59:12 2024
