name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сухари Поляница с изюмом Зелёная Линия, 250г	67,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/716/p/suhari-polanica-s-izumom-zelenaa-linia-250g-4060975	Wed Jul  3 15:03:10 2024	Сухари Поляница с изюмом Зелёная Линия, 250г	Цена79,99 ₽	Зелёная Линия	392.0	8.4 г	5.6 г	76.9 г	Мука пшеничная хлебопекарная высшего сорта, мука пшеничная хлебопекарная 1 сорта, вода питьевая, сахар, изюм, масло подсолнечное рафинированное дезодорированное, дрожжи хлебопекарные прессованные, соль. 	True	True	Fri Jul  5 21:59:52 2024
Сухари Ого Сахарные с изюмом, 300г	99,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/716/p/suhari-ogo-saharnye-s-izumom-300g-3017521	Wed Jul  3 15:03:10 2024	Сухари Ого Сахарные с изюмом, 300г	Цена109,99 ₽	Ого	380.0	12.0 г	10.0 г	70.0 г	Мука пшеничная хлебопекарная высший сорт, вода питьевая, сахар, маргарин (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде, в том числе соевое, вода, эмульгаторы полиглицерина и жирных кислот, моно- и диглицериды жирных кислот, соль, сахар, консервант сорбат калия, регулятор кислотности лимонная кислота, ароматизатор, краситель бета каротин, антиокислители аскорбиновая кислота, альфа-токоферол), регулятор кислотности (лимонная кислота), ароматизатор (бета каротин)), меланж яичный, виноград сушеный (изюм), дрожжи хлебопекарные, соль пищевая. Возможны незначительные следы, семян кунжута, мака, ядра арахиса, горчичного масла. 	True	True	Fri Jul  5 21:59:54 2024
Сухари Поляница с маком Зелёная Линия, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/716/p/suhari-polanica-s-makom-zelenaa-linia-250g-4060977	Wed Jul  3 15:03:10 2024	Сухари Поляница с маком Зелёная Линия, 250г	Цена85,99 ₽	Зелёная Линия	388.0	9.2 г	8.3 г	69.0 г	Мука пшеничная хлебопекарная высшего сорта, мука пшеничная хлебопекарная 1 сорта, вода питьевая, сахар, мак, масло подсолнечное рафинированное дезодорированное, дрожжи хлебопекарные прессованные, соль. 	True	True	Fri Jul  5 21:59:55 2024
Сухари Кантуччи с арахисом Зелёная Линия, 200г	114,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/716/p/suhari-kantucci-s-arahisom-zelenaa-linia-200g-4074393	Wed Jul  3 15:03:10 2024	Сухари Кантуччи с арахисом Зелёная Линия, 200г	Цена89,99 ₽	Зелёная Линия	430.0	12.0 г	15.0 г	61.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар, продукты яичные, арахис, масло подсолнечное рафинированное дезодорированное, молоко сухое обезжиренное, разрыхлитель: гидрокарбонат натрия, соль. 	True	True	Fri Jul  5 21:59:56 2024
Сухари Поляница с арахисом Зелёная Линия, 250г	77,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/716/p/suhari-polanica-s-arahisom-zelenaa-linia-250g-4060978	Wed Jul  3 15:03:10 2024	Сухари Поляница с арахисом Зелёная Линия, 250г	Цена77,99 ₽	Зелёная Линия	385.5	9.8 г	7.5 г	69.7 г	Мука пшеничная хлебопекарная высшего сорта, мука пшеничная хлебопекарная 1 сорта, вода питьевая, сахар, арахис, масло подсолнечное рафинированное дезодорированное, дрожжи хлебопекарные прессованные, соль. 	True	True	Fri Jul  5 21:59:57 2024
Сухари Московские Зелёная Линия, 300г	109,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/716/p/suhari-moskovskie-zelenaa-linia-300g-4060976	Wed Jul  3 15:03:10 2024	Сухари Московские Зелёная Линия, 300г	Цена99,99 ₽	Зелёная Линия	375.0	9.1 г	4.6 г	74.4 г	Мука пшеничная хлебопекарная 1 сорта, сахар, вода питьевая, масло подсолнечное рафинированное дезодорированное, дрожжи хлебопекарные прессованные, соль. 	True	True	Fri Jul  5 21:59:59 2024
Сухари Кантуччи с клюквой Зелёная Линия, 200г	164,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/716/p/suhari-kantucci-s-klukvoj-zelenaa-linia-200g-4074395	Wed Jul  3 15:03:10 2024	Сухари Кантуччи с клюквой Зелёная Линия, 200г	Цена149,99 ₽	Зелёная Линия	410.0	9.0 г	10.0 г	70.0 г	Мука пшеничная хлебопекарная высшего сорта, сахар, продукты яичные, клюква сушеная, масло подсолнечное рафинированное дезодорированное, молоко сухое обезжиренное, разрыхлитель: гидрокарбонат натрия, соль. 	True	True	Fri Jul  5 21:59:59 2024
Сухари Сахарoff Нижегородские на фруктозе, 200г	154,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/716/p/suhari-saharoff-nizegorodskie-na-fruktoze-200g-4277774	Sun Jul  7 13:44:25 2024	Сухари Сахарoff Нижегородские на фруктозе, 200г	Цена124,99 ₽	СахарOff	349.0	9.6 г	2.5 г	71.0 г	Мука высший сорт, маргарин (масла растительные, вода, эмульгаторы: глицерина и лимонной кислоты, краситель – каротин), фруктоза, регулятор кислотности: кислота лимонная, яйцо, дрожжи, соль, вода. 	True	True	Sun Jul  7 18:07:53 2024
Сухари Семейка Озби Осенние классические в сахаре, 300г	93,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/716/p/suhari-semejka-ozbi-osennie-klassiceskie-v-sahare-300g-4237460	Sun Jul  7 16:58:28 2024	Сухари Семейка Озби Осенние классические в сахаре, 300г	Цена109,99 ₽	Семейка Озби	408.0	7.5 г	7.7 г	77.6 г	Мука пшеничная хлебопекарная высшего сорта, сахар, масло растительное, вода, дрожжи хлебопекарные пресованные, соль. Продукт может содержать следы молочное белка, орехов, яиц, сои, кунжута, горчицы. 	True	True	Sun Jul  7 18:07:54 2024
Сухари Семейка Озби сдобные с изюмом и сахаром, 300г	93,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/716/p/suhari-semejka-ozbi-sdobnye-s-izumom-i-saharom-300g-3289515	Sun Jul  7 16:58:28 2024	Сухари Семейка Озби сдобные с изюмом и сахаром, 300г	Цена109,99 ₽	Семейка Озби	399.0	8.0 г	9.4 г	70.6 г	Мука пшеничная хлебопекарная в/с, вода питьевая, сахар-песок, виноград сушеный, масло пальмовое, дрожжи хлебопекарные прессованные, яичный порошок, соль поваренная пищевая. 	True	True	Sun Jul  7 18:07:55 2024
