name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сухарики-гренки Воронцовские ржаные со вкусом чеснока, 60г	43,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-voroncovskie-rzanye-so-vkusom-cesnoka-60g-3427610	Wed Jul  3 15:03:06 2024	Сухарики-гренки Воронцовские ржаные со вкусом чеснока, 60г	Цена34,99 ₽	Воронцовские	482.0	7.2 г	31.6 г	38.9 г	Хлеб из смеси хлебопекарной муки: ржаной обдирной и пшеничной первого сорта, масло растительное (подсолнечное), комплексная пищевая добавка «чеснок» (соль, мальто-декстрин, сахарная пудра, декстроза, усилитель вкуса и аромата глутамат натрия, натуральный ароматизатор «чеснок», натуральный чеснок сушеный молотый, овощи и зелень сушеные молотые, специи (перец черный и душистый, укроп, кориандр), антислеживающий агент: диоксид кремния аморфный, регулятор кислотности: лимонная кислота). возможно наличие следов белка молока, горчицы, ракообразных и рыбы. 	True	True	Fri Jul  5 21:57:56 2024
Гренки Воронцовские Бородинские с чесноком, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/grenki-voroncovskie-borodinskie-s-cesnokom-100g-4328538	Wed Jul  3 15:03:06 2024	Гренки Воронцовские Бородинские с чесноком, 100г	Цена77,99 ₽	Воронцовские	480.0	7.0 г	32.0 г	41.0 г	Хлеб бородинский из смеси ржаной и пшеничной муки (мука ржаная обдирная, мука пшеничная хлебопекарная первого сорта, сахар, солод ржаной ферментированный, патока, соль, кориандр молотый, дрожжи хлебопекарные), масло растительное (подсолнечное), чеснок сушеный, соль. Возможно наличие следов белка молока, горчицы, кунжута, ракообразных и рыбы. 	True	True	Fri Jul  5 21:57:58 2024
Палочки с чесноком, 100г	84,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/palocki-s-cesnokom-100g-3651147	Wed Jul  3 15:03:06 2024	Палочки с чесноком, 100г	Цена104,99 ₽	Деревенские гренки	395.0	9.0 г	22.0 г	44.0 г	Хлеб ржаной (мука ржаная хлебопекарная, мука пшеничная хлебопекарная, дрожжи хлебопекарные, соль, вода), соль, чеснок сухой, чеснок свежий, масло растительное, рафинированное, дезодорированное. 	True	True	Fri Jul  5 21:57:59 2024
Сухарики-гренки Три Семёрки со вкусом чеснока, 150г	73,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-tri-semerki-so-vkusom-cesnoka-150g-3611032	Wed Jul  3 15:03:06 2024	Сухарики-гренки Три Семёрки со вкусом чеснока, 150г	Цена87,99 ₽	Три Семёрки	341.0	11.0 г	10.0 г	72.0 г	. 	True	True	Fri Jul  5 21:58:00 2024
Гренки Гренковъ ржано-пшеничные с чесноком, 100г	89,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/grenki-grenkov-rzano-psenicnye-s-cesnokom-100g-4350166	Wed Jul  3 15:03:06 2024	Гренки Гренковъ ржано-пшеничные с чесноком, 100г	Цена89,99 ₽	Гренковъ	490.0	6.5 г	33.0 г	41.0 г	none	True	True	Fri Jul  5 21:58:00 2024
Сухарики Три корочки ржаные со вкусом холодец с хреном, 100г	55,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-100g-2063961	Wed Jul  3 15:03:06 2024	Сухарики Три корочки ржаные со вкусом холодец с хреном, 100г	Цена39,99 ₽	Три корочки	410.0	11.0 г	8.5 г	73.0 г	Хлеб из смеси ржаной и пшеничной муки (мука ржаная обдирная, мука пшеничная 2 сорт, вода, соль, дрожжи), масло растительное, ароматизатор «холодец с хреном» (соль, глюкоза, мальтодекстрин, усилители вкуса и аромата (е621, е627, е631), горчичный порошок, натуральные вкусоароматические вещества, дрожжевой экстракт, регуляторы кислотности (кислота лимонная, диацетат натрия, е260, янтарная кислота), жир растительный, антислеживающий агент е551). 	True	True	Fri Jul  5 21:58:01 2024
Сухарики Три корочки ржаные со вкусом холодец с хреном, 60г + горчичный соус, 25мл	39,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-60g-gorcicnyj-sous-25ml-3911761	Wed Jul  3 15:03:06 2024	Сухарики Три корочки ржаные со вкусом холодец с хреном, 60г + горчичный соус, 25мл	Цена45,99 ₽	Три корочки	410.0	11.0 г	8.5 г	73.0 г	Хлеб из смеси ржаной и пшеничной муки (мука ржаная обдирная, мука пшеничная 2 сорт, вода, соль, дрожжи), масло растительное, ароматизатор «холодец с хреном» (соль, глюкоза, мальтодекстрин, усилители вкуса и аромата (е621, е627, е631), горчичный порошок, натуральные вкусоароматические вещества, вкусоароматические вещества, дрожжевой экстракт, регуляторы кислотности (кислота лимонная, диацетат натрия, е260, янтарная кислота), жир растительный, антислеживающий агент е551). 	True	True	Fri Jul  5 21:58:02 2024
Сухарики Хрустеам Багет воздушные со вкусом Индейка с горчичным соусом, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-vozdusnye-so-vkusom-indejka-s-gorcicnym-sousom-100g-4281419	Wed Jul  3 15:03:06 2024	Сухарики Хрустеам Багет воздушные со вкусом Индейка с горчичным соусом, 100г	Цена74,99 ₽	Хрусteam	440.0	10.0 г	15.0 г	66.0 г	Мука пшеничная, крупа манная, масло рапсовое, ароматизатор [соль, усилители вкуса и аромата (глутамат натрия 1-замещенный, 5’-гуанилат натрия 2-замещенный, 5’-инозинат натрия 2-замещенный), сахароза, вкусоароматические вещества (содержат порошки перца душистого, чеснока, мускатного ореха, лука), ароматизатор термический технологический, порошок горчицы, краситель (экстракт паприки)], сахар, агент антислеживающий (карбонат кальция), карамелизованный сахар, экстракт моркови (c)* или без использования экстракта моркови (w)*. 	True	True	Fri Jul  5 21:58:03 2024
Сухарики Эу, Пацан! ржаные со вкусом говядины с луком хрустящие, 30г	34,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/711/p/suhariki-eu-pacan-rzanye-so-vkusom-govadiny-s-lukom-hrustasie-30g-4331708	Wed Jul  3 15:03:06 2024	Сухарики Эу, Пацан! ржаные со вкусом говядины с луком хрустящие, 30г	Цена34,99 ₽	ЭУ,ПАЦАН	417.0	7.7 г	17.4 г	57.4 г	"Мука ржаная обдирная, крупа кукурузная, масло подсолнечное рафинированное дезодорированное, мука пшеничная хлебопекарная, комплексная пищевая добавка ""Говядина с луком""[мука пшеничная, соль, сахар, усилители вкуса и аромата(глутамат натрия 1-замещенный,5'-гуанилат натрия,5'-инозинат натрия),лук порошок, дрожжевой экстракт, 
 чеснок порошок, жир растительный, натуральные вкусоароматические вещества, вкусоароматические вещества, регулятор кислотности-лимонная кислота, краситель-сахарный колер |||,полученный по ""аммиачной"" технологии, антикомкователь - диоксид кремния аморфный],солод ржаной ферментированный сухой, соль, вода питьевая. "	True	True	Fri Jul  5 21:58:04 2024
Сухарики Lava Lava ржаные со вкусом шаурмы, 30г	47,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/711/p/suhariki-lava-lava-rzanye-so-vkusom-saurmy-30g-4302331	Wed Jul  3 15:03:06 2024	Сухарики Lava Lava ржаные со вкусом шаурмы, 30г	Цена34,99 ₽	none	407.5	8.3 г	15.4 г	58.8 г	Мука ржаная обдирная, крупа кукурузная, масло подсолнечное рафинированное дезодорированное, мука пшеничная хлебопекарная, комплексная пищевая добавка «шаурма»       [ мука пшеничная, соль, сахароза, сыворотка молочная сухая, усилители вкуса и аромата (глутамат натрия, гуанилат натрия двузамещенный, инозинат натрия двузамещенный), регуляторы кислотности  ( диацетат натрия, лимонная кислота), антислеживающий агент е551, краситель – экстракт паприки е 160с, антиоксидант ( альфа- токоферол), эмульгатор-  стеарат кальция], солод ржаной ферментированный сухой, соль, вода питьевая. 	True	True	Fri Jul  5 21:58:05 2024
