name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кумкват цукаты Пр!ст, 100г	99,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/kumkvat-cukaty-pr-st-100g-3676270	Wed Jul  3 15:05:12 2024	Кумкват цукаты Пр!ст, 100г	Цена99,99 ₽	Пр!ст	360.0	5.0 г	0.5 г	85.0 г	Цукаты кумквата (плоды кумквата сушеные, сахар тростниковый, регулятор кислотности лимонная кислота, консервант е220). 	True	True	Fri Jul  5 23:44:05 2024
Помело Albero Verde, 150г	229,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/pomelo-albero-verde-150g-4053141	Wed Jul  3 15:05:12 2024	Помело Albero Verde, 150г	Цена229,99 ₽	Albero Verde	337.0	1.5 г	0.8 г	84.0 г	Помело сушеное, сахар, регулятор кислотности - лимонная кислота. 	True	True	Fri Jul  5 23:44:06 2024
Изюм Голден Маркет, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/160/p/izum-golden-market-250g-4316951	Wed Jul  3 15:05:12 2024	Изюм Голден Маркет, 250г	Цена119,99 ₽	Маркет	277.0	1.8 г	0.6 г	66.0 г	Изюм голден, консервант диоксид серы. 	True	True	Fri Jul  5 23:44:07 2024
Виноград сушёный Пр!ст, 100г	27,30 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-pr-st-100g-3959493	Wed Jul  3 15:05:12 2024	Виноград сушёный Пр!ст, 100г	Цена37,99 ₽	Пр!ст	280.0	3.0 г	0.5 г	66.0 г	Виноград сушеный, консервант е202. 	True	True	Fri Jul  5 23:44:08 2024
Смесь винограда сушёная Маркет Перекрёсток, 180г	229,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/160/p/smes-vinograda-susenaa-market-perekrestok-180g-3651928	Wed Jul  3 15:05:12 2024	Смесь винограда сушёная Маркет Перекрёсток, 180г	Цена229,99 ₽	Маркет	270.0	2.5 г	0.5 г	64.0 г	Виноград сушеный без косточек (изюм темный и изюм золотой), консервант е220. 	True	True	Fri Jul  5 23:44:09 2024
Виноград сушёный Маркет Перекрёсток, 200г	164,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-market-perekrestok-200g-3469368	Wed Jul  3 15:05:12 2024	Виноград сушёный Маркет Перекрёсток, 200г	Цена164,99 ₽	Маркет	270.0	2.5 г	0.5 г	64.0 г	Виноград сушеный без косточек (изюм), консервант е220. 	True	True	Fri Jul  5 23:44:10 2024
Финики Меджул Маркет Collection, 200г	389,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/finiki-medzul-market-collection-200g-4286638	Wed Jul  3 15:05:12 2024	Финики Меджул Маркет Collection, 200г	Цена389,99 ₽	Market Collection	298.0	3.0 г	0.4 г	70.5 г	Финики. 	True	True	Fri Jul  5 23:44:11 2024
Ягоды годжи сушеные Зелёная Линия, 100г	209,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/agody-godzi-susenye-zelenaa-linia-100g-4271621	Wed Jul  3 15:05:12 2024	Ягоды годжи сушеные Зелёная Линия, 100г	Цена209,99 ₽	Зелёная Линия	282.0	11.1 г	2.6 г	53.4 г	Ягоды годжи сушеные. 	True	True	Fri Jul  5 23:44:12 2024
Чернослив без косточки Пр!ст, 500г	399,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-pr-st-500g-4314010	Wed Jul  3 15:05:12 2024	Чернослив без косточки Пр!ст, 500г	Цена399,99 ₽	Пр!ст	250.0	2.5 г	0.5 г	58.0 г	Слива сушеная без косточки, масло растительное, консервант – е 202. 	True	True	Fri Jul  5 23:44:13 2024
Абрикос сушёный без косточки Пр!ст, 500г	299,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocki-pr-st-500g-4314011	Wed Jul  3 15:05:12 2024	Абрикос сушёный без косточки Пр!ст, 500г	Цена299,99 ₽	Пр!ст	230.0	5.0 г	0.5 г	51.0 г	Абрикос сушеный без косточки, консервант – Е 220. 	True	True	Fri Jul  5 23:44:14 2024
