name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Томатная паста 25% Пр!ст, 70г	33,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-25-pr-st-70g-3690262	Wed Jul  3 15:04:42 2024	Томатная паста 25% Пр!ст, 70г	Цена35,99 ₽	Пр!ст	65.0	0.0 г	0.0 г	16.0 г	Томатная паста, вода питьевая, сахар, загуститель: целлюлоза, гуаровая камедь, ксантановая камедь, соль, краситель – кармины, консервант – бензоат натрия. 	True	True	Fri Jul  5 23:20:23 2024
Томатная паста Маркет Перекрёсток, 140г	129,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-140g-3504319	Wed Jul  3 15:04:42 2024	Томатная паста Маркет Перекрёсток, 140г	Цена109,99 ₽	Маркет	85.0	4.2 г	0.2 г	17.0 г	Томатная паста, соль. 	True	True	Fri Jul  5 23:20:24 2024
Томатная паста Маркет Перекрёсток, 70г	59,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-70g-3504318	Wed Jul  3 15:04:42 2024	Томатная паста Маркет Перекрёсток, 70г	Цена79,99 ₽	Маркет	85.0	4.2 г	0.2 г	17.0 г	Томатная паста, соль. 	True	True	Fri Jul  5 23:20:25 2024
Томатная паста Кухмастер, 270г	109,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-kuhmaster-270g-3436165	Wed Jul  3 15:04:42 2024	Томатная паста Кухмастер, 270г	Цена119,99 ₽	Кухмастер	65.0	0.0 г	0.0 г	16.0 г	Томатная паста. 	True	True	Fri Jul  5 23:20:26 2024
Томатная паста Помидорка, 140г	144,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-140g-4609	Wed Jul  3 15:04:42 2024	Томатная паста Помидорка, 140г	Цена149,99 ₽	Помидорка	63.2	0.0 г	0.0 г	15.8 г	Томатная паста. 	True	True	Fri Jul  5 23:20:27 2024
Томатная паста Пр!ст, 500г	87,90 ₽/шт	500 мл	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pr-st-500g-4168608	Wed Jul  3 15:04:42 2024	Томатная паста Пр!ст, 500г	Цена95,80 ₽	Пр!ст	63.0	4.7 г	0.0 г	11.0 г	Томатная концентрированная паста 36-38%, вода, сахар, соль, крахмал кукурузный, консервант – сорбат калия. Возможно наличие следов горчицы. 	True	True	Fri Jul  5 23:20:28 2024
Томатная паста Green Ray, 205г	99,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-green-ray-205g-3696421	Wed Jul  3 15:04:42 2024	Томатная паста Green Ray, 205г	Цена109,99 ₽	Green Ray	110.0	4.0 г	3.5 г	15.0 г	Томаты, соль. 	True	True	Fri Jul  5 23:20:29 2024
Томатная паста Помидорка, 380г	239,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-380g-58068	Wed Jul  3 15:04:42 2024	Томатная паста Помидорка, 380г	Цена249,99 ₽	Помидорка	63.2	0.0 г	0.0 г	15.8 г	Томатная паста. 	True	True	Fri Jul  5 23:20:29 2024
Томатная паста Помидорка пастеризованная, 70г	91,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-pasterizovannaa-70g-2073203	Sat Jul  6 19:32:19 2024	Томатная паста Помидорка пастеризованная, 70г	Цена89,99 ₽	Помидорка	63.2	3.5 г	0.6 г	15.8 г	Томаты. 	True	True	Sat Jul  6 20:04:09 2024
Паста томатная Кубаночка, 200г	99,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/220/p/pasta-tomatnaa-kubanocka-200g-4059986	Sat Jul  6 19:32:19 2024	Паста томатная Кубаночка, 200г	Цена99,99 ₽	Кубаночка	63.2	0.0 г	0.0 г	15.8 г	Томатная паста. 	True	True	Sat Jul  6 20:04:10 2024
