name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Вафли Коломенское Сливочные Традиционные, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/702/p/vafli-kolomenskoe-slivocnye-tradicionnye-200g-4183329	Wed Jul  3 15:03:15 2024	Вафли Коломенское Сливочные Традиционные, 200г	Цена69,99 ₽	Коломенское	500.0	6.0 г	24.0 г	65.0 г	Мука пшеничная общего назначения М55-23, сахар белый, жир кондитерский (рафинированное дезодорированное растительное масло в натуральном и модифицированном виде (пальмовое), эмульгатор соевый лецитин, антиокислитель концентрат смеси токоферолов), сыворотка молочная сухая, крахмал кукурузный, молоко сухое обезжиренное, эмульгатор соевый лецитин, соль, разрыхлитель - гидрокарбонат натрия (сода пищевая), ароматизаторы, сливки сухие. Продукт может содержать следы арахиса, миндаля, фундука. 	True	True	Fri Jul  5 22:06:57 2024
Вафли Лимонные неглазированные Зелёная Линия, 150г	71,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/702/p/vafli-limonnye-neglazirovannye-zelenaa-linia-150g-4323197	Wed Jul  3 15:03:15 2024	Вафли Лимонные неглазированные Зелёная Линия, 150г	Цена61,99 ₽	Зелёная Линия	549.0	6.0 г	34.8 г	52.8 г	Мука пшеничная хлебопекарная высшего сорта, масло кокосовое рафинированное дезодорированное, пудра сахарная, молоко сухое цельное, вода питьевая, цукаты лимонные (лимонная кожура, глюкозно-фруктозный сироп, сахар, регулятор кислотности - лимонная кислота), масло подсолнечное рафинированное дезодорированное, продукты яичные сухие, куркума молотая, эмульгатор – лецитин соевый, регулятор кислотности - кислота лимонная, соль пищевая, разрыхлитель - гидрокарбонат натрия (сода пищевая), эфирное масло лимона. 	True	True	Fri Jul  5 22:06:58 2024
Вафли Сливочные Традиционные Пр!ст, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/702/p/vafli-slivocnye-tradicionnye-pr-st-200g-4323150	Wed Jul  3 15:03:15 2024	Вафли Сливочные Традиционные Пр!ст, 200г	Цена47,99 ₽	Пр!ст	490.0	6.5 г	22.0 г	67.0 г	Мука пшеничная общего назначения М55-23, сахар белый, жир кондитерский (рафинированное дезодорированное пальмовое масло в натуральном и модифицированном виде, эмульгатор соевый лецитин, антиокислители: аскорбиновая кислота, альфа-токоферол), сыворотка молочная сухая, молоко сухое обезжиренное, эмульгатор соевый лецитин, соль, разрыхлитель - гидрокарбонат натрия (сода пищевая), ароматизаторы, сливки сухие. 	True	True	Fri Jul  5 22:06:59 2024
Десерт Акконд Тортимилка, 250г	160,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/702/p/desert-akkond-tortimilka-250g-3356777	Wed Jul  3 15:03:15 2024	Десерт Акконд Тортимилка, 250г	Цена178,99 ₽	Акконд	407.0	3.5 г	17.0 г	60.0 г	Патока, мука пшеничная, сахар, сливочное масло (пастеризованные сливки), сгущённое с сахаром молоко (молоко цельное, молоко обезжиренное, сахара - сахароза, лактоза), рафинированные дезодорированные растительные масла (на основе пальмового и его фракций, подсолнечного, пальмоядрового, антиокислитель – Е306), яйцо куриное, белок яичный, желирующий агент - агар, масло соевое рафинированное дезодорированное, эмульгатор - соевый лецитин, разрыхлитель – гидрокарбонат натрия, соль, консервант - кислота сорбиновая, ароматизатор. 	True	True	Fri Jul  5 22:07:00 2024
Вафли Топленое Молоко Пр!ст, 200г	73,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/702/p/vafli-toplenoe-moloko-pr-st-200g-4323149	Wed Jul  3 15:03:15 2024	Вафли Топленое Молоко Пр!ст, 200г	Цена69,99 ₽	Пр!ст	490.0	7.0 г	21.0 г	67.0 г	Мука пшеничная общего назначения М55-23, сахар белый, жир кондитерский (рафинированное дезодорированное пальмовое масло в натуральном и модифицированном виде, эмульгатор соевый лецитин, антиокислители: аскорбиновая кислота, альфа-токоферол), сыворотка молочная сухая, молоко сухое обезжиренное, эмульгатор - соевый лецитин, какао-порошок, соль, молоко сухое цельное, разрыхлитель - гидрокарбонат натрия (сода пищевая), ароматизатор. 	True	True	Fri Jul  5 22:07:01 2024
Вафли Dr Gerard Master Piece в шоколаде, 28.5г	44,99 ₽/шт	29 гр	https://www.perekrestok.ru/cat/702/p/vafli-dr-gerard-master-piece-v-sokolade-28-5g-4090303	Wed Jul  3 15:03:15 2024	Вафли Dr Gerard Master Piece в шоколаде, 28.5г	Цена63,99 ₽	Dr Gerard	521.0	6.1 г	31.0 г	54.0 г	Молочный шоколад (сахар, какао-масло, сухое цельное молоко, какао-масса, сыворотка молочная сухая, молочный жир, эмульгаторы: соевый лецитин, Е476; ароматизатор), растительные жиры (пальмовое масло, масло ши) в различных пропорциях, пшеничная мука, сахар, сыворотка молочная сухая, обезжиренное какао, эмульгатор: Е322; рапсовое масло, сухой яичный желток разрыхлители: Е500, Е504; соль, ароматизатор, продукт может содержать арахис, орехи и кунжут. 	True	True	Fri Jul  5 22:07:02 2024
Вафельный батончик Kinder Bueno, 43г	97,99 ₽/шт	43 гр	https://www.perekrestok.ru/cat/702/p/vafelnyj-batoncik-kinder-bueno-43g-58314	Wed Jul  3 15:03:15 2024	Вафельный батончик Kinder Bueno, 43г	Цена109,99 ₽	Kinder	572.0	8.6 г	37.3 г	49.5 г	Молочный шоколад (сахар, масло какао, тертое какао, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины, ароматизатор), сахар, растительный жир, пшеничная мука, лесные орехи, сухое обезжиренное молоко, сухое цельное молоко, шоколад (сахар, тертое какао, масло какао, эмульгатор: лецитины, ароматизатор), обезжиренный какао-порошок, эмульгатор: лецитины, разрыхлители: гидрокарбонат натрия и карбонат аммония, соль, ароматизатор. Содержит орехи, молоко, злаки, содержащие глютен, сою и продукты их переработки. Полное содержание молочных ингредиентов - 19,5%. 	True	True	Fri Jul  5 22:07:03 2024
Вафли Яшкино Шоколадные, 300г	119,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/702/p/vafli-askino-sokoladnye-300g-2126687	Wed Jul  3 15:03:15 2024	Вафли Яшкино Шоколадные, 300г	Цена129,99 ₽	Яшкино	540.0	6.0 г	29.0 г	63.0 г	Мука пшеничная общего назначения, сахар, жир кондитерский (рафинированные дезодорированные растительные масла: пальмовое, подсолнечное: антиокислители: Е319, лимонная кислота), какао-порошок, крахмал кукурузный, эмульгатор: лецитин соевый, продукты яичные сухие: меланж, какао-масло, соль, разрыхлители: карбонаты натрия, карбонаты аммония, ароматизатор: шоколад молочный, вода. 	True	True	Fri Jul  5 22:07:04 2024
Вафли Коровка с шоколадной начинкой, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/702/p/vafli-korovka-s-sokoladnoj-nacinkoj-150g-3673372	Wed Jul  3 15:03:15 2024	Вафли Коровка с шоколадной начинкой, 150г	Цена95,99 ₽	Коровка	530.0	7.0 г	30.0 г	58.0 г	Вода питьевая, мука пшеничная хлебопекарная, сахар, молоко кокосовое (негидрогенизированное рафинированное дезодорированное), сухое цельное молоко, какао тертое, заменитель масла какао (частично гидрогенизированная фракция пальмового масла, эмульгаторы: E492, лецитин соевый; антиокислители: токоферолы, концентрат смеси, лимонная кислота), масло подсолнечное рафинированное дезодорированное, меланж сухой яичный, эмульгатор лецитин соевый, соль, ароматизатор «Молоко», «Шоколад молочный»; разрыхлитель – гидрокарбонат натрия, регулятор кислотности - лимонная кислота. 	True	True	Fri Jul  5 22:07:05 2024
Вафли Коломенское Каприччио, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/702/p/vafli-kolomenskoe-kapriccio-200g-4183330	Wed Jul  3 15:03:15 2024	Вафли Коломенское Каприччио, 200г	Цена69,99 ₽	Коломенское	490.0	5.5 г	23.0 г	65.0 г	Мука пшеничная общего назначения М55-23, сахар белый, жир кондитерский (рафинированное дезодорированное растительное масло в натуральном и модифицированном виде (пальмовое), эмульгатор соевый лецитин, антиокислитель концентрат смеси токоферолов), какао-порошок, крахмал кукурузный, эмульгатор соевый лецитин, соль, шоколад темный (сахар белый, какао тертое, масло какао, эмульгатор соевый лецитин, эмульгатор Е476, ароматизатор «Ванилин»), разрыхлитель - гидрокарбонат натрия (сода пищевая), ароматизатор. Продукт может содержать следы арахиса, миндаля, фундука, молочных продуктов. 	True	True	Fri Jul  5 22:07:06 2024
