name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Набор Рыбка Моей Мечты пивной вяленый, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/794/p/nabor-rybka-moej-mecty-pivnoj-valenyj-200g-4295355	Wed Jul  3 15:04:21 2024	Набор Рыбка Моей Мечты пивной вяленый, 200г	Цена164,99 ₽	РЫБКА МОЕЙ МЕЧТЫ	221.0	42.0 г	6.0 г	0.0 г	густера (Blicca bjoerkna), лещ (Abramis brama), соль. 	True	True	Fri Jul  5 23:09:00 2024
Плотва Рыбка Моей Мечты вяленая, 150г	99,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/794/p/plotva-rybka-moej-mecty-valenaa-150g-4296366	Wed Jul  3 15:04:21 2024	Плотва Рыбка Моей Мечты вяленая, 150г	Цена99,99 ₽	РЫБКА МОЕЙ МЕЧТЫ	214.0	13.0 г	18.0 г	0.0 г	плотва (Rutilus), соль. 	True	True	Fri Jul  5 23:09:00 2024
Щука Вяльково вяленая соломка, 40г	73,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	Wed Jul  3 15:04:21 2024	Щука Вяльково вяленая соломка, 40г	Цена67,99 ₽	Вяльково	96.0	18.4 г	1.1 г	0.0 г	Рыба, соль, перец черный молотый, усилитель вкуса и аромата-глутомат натрия, регулятор кислотности - лимонная кислота. 	True	True	Fri Jul  5 23:09:01 2024
Форель Kala Ranta радужная соломка сушено-вяленая, 50г	179,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/812/p/forel-kala-ranta-raduznaa-solomka-suseno-valenaa-50g-4236283	Wed Jul  3 15:04:21 2024	Форель Kala Ranta радужная соломка сушено-вяленая, 50г	Цена179,99 ₽	Kala Ranta	324.0	36.0 г	20.0 г	0.0 г	Форель радужная (Salmo irideus) фарш, меланж яичный сухой, соль, перец Чили молотый, перец черный дробленый 	True	True	Fri Jul  5 23:09:02 2024
Форель Патипро Паутинка сушено-вяленая, 70г	99,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/forel-patipro-pautinka-suseno-valenaa-70g-4201539	Wed Jul  3 15:04:21 2024	Форель Патипро Паутинка сушено-вяленая, 70г	Цена99,99 ₽	Патипро	188.6	30.0 г	7.2 г	1.0 г	Форель радужная, соль, сахар, консерванты: сорбат калия, усилитель вкуса и аромата глутамат натрия, пищевой краситель. 	True	True	Fri Jul  5 23:09:03 2024
"Вобла 	Rыба&Sоль вяленая неразделанная, 200г"	189,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/vobla-ryba-sol-valenaa-nerazdelannaa-200g-3679378	Thu Jul  4 10:32:06 2024	"Вобла 	Rыба&Sоль вяленая неразделанная, 200г"	Цена184,99 ₽	Rыба&Sоль	235.0	46.0 г	5.5 г	0.0 г	none	True	True	Fri Jul  5 23:09:03 2024
Кета Ловим&Вялим соломка вяленая, 50г	169,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	Thu Jul  4 10:32:06 2024	Кета Ловим&Вялим соломка вяленая, 50г	Цена139,99 ₽	Ловим&Вялим	140.0	20.5 г	6.5 г	0.0 г	Рыба, соль. 	True	True	Fri Jul  5 23:09:04 2024
Горбуша Вяльково вяленая палочки, 30г	59,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-valkovo-valenaa-palocki-30g-3611300	Thu Jul  4 10:32:06 2024	Горбуша Вяльково вяленая палочки, 30г	Цена59,99 ₽	Вяльково	162.0	21.0 г	7.0 г	0.0 г	Рыба, соль, сахар, перец сладкий, лук, регулятор кислотности-лимонная кислота. 	True	True	Fri Jul  5 23:09:05 2024
Кета Патипро соломка сушено-вяленая	1 799,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/keta-patipro-solomka-suseno-valenaa-4118955	Thu Jul  4 10:32:06 2024	Кета Патипро соломка сушено-вяленая	Цена1 749,00 ₽	Патипро	185.0	32.0 г	6.0 г	1.0 г	Филе Кеты,консерванты: сорбат калия, глутамат натрия. 	True	True	Fri Jul  5 23:09:06 2024
Сом Вяльково вяленый соломка, 40г	69,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/812/p/som-valkovo-valenyj-solomka-40g-3626025	Thu Jul  4 10:32:06 2024	Сом Вяльково вяленый соломка, 40г	Цена71,99 ₽	Вяльково	127.0	17.2 г	5.1 г	0.0 г	Рыба, соль, перец черный молотый, усилитель вкуса и аромата - глутамат натрия, регулятор кислотности - лимонная кислота. 	True	True	Fri Jul  5 23:09:07 2024
