name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Виски Two Stacks The First Cut купажированный 43%, 700мл	1 999,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-two-stacks-the-first-cut-kupazirovannyj-43-700ml-4274220	Wed Jul  3 15:05:23 2024	Виски Two Stacks The First Cut купажированный 43%, 700мл	Цена2 699,00 ₽	Two Stacks	220.0	0.0 г	0.0 г	0.0 г	Висковые зерновые выдержанные дистилляты Висковые солодовые выдержанные дистилляты, вода исправленная 	True	True	Sat Jul  6 00:01:35 2024
Виски Label 5 40%, 200мл	184,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/5/p/viski-label-5-40-200ml-3651850	Wed Jul  3 15:05:23 2024	Виски Label 5 40%, 200мл	Цена389,99 ₽	Label 5	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Sat Jul  6 00:01:36 2024
Виски Johnnie Walker Рэд Лейбл 40%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-johnnie-walker-red-lejbl-40-700ml-3298929	Wed Jul  3 15:05:23 2024	Виски Johnnie Walker Рэд Лейбл 40%, 700мл	Цена1 699,00 ₽	Johnnie Walker	0.0	0.0 г	0.0 г	0.0 г	ООО Диаджео Брендз Дистрибьюторз. 	True	True	Sat Jul  6 00:01:37 2024
Виски Ballantines Файнест 40%, 700мл	1 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-ballantines-fajnest-40-700ml-3247206	Wed Jul  3 15:05:23 2024	Виски Ballantines Файнест 40%, 700мл	Цена1 599,00 ₽	Ballantines	0.0	0.0 г	0.0 г	0.0 г	Дистиллят выдержанный зерновой и солодовый висковый, вода исправленная, краситель - сахарный колер (Е150а). 	True	True	Sat Jul  6 00:01:38 2024
Виски Jack Daniels Тенесси Old No.7 40%, 700мл	1 959,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-jack-daniels-tenessi-old-no-7-40-700ml-3359549	Wed Jul  3 15:05:23 2024	Виски Jack Daniels Тенесси Old No.7 40%, 700мл	Цена1 999,00 ₽	Jack Daniels	219.0	0.0 г	0.0 г	0.0 г	Вода родниковая подготовленная, дистиллят на основе кукурузы, ржи и ячменного солода. 	True	True	Sat Jul  6 00:01:38 2024
Виски The Whistler Oloroso Sherry Cask Finish ирландский купажированный 43% в п/у, 700мл	3 090,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-whistler-oloroso-sherry-cask-finish-irlandskij-kupazirovannyj-43-v-p-u-700ml-4269845	Wed Jul  3 15:05:23 2024	Виски The Whistler Oloroso Sherry Cask Finish ирландский купажированный 43% в п/у, 700мл	Цена3 090,00 ₽	The Whistler	240.0	0.0 г	0.0 г	0.0 г	. 	True	True	Sat Jul  6 00:01:40 2024
Виски ирландский купажированный Kinahan's LL 40% в подарочной упаковке, 700мл	3 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-irlandskij-kupazirovannyj-kinahans-ll-40-v-podarocnoj-upakovke-700ml-4243193	Wed Jul  3 15:05:23 2024	Виски ирландский купажированный Kinahan's LL 40% в подарочной упаковке, 700мл	Цена3 299,00 ₽	none	240.0	0.0 г	0.0 г	0.0 г	Вода исправленная, дистилляты висковые выдержанные (срок выдержки не менее 3 лет) зерновой и солодовый. 	True	True	Sat Jul  6 00:01:41 2024
Виски купажированный Nucky Thompson Выдержка три года 40%, 1 л	1 299,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/5/p/viski-kupazirovannyj-nucky-thompson-vyderzka-tri-goda-40-1-l-4034691	Wed Jul  3 15:05:23 2024	Виски купажированный Nucky Thompson Выдержка три года 40%, 1 л	Цена1 599,00 ₽	Nucky Thompson	220.0	0.0 г	0.0 г	0.0 г	Дистиллят висковый шотландский зерновой выдержанный не менее трёх лет, дистиллят висковый шотландский солодовый выдержанный не менее трёх лет, вода питьевая исправленная, натуральный пищевой краситель - сахарный колер I простой. 	True	True	Sat Jul  6 00:01:42 2024
Виски Glen Moon купажированный 40%, 700мл	1 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-glen-moon-kupazirovannyj-40-700ml-4269350	Wed Jul  3 15:05:23 2024	Виски Glen Moon купажированный 40%, 700мл	Цена1 099,00 ₽	Glen Moon	227.0	0.0 г	0.0 г	0.0 г	Висковые выдержанные дистилляты(зерновые и солодовые), вода подготовленная),краситель сахарный колер I простой (CARAMEL I - Plain). 	True	True	Sat Jul  6 00:01:43 2024
Виски William Lawsons купажированный 40%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-kupazirovannyj-40-700ml-3610645	Wed Jul  3 15:05:23 2024	Виски William Lawsons купажированный 40%, 700мл	Цена1 299,00 ₽	William Lawsons	0.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Висковые зерновые выдержанные дистилляты, Висковые солодовые выдержанные дистилляты, Пищевая добавка: краситель Е150а. 	True	True	Sat Jul  6 00:01:44 2024
Виски Sterling Reserve B10 Премиум купажированный 40%, 750мл	1 499,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-sterling-reserve-b10-premium-kupazirovannyj-40-750ml-4288132	Wed Jul  3 15:05:23 2024	Виски Sterling Reserve B10 Премиум купажированный 40%, 750мл	Цена1 599,00 ₽	Sterling	229.0	0.0 г	0.0 г	0.0 г	Выдержанные висковые дистилляты: зерновые и солодовые, вода питьевая подготовленная (исправленная), краситель - сахарный колер I простой. 	True	True	Sat Jul  6 00:01:45 2024
Виски Johnnie Walker Black Label 12 лет купажированный, 0.7л	2 249,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-johnnie-walker-black-label-12-let-kupazirovannyj-0-7l-4009189	Wed Jul  3 15:05:23 2024	Виски Johnnie Walker Black Label 12 лет купажированный, 0.7л	Цена2 249,00 ₽	Johnnie Walker	222.0	0.0 г	0.0 г	0.0 г	Вода исправленная, висковые зерновые выдержанные дистилляты, висковые солодовые выдержанные дистилляты, краситель: Е150а. 	True	True	Sat Jul  6 00:01:46 2024
Виски О'neill's ирландский купажированный 40%, 700мл	1 149,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-oneills-irlandskij-kupazirovannyj-40-700ml-4180473	Wed Jul  3 15:05:23 2024	Виски О'neill's ирландский купажированный 40%, 700мл	Цена1 399,00 ₽	O'Neill'S	224.0	0.0 г	0.0 г	0.0 г	Висковые зерновые выдержанные дистилляты и висковые солодовые выдержанные дистилляты, вода исправленная, краситель сахарный колер I простой. 	True	True	Sat Jul  6 00:01:47 2024
Виски William Lawsons купажированный 40%, 250мл	579,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-kupazirovannyj-40-250ml-4091660	Wed Jul  3 15:05:23 2024	Виски William Lawsons купажированный 40%, 250мл	Цена579,99 ₽	William Lawsons	220.0	0.0 г	0.0 г	0.0 г	Вода питьевая исправленная, Висковые зерновые выдержанные дистилляты, Висковые солодовые выдержанные дистилляты, Пищевая добавка: краситель Е150а. 	True	True	Sat Jul  6 00:01:48 2024
